,c,h,l,o,s,t,v
0,26.51,26.75,25.56,26.7,ok,1420156800,2273500
1,25.69,26.4,25.46,26.15,ok,1420416000,2443600
2,25.57,26.22,24.74,26.11,ok,1420502400,3444900
3,25.98,26.2,25.22,25.89,ok,1420588800,1646700
4,26.63,26.66,25.75,26.19,ok,1420675200,2391200
5,26.27,26.63,26.01,26.62,ok,1420761600,1445500
6,25.84,26.41,25.53,26.24,ok,1421020800,1206500
7,25.72,26.84,25.4,26.11,ok,1421107200,2214300
8,25.91,26.24,25.12,25.33,ok,1421193600,1864900
9,25.23,26.33,25.21,26.18,ok,1421280000,1451500
10,25.36,25.62,24.97,25.3,ok,1421366400,1628700
11,26.91,27.45,25.25,25.57,ok,1421712000,4400300
12,26.8,27.19,26.27,26.78,ok,1421798400,2266200
13,27.44,27.79,26.35,27.09,ok,1421884800,2382300
14,27.61,28.3,27.18,27.38,ok,1421971200,1756500
15,27.89,28.23,27.6,27.68,ok,1422230400,1384800
16,27.69,28.03,27.38,27.47,ok,1422316800,1615300
17,27.28,28.19,27.28,27.9,ok,1422403200,1477400
18,27.81,27.82,26.56,27.23,ok,1422489600,1536800
19,27.01,27.97,27.0,27.52,ok,1422576000,1231100
20,26.9,27.02,25.92,26.98,ok,1422835200,1478800
21,25.8,27.24,25.66,26.9,ok,1422921600,2326900
22,26.42,26.65,25.77,25.8,ok,1423008000,1327700
23,26.98,27.0,26.28,26.55,ok,1423094400,1166600
24,26.64,27.16,26.3,26.98,ok,1423180800,1024800
25,26.28,26.77,26.12,26.31,ok,1423440000,770100
26,26.58,26.69,26.01,26.39,ok,1423526400,743300
27,26.27,26.7,26.25,26.5,ok,1423612800,959600
28,27.38,27.39,26.36,26.36,ok,1423699200,1355600
29,26.96,27.88,26.89,27.37,ok,1423785600,1173100
30,26.87,27.32,26.6,27.05,ok,1424131200,757400
31,26.99,27.18,26.4,26.76,ok,1424217600,848700
32,27.16,27.64,26.77,26.84,ok,1424304000,981000
33,27.58,27.77,27.04,27.23,ok,1424390400,1142300
34,27.76,27.93,27.22,27.72,ok,1424649600,1404900
35,27.51,27.92,27.25,27.62,ok,1424736000,1165200
36,27.05,27.57,26.73,27.42,ok,1424822400,2028900
37,22.69,25.85,22.19,25.62,ok,1424908800,13127600
38,23.48,23.93,23.1,23.41,ok,1424995200,5849400
39,22.64,23.5,22.38,23.4,ok,1425254400,3108600
40,21.93,22.9,21.54,22.78,ok,1425340800,3988200
41,22.65,22.98,21.45,21.75,ok,1425427200,2698900
42,22.54,22.92,22.3,22.84,ok,1425513600,1547700
43,22.65,22.71,22.06,22.32,ok,1425600000,2126100
44,22.03,22.8,21.94,22.6,ok,1425859200,1152000
45,21.84,21.96,21.39,21.65,ok,1425945600,1330200
46,22.06,22.25,21.7,21.83,ok,1426032000,1161700
47,24.13,24.4,22.3,22.47,ok,1426118400,3242300
48,23.93,24.19,23.69,24.1,ok,1426204800,1947400
49,23.53,24.15,23.38,23.95,ok,1426464000,1179200
50,23.44,23.7,23.24,23.38,ok,1426550400,1015500
51,23.96,23.98,23.35,23.36,ok,1426636800,934800
52,24.37,24.49,23.8,23.83,ok,1426723200,1067500
53,24.09,24.6,24.0,24.59,ok,1426809600,1168000
54,24.29,24.62,24.01,24.05,ok,1427068800,1304600
55,25.3,25.65,24.39,24.39,ok,1427155200,1922600
56,24.35,25.45,24.21,25.22,ok,1427241600,1464500
57,24.21,24.38,23.79,24.17,ok,1427328000,938500
58,24.07,24.62,23.92,24.15,ok,1427414400,872400
59,24.63,24.88,24.13,24.15,ok,1427673600,767200
60,24.11,25.0,24.06,24.9,ok,1427760000,1216400
61,24.24,24.38,23.41,24.01,ok,1427846400,1020800
62,24.44,24.47,24.04,24.21,ok,1427932800,746900
63,24.51,24.71,24.16,24.19,ok,1428278400,654200
64,24.53,25.0,24.4,24.46,ok,1428364800,766300
65,25.16,25.32,24.14,24.85,ok,1428451200,1367600
66,27.4,27.48,26.2,26.27,ok,1428537600,5254200
67,27.07,27.5,26.8,27.48,ok,1428624000,2000200
68,27.02,27.46,26.82,27.28,ok,1428883200,1053300
69,26.83,27.58,26.6,27.15,ok,1428969600,1292500
70,27.15,27.36,26.53,27.09,ok,1429056000,1545500
71,27.83,28.61,26.85,27.01,ok,1429142400,3256100
72,28.4,29.65,28.06,29.41,ok,1429228800,4558000
73,30.37,30.47,28.6,29.01,ok,1429488000,4136500
74,29.5,30.0,28.74,29.96,ok,1429574400,3068700
75,29.5,29.67,28.7,28.79,ok,1429660800,1558600
76,29.68,30.18,28.78,29.27,ok,1429747200,1643000
77,29.67,30.0,29.51,29.63,ok,1429833600,1272700
78,28.37,29.9,28.1,29.76,ok,1430092800,2566400
79,28.89,29.35,28.05,28.85,ok,1430179200,3162900
80,28.07,28.79,27.88,28.76,ok,1430265600,2600800
81,30.19,31.15,29.24,30.74,ok,1430352000,8804800
82,32.37,33.23,30.5,30.5,ok,1430438400,6940700
83,33.7,34.24,32.18,32.83,ok,1430697600,6235900
84,34.6,35.0,33.87,33.97,ok,1430784000,6241200
85,34.41,34.98,33.51,34.98,ok,1430870400,3869900
86,32.58,33.35,31.94,33.25,ok,1430956800,4577500
87,31.94,32.89,31.12,32.79,ok,1431043200,4940700
88,33.19,33.9,31.86,32.0,ok,1431302400,3494700
89,33.66,34.0,32.53,32.85,ok,1431388800,2678600
90,33.54,34.49,33.47,34.0,ok,1431475200,1801500
91,33.7,33.95,33.0,33.55,ok,1431561600,1357400
92,32.97,33.69,32.62,33.61,ok,1431648000,1867200
93,32.43,32.49,30.38,31.83,ok,1431907200,4272300
94,32.35,33.0,32.25,32.56,ok,1431993600,1528600
95,31.86,32.48,31.42,32.3,ok,1432080000,1814800
96,32.26,32.9,31.9,31.9,ok,1432166400,1371000
97,31.87,32.43,31.73,32.38,ok,1432252800,1130000
98,31.3,31.83,30.48,31.76,ok,1432598400,2777900
99,31.41,31.65,31.24,31.35,ok,1432684800,1167400
100,31.91,32.4,31.27,31.43,ok,1432771200,1646900
101,31.58,31.91,31.42,31.71,ok,1432857600,1068500
102,30.89,31.87,30.73,31.7,ok,1433116800,1733300
103,31.51,31.61,30.62,30.77,ok,1433203200,1547500
104,31.72,32.35,31.37,32.15,ok,1433289600,1829800
105,31.36,32.25,31.03,31.53,ok,1433376000,1668700
106,32.21,32.5,31.17,31.4,ok,1433462400,2042400
107,32.88,33.17,32.0,32.35,ok,1433721600,3002400
108,33.59,33.9,32.93,32.93,ok,1433808000,3020900
109,34.96,35.16,33.75,33.75,ok,1433894400,3705300
110,35.03,35.95,34.55,35.31,ok,1433980800,2712000
111,33.99,34.77,33.75,34.74,ok,1434067200,2168700
112,34.91,35.12,33.11,33.7,ok,1434326400,2001000
113,34.6,35.22,34.42,34.79,ok,1434412800,1336600
114,34.65,35.33,34.44,35.08,ok,1434499200,1586700
115,34.96,35.79,34.81,35.27,ok,1434585600,2826200
116,34.56,35.15,34.12,35.0,ok,1434672000,3051600
117,34.0,34.88,33.79,34.72,ok,1434931200,2106900
118,34.65,34.8,33.42,33.77,ok,1435017600,2197800
119,33.78,34.6,33.71,34.5,ok,1435104000,1451600
120,33.82,34.37,33.63,34.02,ok,1435190400,1443300
121,33.56,34.11,33.46,33.86,ok,1435276800,1623900
122,31.6,33.22,31.11,32.23,ok,1435536000,3515200
123,33.31,33.47,31.61,32.04,ok,1435622400,2622600
124,33.18,33.53,32.67,33.5,ok,1435708800,1589800
125,32.51,33.4,32.3,33.18,ok,1435795200,969800
126,32.23,32.9,31.79,31.82,ok,1436140800,1114300
127,32.61,32.7,31.31,32.36,ok,1436227200,1509200
128,31.39,32.49,31.11,32.18,ok,1436313600,1913200
129,32.4,32.73,31.9,32.19,ok,1436400000,2138000
130,33.04,33.18,32.6,32.95,ok,1436486400,976300
131,33.07,33.44,32.52,33.14,ok,1436745600,1577100
132,32.59,33.33,32.44,33.01,ok,1436832000,947300
133,32.96,33.06,32.06,32.64,ok,1436918400,1899500
134,34.37,34.8,32.93,32.93,ok,1437004800,2844500
135,34.0,34.6,33.81,34.6,ok,1437091200,1178700
136,32.55,34.91,32.5,34.1,ok,1437350400,2387300
137,32.63,32.96,32.01,32.46,ok,1437436800,983800
138,32.2,33.36,32.15,32.59,ok,1437523200,1334200
139,31.71,32.53,31.62,32.22,ok,1437609600,1166900
140,30.9,32.21,30.64,31.84,ok,1437696000,1613700
141,30.33,30.9,29.17,30.76,ok,1437955200,1817300
142,30.78,31.1,29.35,30.38,ok,1438041600,2107300
143,31.7,31.78,30.4,31.1,ok,1438128000,2276700
144,28.11,32.82,27.63,32.03,ok,1438214400,9392100
145,27.22,28.8,26.25,28.61,ok,1438300800,5854600
146,25.13,27.08,25.1,27.03,ok,1438560000,3796100
147,26.23,26.54,25.29,25.53,ok,1438646400,3771000
148,25.32,26.42,25.26,26.05,ok,1438732800,2575100
149,24.45,25.6,23.95,25.45,ok,1438819200,2352500
150,24.04,24.28,23.03,24.2,ok,1438905600,1770100
151,24.65,25.23,23.79,24.03,ok,1439164800,2280200
152,24.23,24.84,23.82,24.25,ok,1439251200,1446300
153,23.25,23.85,22.73,23.6,ok,1439337600,1932700
154,24.08,24.48,23.24,23.76,ok,1439424000,1714100
155,23.99,24.2,23.53,23.91,ok,1439510400,939200
156,24.29,24.41,23.57,23.6,ok,1439769600,962900
157,23.91,24.23,23.5,23.98,ok,1439856000,1048200
158,23.02,23.65,22.6,23.5,ok,1439942400,1990500
159,21.7,22.87,21.45,22.56,ok,1440028800,2354500
160,21.29,22.08,20.26,21.0,ok,1440115200,3962300
161,20.4,20.4,18.05,19.01,ok,1440374400,3258000
162,21.36,22.21,20.73,21.2,ok,1440460800,2262300
163,22.37,22.83,21.37,21.88,ok,1440547200,2918400
164,23.63,23.79,22.35,22.85,ok,1440633600,3000500
165,23.71,23.89,23.32,23.59,ok,1440720000,1536500
166,23.4,23.83,23.3,23.45,ok,1440979200,1181400
167,22.5,23.07,22.4,22.75,ok,1441065600,1465000
168,23.87,24.18,22.97,23.19,ok,1441152000,2046200
169,23.45,24.25,23.37,23.83,ok,1441238400,1210000
170,23.63,23.95,23.02,23.24,ok,1441324800,725600
171,24.28,24.49,23.91,24.03,ok,1441670400,1188400
172,23.76,24.5,23.71,24.45,ok,1441756800,1042400
173,23.76,24.02,23.54,23.65,ok,1441843200,707400
174,23.73,23.85,23.25,23.45,ok,1441929600,695800
175,23.87,24.03,23.63,23.68,ok,1442188800,710100
176,24.14,24.32,23.35,23.97,ok,1442275200,754300
177,24.02,24.32,23.95,24.17,ok,1442361600,1115000
178,24.18,24.5,23.94,23.94,ok,1442448000,1192300
179,23.96,24.17,23.75,23.75,ok,1442534400,1376800
180,23.81,24.16,23.56,24.0,ok,1442793600,1299900
181,23.37,23.78,23.18,23.41,ok,1442880000,1369700
182,23.21,23.89,23.14,23.41,ok,1442966400,1484100
183,24.04,24.43,23.34,23.56,ok,1443052800,1733300
184,23.58,24.38,23.44,24.36,ok,1443139200,1429700
185,21.95,23.54,21.77,23.48,ok,1443398400,1742400
186,21.58,22.05,21.3,21.99,ok,1443484800,1284200
187,22.03,22.23,21.61,21.89,ok,1443571200,1459200
188,22.23,22.45,21.75,22.07,ok,1443657600,859500
189,22.59,22.64,21.71,21.84,ok,1443744000,844700
190,23.31,23.4,22.66,22.76,ok,1444003200,854900
191,23.97,24.22,23.23,23.35,ok,1444089600,1222300
192,25.66,25.73,24.13,24.24,ok,1444176000,2642100
193,25.34,26.11,24.62,25.73,ok,1444262400,2159400
194,24.7,26.48,24.55,26.48,ok,1444348800,1833000
195,24.22,24.7,24.02,24.67,ok,1444608000,716800
196,23.72,24.34,23.64,24.1,ok,1444694400,911200
197,23.39,23.99,23.32,23.65,ok,1444780800,905100
198,24.22,24.25,23.5,23.57,ok,1444867200,1186000
199,24.63,24.68,24.05,24.32,ok,1444953600,901300
200,24.77,24.9,24.47,24.55,ok,1445212800,696300
201,22.1,25.83,20.99,24.67,ok,1445299200,6090000
202,21.83,22.25,21.4,22.21,ok,1445385600,2712700
203,22.03,22.26,21.63,21.86,ok,1445472000,1017500
204,22.36,22.62,22.0,22.17,ok,1445558400,970100
205,23.56,24.23,22.83,23.22,ok,1445817600,2336000
206,22.92,23.99,22.56,23.98,ok,1445904000,1707200
207,23.48,23.49,22.55,23.03,ok,1445990400,1347500
208,23.39,24.1,23.02,23.5,ok,1446076800,1456900
209,23.41,23.59,22.73,23.44,ok,1446163200,1201400
210,23.88,24.19,23.2,23.4,ok,1446422400,2109100
211,20.91,23.0,20.25,23.0,ok,1446508800,9401900
212,20.58,21.97,20.27,21.42,ok,1446595200,4361300
213,20.16,20.91,18.8,20.44,ok,1446681600,3876200
214,20.19,20.36,19.88,20.07,ok,1446768000,2253900
215,19.24,20.2,18.96,20.18,ok,1447027200,2313100
216,18.81,19.25,18.55,19.05,ok,1447113600,2149700
217,18.55,18.86,18.39,18.75,ok,1447200000,1192900
218,18.11,18.47,18.07,18.38,ok,1447286400,1337100
219,17.4,18.07,17.08,18.0,ok,1447372800,2464500
220,17.38,17.62,17.19,17.25,ok,1447632000,1827700
221,16.76,17.5,16.74,17.4,ok,1447718400,1924700
222,18.33,19.1,18.0,18.12,ok,1447804800,4707100
223,17.82,18.64,17.66,18.55,ok,1447891200,1902800
224,18.16,18.16,17.75,17.89,ok,1447977600,1650600
