,c,h,l,o,s,t,v
0,5.1087,5.2687,5.0187,5.2587,ok,1420156800,20472500
1,5.0143,5.0243,4.8743,4.9343,ok,1420416000,17542900
2,5.2032,5.2332,4.9832,4.9932,ok,1420502400,22492100
3,5.2891,5.3391,5.1991,5.2491,ok,1420588800,23427500
4,5.3452,5.3852,5.2552,5.2752,ok,1420675200,10792200
5,5.4229,5.4729,5.3629,5.3829,ok,1420761600,14704800
6,5.4574,5.4774,5.3574,5.3774,ok,1421020800,9476200
7,5.5006,5.6006,5.4206,5.5006,ok,1421107200,13885900
8,5.5352,5.5552,5.4652,5.4652,ok,1421193600,11177100
9,5.492,5.582,5.472,5.552,ok,1421280000,13711000
10,5.6388,5.6388,5.5488,5.5588,ok,1421366400,8161100
11,5.6042,5.6142,5.4942,5.5042,ok,1421712000,11239800
12,5.682,5.722,5.592,5.622,ok,1421798400,10901700
13,5.8201,5.8801,5.6901,5.7901,ok,1421884800,12144100
14,5.7165,5.7565,5.6565,5.7165,ok,1421971200,8474500
15,5.6992,5.6992,5.6292,5.6592,ok,1422230400,6818200
16,5.6992,5.7092,5.6292,5.6292,ok,1422316800,11386600
17,5.6733,5.7733,5.6133,5.6933,ok,1422403200,10789800
18,5.8806,5.9006,5.7006,5.7006,ok,1422489600,24676400
19,5.682,5.792,5.632,5.682,ok,1422576000,13101100
20,5.6129,5.6429,5.4929,5.5929,ok,1422835200,10524000
21,5.6215,5.6915,5.5915,5.6415,ok,1422921600,13440400
22,5.5006,5.5806,5.4406,5.4606,ok,1423008000,15325100
23,5.6388,5.6388,5.3888,5.4388,ok,1423094400,13994700
24,5.5524,5.5924,5.4324,5.4424,ok,1423180800,14011500
25,5.6388,5.6888,5.4988,5.4988,ok,1423440000,12648100
26,5.5352,5.5452,5.4452,5.5052,ok,1423526400,10367700
27,5.4315,5.4615,5.3115,5.3915,ok,1423612800,10914500
28,5.5611,5.5711,5.4611,5.5011,ok,1423699200,11027900
29,5.5006,5.5806,5.4406,5.5106,ok,1423785600,5841300
30,5.5352,5.5652,5.4252,5.5052,ok,1424131200,5858800
31,5.5524,5.5924,5.4924,5.5624,ok,1424217600,5003300
32,5.5006,5.5606,5.4706,5.5306,ok,1424304000,4326300
33,5.492,5.512,5.402,5.452,ok,1424390400,7588900
