,c,h,l,o,s,t,v
0,39.9939,40.5439,39.7339,40.3439,ok,1420156800,3216600
1,40.0028,40.4928,39.7228,39.8928,ok,1420416000,5735900
2,39.5486,40.2586,39.0786,40.1386,ok,1420502400,6584300
3,39.8692,40.0492,39.4892,39.8392,ok,1420588800,4609500
4,40.6887,40.7987,40.0187,40.1987,ok,1420675200,4883000
5,40.2611,40.9311,40.1711,40.8111,ok,1420761600,4742200
6,40.5996,40.7796,39.9596,40.3996,ok,1421020800,6178800
7,39.9459,40.8659,39.5859,40.6759,ok,1421107200,6745000
8,39.6504,40.0304,39.3004,39.6604,ok,1421193600,5865900
9,39.3549,40.0749,39.3049,39.9049,ok,1421280000,3916200
10,39.8385,39.8985,39.0685,39.1485,ok,1421366400,4564200
11,39.5967,40.1267,39.2667,40.0467,ok,1421712000,5159900
12,39.4534,39.6434,39.0134,39.3534,ok,1421798400,5328200
13,39.8385,39.9185,39.1485,39.6885,ok,1421884800,5329100
14,39.2744,39.8944,39.2344,39.8944,ok,1421971200,6664000
15,39.534,39.584,38.804,39.124,ok,1422230400,4376200
16,39.1132,39.4532,38.8632,39.3132,ok,1422316800,4847400
17,38.8714,39.6614,38.8214,39.4014,ok,1422403200,7641000
18,40.528,40.678,38.968,39.058,ok,1422489600,10054600
19,40.0802,40.9502,40.0202,40.7202,ok,1422576000,9613300
20,40.5011,40.5111,39.5511,40.2011,ok,1422835200,7312900
21,41.0384,41.0884,40.5484,40.6184,ok,1422921600,8380300
22,40.4474,41.2674,40.3274,40.8274,ok,1423008000,8231200
23,40.8772,41.0972,40.4872,40.4872,ok,1423094400,6374400
24,40.7429,41.4529,40.5729,40.8329,ok,1423180800,5601600
25,39.8653,40.5553,39.6453,40.5553,ok,1423440000,6585900
26,40.2235,40.3135,39.7035,39.9835,ok,1423526400,5210500
27,40.2325,40.5025,39.8625,40.1825,ok,1423612800,4302900
28,40.4922,40.5222,40.0722,40.3122,ok,1423699200,4683700
29,41.2712,41.3512,40.2012,40.2312,ok,1423785600,6524900
30,41.5577,41.6777,41.1477,41.1977,ok,1424131200,6366400
31,41.5577,41.6777,41.2977,41.4077,ok,1424217600,4051400
32,41.7368,41.7968,41.2168,41.4868,ok,1424304000,6590300
33,42.5159,42.6059,41.4359,41.5659,ok,1424390400,6512400
34,42.3726,42.5526,42.0726,42.3826,ok,1424649600,5608100
35,42.5069,42.6269,42.1669,42.3069,ok,1424736000,4789000
36,42.4442,42.7842,42.2842,42.5942,ok,1424822400,4777400
37,42.6323,42.7323,42.1223,42.3423,ok,1424908800,5112300
38,42.4174,42.9274,42.4174,42.5274,ok,1424995200,5805800
39,42.2831,42.6931,42.1931,42.4031,ok,1425254400,7016300
40,42.1666,42.2166,41.7466,42.2166,ok,1425340800,6018900
41,42.095,42.565,41.905,41.955,ok,1425427200,5558500
42,42.48,42.54,41.86,41.92,ok,1425513600,4842600
43,41.6383,42.3983,41.4883,42.3183,ok,1425600000,7264900
44,41.9338,42.0838,41.5038,41.6038,ok,1425859200,4465200
45,41.3428,41.7828,41.3328,41.5928,ok,1425945600,5106100
46,41.4592,41.8092,41.3692,41.5492,ok,1426032000,5030800
47,42.3099,42.3699,41.4099,41.5299,ok,1426118400,5209700
48,41.9786,42.3286,41.7086,42.3086,ok,1426204800,4744100
49,42.8293,42.8493,42.1193,42.1193,ok,1426464000,4763600
50,42.1666,42.8766,42.1466,42.5066,ok,1426550400,5609100
51,42.4353,42.6953,41.4353,41.9153,ok,1426636800,6656700
52,42.48,42.58,42.17,42.5,ok,1426723200,4013600
53,42.5069,42.8069,42.3669,42.6969,ok,1426809600,7563000
54,42.5069,42.7669,42.2569,42.5069,ok,1427068800,3931100
55,42.086,42.716,42.076,42.396,ok,1427155200,4595800
56,41.6652,42.6352,41.6352,42.1752,ok,1427241600,5061100
57,41.6383,41.9283,41.2383,41.5483,ok,1427328000,4367400
58,41.889,42.139,41.529,41.7191,ok,1427414400,3444400
59,42.1577,42.2877,41.9677,42.0777,ok,1427673600,2967200
60,41.4861,42.1361,41.4861,41.9861,ok,1427760000,5358100
61,41.0921,41.5721,40.7521,41.5321,ok,1427846400,6369000
62,41.307,41.567,40.907,41.287,ok,1427932800,3974000
63,41.4592,41.7292,40.8092,40.9592,ok,1428278400,4083500
64,41.3607,41.7707,41.3307,41.4707,ok,1428364800,3161100
65,41.7368,41.8768,41.0268,41.3368,ok,1428451200,6011800
66,42.086,42.206,41.536,41.586,ok,1428537600,4337300
67,42.2204,42.2704,41.7704,42.0504,ok,1428624000,3759900
68,41.8784,42.4584,41.8484,42.1284,ok,1428883200,3064500
69,42.0314,42.0814,41.6714,41.8414,ok,1428969600,3244000
70,42.1484,42.2684,41.9084,42.1284,ok,1429056000,4046600
71,41.8694,42.2394,41.7294,41.9594,ok,1429142400,3769000
72,41.6264,41.8264,41.1864,41.6664,ok,1429228800,4312000
73,41.9684,42.0484,41.7084,41.7584,ok,1429488000,3371900
74,42.4094,42.5694,42.0094,42.2294,ok,1429574400,8616000
75,43.5164,43.5664,42.2864,42.4164,ok,1429660800,7638400
