,c,h,l,o,s,t,v
0,22.9721,23.3221,22.0121,22.4021,ok,1444262400,1239700
1,22.3759,23.0559,22.3759,23.0359,ok,1444348800,84300
2,22.058,22.478,21.828,22.258,ok,1444608000,48300
3,22.1574,22.4274,22.0174,22.0174,ok,1444694400,32000
4,22.207,22.857,22.137,22.137,ok,1444780800,21600
5,22.1772,22.7792,21.9072,22.2072,ok,1444867200,139800
6,22.3561,22.8961,21.8761,22.8961,ok,1444953600,19400
7,22.3561,22.4061,22.0561,22.2961,ok,1445212800,53400
8,22.2468,22.2568,21.9468,22.1968,ok,1445299200,111200
9,22.1872,22.2772,21.9072,21.9472,ok,1445385600,96700
10,22.0182,22.2582,21.9582,21.9682,ok,1445472000,18600
11,22.0282,22.2482,21.9582,22.0582,ok,1445558400,13600
12,22.0421,22.3581,21.9181,22.0781,ok,1445817600,50400
13,21.9586,22.2086,21.9386,21.9386,ok,1445904000,73000
14,22.2865,22.3555,21.9565,21.9565,ok,1445990400,13000
15,23.5484,23.7384,22.0784,22.2884,ok,1446076800,42900
16,23.0317,24.5517,22.6217,23.6017,ok,1446163200,88500
17,23.4093,24.3293,22.4793,23.2693,ok,1446422400,84700
18,23.2404,24.0304,22.7504,23.3304,ok,1446508800,25400
19,23.1271,24.0511,22.8511,23.0011,ok,1446595200,37800
20,23.1013,23.6413,22.6213,23.6413,ok,1446681600,53500
21,23.6676,23.6676,22.8576,23.3976,ok,1446768000,36800
22,22.9423,23.9523,22.8523,23.0523,ok,1447027200,81700
23,23.5484,23.8834,22.8684,23.2484,ok,1447113600,38600
24,23.7769,24.0069,23.2169,23.5969,ok,1447200000,18400
25,23.7322,23.8372,23.5972,23.6372,ok,1447286400,13600
26,23.603,23.848,22.898,23.538,ok,1447372800,34100
27,22.3362,23.7492,22.1062,23.6362,ok,1447632000,60900
28,22.4952,23.3052,22.2352,22.4852,ok,1447718400,77200
29,22.6045,23.1645,22.1645,23.0045,ok,1447804800,45700
30,22.3561,22.5961,22.1661,22.2361,ok,1447891200,12500
31,22.4554,22.8054,22.1054,22.1554,ok,1447977600,32600
32,23.4093,23.4793,22.1793,22.1793,ok,1448236800,34600
33,23.4788,23.6988,22.8588,23.3488,ok,1448323200,23600
34,24.3284,24.3434,23.2534,23.2834,ok,1448409600,26200
35,24.0651,24.4651,23.8451,23.9951,ok,1448582400,24100
36,24.1048,24.3418,23.4048,23.9448,ok,1448841600,25200
37,24.3135,24.3435,23.9735,24.0135,ok,1448928000,36400
38,23.8465,24.3035,23.7465,24.0465,ok,1449014400,34600
39,23.922,24.216,23.776,23.846,ok,1449100800,25100
40,23.9856,24.1456,23.6256,24.0956,ok,1449187200,34100
41,24.4327,24.6127,23.8637,24.6127,ok,1449446400,30200
42,26.092,27.432,24.217,24.622,ok,1449532800,46600
43,25.1779,25.8279,24.6159,25.8279,ok,1449619200,40000
44,24.2042,25.0942,23.8442,24.8242,ok,1449705600,40800
45,23.9955,24.7255,23.4555,24.7255,ok,1449792000,96200
46,23.4292,28.1312,23.0992,23.6592,ok,1450051200,101600
47,23.6279,24.3279,23.0179,23.8679,ok,1450137600,95000
48,23.603,24.298,23.374,23.941,ok,1450224000,165700
