,c,h,l,o,s,t,v
0,4.62,4.62,4.62,4.62,ok,1421020800,100
1,4.128,4.128,4.032,4.032,ok,1423008000,4600
2,3.756,3.756,3.756,3.756,ok,1423180800,100
3,3.816,3.816,3.816,3.816,ok,1423440000,1000
4,3.624,3.624,3.624,3.624,ok,1423785600,400
5,6.06,6.684,6.06,6.288,ok,1424390400,1500
6,5.472,6.06,5.472,6.048,ok,1424649600,1400
7,4.968,4.968,4.56,4.836,ok,1424736000,1100
8,4.176,4.176,4.176,4.176,ok,1424822400,100
9,3.984,3.984,3.984,3.984,ok,1424995200,200
10,4.044,4.044,4.044,4.044,ok,1425340800,200
11,3.72,3.72,3.564,3.564,ok,1426118400,200
12,3.396,3.432,3.396,3.432,ok,1426550400,3400
13,3.576,3.576,3.576,3.576,ok,1426809600,200
14,3.516,3.516,3.516,3.516,ok,1427155200,100
15,3.528,3.528,3.396,3.396,ok,1427673600,1300
16,3.108,3.156,3.108,3.156,ok,1428364800,200
17,3.108,3.108,3.108,3.108,ok,1428451200,500
18,2.94,2.94,2.94,2.94,ok,1428883200,300
19,3.6,3.6,3.204,3.204,ok,1429228800,700
20,4.272,4.32,4.212,4.248,ok,1429660800,8600
21,4.176,4.416,4.176,4.308,ok,1429747200,300
22,4.176,4.176,4.08,4.08,ok,1429833600,1600
23,4.188,4.2,4.188,4.2,ok,1430179200,900
24,4.104,4.104,4.044,4.044,ok,1430352000,100
25,4.008,4.008,4.008,4.008,ok,1430784000,100
26,4.044,4.08,4.044,4.08,ok,1430870400,2000
27,3.888,4.104,3.888,4.104,ok,1431302400,1000
28,3.852,3.852,3.852,3.852,ok,1431388800,1900
29,2.784,2.784,2.784,2.784,ok,1433289600,100
30,2.916,2.916,2.868,2.868,ok,1433808000,700
31,2.796,2.796,2.796,2.796,ok,1433980800,100
32,2.52,2.52,2.52,2.52,ok,1434067200,100
33,2.868,2.88,2.772,2.88,ok,1435536000,1800
34,2.868,2.868,2.868,2.868,ok,1435622400,800
35,2.892,2.892,2.892,2.892,ok,1436227200,100
36,3.024,3.024,3.024,3.024,ok,1436486400,700
37,3.06,3.084,3.06,3.084,ok,1436918400,200
38,2.964,2.964,2.964,2.964,ok,1437523200,900
39,2.64,2.64,2.64,2.64,ok,1438214400,200
40,2.748,2.748,2.748,2.748,ok,1439251200,200
41,2.856,2.856,2.856,2.856,ok,1439337600,400
42,2.868,2.868,2.868,2.868,ok,1439424000,200
43,2.76,2.76,2.76,2.76,ok,1440115200,100
44,2.4,2.616,2.4,2.604,ok,1440374400,2900
45,2.592,2.592,2.592,2.592,ok,1440720000,100
46,2.664,2.664,2.664,2.664,ok,1441065600,400
47,2.4,2.4,2.4,2.4,ok,1441324800,2800
48,3.156,3.156,2.748,2.748,ok,1441756800,200
49,3.144,3.144,2.916,2.916,ok,1442793600,800
50,3.312,3.312,3.084,3.084,ok,1443139200,300
51,3.336,3.336,3.336,3.336,ok,1443484800,800
52,3.48,3.48,3.408,3.408,ok,1443571200,700
53,3.864,3.864,3.864,3.864,ok,1443657600,100
54,3.84,3.84,3.72,3.72,ok,1443744000,1200
55,3.684,3.72,3.684,3.72,ok,1444003200,200
56,3.6,3.6,3.6,3.6,ok,1444089600,800
57,3.156,3.384,3.156,3.384,ok,1444176000,200
58,3.192,3.192,3.192,3.192,ok,1444262400,400
59,3.66,3.66,3.348,3.348,ok,1444694400,300
60,3.54,3.54,3.54,3.54,ok,1444780800,200
61,3.528,3.528,3.528,3.528,ok,1445212800,400
62,3.84,3.84,3.84,3.84,ok,1445299200,1200
63,3.768,3.996,3.768,3.996,ok,1445385600,1300
64,3.948,3.948,3.9,3.9,ok,1445558400,200
65,4.44,4.548,4.224,4.32,ok,1445817600,1100
66,4.692,4.692,4.56,4.56,ok,1445904000,700
67,4.944,5.064,4.68,4.68,ok,1445990400,2900
68,5.1,5.1,5.1,5.1,ok,1446422400,200
69,5.208,5.208,5.196,5.196,ok,1446508800,300
70,5.58,5.58,5.292,5.292,ok,1446595200,2700
71,6.444,6.624,6.036,6.36,ok,1446681600,5700
72,5.796,6.564,5.712,6.564,ok,1446768000,1500
73,5.328,5.652,5.328,5.652,ok,1447372800,600
74,5.832,6.0,5.784,5.82,ok,1447632000,900
75,6.0,6.012,5.904,5.976,ok,1447718400,300
76,6.012,6.096,5.988,5.988,ok,1447804800,1000
77,6.012,6.036,6.012,6.036,ok,1447891200,100
78,5.808,6.12,5.652,6.12,ok,1447977600,600
79,6.72,7.068,5.64,7.068,ok,1448841600,3600
80,6.252,6.9,6.252,6.9,ok,1448928000,600
81,6.228,6.336,6.228,6.336,ok,1449014400,600
82,6.084,6.156,6.0,6.0,ok,1449100800,700
83,6.072,6.168,5.904,6.168,ok,1449187200,200
84,6.0,6.0,6.0,6.0,ok,1449446400,200
85,5.892,6.144,5.892,6.0,ok,1449532800,1000
86,5.82,5.82,5.82,5.82,ok,1449619200,100
87,5.148,5.328,4.824,5.328,ok,1449705600,2000
88,5.064,5.064,5.064,5.064,ok,1449792000,400
89,4.92,5.052,4.92,5.052,ok,1450137600,300
90,5.064,5.1,5.052,5.052,ok,1450224000,700
91,4.8,4.848,4.8,4.848,ok,1450310400,900
92,4.884,4.98,4.764,4.86,ok,1450396800,3500
93,4.536,4.8,4.536,4.8,ok,1450656000,300
94,4.452,4.548,4.452,4.548,ok,1450742400,600
95,4.428,4.428,2.28,2.28,ok,1450828800,800
96,4.872,5.052,4.872,5.052,ok,1451347200,900
97,5.028,5.052,5.028,5.052,ok,1451433600,100
98,5.268,5.28,5.256,5.268,ok,1451952000,5500
99,5.232,5.232,5.064,5.184,ok,1452038400,400
100,4.92,4.968,4.92,4.92,ok,1452124800,2000
101,5.052,5.052,5.052,5.052,ok,1452211200,200
102,5.04,5.136,4.944,5.136,ok,1452470400,1300
103,5.1,5.1,4.86,4.86,ok,1452556800,200
104,4.92,5.04,4.92,5.04,ok,1452643200,100
105,4.752,4.92,4.752,4.92,ok,1452729600,500
106,4.428,4.428,4.428,4.428,ok,1452816000,300
107,4.596,4.596,4.512,4.536,ok,1453161600,600
108,4.404,4.584,4.128,4.572,ok,1453248000,1300
109,4.38,4.476,4.38,4.476,ok,1453334400,100
110,4.812,4.812,4.428,4.428,ok,1453420800,1600
111,4.692,4.716,4.692,4.692,ok,1453680000,300
112,4.668,4.764,4.452,4.452,ok,1453766400,200
113,4.62,4.704,4.62,4.704,ok,1453852800,1100
114,4.632,4.632,4.56,4.56,ok,1453939200,400
115,4.56,4.56,4.488,4.488,ok,1454025600,100
116,4.752,4.776,4.692,4.776,ok,1454284800,400
117,4.776,4.776,4.56,4.752,ok,1454371200,200
118,4.716,4.812,4.716,4.812,ok,1454457600,300
119,4.788,4.8,4.788,4.8,ok,1454544000,300
120,4.548,4.716,4.548,4.716,ok,1454630400,900
121,4.752,4.86,4.752,4.848,ok,1454889600,1100
122,5.172,5.172,4.908,5.004,ok,1454976000,900
123,4.872,5.232,4.872,5.232,ok,1455062400,800
124,5.136,5.22,5.028,5.22,ok,1455235200,1000
125,5.34,5.34,5.22,5.268,ok,1455580800,3300
126,5.568,5.568,5.448,5.448,ok,1455667200,2400
127,5.736,5.736,5.46,5.592,ok,1455753600,3700
128,5.4,5.616,5.4,5.448,ok,1455840000,1100
129,5.376,5.4,5.232,5.364,ok,1456099200,400
130,5.424,5.448,5.412,5.412,ok,1456185600,2600
131,5.052,5.58,5.052,5.58,ok,1456272000,2500
132,5.148,5.148,4.776,4.908,ok,1456358400,1600
133,5.52,5.52,5.256,5.256,ok,1456444800,1000
134,5.364,5.616,5.34,5.46,ok,1456704000,700
135,5.304,5.388,5.304,5.388,ok,1456790400,500
136,5.4,5.4,5.208,5.208,ok,1456876800,300
137,5.4,5.436,5.196,5.388,ok,1456963200,500
138,5.352,5.352,5.268,5.328,ok,1457049600,200
139,5.1,5.388,5.1,5.184,ok,1457308800,900
