,c,h,l,o,s,t,v
0,19.4967,19.86,19.4267,19.7333,ok,1420156800,1101600
1,19.38,19.5,19.3333,19.3933,ok,1420416000,1095900
2,19.4233,19.5567,19.3433,19.42,ok,1420502400,1407300
3,19.5367,19.62,19.3567,19.5233,ok,1420588800,1274400
4,19.8767,19.94,19.6433,19.6933,ok,1420675200,1154700
5,19.7033,19.9733,19.7033,19.8767,ok,1420761600,1140000
6,19.6433,19.7433,19.5967,19.6867,ok,1421020800,927900
7,19.72,20.0133,19.66,19.7267,ok,1421107200,1923900
8,19.6333,19.9667,19.5733,19.9667,ok,1421193600,1858200
9,19.7067,19.8333,19.53,19.6133,ok,1421280000,1215600
10,19.75,19.8433,19.66,19.71,ok,1421366400,1775100
11,19.5833,19.9233,19.5,19.8733,ok,1421712000,1635000
12,19.65,19.74,19.46,19.5067,ok,1421798400,1159200
13,19.89,19.9733,19.5633,19.79,ok,1421884800,1260900
14,19.8033,19.97,19.6967,19.8967,ok,1421971200,787200
15,19.91,19.9133,19.6233,19.8367,ok,1422230400,1662000
16,19.9533,20.16,19.6833,19.76,ok,1422316800,1379700
17,19.7533,20.11,19.7367,20.0567,ok,1422403200,1314900
18,19.6833,19.8167,19.43,19.8,ok,1422489600,1470000
19,19.3233,19.6633,19.2967,19.6367,ok,1422576000,2090100
20,19.62,19.65,19.2233,19.3933,ok,1422835200,1356000
21,19.87,19.9233,19.58,19.7033,ok,1422921600,787200
22,19.95,20.05,19.6967,19.7933,ok,1423008000,784800
23,20.1533,20.1633,19.94,20.0267,ok,1423094400,690300
24,20.0033,20.2467,19.9933,20.17,ok,1423180800,971700
25,19.9233,20.0633,19.9033,20.0067,ok,1423440000,1284300
26,20.11,20.13,19.94,20.1,ok,1423526400,1548600
27,20.0833,20.46,20.0033,20.1467,ok,1423612800,1068900
28,19.8633,20.3467,19.8433,20.3467,ok,1423699200,1840200
29,19.9833,20.0133,19.7333,19.8233,ok,1423785600,2705700
30,19.7733,20.0833,19.7533,19.91,ok,1424131200,919800
31,20.0167,20.0233,19.64,19.7133,ok,1424217600,1253700
32,20.0533,20.1033,19.89,20.0233,ok,1424304000,804900
33,20.0133,20.0567,19.8133,19.9733,ok,1424390400,571500
34,19.85,20.02,19.75,19.9767,ok,1424649600,827400
35,19.81,19.94,19.7867,19.9,ok,1424736000,1518900
36,19.6233,19.8933,19.6,19.8933,ok,1424822400,1100400
37,19.6333,19.7533,19.4733,19.5567,ok,1424908800,1320000
38,19.72,19.7667,19.6367,19.6767,ok,1424995200,3227400
39,19.88,19.9033,19.6867,19.6867,ok,1425254400,1853700
40,19.8267,19.97,19.7833,19.9233,ok,1425340800,1540500
41,19.7833,19.8433,19.68,19.77,ok,1425427200,1500300
42,19.97,20.0,19.7367,19.8267,ok,1425513600,1248000
43,19.9567,19.99,19.8033,19.9233,ok,1425600000,1339800
44,20.17,20.21,19.8267,20.0,ok,1425859200,1478400
45,19.9333,20.1167,19.89,20.11,ok,1425945600,1779000
46,20.2533,20.29,19.9267,19.9267,ok,1426032000,1588500
47,20.4833,20.5167,20.2667,20.2667,ok,1426118400,1013100
48,20.5133,20.57,20.3767,20.4833,ok,1426204800,1566300
49,20.6967,20.7367,20.5367,20.5367,ok,1426464000,939600
50,20.6967,20.7367,20.5967,20.6033,ok,1426550400,1271400
51,20.9067,20.94,20.5667,20.6667,ok,1426636800,1842900
52,20.66,20.9167,20.56,20.8,ok,1426723200,1411500
53,20.8967,20.9367,20.6233,20.7533,ok,1426809600,2156700
54,20.8867,21.0033,20.6667,20.8567,ok,1427068800,855000
55,20.87,20.9933,20.7667,20.95,ok,1427155200,1424400
56,20.69,20.91,20.6667,20.8767,ok,1427241600,801900
57,20.6467,20.6767,20.54,20.6067,ok,1427328000,974700
58,20.6133,20.67,20.49,20.54,ok,1427414400,993900
59,20.8933,20.94,20.67,20.7033,ok,1427673600,1230600
60,20.5333,20.8367,20.53,20.7433,ok,1427760000,2451300
61,20.6067,20.71,20.4367,20.6267,ok,1427846400,1750500
62,20.6367,20.7367,20.5267,20.64,ok,1427932800,1500600
63,20.6833,20.8067,20.5833,20.6,ok,1428278400,915300
64,20.59,20.7567,20.5367,20.6833,ok,1428364800,1281300
65,20.6867,20.7233,20.57,20.59,ok,1428451200,1191000
66,20.8,20.8033,20.6667,20.7133,ok,1428537600,853500
67,20.9767,20.9767,20.72,20.8733,ok,1428624000,1257900
