,c,h,l,o,s,t,v
0,79.2131,80.4631,78.8031,80.0431,ok,1420156800,2021300
1,77.8756,78.8556,77.7156,78.5756,ok,1420416000,3000000
2,77.3138,78.3738,76.6138,78.1038,ok,1420502400,2867000
3,78.9366,79.1566,77.5666,77.5666,ok,1420588800,2865500
4,80.1403,80.4103,79.1003,79.2603,ok,1420675200,2802900
5,80.0512,80.4212,79.6512,80.2212,ok,1420761600,2399900
6,79.8104,80.3204,79.2104,79.4104,ok,1421020800,2418500
7,80.0957,81.6057,79.4157,80.0357,ok,1421107200,4007000
8,79.1595,79.9195,78.3795,79.9195,ok,1421193600,2377900
9,78.6156,79.5456,78.1156,79.4557,ok,1421280000,1821000
10,79.2576,79.3776,77.9176,78.1176,ok,1421366400,2657400
11,79.0169,79.8169,78.3169,79.2869,ok,1421712000,2333600
12,78.7672,79.0572,78.1572,78.7772,ok,1421798400,2040800
13,79.8015,79.8615,78.2515,79.0215,ok,1421884800,2656900
14,79.5519,80.2519,79.4719,79.8419,ok,1421971200,1939100
15,79.427,79.547,78.587,79.387,ok,1422230400,1997200
16,76.8235,78.9835,76.6635,78.6134,ok,1422316800,3689000
17,75.2185,77.9785,75.1885,77.7885,ok,1422403200,3469100
18,76.3598,76.4198,74.6598,75.6698,ok,1422489600,3590600
19,74.9243,76.3343,74.7543,76.0143,ok,1422576000,3837500
20,76.5292,76.5492,74.1692,75.1192,ok,1422835200,3088500
21,78.3927,78.4327,76.4427,76.7227,ok,1422921600,3501300
22,77.8756,79.7156,77.7056,79.7156,ok,1423008000,2764100
23,78.8831,78.9531,77.7531,78.5231,ok,1423094400,2102000
24,78.5978,79.5478,78.2878,79.0478,ok,1423180800,2386500
25,77.8934,78.7634,77.6334,78.0434,ok,1423440000,2670500
26,78.0361,78.4261,77.1961,78.2561,ok,1423526400,2573800
27,78.4284,78.6384,77.7184,77.9884,ok,1423612800,1829800
28,79.4359,79.5659,78.3259,78.4059,ok,1423699200,1931300
29,80.0601,80.0701,79.3501,79.3601,ok,1423785600,1774400
30,79.6232,80.1132,79.1532,79.9532,ok,1424131200,1915900
31,79.7391,79.8291,79.1691,79.3091,ok,1424217600,1508900
32,80.4881,80.5981,79.5881,79.7481,ok,1424304000,1751700
33,80.6842,81.1742,79.5042,80.2142,ok,1424390400,2950600
34,80.7556,80.9756,80.3156,80.7856,ok,1424649600,1579000
35,81.0052,81.1552,80.0452,80.3252,ok,1424736000,1592000
36,80.7823,81.6223,80.5123,80.8223,ok,1424822400,1732900
37,80.5148,81.4448,80.2148,81.0348,ok,1424908800,2156800
38,80.2741,81.0041,80.1041,80.2941,ok,1424995200,1686100
39,81.2995,81.3595,79.8495,80.1495,ok,1425254400,1975000
40,80.9963,81.4263,80.7063,81.3363,ok,1425340800,2888300
41,81.0587,81.3487,80.2087,80.9787,ok,1425427200,2728800
42,82.0752,82.2052,81.2052,81.3352,ok,1425513600,3019600
43,80.8447,82.1247,80.6647,81.7947,ok,1425600000,3735000
44,80.9517,81.1217,80.3017,80.8917,ok,1425859200,1464200
45,78.5176,80.6676,78.5076,80.4176,ok,1425945600,3230200
46,77.4476,79.4876,77.3476,78.8776,ok,1426032000,4320400
47,78.6424,78.7424,77.3024,77.4724,ok,1426118400,2164100
48,78.3481,78.6881,76.8781,78.6581,ok,1426204800,3617200
49,79.2755,79.4655,78.5055,78.6855,ok,1426464000,2246000
50,79.2131,79.2531,78.5831,78.7231,ok,1426550400,2210900
51,81.0766,81.4966,78.5166,78.9466,ok,1426636800,2664900
52,80.4167,81.5667,80.2167,81.1167,ok,1426723200,2658500
53,81.567,81.737,80.597,80.977,ok,1426809600,3558200
54,81.6205,81.8605,81.2905,81.4605,ok,1427068800,1916200
55,79.7213,81.8013,79.5913,81.8013,ok,1427155200,2948600
56,78.6513,80.3913,78.6213,79.8513,ok,1427241600,3607100
57,83.9655,84.7755,80.7355,81.3055,ok,1427328000,7157000
58,83.7604,83.9604,82.4704,83.7404,ok,1427414400,4352000
59,84.1884,84.6084,83.7084,83.9184,ok,1427673600,3333100
60,83.5375,84.3375,83.3975,83.8575,ok,1427760000,2708600
61,83.4216,83.7916,82.5416,83.4216,ok,1427846400,2736100
62,84.9,85.14,83.82,84.42,ok,1427932800,2145700
63,86.2612,86.5712,83.7012,84.0312,ok,1428278400,2563700
64,86.8922,87.2822,85.6422,86.1422,ok,1428364800,4232700
65,86.6644,87.7044,86.2044,87.0044,ok,1428451200,2651600
66,86.9833,87.1733,86.1933,86.9133,ok,1428537600,1952200
67,86.2727,87.0527,86.1127,87.0327,ok,1428624000,2158000
68,85.1793,86.5693,85.1293,86.0293,ok,1428883200,2443900
69,85.4709,85.8809,84.8809,85.2309,ok,1428969600,2087000
70,85.7898,86.1298,85.6398,85.8998,ok,1429056000,2093900
71,85.6987,85.8587,85.3087,85.5487,ok,1429142400,1934800
72,84.1771,85.1971,83.9471,85.0771,ok,1429228800,2647800
73,84.9789,85.2689,84.3289,84.6989,ok,1429488000,3294400
74,84.7329,85.7329,84.6029,85.6429,ok,1429574400,1949800
75,85.0791,85.3291,84.4591,85.0391,ok,1429660800,1896200
76,85.4982,85.9282,84.5082,85.0382,ok,1429747200,2165500
77,85.0973,85.5173,84.3373,84.9873,ok,1429833600,2249800
78,85.4253,86.0653,85.1953,85.6953,ok,1430092800,2155500
79,86.0266,86.0966,84.3466,85.2066,ok,1430179200,1976300
80,85.3251,86.0851,84.5851,85.9251,ok,1430265600,1701900
81,84.414,85.624,83.894,84.994,ok,1430352000,1804800
82,85.0609,85.3709,84.4009,85.0209,ok,1430438400,1851300
83,86.0449,86.5649,85.3649,85.4449,ok,1430697600,1990600
84,85.3251,86.4151,85.1151,86.1151,ok,1430784000,1769000
85,84.7329,85.7029,84.3229,85.3929,ok,1430870400,2386600
86,86.0904,86.4304,84.3404,84.5304,ok,1430956800,2466600
87,87.366,87.766,86.466,87.046,ok,1431043200,2411700
