,c,h,l,o,s,t,v
0,18.0084,18.5584,17.5584,17.5584,ok,1420156800,2300
1,17.6372,17.7572,17.6372,17.7172,ok,1420416000,1300
2,17.5444,17.8644,17.5444,17.8644,ok,1420502400,2500
3,17.4348,17.4348,17.4148,17.4148,ok,1420588800,500
4,17.6625,17.8125,17.4725,17.8025,ok,1420675200,3400
5,17.671,17.841,17.231,17.231,ok,1420761600,2600
6,17.3167,17.3967,17.2967,17.3367,ok,1421020800,3200
7,17.1227,17.6327,17.0627,17.0927,ok,1421107200,2900
8,17.5191,17.5491,17.3191,17.3191,ok,1421280000,300
9,17.1396,17.1396,17.1296,17.1296,ok,1421366400,800
10,16.701,17.331,16.701,16.901,ok,1421712000,12600
11,17.7131,17.7131,16.5131,16.8131,ok,1421798400,3000
12,17.3926,17.7526,16.7726,16.7726,ok,1421884800,6700
13,17.1227,17.5727,17.0727,17.1927,ok,1421971200,2900
14,17.5023,17.8123,17.3723,17.8123,ok,1422230400,1700
15,17.4601,17.4601,17.4301,17.4601,ok,1422316800,600
16,17.4601,17.4601,17.4601,17.4601,ok,1422403200,100
17,17.4432,17.4432,16.9232,16.9232,ok,1422489600,1300
18,16.8865,17.5665,16.6665,17.5665,ok,1422576000,2900
19,16.954,16.954,16.854,16.944,ok,1422835200,1200
20,17.0552,17.0552,17.0352,17.0352,ok,1422921600,500
21,16.8697,17.2697,16.6197,17.2597,ok,1423008000,8500
22,16.895,17.005,16.755,16.755,ok,1423094400,1700
23,16.8697,16.8797,16.8697,16.8797,ok,1423180800,900
24,17.0805,17.0805,16.9805,16.9805,ok,1423440000,400
25,17.089,17.319,16.859,17.209,ok,1423526400,1400
26,16.8865,17.0465,16.8165,17.0465,ok,1423612800,11100
27,16.8697,16.9697,16.8297,16.9697,ok,1423699200,900
28,16.9203,17.2003,16.8703,17.0603,ok,1423785600,900
29,16.9709,16.9709,16.9409,16.9409,ok,1424131200,400
30,17.148,17.158,16.818,16.878,ok,1424217600,4700
