,c,h,l,o,s,t,v
0,58.92,59.13,54.035,54.6,ok,1420156800,182000
1,58.945,60.98,58.11,59.49,ok,1420416000,174800
2,53.95,59.87,53.76,58.49,ok,1420502400,392100
3,60.08,60.7,55.0,55.0,ok,1420588800,295500
4,59.17,62.48,58.97,61.82,ok,1420675200,1909800
5,58.66,60.35,57.0,59.25,ok,1420761600,459400
6,58.85,59.49,57.02,58.7,ok,1421020800,296700
7,58.88,60.7,57.37,59.23,ok,1421107200,229400
8,56.95,58.99,56.76,57.9,ok,1421193600,145600
9,51.56,60.44,51.08,57.09,ok,1421280000,350200
10,48.37,51.34,46.41,51.34,ok,1421366400,696200
11,47.64,50.0,47.02,48.61,ok,1421712000,427400
12,41.61,47.63,39.93,47.3,ok,1421798400,726500
13,43.29,43.509,37.01,41.64,ok,1421884800,761100
14,39.92,43.0,39.55,43.0,ok,1421971200,299800
15,43.95,44.15,39.0,39.32,ok,1422230400,567800
16,42.05,43.46,41.85,42.61,ok,1422316800,361600
17,41.01,43.14,39.62,42.07,ok,1422403200,395700
18,39.49,41.89,37.775,41.17,ok,1422489600,255100
19,39.68,40.46,39.0,39.94,ok,1422576000,436600
20,37.61,39.99,36.01,39.77,ok,1422835200,336100
21,35.98,37.66,34.04,37.61,ok,1422921600,444500
22,33.56,35.59,33.25,35.59,ok,1423008000,299900
23,33.28,34.77,32.47,33.78,ok,1423094400,454700
24,33.27,34.52,32.92,33.41,ok,1423180800,211300
25,36.24,37.54,32.511,33.06,ok,1423440000,706500
26,38.88,39.28,33.734,36.5,ok,1423526400,468900
27,36.15,39.68,35.78,38.86,ok,1423612800,251800
28,36.28,36.78,35.31,36.23,ok,1423699200,238200
29,36.29,38.24,35.812,37.74,ok,1423785600,432600
30,36.83,36.9,35.76,36.13,ok,1424131200,186200
31,39.74,40.25,36.8,36.8,ok,1424217600,567400
32,39.95,40.82,38.69,39.3,ok,1424304000,418100
33,40.06,40.35,38.02,39.95,ok,1424390400,259900
34,36.88,40.21,36.64,39.11,ok,1424649600,280900
35,36.69,37.7,36.1,37.04,ok,1424736000,168900
36,36.96,37.56,35.57,36.61,ok,1424822400,239100
37,36.75,37.445,36.02,37.03,ok,1424908800,209100
38,36.18,37.45,35.92,36.77,ok,1424995200,169200
39,36.8,37.67,35.95,36.31,ok,1425254400,267200
40,34.69,36.91,34.63,36.8,ok,1425340800,279600
41,36.61,36.63,34.1,34.55,ok,1425427200,244100
42,37.94,38.237,35.96,36.93,ok,1425513600,358700
43,35.96,37.62,35.26,37.5,ok,1425600000,292700
44,37.08,37.2,35.22,36.15,ok,1425859200,213800
45,37.91,39.45,36.34,37.99,ok,1425945600,374700
46,38.58,39.0,37.26,37.98,ok,1426032000,305300
47,40.51,40.67,38.15,38.78,ok,1426118400,281100
48,43.24,44.25,40.38,40.6,ok,1426204800,603500
49,41.75,44.428,41.56,43.47,ok,1426464000,358800
50,42.1,42.25,40.92,41.68,ok,1426550400,230400
51,41.42,42.13,40.52,42.13,ok,1426636800,282300
52,44.25,45.14,41.41,41.74,ok,1426723200,408400
53,44.61,45.182,43.07,45.0,ok,1426809600,547500
54,43.07,44.87,42.97,44.38,ok,1427068800,321500
55,43.67,44.51,42.59,43.12,ok,1427155200,270300
56,41.04,44.9,40.47,44.58,ok,1427241600,820200
57,38.4,42.0,37.654,41.1,ok,1427328000,795000
58,38.6,40.41,38.0,38.5,ok,1427414400,475500
59,39.41,39.67,37.39,38.73,ok,1427673600,447300
60,40.52,41.15,39.05,39.27,ok,1427760000,259600
61,39.06,40.28,38.17,40.28,ok,1427846400,478900
62,38.0,39.0,37.55,38.91,ok,1427932800,275800
63,38.5,38.94,37.42,37.99,ok,1428278400,226300
64,38.85,39.3,38.02,38.5,ok,1428364800,356800
65,40.48,40.55,38.73,39.2,ok,1428451200,214300
66,39.42,40.56,39.08,40.23,ok,1428537600,236500
67,40.69,41.28,39.06,39.52,ok,1428624000,190500
68,39.21,41.087,38.53,40.56,ok,1428883200,237800
69,40.05,40.72,39.16,39.39,ok,1428969600,309100
70,41.46,42.1,40.15,40.34,ok,1429056000,323100
71,42.09,42.56,41.0,41.35,ok,1429142400,278000
72,40.33,42.01,40.03,41.68,ok,1429228800,393100
73,39.52,40.65,39.15,40.02,ok,1429488000,218200
74,39.35,39.87,39.02,39.87,ok,1429574400,217000
75,38.93,39.74,37.86,39.41,ok,1429660800,246200
76,38.49,38.96,38.15,38.93,ok,1429747200,161100
77,37.57,39.71,37.39,38.62,ok,1429833600,166900
78,35.36,37.18,33.73,36.31,ok,1430092800,510400
79,36.32,36.56,34.0,35.43,ok,1430179200,309800
80,35.04,37.32,34.96,36.66,ok,1430265600,249700
81,31.86,35.19,31.62,35.0,ok,1430352000,336600
82,33.17,33.65,31.81,32.27,ok,1430438400,267300
83,31.0,32.13,29.47,31.7,ok,1430697600,488200
84,29.44,31.03,29.05,30.8,ok,1430784000,235900
85,33.39,33.65,29.06,29.27,ok,1430870400,460600
86,33.04,34.26,32.1,33.51,ok,1430956800,214000
87,32.47,33.9,32.1,33.45,ok,1431043200,228500
88,34.85,34.98,32.025,32.6,ok,1431302400,261200
89,33.88,34.87,33.37,34.87,ok,1431388800,196200
90,35.65,36.35,33.51,33.95,ok,1431475200,234300
91,35.95,36.24,34.51,35.81,ok,1431561600,300900
92,35.1,36.24,34.74,35.96,ok,1431648000,326300
93,36.67,36.8,34.77,35.14,ok,1431907200,373000
94,38.24,38.71,36.36,36.36,ok,1431993600,351900
95,39.05,39.652,37.7,38.43,ok,1432080000,381400
96,38.83,39.53,38.48,39.3,ok,1432166400,576800
97,38.03,39.3,37.58,38.96,ok,1432252800,204100
98,37.02,38.8,36.02,37.94,ok,1432598400,295600
99,39.13,39.48,36.982,37.21,ok,1432684800,444800
