,c,h,l,o,s,t,v
0,9.9632,9.9782,9.9632,9.9782,ok,1576627200,113500
1,9.9941,9.9961,9.9781,9.9781,ok,1576713600,4600
2,10.0569,10.0779,10.0559,10.0779,ok,1576800000,16200
3,10.0928,10.0928,10.0928,10.0928,ok,1577145600,100
4,10.335,10.447,10.107,10.107,ok,1577318400,4000
5,10.125,10.125,10.125,10.125,ok,1577404800,400
6,10.158,10.96,10.081,10.96,ok,1577664000,2100
7,10.074,10.074,10.045,10.045,ok,1577750400,2000
8,10.138,10.138,10.1,10.1,ok,1577923200,1800
9,10.122,10.122,10.09,10.11,ok,1578009600,2700
10,10.085,10.47,10.085,10.1,ok,1578355200,2200
11,10.137,10.16,10.137,10.16,ok,1578441600,3400
12,10.215,10.23,10.215,10.23,ok,1578528000,1400
13,10.155,10.27,10.155,10.27,ok,1578614400,800
14,10.255,10.26,10.235,10.235,ok,1578873600,6500
15,10.265,10.265,10.265,10.265,ok,1578960000,200
16,10.25,10.26,10.25,10.26,ok,1579046400,2000
17,10.325,10.325,10.29,10.29,ok,1579132800,10400
18,10.375,10.38,10.355,10.37,ok,1579219200,1100
19,10.355,10.39,10.355,10.39,ok,1579564800,2600
20,10.38,10.38,10.38,10.38,ok,1579651200,99100
21,10.39,10.45,10.33,10.45,ok,1579737600,7100
22,10.18,10.19,10.15,10.18,ok,1580083200,34200
23,10.228,10.24,10.15,10.15,ok,1580169600,53200
24,10.3,10.32,10.28,10.28,ok,1580256000,15500
25,10.259,10.259,10.16,10.16,ok,1580342400,310900
26,10.096,10.15,10.078,10.14,ok,1580428800,120300
27,10.15,10.19,10.143,10.19,ok,1580688000,1600
28,10.325,10.35,10.325,10.33,ok,1580774400,800
29,10.405,10.405,10.385,10.385,ok,1580860800,400
30,10.434,10.434,10.36,10.36,ok,1580947200,800
31,10.419,10.419,10.419,10.419,ok,1581033600,100
32,10.456,10.456,10.42,10.42,ok,1581292800,400
33,10.507,10.61,10.5,10.514,ok,1581379200,7600
34,10.522,10.522,10.522,10.522,ok,1581552000,100
35,10.59,10.59,10.512,10.512,ok,1581638400,26200
36,10.52,10.55,10.5,10.54,ok,1581984000,4400
37,10.527,10.527,10.495,10.495,ok,1582156800,300
38,10.425,10.425,10.425,10.425,ok,1582243200,100
39,10.11,10.24,10.11,10.24,ok,1582502400,11500
40,9.792,10.048,9.75,10.02,ok,1582588800,67100
41,9.783,9.797,9.78,9.797,ok,1582675200,1600
42,9.181,9.181,9.0,9.0,ok,1582848000,600
43,9.666,9.666,9.455,9.48,ok,1583107200,300
44,9.418,9.621,9.36,9.621,ok,1583193600,1500
45,9.832,9.832,9.61,9.61,ok,1583280000,1800
46,9.515,9.61,9.515,9.61,ok,1583366400,100
47,9.387,9.387,9.154,9.31,ok,1583452800,1200
48,8.758,8.83,8.6,8.6,ok,1583712000,500
49,9.101,9.101,8.79,9.0,ok,1583798400,3300
50,8.707,8.79,8.707,8.79,ok,1583884800,1400
51,7.934,8.195,7.934,8.05,ok,1583971200,4900
52,8.49,8.49,8.339,8.339,ok,1584057600,200
53,7.601,8.01,7.601,8.01,ok,1584316800,1800
54,8.022,8.022,7.75,7.75,ok,1584403200,100
55,7.642,7.642,7.642,7.642,ok,1584489600,100
56,7.688,7.74,7.2,7.585,ok,1584576000,22100
57,7.301,7.301,7.301,7.301,ok,1584921600,100
58,7.785,7.84,7.42,7.49,ok,1585008000,42600
59,7.863,8.076,7.81,7.99,ok,1585094400,12100
60,8.312,8.44,8.06,8.39,ok,1585180800,696300
61,8.03,8.239,8.03,8.149,ok,1585267200,247800
62,8.37,8.37,7.38,7.85,ok,1585526400,141600
63,8.32,8.37,8.32,8.35,ok,1585612800,32900
64,7.89,8.0,7.83,8.0,ok,1585699200,27100
65,8.027,8.027,7.932,7.932,ok,1585785600,600
66,7.94,8.085,7.89,8.06,ok,1585872000,7000
67,8.483,8.483,8.206,8.206,ok,1586131200,1100
68,8.511,8.601,8.51,8.601,ok,1586217600,80600
69,8.729,8.729,8.59,8.59,ok,1586304000,144000
70,8.869,8.95,8.869,8.92,ok,1586390400,179600
71,8.81,8.81,8.72,8.72,ok,1586736000,52000
72,9.106,9.106,9.03,9.03,ok,1586822400,73400
73,8.936,9.01,8.935,8.935,ok,1586908800,268200
74,9.044,9.05,8.91,8.91,ok,1586995200,15200
75,9.201,9.201,9.1,9.1,ok,1587081600,83300
76,9.064,9.21,9.05,9.2,ok,1587340800,20300
77,8.762,8.875,8.762,8.87,ok,1587427200,556400
78,8.984,8.984,8.92,8.93,ok,1587513600,1980000
79,8.983,9.06,8.983,9.06,ok,1587600000,454100
80,9.088,9.09,8.95,8.95,ok,1587686400,105600
81,9.193,9.193,9.187,9.187,ok,1587945600,3400
82,9.114,9.24,9.114,9.2,ok,1588032000,164000
83,9.329,9.35,9.329,9.33,ok,1588118400,119000
84,9.281,9.33,9.242,9.33,ok,1588204800,3400
85,9.016,9.06,9.01,9.06,ok,1588291200,45600
86,9.09,9.09,8.86,8.86,ok,1588550400,21200
87,9.186,9.28,9.13,9.13,ok,1588636800,113000
88,9.153,9.33,9.153,9.195,ok,1588723200,27500
89,9.208,9.28,9.208,9.245,ok,1588809600,40200
90,9.36,9.36,9.31,9.33,ok,1588896000,27000
91,9.407,9.407,9.39,9.39,ok,1589155200,3000
92,9.245,9.42,9.245,9.41,ok,1589241600,10400
93,9.079,9.079,9.079,9.079,ok,1589328000,100
94,9.157,9.54,8.96,9.54,ok,1589414400,3300
95,9.204,9.204,9.03,9.07,ok,1589500800,112400
96,9.452,9.452,9.415,9.415,ok,1589760000,6000
97,9.384,9.49,9.384,9.41,ok,1589846400,22600
98,9.508,9.54,9.47,9.53,ok,1589932800,10000
99,9.435,9.435,9.435,9.435,ok,1590019200,100
100,9.519,9.61,9.51,9.54,ok,1590451200,56400
101,9.618,9.618,9.45,9.45,ok,1590537600,16600
102,9.625,9.7,9.625,9.7,ok,1590624000,6300
103,9.718,9.718,9.63,9.63,ok,1590710400,10800
