,c,h,l,o,s,t,v
0,9.6464,9.6464,9.6364,9.6464,ok,1538438400,8900
1,9.6752,9.6952,9.6652,9.6752,ok,1538524800,6100
2,9.6752,9.6852,9.6052,9.6752,ok,1538611200,15600
3,9.6849,9.6949,9.6449,9.6849,ok,1538697600,6200
4,9.6752,9.6952,9.6552,9.6752,ok,1538956800,8300
5,9.656,9.696,9.646,9.686,ok,1539043200,11900
6,9.6656,9.7256,9.6056,9.6856,ok,1539129600,1222000
7,9.6752,9.6852,9.5952,9.6652,ok,1539216000,14900
8,9.6656,9.6856,9.6456,9.6456,ok,1539302400,14300
9,9.6473,9.6873,9.5873,9.6873,ok,1539561600,14700
10,9.6473,9.6873,9.6373,9.6873,ok,1539648000,112400
11,9.6762,9.7362,9.6662,9.6862,ok,1539734400,386800
12,9.6858,9.6958,9.6758,9.6758,ok,1539820800,14300
13,9.6569,9.7069,9.6569,9.6969,ok,1539907200,12100
14,9.7148,9.7148,9.6848,9.7048,ok,1540166400,61700
15,9.628,9.698,9.618,9.688,ok,1540252800,15900
16,9.6569,9.6969,8.9869,8.9869,ok,1540339200,12500
17,9.6858,9.6958,9.5958,9.6858,ok,1540425600,154600
18,9.6666,9.6966,9.6066,9.6766,ok,1540512000,63300
19,9.6666,9.6766,9.5766,9.6566,ok,1540771200,9000
20,9.6858,10.3558,9.6458,10.3558,ok,1540857600,13400
21,9.6569,9.6969,9.6569,9.6869,ok,1540944000,9100
22,9.6666,9.6966,9.6566,9.6766,ok,1541030400,12500
23,9.7051,9.7051,9.6751,9.6951,ok,1541116800,4100
24,9.6858,9.7158,8.9658,8.9658,ok,1541376000,12300
25,9.6955,9.7055,9.6755,9.6955,ok,1541462400,12700
26,9.7051,9.7151,9.6551,9.6751,ok,1541548800,11500
27,9.6762,9.7162,9.6562,9.6862,ok,1541635200,32900
28,9.7051,9.7051,9.6751,9.6751,ok,1541721600,11200
29,9.6955,9.6955,9.6555,9.6855,ok,1541980800,21400
30,9.6955,9.7155,9.6855,9.6855,ok,1542067200,1299400
31,9.6858,9.6858,9.6658,9.6858,ok,1542153600,8700
32,9.6791,9.6791,9.6491,9.6591,ok,1542240000,155400
33,9.6887,9.6887,8.9787,8.9787,ok,1542326400,89100
34,9.6598,9.7098,9.5498,9.5498,ok,1542585600,65100
35,9.6791,9.6791,9.6491,9.6691,ok,1542672000,20600
36,9.6887,9.6887,9.6587,9.6887,ok,1542758400,10100
37,9.6501,9.6701,9.6401,9.6401,ok,1542931200,1100
38,9.6598,9.6598,9.6498,9.6598,ok,1543190400,5000
39,9.6598,9.6798,9.6398,9.6498,ok,1543276800,25100
40,9.6694,9.6694,9.6494,9.6694,ok,1543363200,62000
41,9.6598,9.6798,9.6298,9.6498,ok,1543449600,32800
42,9.6405,9.6805,9.6405,9.6805,ok,1543536000,14600
43,9.6405,9.6805,9.6405,9.6605,ok,1543795200,19800
44,9.6212,9.6512,9.6212,9.6512,ok,1543881600,35600
45,9.6598,9.6598,9.0598,9.0598,ok,1544054400,55200
46,9.6405,9.6505,9.5805,9.5805,ok,1544140800,51200
47,9.6308,9.6508,9.6108,9.6208,ok,1544400000,16100
48,9.6212,9.6312,8.9712,8.9712,ok,1544486400,21500
49,9.6308,9.6508,9.6108,9.6208,ok,1544572800,26200
50,9.6212,9.6412,9.6112,9.6112,ok,1544659200,24000
51,9.6019,9.6219,9.5919,9.6119,ok,1544745600,24100
52,9.6058,10.2858,9.5858,10.2858,ok,1545004800,13500
53,9.6058,9.6158,9.5758,9.6058,ok,1545091200,23300
54,9.5864,9.6064,9.5764,9.5964,ok,1545177600,19400
55,9.5767,9.5767,9.5467,9.5667,ok,1545264000,26900
56,9.5961,9.6161,9.5761,9.5861,ok,1545350400,15400
57,9.5767,9.6067,9.5567,9.5767,ok,1545609600,25000
58,9.5961,9.6161,9.5761,9.5961,ok,1545782400,35500
59,9.5961,9.6061,9.5661,9.5661,ok,1545868800,32200
60,9.5961,9.6261,9.5661,9.5861,ok,1545955200,36100
61,9.5961,9.6261,9.5761,9.5861,ok,1546214400,24700
62,9.5961,9.6161,9.5461,9.6061,ok,1546387200,42200
63,9.6058,9.6258,9.5758,9.5958,ok,1546473600,6400
64,9.6058,9.6358,9.5858,9.5958,ok,1546560000,9100
65,9.6155,9.6355,9.5755,9.5955,ok,1546819200,35500
66,9.6155,9.6455,9.2455,9.2455,ok,1546905600,25100
67,9.6252,9.6652,8.9652,9.6152,ok,1546992000,22700
68,9.6445,9.6645,9.6145,9.6245,ok,1547078400,11100
69,9.6348,9.6448,9.1948,9.1948,ok,1547164800,22800
70,9.6542,9.6742,9.6242,9.6542,ok,1547424000,10000
71,9.6542,9.6642,9.6242,9.6342,ok,1547510400,12400
72,9.6445,9.6845,9.6145,9.6345,ok,1547596800,10300
73,9.6542,9.6742,9.6042,9.6342,ok,1547683200,38800
74,9.6445,9.6745,9.6345,9.6445,ok,1547769600,8500
