,c,h,l,o,s,t,v
0,42.6937,43.1437,42.2737,42.8837,ok,1420156800,1208600
1,40.7306,42.5106,40.6106,42.5106,ok,1420416000,1472700
2,40.541,41.151,39.991,40.981,ok,1420502400,1440300
3,40.5125,40.7125,39.8625,40.6525,ok,1420588800,1502200
4,41.3755,41.3955,40.3155,40.7955,ok,1420675200,1085700
5,40.9393,41.5693,40.7293,41.5193,ok,1420761600,835500
6,40.9962,41.1762,40.3962,40.7662,ok,1421020800,1126300
7,41.0151,41.5751,40.5551,41.2551,ok,1421107200,775300
8,41.2332,41.2932,40.1832,40.6832,ok,1421193600,1074600
9,40.7686,41.8086,40.7686,41.5886,ok,1421280000,970100
10,41.091,41.281,40.581,40.581,ok,1421366400,924300
11,41.3186,41.5386,40.7586,41.1286,ok,1421712000,998900
12,41.6126,41.7126,40.9926,41.0926,ok,1421798400,855600
13,42.0867,42.2567,41.5867,41.8767,ok,1421884800,1133300
14,41.366,42.196,41.296,41.896,ok,1421971200,798500
15,42.2764,42.3064,41.1664,41.4664,ok,1422230400,1233000
16,41.0625,41.6825,40.8926,41.4826,ok,1422316800,1082000
17,40.797,41.327,40.727,41.327,ok,1422403200,1032300
18,41.385,41.545,40.575,40.745,ok,1422489600,1045000
19,41.1005,41.4305,40.8505,41.1905,ok,1422576000,1424800
20,42.3997,42.4697,40.9597,41.0997,ok,1422835200,2092100
21,46.4301,46.7401,41.9101,43.7901,ok,1422921600,4260400
22,45.1593,46.6493,44.9393,46.0093,ok,1423008000,2820300
23,46.3163,46.3663,44.8863,45.2063,ok,1423094400,1411200
24,46.3637,46.6737,45.9337,46.3437,ok,1423180800,943400
25,46.6387,47.1787,45.9987,45.9987,ok,1423440000,1098000
26,45.9654,46.7954,45.6654,46.7954,ok,1423526400,987700
27,46.3932,46.5432,45.3532,45.7632,ok,1423612800,646400
28,46.4027,47.0027,46.0327,46.8627,ok,1423699200,747400
29,47.3249,47.5449,46.4649,46.5349,ok,1423785600,1231100
30,47.3914,47.5114,46.7914,47.1614,ok,1424131200,1107500
31,48.0284,48.4584,47.0784,47.0784,ok,1424217600,1181700
32,47.9998,48.2798,47.4698,47.6198,ok,1424304000,1112900
33,47.9713,48.0013,46.9013,47.5013,ok,1424390400,1056900
34,47.3914,48.1314,47.2014,47.7714,ok,1424649600,1001500
35,47.6101,48.0501,47.4301,47.4701,ok,1424736000,795800
36,47.9428,48.1628,47.4028,47.6428,ok,1424822400,868300
37,47.4865,48.3165,47.4065,47.8665,ok,1424908800,853600
38,47.2868,47.7268,47.0768,47.3168,ok,1424995200,794500
39,47.477,47.747,46.687,46.997,ok,1425254400,998000
40,47.515,47.835,47.325,47.555,ok,1425340800,698700
41,47.496,47.576,47.016,47.396,ok,1425427200,634000
42,47.0777,47.4577,46.7577,47.4577,ok,1425513600,706900
43,46.3837,47.1037,46.3337,46.6937,ok,1425600000,1000600
44,46.764,47.264,46.554,46.554,ok,1425859200,1058500
45,45.6422,46.7822,45.5322,46.3822,ok,1425945600,1872900
46,45.0147,45.8447,44.7147,45.8447,ok,1426032000,1645800
47,45.0242,45.4442,44.6542,45.3542,ok,1426118400,1259500
48,44.682,44.972,44.292,44.822,ok,1426204800,1248500
49,44.8721,45.1221,44.3621,44.7321,ok,1426464000,1031000
50,44.701,45.101,44.571,44.571,ok,1426550400,896900
51,45.5471,45.8371,44.1671,44.3871,ok,1426636800,912700
52,44.9862,45.3162,44.4162,45.3162,ok,1426723200,766300
53,45.2334,45.4334,44.9734,45.2434,ok,1426809600,1843300
54,44.9387,45.5387,44.9287,45.2987,ok,1427068800,887200
55,44.739,45.059,44.379,44.889,ok,1427155200,924600
56,44.6059,45.0259,44.3159,44.9559,ok,1427241600,768100
57,44.4063,44.9063,44.3563,44.5863,ok,1427328000,563600
58,44.5204,44.6204,43.8704,44.2504,ok,1427414400,594300
59,45.6992,46.0192,44.7292,44.7992,ok,1427673600,1049400
60,45.2904,45.7604,45.1104,45.5204,ok,1427760000,883500
61,45.1383,45.5583,44.8683,45.3183,ok,1427846400,835800
62,45.2524,46.0824,44.9824,44.9824,ok,1427932800,868300
63,44.6439,45.1239,43.8639,44.0739,ok,1428278400,2037700
64,44.6059,44.7159,44.1259,44.5659,ok,1428364800,1108600
65,44.72,45.32,44.55,44.77,ok,1428451200,882800
66,44.8246,45.1446,44.6546,44.7146,ok,1428537600,983800
67,45.3665,45.5665,45.1465,45.1665,ok,1428624000,674700
68,45.0147,45.6247,44.8947,45.4847,ok,1428883200,437600
69,44.9672,45.3172,44.7572,45.0872,ok,1428969600,667400
70,47.0016,47.3316,44.9716,45.1216,ok,1429056000,1673700
71,45.8798,46.4198,45.4298,45.9398,ok,1429142400,1557400
72,45.7182,45.8682,45.0082,45.4682,ok,1429228800,805500
73,46.3362,46.4162,45.4762,45.8262,ok,1429488000,1265100
74,45.9369,46.6869,45.5069,46.5769,ok,1429574400,916600
75,45.7848,46.1448,45.5948,45.9948,ok,1429660800,1039900
76,46.4598,46.7998,46.0398,46.1598,ok,1429747200,1101400
77,45.9274,46.5274,45.7374,46.0074,ok,1429833600,1323500
78,46.0415,46.5914,45.8414,45.9814,ok,1430092800,2049100
79,47.534,47.954,45.154,46.574,ok,1430179200,4233400
80,49.0361,49.2961,47.2361,47.3561,ok,1430265600,2411000
81,48.9695,49.3595,48.5395,48.9595,ok,1430352000,1630000
82,49.2072,49.8672,48.7872,49.3472,ok,1430438400,1226600
83,49.0076,49.3476,48.8476,49.1076,ok,1430697600,877500
84,48.5512,49.4512,48.3912,48.9312,ok,1430784000,927400
85,48.7034,48.9333,48.3334,48.9133,ok,1430870400,737300
86,48.3801,48.5101,47.8201,48.5101,ok,1430956800,1215600
87,48.4467,48.8967,48.3567,48.7967,ok,1431043200,1407200
88,48.7604,48.9404,48.4104,48.4704,ok,1431302400,942000
89,48.4847,48.8547,48.2747,48.6247,ok,1431388800,648400
90,49.0088,49.2888,48.4888,48.6088,ok,1431475200,710600
91,49.4948,49.7248,48.8648,49.2048,ok,1431561600,572000
92,48.7325,49.3625,48.3125,49.3625,ok,1431648000,1349800
93,48.5895,48.7995,48.0895,48.5995,ok,1431907200,804900
94,48.7515,48.7915,47.9315,48.5315,ok,1431993600,969700
95,48.742,48.922,48.302,48.732,ok,1432080000,820500
96,49.4853,49.6853,48.8053,48.8053,ok,1432166400,909300
97,49.4186,49.9686,49.2386,49.5586,ok,1432252800,626700
98,49.0374,49.1274,48.6074,49.0874,ok,1432598400,785600
99,49.39,49.59,48.99,49.16,ok,1432684800,610300
100,49.1422,49.2422,48.6522,49.1822,ok,1432771200,758900
101,48.3894,49.0794,48.2794,49.0594,ok,1432857600,994700
102,47.9797,48.6497,47.4897,48.6197,ok,1433116800,968000
103,48.2179,48.4579,47.7079,47.9379,ok,1433203200,960100
104,48.4942,48.8042,48.1042,48.3642,ok,1433289600,515300
105,48.4847,48.7247,47.8747,48.1947,ok,1433376000,621400
106,48.6848,48.7048,47.7648,48.2548,ok,1433462400,458400
107,48.6181,48.8481,48.5981,48.5981,ok,1433721600,542500
108,48.7801,49.5001,48.4401,48.7501,ok,1433808000,1063100
109,49.1231,49.6132,48.9132,49.0732,ok,1433894400,625600
110,48.9897,49.3898,48.7497,49.1497,ok,1433980800,783100
111,48.7229,49.1629,48.5329,48.8829,ok,1434067200,650000
112,48.7325,48.9325,47.9925,48.3825,ok,1434326400,801300
113,48.9326,48.9826,48.5826,48.7426,ok,1434412800,715900
114,49.0279,49.6179,48.8579,49.2279,ok,1434499200,699800
115,49.2661,49.5561,48.7361,49.0061,ok,1434585600,586200
116,50.2,51.2,49.86,50.15,ok,1434672000,1924900
117,52.3822,52.4522,51.2022,51.2122,ok,1434931200,2041500
118,52.4774,53.4774,52.3774,52.3874,ok,1435017600,959500
119,52.1725,52.6025,51.9125,52.2525,ok,1435104000,1017500
120,51.8199,52.2799,51.6699,52.0399,ok,1435190400,1030300
121,53.6781,53.9681,51.6281,51.8881,ok,1435276800,2577300
122,52.992,54.072,52.802,52.892,ok,1435536000,1274900
123,54.1069,54.5869,52.7969,53.2869,ok,1435622400,1927100
124,52.649,54.339,52.259,54.319,ok,1435708800,2019200
125,52.6299,53.3599,52.3799,52.8699,ok,1435795200,954600
126,51.9533,52.7233,51.7433,52.2133,ok,1436140800,1299000
127,51.696,51.796,50.916,51.796,ok,1436227200,1341200
128,51.0766,51.4766,50.7966,51.3866,ok,1436313600,1095500
129,50.9242,51.9842,50.9242,51.7142,ok,1436400000,760600
130,51.4292,51.8892,50.9792,51.8392,ok,1436486400,740000
131,52.0772,52.4272,51.6172,52.1372,ok,1436745600,814400
132,52.02,52.27,51.6,52.13,ok,1436832000,691400
133,51.9915,52.8315,51.8714,52.3514,ok,1436918400,1021400
134,52.3536,52.5936,52.0636,52.4336,ok,1437004800,1152000
135,51.6484,52.3584,51.2584,52.3584,ok,1437091200,996000
136,51.4673,51.8573,51.1573,51.6773,ok,1437350400,505600
137,50.9623,51.8323,50.8123,51.2523,ok,1437436800,844300
138,51.2101,51.4901,50.4001,50.7401,ok,1437523200,757100
139,50.6955,51.3155,49.9155,51.0555,ok,1437609600,1274300
140,49.8378,50.7178,49.7978,50.7178,ok,1437696000,1296700
141,49.3233,50.0133,49.0933,49.7733,ok,1437955200,1395100
142,49.7807,51.7307,47.8007,51.0407,ok,1438041600,3723400
143,52.3059,52.4359,49.7359,49.7359,ok,1438128000,2345600
144,52.2964,52.4564,51.3864,51.9364,ok,1438214400,1041600
145,52.4203,52.5203,51.9703,52.4603,ok,1438300800,868300
146,52.0296,52.4696,51.4696,52.3996,ok,1438560000,831400
147,51.9057,52.5857,51.6357,52.1057,ok,1438646400,554600
148,53.1159,53.3759,52.2259,52.2259,ok,1438732800,929500
149,53.5924,53.7024,52.5624,53.0924,ok,1438819200,1015900
150,54.2499,54.4699,53.3499,53.4999,ok,1438905600,1281100
