,c,h,l,o,s,t,v
0,6.2119,6.2919,6.1719,6.2619,ok,1420156800,54900
1,6.0919,6.2519,6.0619,6.2519,ok,1420416000,35200
2,6.0603,6.1503,6.0003,6.1403,ok,1420502400,48700
3,6.1235,6.1535,6.0635,6.0635,ok,1420588800,42800
4,6.275,6.285,6.105,6.105,ok,1420675200,66800
5,6.2497,6.2897,6.1797,6.2897,ok,1420761600,28500
6,6.2119,6.3019,6.1919,6.2819,ok,1421020800,49600
7,6.2182,6.3582,6.1682,6.2482,ok,1421107200,47700
8,6.1614,6.1913,6.0913,6.1614,ok,1421193600,45300
9,6.0982,6.2882,6.0982,6.2482,ok,1421280000,56600
10,6.2182,6.2182,6.0482,6.0682,ok,1421366400,30400
11,6.256,6.276,6.166,6.216,ok,1421712000,56600
12,6.3158,6.3358,6.2058,6.2358,ok,1421798400,45300
13,6.3857,6.3857,6.2657,6.3057,ok,1421884800,56100
14,6.3475,6.4075,6.3475,6.3975,ok,1421971200,32100
15,6.3475,6.3575,6.3075,6.3375,ok,1422230400,58300
16,6.3094,6.3394,6.2494,6.2894,ok,1422316800,48200
17,6.2586,6.3986,6.2486,6.3886,ok,1422403200,39700
18,6.2967,6.3067,6.1667,6.2267,ok,1422489600,33100
19,6.2332,6.3432,6.2232,6.3132,ok,1422576000,32700
20,6.2904,6.2904,6.1504,6.2504,ok,1422835200,29600
21,6.3412,6.3612,6.2312,6.3012,ok,1422921600,45800
22,6.3221,6.3721,6.3121,6.3521,ok,1423008000,25100
23,6.3857,6.4057,6.3257,6.3257,ok,1423094400,22800
24,6.3285,6.4685,6.3185,6.4185,ok,1423180800,37700
25,6.3412,6.3712,6.3012,6.3412,ok,1423440000,31900
26,6.3539,6.4039,6.3439,6.3539,ok,1423526400,41700
27,6.3285,6.3985,6.3185,6.3685,ok,1423612800,54900
28,6.4174,6.4174,6.3074,6.3174,ok,1423699200,28600
29,6.5,6.51,6.38,6.38,ok,1423785600,22300
30,6.5064,6.5064,6.4064,6.4964,ok,1424131200,48500
31,6.5281,6.5581,6.4481,6.5081,ok,1424217600,44800
32,6.5345,6.5545,6.5045,6.5145,ok,1424304000,34900
33,6.5793,6.5793,6.4993,6.5093,ok,1424390400,44400
34,6.5985,6.5985,6.5385,6.5685,ok,1424649600,33100
35,6.6368,6.6368,6.5768,6.5768,ok,1424736000,55100
36,6.6816,6.6816,6.6016,6.6116,ok,1424822400,45200
37,6.6624,6.7024,6.6224,6.6624,ok,1424908800,45100
38,6.6368,6.6868,6.6268,6.6868,ok,1424995200,26300
39,6.6688,6.6888,6.6088,6.6088,ok,1425254400,49200
40,6.6112,6.6912,6.6012,6.6912,ok,1425340800,53600
41,6.5921,6.6021,6.5421,6.6021,ok,1425427200,31200
42,6.5985,6.6285,6.5985,6.6085,ok,1425513600,44300
43,6.5217,6.6517,6.5017,6.6317,ok,1425600000,82500
44,6.5473,6.5673,6.5173,6.5473,ok,1425859200,47800
45,6.4258,6.5758,6.4158,6.5458,ok,1425945600,80800
46,6.445,6.465,6.405,6.405,ok,1426032000,48200
47,6.4962,6.5362,6.4262,6.4362,ok,1426118400,30900
48,6.477,6.517,6.407,6.507,ok,1426204800,47900
49,6.5409,6.5809,6.4509,6.4509,ok,1426464000,72400
50,6.5537,6.5637,6.4837,6.5137,ok,1426550400,53400
51,6.6432,6.7132,6.4432,6.4432,ok,1426636800,50100
52,6.624,6.704,6.604,6.624,ok,1426723200,32900
53,6.6781,6.7381,6.5881,6.6381,ok,1426809600,64400
54,6.6716,6.7116,6.6516,6.6816,ok,1427068800,47900
55,6.633,6.703,6.633,6.693,ok,1427155200,22700
56,6.6266,6.6866,6.5966,6.6466,ok,1427241600,81000
57,6.6202,6.6402,6.5702,6.6102,ok,1427328000,33700
58,6.6137,6.6237,6.5937,6.6137,ok,1427414400,18500
59,6.6588,6.6888,6.6188,6.6188,ok,1427673600,51500
60,6.633,6.663,6.613,6.633,ok,1427760000,22400
61,6.6073,6.6473,6.5673,6.6473,ok,1427846400,33400
62,6.6459,6.6559,6.5759,6.5759,ok,1427932800,42800
63,6.7102,6.7302,6.6002,6.6002,ok,1428278400,44300
64,6.6974,6.7874,6.6874,6.6874,ok,1428364800,55400
65,6.7167,6.7567,6.7067,6.7167,ok,1428451200,36200
66,6.7617,6.7717,6.7017,6.7217,ok,1428537600,28300
67,6.7874,6.7874,6.7474,6.7574,ok,1428624000,18900
68,6.781,6.811,6.771,6.791,ok,1428883200,17500
69,6.781,6.821,6.771,6.771,ok,1428969600,93400
70,6.781,6.811,6.771,6.811,ok,1429056000,258400
71,6.8003,6.8103,6.7503,6.7503,ok,1429142400,100400
72,6.7295,6.7995,6.7095,6.7695,ok,1429228800,58700
73,6.7681,6.7881,6.7581,6.7581,ok,1429488000,51800
74,6.7837,6.8037,6.7537,6.7837,ok,1429574400,54500
75,6.7966,6.7966,6.7166,6.7766,ok,1429660800,34500
76,6.8225,6.8325,6.7425,6.7725,ok,1429747200,25100
77,6.8355,6.8555,6.8055,6.8155,ok,1429833600,45700
78,6.7707,6.8907,6.7607,6.8807,ok,1430092800,94900
79,6.7707,6.7807,6.6807,6.7607,ok,1430179200,65100
80,6.7448,6.7848,6.7148,6.7448,ok,1430265600,58900
81,6.6995,6.7395,6.6695,6.7195,ok,1430352000,45600
82,6.7448,6.7448,6.6648,6.7148,ok,1430438400,31200
83,6.7254,6.8054,6.7254,6.7354,ok,1430697600,25400
84,6.6672,6.7672,6.6472,6.7572,ok,1430784000,34800
85,6.6283,6.6983,6.5783,6.6983,ok,1430870400,42200
86,6.6413,6.6613,6.6113,6.6213,ok,1430956800,39700
87,6.6995,6.7395,6.6595,6.6595,ok,1431043200,35500
88,6.6801,6.7301,6.6601,6.7201,ok,1431302400,35600
89,6.6801,6.7001,6.6101,6.6601,ok,1431388800,41500
90,6.6801,6.7201,6.6501,6.7001,ok,1431475200,45900
91,6.7384,6.7384,6.6784,6.6884,ok,1431561600,29000
92,6.7254,6.7754,6.7154,6.7754,ok,1431648000,35700
93,6.7513,6.7713,6.7013,6.7513,ok,1431907200,73500
94,6.8002,6.8102,6.7002,6.7502,ok,1431993600,88500
95,6.8392,7.0092,6.6592,6.7992,ok,1432080000,106100
96,6.8718,6.8818,6.8018,6.8218,ok,1432166400,53700
97,6.8262,6.9062,6.8262,6.8962,ok,1432252800,29600
98,6.7611,6.8711,6.7411,6.8711,ok,1432598400,30300
99,6.8067,6.8167,6.7567,6.7567,ok,1432684800,50500
100,6.7676,6.8276,6.7476,6.8276,ok,1432771200,63100
101,6.709,6.839,6.699,6.839,ok,1432857600,97400
102,6.7155,6.7655,6.6955,6.7555,ok,1433116800,81100
103,6.7285,6.7485,6.6785,6.6985,ok,1433203200,28700
104,6.7546,6.8046,6.7246,6.7446,ok,1433289600,43200
105,6.6894,6.7794,6.6794,6.7794,ok,1433376000,33900
106,6.6504,6.7204,6.6404,6.6904,ok,1433462400,27400
107,6.6243,6.6743,6.6043,6.6543,ok,1433721600,22200
108,6.5917,6.6317,6.5817,6.6317,ok,1433808000,54000
109,6.6894,6.6994,6.5794,6.5794,ok,1433894400,40500
110,6.6829,6.7229,6.6729,6.7229,ok,1433980800,28600
111,6.6504,6.6804,6.6304,6.6804,ok,1434067200,34800
112,6.6373,6.6373,6.5573,6.5773,ok,1434326400,25000
113,6.6504,6.6504,6.6004,6.6204,ok,1434412800,31000
