,c,h,l,o,s,t,v
0,7.1607,7.1607,6.6107,6.7707,ok,1420156800,647200
1,7.7145,7.7245,7.2045,7.2545,ok,1420416000,1423300
2,8.2197,8.2697,7.6397,7.7497,ok,1420502400,1771700
3,7.8894,8.3094,7.7294,7.9894,ok,1420588800,1217400
4,7.5493,8.1393,7.5293,7.9593,ok,1420675200,813300
5,7.7534,7.8134,7.3334,7.4734,ok,1420761600,856800
6,7.9866,8.1166,7.6666,7.8766,ok,1421020800,1133400
7,7.423,8.123,7.233,8.063,ok,1421107200,1353200
8,7.3064,7.5664,7.0964,7.4864,ok,1421193600,1001300
9,7.6368,7.8768,7.3968,7.5468,ok,1421280000,1317300
10,7.9477,8.1877,7.6677,7.7977,ok,1421366400,1212200
11,8.142,8.302,7.982,8.022,ok,1421712000,1118600
12,7.6659,8.3059,7.5259,8.2659,ok,1421798400,1313600
13,6.8401,7.5701,6.5901,7.5301,ok,1421884800,1684900
14,5.8685,6.6485,5.8485,6.6485,ok,1421971200,1945100
15,5.5964,5.8664,5.4064,5.8664,ok,1422230400,1507300
16,5.6353,5.7653,5.4753,5.6553,ok,1422316800,1692000
17,5.4021,5.5921,5.2521,5.5421,ok,1422403200,1231500
18,5.0135,5.3535,4.9635,5.2535,ok,1422489600,1280400
19,5.1495,5.1995,4.9695,4.9895,ok,1422576000,970600
20,5.2855,5.3755,5.0655,5.0655,ok,1422835200,1610400
21,5.3147,5.4347,5.1947,5.2347,ok,1422921600,1206000
22,5.5964,5.6164,5.3164,5.3564,ok,1423008000,1773700
23,5.6061,5.6761,5.4761,5.5661,ok,1423094400,926700
24,5.4215,5.5715,5.3015,5.4215,ok,1423180800,1025700
25,5.577,5.657,5.457,5.497,ok,1423440000,609400
26,5.4507,5.6007,5.3807,5.4807,ok,1423526400,775900
27,5.4507,5.5207,5.3507,5.3707,ok,1423612800,509600
28,5.5867,5.6267,5.5067,5.5467,ok,1423699200,498800
29,5.6158,5.7558,5.5758,5.6458,ok,1423785600,493800
30,5.5673,5.5973,5.4573,5.5373,ok,1424131200,806700
31,5.6936,5.7636,5.5236,5.5536,ok,1424217600,1235800
32,5.6158,5.7658,5.5658,5.6458,ok,1424304000,671400
33,5.5867,5.7367,5.5467,5.5867,ok,1424390400,1518300
34,5.6839,5.7339,5.5239,5.5639,ok,1424649600,568900
35,5.6741,5.7541,5.5141,5.6341,ok,1424736000,371400
36,5.8976,5.9376,5.6576,5.7176,ok,1424822400,531000
37,6.0045,6.0245,5.8945,5.9745,ok,1424908800,591400
38,5.8782,6.0282,5.8682,6.0182,ok,1424995200,623000
39,5.7713,5.9813,5.7313,5.9313,ok,1425254400,491100
40,5.7422,5.9422,5.7322,5.7622,ok,1425340800,379000
41,5.8102,5.8602,5.6402,5.7202,ok,1425427200,350800
42,5.7713,5.9313,5.6913,5.7613,ok,1425513600,397300
43,5.5964,5.6364,5.5264,5.6064,ok,1425600000,911600
44,5.4604,5.6904,5.4304,5.6604,ok,1425859200,904800
45,5.3147,5.4847,5.1747,5.4247,ok,1425945600,830700
46,5.5187,5.5487,5.0887,5.2687,ok,1426032000,734500
47,5.6158,5.7558,5.4658,5.5958,ok,1426118400,657000
48,5.7227,5.7527,5.4627,5.6127,ok,1426204800,515100
49,5.5673,5.7273,5.5373,5.7273,ok,1426464000,734300
50,5.3535,5.6635,5.3535,5.4535,ok,1426550400,778600
51,5.7519,5.7519,5.3019,5.3319,ok,1426636800,845000
52,5.8685,5.9085,5.6185,5.6785,ok,1426723200,646800
53,6.0725,6.1425,5.8625,5.9325,ok,1426809600,3874100
54,6.5486,6.5786,6.1886,6.1886,ok,1427068800,893400
55,6.4709,6.5909,6.3509,6.5309,ok,1427155200,507700
56,6.296,6.556,6.266,6.546,ok,1427241600,623900
57,6.1016,6.4816,6.0016,6.4616,ok,1427328000,614300
58,6.1697,6.2597,5.9397,6.0497,ok,1427414400,457000
59,5.8976,6.1076,5.8476,6.0876,ok,1427673600,505400
60,5.6936,5.9736,5.6536,5.9136,ok,1427760000,1036200
61,5.6547,5.9347,5.5747,5.7347,ok,1427846400,1148700
62,5.5187,5.6687,5.3887,5.6387,ok,1427932800,590400
63,5.6547,5.7647,5.6047,5.7147,ok,1428278400,593700
64,5.5867,5.6467,5.4467,5.6167,ok,1428364800,442500
65,5.6839,5.8039,5.4939,5.5939,ok,1428451200,613600
66,5.5867,5.7567,5.5667,5.6767,ok,1428537600,665400
67,5.7227,5.8027,5.6227,5.6727,ok,1428624000,488100
68,6.1016,6.2816,5.7116,5.7116,ok,1428883200,1628800
69,6.0434,6.2134,5.8634,5.8834,ok,1428969600,1296700
70,6.1502,6.2202,5.8702,6.0402,ok,1429056000,1021300
71,6.2377,6.2977,6.0177,6.1777,ok,1429142400,823900
72,6.4514,6.5114,6.2414,6.2414,ok,1429228800,1038800
73,6.6555,6.6755,6.3355,6.3755,ok,1429488000,836400
74,6.9275,7.0875,6.6175,6.6475,ok,1429574400,2119500
75,6.5486,6.9186,6.4586,6.9086,ok,1429660800,890100
76,6.6263,6.7063,6.3963,6.5363,ok,1429747200,835900
77,6.5194,6.7094,6.4394,6.5894,ok,1429833600,632600
78,6.6069,6.8569,6.5369,6.5769,ok,1430092800,764300
79,6.9178,6.9578,6.6078,6.6578,ok,1430179200,1073400
80,6.9275,7.1075,6.8175,6.8975,ok,1430265600,1075500
81,6.7235,6.7935,6.6235,6.7435,ok,1430352000,699300
82,6.7138,6.7238,6.5838,6.6238,ok,1430438400,483600
83,6.9178,6.9378,6.7678,6.8278,ok,1430697600,708700
84,6.7623,7.0423,6.7123,7.0323,ok,1430784000,788300
85,6.5874,6.8474,6.5474,6.8474,ok,1430870400,527700
86,6.8109,6.8409,6.4309,6.4509,ok,1430956800,895200
87,6.9275,7.0175,6.7375,6.8275,ok,1431043200,565000
88,6.8692,7.0292,6.8292,6.8692,ok,1431302400,495500
89,7.083,7.133,6.883,6.883,ok,1431388800,524500
90,7.2098,7.2198,7.0598,7.2098,ok,1431475200,885300
