,c,h,l,o,s,t,v
0,24.0629,24.2099,24.0629,24.2099,ok,1493251200,1200
1,24.0793,24.1893,24.0793,24.1893,ok,1493337600,500
2,24.3398,24.3398,24.2398,24.2398,ok,1493596800,9400
3,24.5328,24.5328,24.2928,24.3528,ok,1493683200,11100
4,24.4459,24.4759,24.4159,24.4159,ok,1493769600,5600
5,24.3012,24.4112,24.3002,24.4112,ok,1493856000,4200
6,25.2177,25.2177,24.6777,24.6777,ok,1493942400,13800
7,25.073,25.263,25.053,25.263,ok,1494201600,5000
8,25.1019,25.1419,25.1019,25.1219,ok,1494288000,7000
9,25.3123,25.3643,25.3123,25.3243,ok,1494374400,5500
10,25.3335,25.4235,25.3235,25.4035,ok,1494460800,1500
11,25.5747,25.6347,25.4747,25.4747,ok,1494547200,7700
12,25.9499,25.9499,25.7909,25.7909,ok,1494806400,5800
13,26.086,26.086,25.846,25.856,ok,1494892800,8000
14,25.5939,25.9139,25.5939,25.9139,ok,1494979200,5400
15,24.5916,24.7306,24.4806,24.5606,ok,1495065600,6400
16,25.2466,25.2646,25.0366,25.0366,ok,1495152000,1700
17,25.2331,25.3971,25.2331,25.3571,ok,1495411200,3600
18,25.237,25.237,25.237,25.237,ok,1495497600,400
19,25.3663,25.3663,25.3663,25.3663,ok,1495584000,400
20,25.8062,25.8162,25.6032,25.6562,ok,1495670400,12300
21,25.8409,25.8449,25.8349,25.8349,ok,1495756800,2200
22,25.6229,25.8329,25.5889,25.8329,ok,1496102400,3800
23,25.4492,25.4492,25.4292,25.4292,ok,1496188800,1300
24,25.5843,25.5843,25.5243,25.5243,ok,1496275200,6400
25,25.8737,25.9137,25.7837,25.9137,ok,1496361600,11900
26,25.7483,25.8583,25.6283,25.8583,ok,1496620800,2300
27,25.8834,25.8834,25.7834,25.7834,ok,1496707200,2000
28,25.5843,25.9643,25.5843,25.8343,ok,1496793600,1400
29,25.6036,25.6036,25.5646,25.5646,ok,1496880000,1800
30,25.2553,25.6813,25.2553,25.6813,ok,1496966400,50900
31,25.1116,25.1116,25.0816,25.0816,ok,1497225600,800
32,25.1791,25.1791,25.0301,25.0441,ok,1497312000,4200
33,24.8897,25.3397,24.8897,25.2997,ok,1497398400,245300
34,24.5231,24.5531,24.4681,24.4681,ok,1497484800,41000
35,24.5231,24.5231,24.5231,24.5231,ok,1497571200,100
36,25.1695,25.1695,24.9885,24.9885,ok,1497830400,134700
37,24.9669,25.0969,24.8469,25.0369,ok,1497916800,13800
38,24.5038,24.5538,23.9938,23.9938,ok,1498003200,84700
39,24.8994,24.8994,24.8194,24.8194,ok,1498089600,59100
40,24.8415,24.8745,24.8415,24.8745,ok,1498176000,7600
41,24.9186,24.9186,24.9186,24.9186,ok,1498435200,100
42,24.6003,24.6003,24.5903,24.6003,ok,1498521600,12100
43,24.5521,24.5521,24.5521,24.5521,ok,1498608000,200
44,24.417,24.417,24.417,24.417,ok,1498694400,700
45,24.417,24.417,24.417,24.417,ok,1498780800,100
46,24.9968,24.9968,24.8658,24.9958,ok,1499040000,80500
47,24.8318,24.8318,24.8318,24.8318,ok,1499212800,600
48,24.6582,24.8082,24.6582,24.8082,ok,1499299200,4400
49,24.6582,24.6582,24.6582,24.6582,ok,1499385600,100
50,24.6871,24.7251,24.6471,24.6471,ok,1499644800,1200
51,24.6968,24.6968,24.6968,24.6968,ok,1499731200,100
52,25.2659,25.2659,25.2559,25.2559,ok,1499817600,600
53,25.1116,25.2416,25.0916,25.2416,ok,1499904000,600
54,25.1405,25.2015,25.1405,25.2015,ok,1499990400,400
55,25.1405,25.1405,25.1405,25.1405,ok,1500249600,100
56,25.1405,25.1405,25.1405,25.1405,ok,1500336000,100
57,24.909,24.909,24.909,24.909,ok,1500422400,800
58,25.0826,25.1026,25.0826,25.0826,ok,1500508800,42500
59,25.0826,25.0826,25.0826,25.0826,ok,1500595200,100
60,25.073,25.073,25.073,25.073,ok,1500854400,100
61,25.073,25.073,25.073,25.073,ok,1500940800,100
62,24.9572,24.9972,24.9572,24.9972,ok,1501027200,85000
63,24.8608,25.0908,24.8608,25.0908,ok,1501113600,83400
64,25.0055,25.0055,24.9955,25.0055,ok,1501200000,140700
65,25.1116,25.1116,25.1116,25.1116,ok,1501459200,100
66,24.7836,24.9236,24.7836,24.8836,ok,1501545600,10000
67,24.7836,24.7836,24.7836,24.7836,ok,1501632000,100
68,24.7836,24.7836,24.7836,24.7836,ok,1501718400,100
69,24.1179,24.3479,24.1179,24.3479,ok,1501804800,200
70,23.9732,23.9732,23.9532,23.9532,ok,1502064000,900
71,23.9732,23.9732,23.9732,23.9732,ok,1502150400,100
72,23.5198,23.5198,23.5198,23.5198,ok,1502236800,1000
73,23.3269,23.5569,23.3269,23.3269,ok,1502323200,11900
74,23.568,23.568,23.558,23.568,ok,1502409600,30800
75,24.3109,24.3109,24.0009,24.0109,ok,1502668800,16200
76,24.3205,24.3205,24.2305,24.2305,ok,1502755200,5300
77,24.416,24.416,24.317,24.317,ok,1502841600,7300
78,24.2626,24.2626,24.2626,24.2626,ok,1502928000,100
79,24.1276,24.2076,24.1276,24.2076,ok,1503014400,2100
80,24.2626,24.2626,24.1726,24.1726,ok,1503273600,1100
81,24.3697,24.4187,24.3697,24.4187,ok,1503360000,200
82,24.5511,24.5511,24.5421,24.5421,ok,1503446400,1900
83,24.8222,24.8222,24.8222,24.8222,ok,1503619200,100
84,24.7662,24.8042,24.7642,24.8042,ok,1503878400,1300
85,24.6678,24.6678,24.6678,24.6678,ok,1503964800,1900
86,24.9862,24.9862,24.9212,24.9252,ok,1504137600,400
87,24.9476,24.9476,24.9456,24.9456,ok,1504224000,1200
88,25.073,25.933,25.073,25.933,ok,1504569600,9700
89,25.073,25.073,25.073,25.073,ok,1504656000,200
90,25.4685,25.4685,25.4685,25.4685,ok,1504742400,200
91,25.2756,25.2756,25.2756,25.2756,ok,1504828800,300
92,25.5602,25.6482,25.5602,25.6352,ok,1505088000,4900
93,25.9895,25.9895,25.9895,25.9895,ok,1505174400,1200
94,26.0956,26.0956,26.0196,26.0356,ok,1505260800,2000
95,26.0763,26.0863,26.0463,26.0463,ok,1505347200,4800
96,26.057,26.057,26.047,26.047,ok,1505433600,500
97,26.056,26.067,26.056,26.067,ok,1505692800,1000
98,26.3754,26.3754,26.3754,26.3754,ok,1505865600,400
99,26.1921,26.1921,26.1921,26.1921,ok,1505952000,400
100,26.4718,26.4718,26.3818,26.3918,ok,1506038400,3400
101,26.2596,26.2596,26.2596,26.2596,ok,1506297600,100
102,25.8824,26.1124,25.8824,26.0524,ok,1506470400,4700
103,26.1052,26.1052,25.9752,26.0152,ok,1506556800,37500
104,26.4718,26.4718,26.2418,26.2618,ok,1506643200,1400
105,26.6841,26.7441,26.4241,26.4241,ok,1506902400,3800
106,26.5963,26.5963,26.5373,26.5673,ok,1506988800,3800
107,26.7806,26.8496,26.7806,26.8305,ok,1507075200,800
108,26.9735,27.0335,26.9735,27.0335,ok,1507161600,4000
109,26.8481,26.8881,26.8081,26.8081,ok,1507248000,3400
110,26.7275,26.8225,26.7275,26.8225,ok,1507507200,400
111,26.8577,26.8577,26.8477,26.8497,ok,1507593600,1700
112,26.9446,26.9646,26.9146,26.9146,ok,1507680000,800
113,26.3271,26.7571,26.2981,26.7571,ok,1507766400,149400
114,26.4863,26.5343,26.4393,26.4513,ok,1507852800,147400
115,26.2133,26.6613,26.2013,26.6613,ok,1508112000,8600
116,26.0406,26.0476,26.0406,26.0476,ok,1508198400,1200
117,26.1921,26.3021,26.1601,26.3021,ok,1508284800,66700
118,26.0377,26.0377,25.9477,25.9887,ok,1508371200,1100
119,26.0667,26.0767,26.0667,26.0767,ok,1508457600,1200
120,26.6841,26.6841,25.9541,25.9541,ok,1508716800,900
121,26.5683,26.6583,26.5083,26.6583,ok,1508803200,1900
122,26.2789,26.5989,26.1289,26.5989,ok,1508889600,4800
123,26.2837,26.4387,26.2837,26.4387,ok,1508976000,3000
124,26.3078,26.4578,26.2778,26.4378,ok,1509062400,7600
125,26.2191,26.3611,26.2111,26.3591,ok,1509321600,2600
126,26.385,26.385,26.275,26.295,ok,1509408000,27400
127,26.4333,26.7933,26.4333,26.7933,ok,1509494400,2800
128,26.6841,26.6891,26.5941,26.5941,ok,1509580800,8200
129,27.1626,27.2366,27.0166,27.0266,ok,1509667200,31800
130,27.4751,27.4751,27.1951,27.1951,ok,1509926400,17200
131,27.1471,27.5371,27.1271,27.5371,ok,1510012800,2500
132,27.0594,27.1704,27.0504,27.1104,ok,1510099200,21200
133,27.1664,27.2764,26.9864,26.9864,ok,1510185600,3600
134,26.8095,26.8195,26.7995,26.8195,ok,1510272000,11700
135,26.4718,26.7518,26.4018,26.7518,ok,1510531200,1100
136,25.4927,26.0977,25.4927,26.0977,ok,1510617600,4900
137,25.9027,25.9027,25.1127,25.3527,ok,1510704000,5100
138,26.4333,26.4483,26.0333,26.0333,ok,1510790400,1900
139,26.5683,26.5683,26.4683,26.4683,ok,1510876800,1100
140,26.1631,26.2531,26.1631,26.2381,ok,1511136000,3300
141,26.741,26.741,26.662,26.662,ok,1511222400,2200
142,26.8683,26.8973,26.8373,26.8373,ok,1511308800,2500
143,27.0893,27.0893,26.8993,26.8993,ok,1511481600,600
144,27.0217,27.3417,27.0217,27.0817,ok,1511740800,7300
145,26.7998,27.0298,26.7998,27.0298,ok,1511827200,282600
146,26.7516,26.8016,26.7016,26.7916,ok,1511913600,1100
147,26.9156,26.9156,26.5656,26.5656,ok,1512000000,254800
148,27.0603,27.1403,27.0603,27.1403,ok,1512086400,400
149,27.1857,27.2157,27.1857,27.2157,ok,1512345600,300
150,27.0507,27.0507,27.0507,27.0507,ok,1512432000,300
151,26.9735,27.0255,26.6635,26.6635,ok,1512518400,144200
152,27.2417,27.2417,26.9537,26.9537,ok,1512604800,1100
153,27.6777,27.6777,27.6777,27.6777,ok,1512691200,100
154,28.0443,28.0443,27.8943,27.9443,ok,1512950400,4000
155,28.464,28.54,28.119,28.119,ok,1513036800,43100
156,28.9994,28.9994,28.8894,28.8894,ok,1513123200,5100
157,28.9512,29.2402,28.9212,29.0112,ok,1513209600,11700
158,28.71,28.95,28.71,28.95,ok,1513296000,3900
159,29.2145,29.2215,29.1165,29.1815,ok,1513555200,5600
160,29.5278,29.6598,29.3178,29.3278,ok,1513641600,108200
161,29.3819,29.4219,29.2819,29.2819,ok,1513728000,186900
162,29.3624,29.4824,29.3624,29.4024,ok,1513814400,64300
163,29.5084,29.6284,29.4984,29.6284,ok,1513900800,2900
164,29.5084,29.5084,29.3584,29.3584,ok,1514246400,700
165,29.6154,29.6154,29.5054,29.5054,ok,1514332800,4400
166,29.512,29.872,29.5,29.872,ok,1514419200,2300
167,29.434,29.484,29.434,29.484,ok,1514505600,62000
168,29.9996,30.0296,29.7396,29.8346,ok,1514851200,21800
169,30.2337,30.2537,30.0837,30.0837,ok,1514937600,11600
170,30.4288,30.4288,30.3188,30.3488,ok,1515024000,1500
171,30.4288,30.5018,30.4248,30.5018,ok,1515110400,2100
172,30.4775,30.4775,30.2775,30.4075,ok,1515369600,4800
173,30.3897,30.5497,30.3897,30.5497,ok,1515456000,2600
174,30.4385,30.4685,30.1685,30.1685,ok,1515542400,18100
175,30.7311,30.7311,30.4311,30.4311,ok,1515628800,19000
176,31.0529,31.0629,30.8829,30.9129,ok,1515715200,2700
177,31.2772,31.4622,31.2372,31.3372,ok,1516060800,20400
178,31.3943,31.5643,31.3943,31.5643,ok,1516147200,23200
179,31.5406,31.6006,31.4006,31.4206,ok,1516233600,10600
180,31.3358,31.4858,31.3358,31.4858,ok,1516320000,6000
181,31.6088,31.6788,31.4888,31.6788,ok,1516579200,8700
182,31.5825,31.6895,31.5825,31.6595,ok,1516665600,189300
183,31.5796,32.0596,31.5796,31.7796,ok,1516752000,5900
184,31.6088,31.6488,31.4988,31.6488,ok,1516838400,7000
185,32.0965,32.0965,31.7065,31.7065,ok,1516924800,10200
186,31.7844,32.0844,31.6844,31.7644,ok,1517184000,7000
187,31.4138,31.5038,31.2038,31.5038,ok,1517270400,5300
188,31.9785,31.9785,31.7195,31.7195,ok,1517356800,2200
189,31.8429,32.1329,31.8089,31.9429,ok,1517443200,4600
190,30.2922,31.2322,30.2922,31.2322,ok,1517529600,236800
191,29.473,30.303,29.253,30.283,ok,1517788800,10500
192,29.9996,30.0396,28.9896,28.9896,ok,1517875200,3200
193,29.4535,30.0735,29.4535,29.9135,ok,1517961600,2900
194,28.4782,29.2982,28.4782,29.2582,ok,1518048000,10400
195,28.093,28.896,27.535,28.878,ok,1518134400,6800
196,29.1609,29.2409,28.5579,28.5579,ok,1518393600,3500
197,29.2974,29.2974,29.1824,29.1824,ok,1518480000,700
198,30.2825,30.2825,29.1325,29.2725,ok,1518566400,11100
199,30.6853,30.7323,30.4523,30.6223,ok,1518652800,7600
200,30.9554,31.1254,30.5354,30.5354,ok,1518739200,2200
201,30.8091,30.9991,30.2091,30.2091,ok,1519084800,9600
202,30.8774,31.0674,30.8774,31.0574,ok,1519171200,1400
