,c,h,l,o,s,t,v
0,102.8698,102.9598,102.3698,102.5698,ok,1420156800,36600
1,102.9061,103.1361,102.5461,103.0961,ok,1420416000,72300
2,103.2598,103.4698,102.7898,103.2198,ok,1420502400,40800
3,103.3233,103.6033,103.1633,103.3033,ok,1420588800,144200
4,103.6226,103.9126,102.8026,103.2726,ok,1420675200,57700
5,103.541,103.901,103.001,103.381,ok,1420761600,49000
6,103.7495,103.9096,103.2596,103.3895,ok,1421020800,31100
7,103.7677,103.9877,103.3577,103.9877,ok,1421107200,41000
8,103.8493,104.4893,103.4493,103.8194,ok,1421193600,58100
9,104.1486,104.2286,103.7186,103.7386,ok,1421280000,38500
10,104.2393,104.2493,103.6493,103.8093,ok,1421366400,30600
11,103.8493,104.1893,103.5094,104.1193,ok,1421712000,42300
12,103.9219,104.2219,103.7119,104.0019,ok,1421798400,45000
13,103.8675,104.0675,103.4575,103.4975,ok,1421884800,30500
14,104.5749,104.6749,103.6549,103.7249,ok,1421971200,21600
15,103.6679,104.7679,103.4279,103.7579,ok,1422230400,640700
16,103.804,104.134,103.654,103.794,ok,1422316800,37100
17,103.8675,104.0875,103.5075,104.0875,ok,1422403200,20900
18,104.0126,104.1926,103.5826,103.5926,ok,1422489600,11600
19,104.448,104.7879,104.0079,104.368,ok,1422576000,88600
20,104.3771,104.7371,104.2271,104.4171,ok,1422835200,15100
21,104.1774,104.3574,103.8374,103.8574,ok,1422921600,23400
22,104.1501,104.4401,103.9801,104.1201,ok,1423008000,11900
23,103.9867,104.2467,103.9267,104.2467,ok,1423094400,23400
24,103.9685,103.9685,103.6385,103.6485,ok,1423180800,27300
25,103.6961,103.8961,103.6561,103.8861,ok,1423440000,16400
26,103.9049,104.0249,103.1949,103.4749,ok,1423526400,26200
27,103.6326,104.0026,103.3426,103.5326,ok,1423612800,22600
28,103.6961,104.3061,103.3861,103.4861,ok,1423699200,143100
29,103.7688,104.1088,103.2988,103.5188,ok,1423785600,34400
30,103.3057,105.3857,103.1957,105.3857,ok,1424131200,54100
31,103.0605,103.5705,103.0105,103.4105,ok,1424217600,16800
32,103.2966,104.8266,103.1866,103.5466,ok,1424304000,15900
33,103.7869,103.8869,102.8369,103.3969,ok,1424390400,43500
34,103.5054,103.9354,103.1654,103.2754,ok,1424649600,37500
35,103.8505,104.1105,103.3905,103.5405,ok,1424736000,19600
36,103.7143,104.0343,103.3643,103.9043,ok,1424822400,18700
37,103.687,104.117,103.567,103.907,ok,1424908800,29600
38,103.9595,104.1095,103.3595,103.6895,ok,1424995200,35100
39,103.5785,104.0785,102.9385,103.5285,ok,1425254400,49700
40,103.0696,103.8196,103.0196,103.4696,ok,1425340800,54500
41,103.3332,103.4032,102.9532,102.9532,ok,1425427200,15400
42,103.0786,103.4486,102.8986,103.3986,ok,1425513600,9900
43,102.806,103.136,102.626,103.016,ok,1425600000,15500
44,102.9605,103.0305,102.5105,102.5105,ok,1425859200,15600
45,103.1604,103.2204,102.9704,103.2204,ok,1425945600,91500
46,103.1604,103.3004,102.9704,102.9704,ok,1426032000,36800
47,103.3513,103.6213,103.2113,103.6213,ok,1426118400,18800
48,103.3332,103.5732,103.1332,103.1332,ok,1426204800,14300
49,103.2604,103.5504,103.2304,103.4204,ok,1426464000,36400
50,103.3877,103.5977,103.2877,103.3577,ok,1426550400,9100
51,103.8967,103.8967,103.2667,103.4567,ok,1426636800,17400
52,103.7058,104.0059,103.5359,103.6159,ok,1426723200,39500
53,103.5604,103.9304,103.4904,103.4904,ok,1426809600,161100
54,103.6786,103.8986,103.5186,103.8986,ok,1427068800,10600
55,103.8149,104.0249,103.6049,103.9049,ok,1427155200,26900
56,103.9513,104.0513,103.7313,103.9113,ok,1427241600,50700
57,103.6786,103.9386,103.6186,103.9086,ok,1427328000,30600
58,103.8785,103.9085,103.6785,103.6985,ok,1427414400,13300
59,103.8513,104.0513,103.6613,103.6613,ok,1427673600,71600
60,103.7877,104.1277,103.7277,103.8777,ok,1427760000,21300
61,104.1325,104.2525,103.8525,104.2025,ok,1427846400,31600
62,104.0415,104.2415,103.8415,104.0015,ok,1427932800,26200
63,104.1962,104.3262,104.0262,104.1462,ok,1428278400,13700
64,103.8959,104.2359,103.7959,104.1759,ok,1428364800,106300
65,103.8049,104.2549,103.7249,103.9649,ok,1428451200,484400
66,103.6866,103.9366,103.6066,103.8366,ok,1428537600,13200
67,103.8868,104.0168,103.5568,103.9968,ok,1428624000,9200
68,103.7503,103.9703,103.5903,103.8403,ok,1428883200,9600
69,103.8777,104.2377,103.8277,103.8277,ok,1428969600,11600
70,104.0233,104.1833,103.8733,103.9833,ok,1429056000,12500
71,103.9778,104.1778,103.9378,104.1678,ok,1429142400,18900
72,104.2144,104.3344,104.0044,104.0044,ok,1429228800,17000
73,104.0142,104.2842,103.9542,104.2842,ok,1429488000,7600
74,103.8686,104.1886,103.7886,104.1886,ok,1429574400,10800
75,103.8504,104.0004,103.7104,103.9304,ok,1429660800,8900
76,103.8959,103.9159,103.6859,103.7959,ok,1429747200,13500
77,104.0051,104.215,103.855,104.055,ok,1429833600,7900
78,103.8322,104.1122,103.7522,103.7522,ok,1430092800,94600
79,103.6775,103.9375,103.5875,103.8475,ok,1430179200,20300
80,103.6229,103.7029,103.3829,103.6929,ok,1430265600,9900
81,103.5592,103.6292,103.3493,103.3792,ok,1430352000,13000
82,103.3306,103.5306,103.2806,103.3906,ok,1430438400,18500
83,103.2942,103.4842,103.2842,103.2842,ok,1430697600,13100
84,103.1211,103.3111,103.0311,103.2911,ok,1430784000,26400
85,102.9754,103.1454,102.9554,103.0354,ok,1430870400,15200
86,103.0847,103.1747,102.9347,103.1347,ok,1430956800,8800
87,103.2213,103.4013,103.1113,103.3313,ok,1431043200,10700
88,103.0027,103.2627,102.9627,103.2627,ok,1431302400,18600
89,103.0756,103.1356,102.8756,103.0556,ok,1431388800,9800
90,103.0027,103.1827,102.9827,103.0527,ok,1431475200,19700
91,103.0938,103.2038,103.0138,103.0438,ok,1431561600,13700
92,103.3124,103.4124,103.2024,103.2024,ok,1431648000,8300
93,103.0756,103.2756,103.0456,103.2756,ok,1431907200,12500
94,103.1575,103.3875,103.0275,103.0575,ok,1431993600,51000
95,103.2578,103.2778,103.0278,103.0978,ok,1432080000,10800
96,103.2031,103.3931,103.1631,103.3931,ok,1432166400,7600
97,103.2122,103.4422,103.1622,103.2422,ok,1432252800,10700
98,103.4217,103.4717,103.0317,103.0317,ok,1432598400,15300
99,103.4581,103.5181,103.3181,103.5181,ok,1432684800,30300
100,103.5128,103.5928,103.4228,103.5628,ok,1432771200,8800
101,103.5948,103.7648,103.4648,103.5548,ok,1432857600,10900
102,103.3212,103.6012,103.3212,103.5412,ok,1433116800,6700
103,103.2027,103.3727,103.1727,103.3227,ok,1433203200,14200
104,102.9109,103.1509,102.9009,103.1409,ok,1433289600,44900
105,103.1115,103.1815,102.9515,102.9515,ok,1433376000,7200
106,102.8744,103.3044,102.4644,102.9744,ok,1433462400,25500
107,102.9018,103.0018,102.7318,102.8818,ok,1433721600,16800
108,102.7741,102.8941,102.7441,102.8041,ok,1433808000,29900
109,102.6465,102.7765,102.6265,102.6765,ok,1433894400,12800
110,102.8197,102.9497,102.6897,102.6897,ok,1433980800,9400
111,102.8744,103.0844,102.7344,102.9144,ok,1434067200,27900
112,102.8653,103.1253,102.8553,102.9853,ok,1434326400,10700
113,102.9109,103.0309,102.8409,102.9709,ok,1434412800,13100
114,103.0021,103.0121,102.5221,102.7621,ok,1434499200,17300
115,103.3121,103.3121,102.7421,102.8221,ok,1434585600,536400
116,103.4671,103.5271,103.0871,103.1671,ok,1434672000,20400
117,103.1936,104.0036,103.0436,104.0036,ok,1434931200,26900
118,102.9747,103.2047,102.9747,103.1447,ok,1435017600,22600
119,103.0841,103.1141,102.9341,102.9341,ok,1435104000,10000
120,103.0112,103.4012,102.5412,102.8112,ok,1435190400,23000
121,102.8836,102.9436,102.7536,102.8736,ok,1435276800,14900
122,103.1753,103.3153,103.0353,103.0953,ok,1435536000,15400
123,103.2027,103.2327,103.0727,103.1727,ok,1435622400,16000
124,102.9553,103.0953,102.8753,103.0953,ok,1435708800,15300
125,103.1013,103.2713,102.7913,103.1313,ok,1435795200,11200
126,103.357,103.387,103.247,103.277,ok,1436140800,6900
127,103.3844,103.7044,103.2844,103.5043,ok,1436227200,62700
128,103.5943,103.7143,103.3643,103.5643,ok,1436313600,11200
129,103.3113,103.4713,103.2513,103.4213,ok,1436400000,8200
130,103.1287,103.2987,103.0687,103.1087,ok,1436486400,14500
131,103.1926,103.2526,102.9426,102.9426,ok,1436745600,15300
132,103.3022,103.3122,102.6422,103.1522,ok,1436832000,9600
133,103.4117,103.4717,103.0017,103.0017,ok,1436918400,10000
134,103.4482,103.5283,103.1782,103.1782,ok,1437004800,8300
135,103.4117,103.4817,103.1917,103.3217,ok,1437091200,10700
136,103.2565,103.4165,103.0465,103.4165,ok,1437350400,10500
137,103.3113,103.3913,103.0413,103.1313,ok,1437436800,12300
138,103.357,103.497,103.177,103.177,ok,1437523200,9000
139,103.43,103.56,103.18,103.22,ok,1437609600,18900
140,103.503,103.783,103.053,103.603,ok,1437696000,20200
141,103.4573,103.8373,103.2673,103.6373,ok,1437955200,567600
142,103.3478,103.4478,103.2378,103.4278,ok,1438041600,23600
143,103.3752,103.5252,103.2352,103.5252,ok,1438128000,11000
144,103.3844,103.3844,103.2444,103.2444,ok,1438214400,7200
145,103.6216,103.7316,103.4416,103.4716,ok,1438300800,13600
146,103.6692,103.7592,103.3292,103.7592,ok,1438560000,10800
147,103.5047,103.8347,103.3947,103.5047,ok,1438646400,8400
148,103.4224,103.5724,103.3224,103.3924,ok,1438732800,6800
149,103.4864,103.7764,103.1264,103.4864,ok,1438819200,9700
150,103.6418,103.6518,103.3718,103.4118,ok,1438905600,3800
151,103.4498,103.5498,103.3398,103.3398,ok,1439164800,5700
152,103.7057,103.8857,103.6157,103.6157,ok,1439251200,13500
153,103.7606,103.9805,103.6405,103.6405,ok,1439337600,8600
154,103.6143,103.7744,103.5343,103.5944,ok,1439424000,6200
155,103.5686,103.6086,103.1786,103.5086,ok,1439510400,18200
156,103.5413,103.8213,103.4413,103.4413,ok,1439769600,7300
157,103.4773,103.6273,103.4773,103.5173,ok,1439856000,5800
158,103.8336,103.8437,103.2837,103.4036,ok,1439942400,13500
159,103.7971,103.8771,103.6671,103.8071,ok,1440028800,4700
160,103.9525,104.0925,103.7825,103.8425,ok,1440115200,10900
161,103.9615,105.0815,103.7415,105.0815,ok,1440374400,63500
162,103.6783,104.0283,103.6483,103.7283,ok,1440460800,14100
163,103.4864,103.8564,103.4564,103.5464,ok,1440547200,20700
164,103.9159,104.1159,103.3459,103.3459,ok,1440633600,1555200
165,104.0073,104.1173,103.6673,104.1073,ok,1440720000,153400
166,103.7697,104.0497,103.4897,103.9997,ok,1440979200,18600
167,104.2362,104.2762,103.6462,103.8162,ok,1441065600,93300
168,104.2453,104.3953,103.9353,104.2453,ok,1441152000,24000
169,104.1447,104.5147,103.8047,104.0847,ok,1441238400,21300
170,104.1264,104.3064,103.6664,103.6664,ok,1441324800,27200
171,103.8154,103.9854,103.7254,103.9154,ok,1441670400,37500
172,103.7331,103.8631,103.3731,103.7531,ok,1441756800,18300
173,103.6416,103.7916,103.4916,103.5416,ok,1441843200,39500
174,103.852,103.862,103.652,103.792,ok,1441929600,20400
175,103.7056,103.8756,103.6156,103.7756,ok,1442188800,10700
176,103.477,103.947,103.467,103.947,ok,1442275200,20800
177,103.5136,103.7536,103.4136,103.4536,ok,1442361600,15200
178,103.7788,103.7788,103.3488,103.4688,ok,1442448000,17900
179,104.0715,104.2915,103.8115,104.0415,ok,1442534400,159000
180,103.8063,103.9863,103.6663,103.8163,ok,1442793600,17600
181,104.0624,104.1324,103.6024,104.0224,ok,1442880000,17900
182,104.0898,104.2298,103.8498,103.9898,ok,1442966400,21300
183,103.9618,104.2917,103.8418,104.2217,ok,1443052800,48000
184,103.9252,104.0252,103.7352,104.0252,ok,1443139200,11600
185,104.1996,104.2796,103.8596,103.8596,ok,1443398400,22300
186,104.1996,104.4296,104.1396,104.4296,ok,1443484800,19200
187,104.3093,104.3293,104.2293,104.2293,ok,1443571200,28300
188,104.0869,104.5869,104.0869,104.3869,ok,1443657600,88900
189,104.4622,104.6722,104.3122,104.6522,ok,1443744000,17700
190,104.3249,104.5449,104.1249,104.4149,ok,1444003200,1061200
191,104.2883,104.6783,104.2783,104.4683,ok,1444089600,117300
192,104.2517,104.4417,104.1117,104.1917,ok,1444176000,18400
193,104.2425,104.4825,104.1925,104.3125,ok,1444262400,22500
194,104.215,104.345,104.105,104.145,ok,1444348800,12800
195,104.3158,104.4558,104.0758,104.1258,ok,1444608000,23400
196,104.4073,104.4373,104.1973,104.4273,ok,1444694400,10000
197,104.5905,104.6405,104.4405,104.4805,ok,1444780800,40100
198,104.5446,104.6746,104.4146,104.6246,ok,1444867200,21400
199,104.4714,104.6314,104.3314,104.5314,ok,1444953600,13200
200,104.4348,104.5348,103.9748,104.5148,ok,1445212800,11700
201,104.3981,104.4881,104.2581,104.2581,ok,1445299200,10700
202,104.5446,104.7546,104.4746,104.7546,ok,1445385600,13000
203,104.508,104.628,104.238,104.518,ok,1445472000,25200
204,104.2883,104.4883,103.6983,104.3883,ok,1445558400,350500
205,104.2791,104.3791,104.0091,104.1291,ok,1445817600,44000
206,104.4165,104.5965,104.2665,104.4065,ok,1445904000,12300
207,104.3066,104.4666,104.1266,104.3066,ok,1445990400,14700
208,104.2425,104.3225,103.9725,104.2725,ok,1446076800,174100
209,104.2883,104.4383,103.9583,104.1883,ok,1446163200,246100
210,104.1022,104.3222,104.0722,104.1522,ok,1446422400,229200
211,103.9464,104.1764,103.9364,104.1764,ok,1446508800,28400
212,103.8273,104.0973,103.7673,103.9273,ok,1446595200,72500
213,103.8731,103.9731,103.7231,103.9631,ok,1446681600,30200
214,103.7631,103.8731,103.5331,103.6531,ok,1446768000,38100
215,103.5248,103.7048,103.3448,103.3748,ok,1447027200,600400
216,103.6256,103.8556,103.5456,103.5556,ok,1447113600,15300
217,103.7448,103.7948,103.5548,103.5548,ok,1447200000,11000
218,103.6164,103.8864,103.5764,103.7664,ok,1447286400,9500
219,103.8914,103.9414,103.6614,103.7414,ok,1447372800,14500
220,103.8731,104.0831,103.8131,104.0531,ok,1447632000,25800
221,103.8364,103.8464,103.6664,103.8464,ok,1447718400,16300
222,103.7814,103.9714,103.6714,103.7014,ok,1447804800,47000
223,103.8089,104.0289,103.7389,103.7589,ok,1447891200,16300
224,103.7631,103.8931,103.7031,103.8731,ok,1447977600,8600
225,103.7906,104.0506,103.6306,103.7506,ok,1448236800,16500
226,103.7723,104.0923,103.7723,103.8023,ok,1448323200,11400
227,103.9373,103.9773,103.6973,103.9373,ok,1448409600,12000
228,103.7539,103.9839,103.5639,103.8739,ok,1448582400,2500
229,103.9373,104.0073,103.5873,103.9473,ok,1448841600,88400
230,104.0923,104.1223,103.5423,103.6423,ok,1448928000,25400
231,103.973,104.053,103.793,103.953,ok,1449014400,11700
232,103.5326,103.8626,103.4826,103.8626,ok,1449100800,10400
233,103.707,103.777,103.557,103.557,ok,1449187200,27700
234,103.9638,104.1838,103.6538,103.7138,ok,1449446400,76600
235,103.8354,104.0354,103.7554,103.9254,ok,1449532800,14500
236,103.7895,103.9795,103.6495,103.7395,ok,1449619200,37400
237,103.7712,103.9512,103.5012,103.9512,ok,1449705600,12100
238,103.9547,103.9947,103.6247,103.8047,ok,1449792000,23900
239,103.6244,104.0644,103.6044,103.7444,ok,1450051200,46400
240,103.6519,103.7319,103.4819,103.6819,ok,1450137600,27700
241,103.5601,103.7801,103.3101,103.5901,ok,1450224000,33400
242,103.8629,103.8829,103.4029,103.5329,ok,1450310400,1237700
243,103.9822,104.0322,103.7122,104.0122,ok,1450396800,12700
244,103.9638,104.2138,103.4838,104.1038,ok,1450656000,36800
245,103.8262,104.0162,103.6662,103.9662,ok,1450742400,58500
246,103.6794,103.8994,103.5294,103.6394,ok,1450828800,15300
247,103.6344,103.8844,103.6344,103.6844,ok,1450915200,10300
248,103.6712,103.9712,103.4812,103.7412,ok,1451260800,15300
249,103.4966,103.8766,103.4566,103.7066,ok,1451347200,11900
250,103.6344,103.8244,103.3344,103.3344,ok,1451433600,10700
251,103.956,103.956,103.526,103.686,ok,1451520000,15600
252,103.9651,104.1951,103.5751,103.7451,ok,1451865600,32800
253,103.956,104.546,103.706,104.546,ok,1451952000,12600
254,104.057,104.147,103.557,104.007,ok,1452038400,86200
255,104.1581,104.1681,103.9681,104.1681,ok,1452124800,19700
256,104.2775,104.2875,104.0375,104.1475,ok,1452211200,57000
257,104.1029,104.3629,103.9929,103.9929,ok,1452470400,44900
258,104.25,104.44,104.16,104.18,ok,1452556800,22200
259,104.397,104.467,104.177,104.387,ok,1452643200,21000
260,104.3234,104.5434,104.2134,104.3334,ok,1452729600,44700
261,104.5532,104.9532,104.2132,104.5532,ok,1452816000,34200
262,104.4889,104.6189,104.1788,104.5388,ok,1453161600,51100
263,104.5715,104.8415,104.4315,104.5715,ok,1453248000,60400
264,104.3786,104.8686,104.3786,104.8686,ok,1453334400,18800
265,104.3602,104.4802,104.1702,104.4502,ok,1453420800,35200
266,104.4061,104.5361,104.3661,104.5361,ok,1453680000,51400
267,104.4889,104.5788,104.4389,104.5089,ok,1453766400,42100
268,104.5532,104.5532,104.2932,104.5032,ok,1453852800,17200
269,104.498,104.778,104.348,104.508,ok,1453939200,23100
270,104.5807,104.9607,104.5807,104.8607,ok,1454025600,20200
271,104.6561,104.9461,104.6261,104.7961,ok,1454284800,14700
272,104.9872,105.0572,104.7172,104.8572,ok,1454371200,14300
273,104.9689,105.2089,104.9089,104.9989,ok,1454457600,19900
274,105.0516,105.1416,104.9316,105.1216,ok,1454544000,26500
275,105.0976,105.1576,104.8576,104.9776,ok,1454630400,24300
276,105.3643,105.6643,105.0943,105.2643,ok,1454889600,19500
277,105.4195,105.8895,105.3095,105.5595,ok,1454976000,31300
278,105.8242,105.8242,105.3042,105.5042,ok,1455062400,22000
279,105.8058,106.4258,105.6558,105.7458,ok,1455148800,98200
280,105.6402,105.9502,105.4102,105.7702,ok,1455235200,17900
281,105.5943,105.7043,105.0143,105.3143,ok,1455580800,24200
282,105.4747,105.4947,105.1447,105.2947,ok,1455667200,23000
283,105.2724,105.6224,105.2324,105.4724,ok,1455753600,89000
284,105.4471,105.7371,105.2071,105.7371,ok,1455840000,46300
285,105.3367,105.4167,105.3067,105.3667,ok,1456099200,16200
286,105.3643,105.4543,105.0743,105.2243,ok,1456185600,13700
287,105.3643,105.6543,105.3043,105.5643,ok,1456272000,21000
288,105.4287,105.5487,105.3887,105.3887,ok,1456358400,10600
289,105.2908,105.4108,105.2108,105.2308,ok,1456444800,13000
290,105.2724,105.3724,105.2024,105.3224,ok,1456704000,11800
291,105.1453,105.6753,104.9953,105.6053,ok,1456790400,35300
292,105.2834,105.3134,104.8934,105.1734,ok,1456876800,53200
293,105.0992,105.2792,105.0392,105.0392,ok,1456963200,11700
294,105.0716,105.2416,104.8816,105.0716,ok,1457049600,25600
295,104.9703,105.0503,104.7803,104.9403,ok,1457308800,18900
296,105.1729,105.2829,105.0429,105.2829,ok,1457395200,16700
297,105.0348,105.9248,105.0248,105.9248,ok,1457481600,12900
298,105.0071,105.1171,104.8971,105.1171,ok,1457568000,24600
299,104.8598,105.2498,104.7198,104.9798,ok,1457654400,15300
300,104.9151,104.9751,104.6351,104.7551,ok,1457913600,61700
301,104.8046,105.0146,104.7346,104.9046,ok,1458000000,13300
302,105.0992,105.0992,104.6692,104.7392,ok,1458086400,31000
303,105.1453,105.2753,105.0153,105.0953,ok,1458172800,24400
304,105.3386,105.5186,104.9886,105.1586,ok,1458259200,87000
305,105.1453,105.2153,105.0753,105.1653,ok,1458518400,14700
306,105.1177,105.3077,105.0077,105.3077,ok,1458604800,25500
307,105.3939,105.4539,104.9539,105.1539,ok,1458691200,16000
308,105.6793,105.6893,105.0993,105.5093,ok,1458777600,17200
309,105.3479,105.4679,104.9679,105.3579,ok,1459123200,20000
310,105.6609,105.6609,105.3109,105.3809,ok,1459209600,14300
311,105.6149,105.6949,105.3249,105.6349,ok,1459296000,35400
312,105.7806,105.7806,105.4806,105.7006,ok,1459382400,13900
313,105.6129,105.7629,105.5629,105.6329,ok,1459468800,13500
314,105.4653,105.7053,105.3253,105.6853,ok,1459728000,523300
315,105.6681,105.7681,105.5381,105.5381,ok,1459814400,1356500
316,105.6958,105.7458,105.5658,105.7258,ok,1459900800,586800
317,105.8525,105.8825,105.7225,105.8225,ok,1459987200,20800
318,105.871,105.871,105.651,105.771,ok,1460073600,11500
319,105.788,105.808,105.608,105.608,ok,1460332800,10700
320,105.7142,105.8942,105.6042,105.7442,ok,1460419200,30000
321,105.6681,105.7381,105.5081,105.6481,ok,1460505600,62500
322,105.6497,105.9697,105.4697,105.6297,ok,1460592000,41000
323,105.8986,105.9186,105.6086,105.6086,ok,1460678400,15000
324,105.788,105.788,105.668,105.678,ok,1460937600,10300
325,105.6866,105.9166,105.5666,105.9166,ok,1461024000,14100
326,105.4561,105.7961,105.4561,105.6661,ok,1461110400,13200
327,105.4193,105.5192,105.3392,105.3692,ok,1461196800,8100
328,105.5483,105.6083,105.3683,105.5083,ok,1461283200,13700
