,c,h,l,o,s,t,v
0,43.7353,43.7653,43.5553,43.7553,ok,1420156800,2400
1,43.7176,43.7176,43.5276,43.5276,ok,1420416000,3600
2,43.4958,43.7458,43.4958,43.7058,ok,1420502400,2200
3,43.5667,43.7167,43.5067,43.7167,ok,1420588800,4300
4,43.6377,43.6777,43.6277,43.6777,ok,1420675200,3600
5,43.478,43.658,43.478,43.638,ok,1420761600,2900
6,43.5312,43.6812,43.4012,43.6212,ok,1421020800,19700
7,43.5579,43.6279,43.4779,43.6279,ok,1421107200,4700
8,43.4425,43.5425,43.4025,43.4025,ok,1421193600,2100
9,43.3449,43.4949,43.2949,43.4949,ok,1421280000,3500
10,43.2917,43.5417,43.1917,43.4117,ok,1421366400,7600
11,43.3005,43.5305,43.2906,43.5305,ok,1421712000,7300
12,43.3183,43.4783,43.2983,43.3183,ok,1421798400,4800
13,43.3449,43.4849,43.3349,43.3449,ok,1421884800,4400
14,43.336,43.646,43.336,43.376,ok,1421971200,8700
15,43.5493,43.5793,43.3093,43.5093,ok,1422230400,12000
16,43.3627,43.6427,43.3327,43.3327,ok,1422316800,5300
17,43.4071,43.6271,43.3771,43.5971,ok,1422403200,6000
18,43.416,43.626,43.366,43.406,ok,1422489600,8100
19,43.3805,43.7005,43.3805,43.7005,ok,1422576000,4400
20,43.3805,43.5005,43.2505,43.3905,ok,1422835200,9000
21,43.4693,43.5593,43.4093,43.5493,ok,1422921600,3800
22,43.4426,43.5526,43.3526,43.5126,ok,1423008000,2700
23,43.3982,43.5482,43.2682,43.3082,ok,1423094400,9900
24,43.6292,43.6492,43.4592,43.4592,ok,1423180800,9900
25,43.7625,43.8425,43.4725,43.6125,ok,1423440000,15600
26,43.7891,43.8191,43.5191,43.7391,ok,1423526400,4300
27,43.5937,43.7037,43.4737,43.7037,ok,1423612800,5000
28,43.6292,43.7692,43.5292,43.6692,ok,1423699200,7200
29,43.6292,43.6492,43.5592,43.6292,ok,1423785600,5700
30,43.5759,43.7659,43.5759,43.7159,ok,1424131200,4600
31,43.6203,43.7203,43.5203,43.5803,ok,1424217600,6100
32,43.6292,43.6592,43.5692,43.5892,ok,1424304000,5000
33,43.6647,43.7747,43.6047,43.6347,ok,1424390400,5500
34,43.6736,43.7536,43.6736,43.7336,ok,1424649600,4000
35,43.6647,43.8848,43.6548,43.7048,ok,1424736000,3100
36,43.5758,43.7858,43.5758,43.7758,ok,1424822400,10200
37,43.8249,43.8449,43.5649,43.5749,ok,1424908800,9600
38,43.7893,43.8293,43.6793,43.7093,ok,1424995200,4600
39,43.7537,43.8137,43.5837,43.5837,ok,1425254400,6000
40,43.7359,44.0059,43.7159,43.7159,ok,1425340800,4300
41,43.7003,43.9203,43.7003,43.8303,ok,1425427200,2200
42,43.8515,43.8615,43.7315,43.7315,ok,1425513600,2600
43,43.6825,43.9425,43.5125,43.6625,ok,1425600000,17800
44,43.8071,43.9371,43.6871,43.9371,ok,1425859200,6500
45,43.8249,43.8949,43.7249,43.8049,ok,1425945600,2900
46,43.7359,43.8759,43.7059,43.7059,ok,1426032000,4900
47,43.6914,43.8414,43.5914,43.7314,ok,1426118400,4000
48,43.6914,43.7714,43.5414,43.7314,ok,1426204800,2600
49,43.7181,43.8081,43.5581,43.7481,ok,1426464000,3200
50,43.6559,43.7159,43.6159,43.7159,ok,1426550400,4900
51,43.5224,43.7224,43.4424,43.6424,ok,1426636800,3000
52,43.6025,43.6325,43.4425,43.5325,ok,1426723200,3300
53,43.6736,43.7236,43.4836,43.6636,ok,1426809600,6000
54,43.4691,43.5991,43.3191,43.4991,ok,1427068800,6000
55,43.5758,43.5958,43.3858,43.3858,ok,1427155200,2900
56,43.4157,43.5557,43.3357,43.3357,ok,1427241600,3400
57,43.5135,43.5135,43.2735,43.2735,ok,1427328000,61500
58,43.4602,43.6102,43.3602,43.4502,ok,1427414400,3900
59,43.6559,43.6559,43.4958,43.6159,ok,1427673600,3300
60,43.6381,43.6381,43.4781,43.5981,ok,1427760000,1200
61,43.8426,43.8426,43.3926,43.3926,ok,1427846400,1900
62,43.6559,43.6559,43.4559,43.5759,ok,1427932800,6600
63,43.7537,43.7537,43.5337,43.6237,ok,1428278400,2800
64,43.6114,43.6114,43.4714,43.5714,ok,1428364800,2100
65,43.6559,43.6559,43.4759,43.4759,ok,1428451200,2500
66,43.5047,43.7146,43.5047,43.6446,ok,1428537600,5500
67,43.6114,43.6414,43.4614,43.6414,ok,1428624000,1300
68,43.5491,43.7791,43.5291,43.6291,ok,1428883200,31400
69,43.6825,43.7125,43.4725,43.4725,ok,1428969600,3800
70,43.6292,43.7092,43.5092,43.5092,ok,1429056000,1900
71,43.5847,43.6847,43.5747,43.6647,ok,1429142400,1400
72,43.6559,43.7458,43.6059,43.6159,ok,1429228800,6200
73,43.6158,43.7558,43.6058,43.7558,ok,1429488000,1000
74,43.6603,43.7403,43.5803,43.7403,ok,1429574400,4900
75,43.7048,43.7448,43.5548,43.7348,ok,1429660800,2600
76,43.6425,43.7825,43.6425,43.7025,ok,1429747200,5100
77,43.6247,43.7447,43.5847,43.6747,ok,1429833600,5900
78,43.5801,43.7401,43.4701,43.7001,ok,1430092800,2300
79,43.5534,43.7234,43.5534,43.6534,ok,1430179200,1800
80,43.598,43.758,43.598,43.748,ok,1430265600,2400
81,43.6158,43.6758,43.5458,43.6358,ok,1430352000,6700
82,43.5623,43.7023,43.5523,43.7023,ok,1430438400,4200
83,43.5623,43.7123,43.5523,43.6023,ok,1430697600,2300
84,43.6781,43.6781,43.5481,43.5481,ok,1430784000,2300
85,43.6959,43.7159,43.6759,43.6859,ok,1430870400,7400
86,43.6514,43.7414,43.6514,43.7014,ok,1430956800,7100
87,43.6069,43.9869,43.5769,43.9869,ok,1431043200,2900
88,43.6603,43.6903,43.6403,43.6703,ok,1431302400,6400
89,43.6781,43.6881,43.5481,43.6881,ok,1431388800,13600
90,43.5089,43.7489,43.5089,43.7489,ok,1431475200,5900
91,43.5801,43.6701,43.5301,43.6701,ok,1431561600,4100
92,43.4555,43.7255,43.2055,43.5855,ok,1431648000,7600
93,43.687,43.847,43.507,43.847,ok,1431907200,11900
94,43.5089,43.7489,43.5089,43.6389,ok,1431993600,3800
95,43.5445,43.6845,43.5145,43.5145,ok,1432080000,2800
96,43.6514,43.6514,43.4214,43.5514,ok,1432166400,7400
97,43.5578,43.7878,43.5478,43.7878,ok,1432252800,3400
98,43.5488,43.6288,43.5188,43.5588,ok,1432598400,4800
99,43.5488,43.5988,43.5388,43.5388,ok,1432684800,3800
100,43.5667,43.5667,43.5167,43.5667,ok,1432771200,1200
101,43.5488,43.5588,43.4488,43.4788,ok,1432857600,2900
102,43.4061,43.5161,43.3961,43.4561,ok,1433116800,18800
103,43.4864,43.5364,43.4164,43.4164,ok,1433203200,2300
104,43.4864,43.5464,43.4764,43.4864,ok,1433289600,14300
