,c,h,l,o,s,t,v
0,41.7,42.0,39.9,39.9,ok,1420156800,5200
1,42.9,44.7,42.0,42.0,ok,1420416000,16400
2,43.8,44.4,42.3,43.2,ok,1420502400,5900
3,43.5,43.8,41.7,43.8,ok,1420588800,46200
4,50.4,60.0,48.3,60.0,ok,1420675200,170900
5,47.4,49.2,46.5,48.0,ok,1420761600,24900
6,46.5,50.1,45.6,47.1,ok,1421020800,23500
7,45.3,47.7,45.3,47.1,ok,1421107200,10400
8,45.0,47.7,45.0,46.2,ok,1421193600,12500
9,42.9,46.5,42.0,45.9,ok,1421280000,12300
10,43.5,43.8,41.4,41.4,ok,1421366400,4100
11,42.6,44.7,42.0,43.8,ok,1421712000,5700
12,42.0,42.9,42.0,42.0,ok,1421798400,7700
13,41.4,42.3,40.8,42.0,ok,1421884800,4800
14,43.8,44.4,42.0,42.0,ok,1421971200,6200
15,46.2,48.3,43.8,44.1,ok,1422230400,16700
16,46.5,47.1,45.3,46.2,ok,1422316800,8300
17,45.3,47.7,45.0,47.7,ok,1422403200,6000
18,45.9,46.5,45.9,46.5,ok,1422489600,3700
19,45.3,45.9,45.0,45.3,ok,1422576000,4700
20,45.9,46.2,45.3,45.6,ok,1422835200,5900
21,45.3,47.1,44.4,46.5,ok,1422921600,8700
22,44.7,47.7,44.4,47.7,ok,1423008000,6600
23,44.7,46.2,44.7,45.0,ok,1423094400,7100
24,44.7,45.3,44.4,45.0,ok,1423180800,3800
25,45.3,45.3,44.4,45.0,ok,1423440000,5300
26,45.0,45.9,44.7,45.9,ok,1423526400,2600
27,45.3,45.9,45.0,45.0,ok,1423612800,4200
28,45.6,45.9,45.0,45.6,ok,1423699200,10000
29,41.4,44.7,37.8,44.7,ok,1423785600,34500
30,41.1,41.7,40.5,40.8,ok,1424131200,7300
31,40.2,41.4,39.6,41.1,ok,1424217600,10000
32,39.9,40.2,39.0,39.9,ok,1424304000,6500
33,41.7,41.7,39.3,39.3,ok,1424390400,5500
34,41.7,42.0,40.5,40.5,ok,1424649600,3100
35,41.1,41.7,40.8,41.4,ok,1424736000,3600
36,41.4,41.7,40.5,40.8,ok,1424822400,4700
37,40.5,42.0,40.5,41.1,ok,1424908800,3600
38,40.8,41.4,40.2,40.5,ok,1424995200,2700
39,40.2,41.4,40.2,40.5,ok,1425254400,4400
40,40.2,40.5,39.0,40.2,ok,1425340800,2400
41,40.2,41.1,39.0,40.5,ok,1425427200,5900
42,40.8,40.8,39.9,40.8,ok,1425513600,4700
43,40.8,40.8,39.9,40.5,ok,1425600000,3900
44,40.2,41.1,39.9,39.9,ok,1425859200,4600
45,40.5,41.1,40.2,40.5,ok,1425945600,5500
46,40.8,41.4,40.2,41.1,ok,1426032000,6000
47,41.4,41.7,40.2,40.2,ok,1426118400,5200
48,42.0,42.9,40.5,41.7,ok,1426204800,7700
49,41.7,44.4,41.1,42.3,ok,1426464000,15100
50,39.6,42.0,39.3,42.0,ok,1426550400,8800
51,40.5,41.7,39.0,39.6,ok,1426636800,5100
52,41.4,42.0,39.9,40.5,ok,1426723200,3800
53,39.6,41.4,39.6,40.8,ok,1426809600,6800
54,38.1,40.5,37.5,39.9,ok,1427068800,8900
55,35.4,37.8,34.2,37.2,ok,1427155200,10700
56,36.3,37.2,35.7,35.7,ok,1427241600,2600
57,36.6,36.9,34.5,35.7,ok,1427328000,4500
58,35.4,36.6,34.8,36.3,ok,1427414400,3100
59,35.4,35.7,34.5,35.4,ok,1427673600,4000
60,35.7,36.0,34.5,35.4,ok,1427760000,2100
61,35.4,35.7,34.5,35.7,ok,1427846400,7300
62,35.7,35.7,34.5,34.8,ok,1427932800,1900
63,34.5,36.9,34.5,36.6,ok,1428278400,5000
64,33.3,34.2,32.4,33.9,ok,1428364800,6400
65,33.6,33.9,33.0,33.0,ok,1428451200,3600
66,33.6,34.5,33.3,34.5,ok,1428537600,4900
67,34.5,35.1,33.3,34.5,ok,1428624000,5800
68,32.4,34.8,32.1,34.8,ok,1428883200,9500
69,30.9,32.7,30.3,31.8,ok,1428969600,21600
70,34.2,34.8,29.7,30.9,ok,1429056000,140700
71,33.9,34.8,33.3,34.8,ok,1429142400,14700
72,32.7,33.9,32.4,33.9,ok,1429228800,18300
73,32.4,33.6,31.8,33.0,ok,1429488000,9600
74,37.5,40.2,32.4,32.7,ok,1429574400,32100
75,37.2,39.6,36.3,38.4,ok,1429660800,17000
76,38.1,38.4,36.9,37.5,ok,1429747200,6900
77,34.2,38.1,34.2,38.1,ok,1429833600,13200
78,35.1,35.1,33.6,35.1,ok,1430092800,6400
79,35.1,36.9,33.6,35.1,ok,1430179200,8100
80,34.2,35.7,33.6,35.1,ok,1430265600,3400
81,34.5,34.8,33.3,34.5,ok,1430352000,10200
82,33.9,35.1,33.6,34.8,ok,1430438400,5900
83,34.2,35.1,33.6,34.2,ok,1430697600,4200
84,34.2,34.8,33.0,34.5,ok,1430784000,5100
85,33.9,35.1,33.6,34.2,ok,1430870400,4600
86,34.8,36.0,33.6,34.5,ok,1430956800,5400
87,34.5,34.8,33.3,34.5,ok,1431043200,2700
88,34.2,36.0,33.3,33.9,ok,1431302400,7600
89,33.6,34.2,33.3,34.2,ok,1431388800,3800
90,34.2,34.2,33.0,33.0,ok,1431475200,2800
91,33.9,33.9,32.7,33.6,ok,1431561600,4900
92,33.9,33.9,32.1,33.6,ok,1431648000,4400
93,34.5,36.9,34.5,36.9,ok,1431907200,19700
94,33.9,35.1,33.6,35.1,ok,1431993600,7800
95,33.6,34.2,33.0,34.2,ok,1432080000,5500
96,34.2,34.5,33.3,34.5,ok,1432166400,5400
97,33.3,33.9,33.3,33.6,ok,1432252800,2200
98,33.3,33.9,33.0,33.6,ok,1432598400,4800
99,33.0,33.9,33.0,33.9,ok,1432684800,4700
100,33.0,33.3,32.7,33.0,ok,1432771200,5900
101,34.8,35.4,33.3,33.6,ok,1432857600,19200
102,33.3,35.4,32.4,35.4,ok,1433116800,9700
103,33.3,34.5,32.4,33.3,ok,1433203200,6300
104,34.2,34.2,33.3,34.2,ok,1433289600,6200
105,33.9,34.2,33.3,33.6,ok,1433376000,4800
106,34.5,34.8,32.7,33.9,ok,1433462400,7700
107,34.2,35.1,33.3,34.2,ok,1433721600,6000
108,33.6,34.5,32.7,33.3,ok,1433808000,6300
109,33.6,35.1,32.7,33.6,ok,1433894400,10800
110,32.4,33.6,32.4,33.6,ok,1433980800,7000
111,32.7,33.0,31.2,32.4,ok,1434067200,6700
112,32.4,33.0,32.1,32.7,ok,1434326400,2000
113,31.8,32.7,29.7,32.7,ok,1434412800,16900
114,31.5,33.3,31.5,31.5,ok,1434499200,5700
115,30.6,31.5,30.6,31.2,ok,1434585600,4600
116,29.7,31.8,29.7,30.9,ok,1434672000,6800
117,30.9,31.8,29.7,30.0,ok,1434931200,7900
118,32.7,32.7,30.6,30.6,ok,1435017600,5400
119,32.4,33.6,32.1,32.1,ok,1435104000,4400
120,31.8,32.4,31.5,32.4,ok,1435190400,3700
121,32.4,32.4,30.6,31.8,ok,1435276800,6600
122,31.8,31.8,30.3,30.6,ok,1435536000,7500
123,30.9,32.4,30.6,31.5,ok,1435622400,5600
124,30.9,32.1,30.9,32.1,ok,1435708800,3200
125,30.3,31.2,30.0,30.9,ok,1435795200,4100
126,30.6,30.6,30.0,30.6,ok,1436140800,2700
127,29.7,30.6,29.1,29.4,ok,1436227200,5700
