,c,h,l,o,s,t,v
0,7.3,7.65,6.9,7.65,ok,1420156800,23000
1,7.61,7.86,7.33,7.4,ok,1420416000,11000
2,7.83,7.87,7.35,7.56,ok,1420502400,11400
3,7.48,7.83,7.47,7.76,ok,1420588800,4400
4,7.64,7.79,7.432,7.432,ok,1420675200,8000
5,7.48,7.61,7.0,7.34,ok,1420761600,28900
6,7.82,7.88,7.4,7.48,ok,1421020800,5600
7,7.87,7.9,7.31,7.75,ok,1421107200,14600
8,7.86,8.08,7.61,7.85,ok,1421193600,221400
9,7.897,7.95,7.88,7.9,ok,1421280000,32500
10,10.17,10.7,7.52,7.52,ok,1421366400,86900
11,10.65,11.92,9.95,10.1,ok,1421712000,75900
12,9.43,10.68,9.4,10.68,ok,1421798400,35000
13,9.6,9.75,8.55,9.4,ok,1421884800,45000
14,8.86,9.58,8.8,9.58,ok,1421971200,4800
15,9.86,11.0,9.1,9.44,ok,1422230400,42500
16,10.97,11.9,9.81,9.81,ok,1422316800,79000
17,11.59,13.5,10.79,11.62,ok,1422403200,110400
18,11.84,12.19,11.53,12.0,ok,1422489600,38100
19,12.1,12.3,11.8,12.3,ok,1422576000,25100
20,11.5,12.3,11.5,12.3,ok,1422835200,15100
21,10.68,11.97,10.66,11.5,ok,1422921600,28400
22,11.09,11.24,10.618,10.66,ok,1423008000,10700
23,11.35,11.49,11.12,11.12,ok,1423094400,9600
24,11.63,12.1,11.45,11.5,ok,1423180800,23800
25,11.15,11.99,10.91,10.96,ok,1423440000,12800
26,11.25,12.26,11.15,11.15,ok,1423526400,14900
27,10.99,12.07,10.951,11.151,ok,1423612800,8200
28,11.26,11.84,10.98,11.01,ok,1423699200,9500
29,11.01,11.5,10.89,11.5,ok,1423785600,2500
30,11.14,11.19,10.94,10.94,ok,1424131200,7800
31,11.05,11.3,10.701,11.19,ok,1424217600,6100
32,11.83,12.16,11.4,11.45,ok,1424304000,23600
33,10.5,12.28,10.35,12.07,ok,1424390400,51300
34,10.31,10.7,9.71,10.62,ok,1424649600,17100
35,9.85,10.5,9.62,10.25,ok,1424736000,16500
36,10.25,10.27,9.9,9.9,ok,1424822400,5000
37,10.27,10.27,9.83,10.03,ok,1424908800,6600
38,10.2,10.26,10.0,10.25,ok,1424995200,11600
