,c,h,l,o,s,t,v
0,9.69,9.69,9.61,9.61,ok,1548201600,250000
1,9.69,9.69,9.69,9.69,ok,1548288000,100000
2,9.69,9.69,9.63,9.65,ok,1548633600,324900
3,9.68,9.7,9.68,9.69,ok,1548720000,125600
4,9.69,9.69,9.68,9.69,ok,1548806400,178100
5,9.68,9.69,9.68,9.69,ok,1548892800,133000
6,9.7,9.7,9.7,9.7,ok,1548979200,100500
7,9.71,9.71,9.71,9.71,ok,1549238400,100000
8,9.75,9.75,9.72,9.72,ok,1549324800,300000
9,9.73,9.943,9.73,9.94,ok,1549411200,475300
10,9.73,9.74,9.72,9.74,ok,1549497600,300500
11,9.73,9.73,9.73,9.73,ok,1550016000,400000
12,10.0,10.0,9.76,9.76,ok,1550534400,26600
13,9.85,9.85,9.85,9.85,ok,1550620800,300
14,9.775,9.775,9.775,9.775,ok,1551312000,100000
15,9.8,9.8,9.73,9.73,ok,1552262400,126700
16,9.78,9.78,9.78,9.78,ok,1552348800,68700
17,9.83,9.83,9.78,9.785,ok,1552521600,894400
18,9.83,9.86,9.81,9.85,ok,1552867200,105400
19,9.83,9.86,9.8,9.85,ok,1552953600,117400
20,9.81,9.82,9.81,9.82,ok,1553040000,62400
21,9.82,9.82,9.81,9.82,ok,1553126400,612700
22,9.84,9.84,9.81,9.84,ok,1553472000,600
23,9.84,9.84,9.83,9.84,ok,1553644800,800
24,9.84,9.84,9.84,9.84,ok,1553817600,200
25,9.84,9.85,9.84,9.85,ok,1554076800,1300
26,9.84,9.85,9.84,9.84,ok,1554163200,105700
27,9.84,9.84,9.84,9.84,ok,1554249600,3700
28,9.83,9.83,9.83,9.83,ok,1554336000,150000
29,9.83,9.83,9.83,9.83,ok,1554422400,100
30,9.85,9.85,9.85,9.85,ok,1554681600,3000
31,9.85,9.85,9.85,9.85,ok,1554768000,200
32,9.84,9.84,9.84,9.84,ok,1554854400,400
33,9.9,9.9,9.83,9.838,ok,1555027200,10200
