,c,h,l,o,s,t,v
0,32.7,33.6,31.2,31.65,ok,1420156800,13100
1,32.25,34.65,32.25,33.0,ok,1420416000,14000
2,31.65,33.3,31.65,32.7,ok,1420502400,9600
3,31.95,33.0,31.8,31.8,ok,1420588800,3200
4,31.65,32.85,31.65,32.85,ok,1420675200,6200
5,31.65,32.55,31.5,31.65,ok,1420761600,3900
6,30.45,32.7,29.4,32.7,ok,1421020800,12400
7,28.65,30.3,28.05,30.3,ok,1421107200,14000
8,28.5,28.65,27.75,28.35,ok,1421193600,3900
9,28.2,29.4,27.75,29.1,ok,1421280000,5900
10,26.7,28.2,26.4,28.2,ok,1421366400,11300
11,26.25,26.7,24.75,26.7,ok,1421712000,14700
12,25.65,26.4,23.4,26.25,ok,1421798400,12200
13,28.05,28.2,25.35,26.7,ok,1421884800,9000
14,27.75,28.2,26.85,28.05,ok,1421971200,4900
15,27.6,28.2,27.3,28.2,ok,1422230400,6400
16,27.15,27.6,26.85,27.15,ok,1422316800,2900
17,25.2,27.15,25.2,26.7,ok,1422403200,5800
18,25.95,25.95,24.9,25.05,ok,1422489600,7500
19,25.8,27.0,25.35,25.35,ok,1422576000,4900
20,26.25,27.0,25.65,25.65,ok,1422835200,6500
21,28.2,28.35,26.55,26.55,ok,1422921600,11700
22,27.6,28.5,27.0,28.5,ok,1423008000,6800
23,28.65,28.8,27.45,27.45,ok,1423094400,3500
24,28.35,29.4,28.2,28.65,ok,1423180800,7000
25,26.7,27.9,26.7,27.9,ok,1423440000,11700
26,26.7,27.0,25.95,26.7,ok,1423526400,8600
27,26.1,27.3,25.95,26.4,ok,1423612800,2600
28,26.85,27.15,26.1,26.4,ok,1423699200,4900
29,31.35,36.0,27.0,27.0,ok,1423785600,69700
30,29.4,31.95,29.25,31.65,ok,1424131200,18400
31,29.25,29.85,28.65,29.4,ok,1424217600,6800
32,29.4,30.45,29.1,29.4,ok,1424304000,8700
33,30.0,30.6,28.95,29.7,ok,1424390400,9600
34,30.45,31.35,29.55,30.0,ok,1424649600,13100
35,29.7,30.3,28.95,30.15,ok,1424736000,16600
36,36.3,36.9,29.7,31.65,ok,1424822400,41900
37,42.6,43.05,36.9,38.85,ok,1424908800,46500
38,40.5,46.65,40.35,43.5,ok,1424995200,50900
39,38.1,40.8,37.35,40.8,ok,1425254400,16600
40,36.75,38.25,36.45,37.2,ok,1425340800,16100
41,35.85,37.5,35.4,36.15,ok,1425427200,15100
42,36.75,37.05,35.25,35.25,ok,1425513600,12800
43,37.35,40.65,36.15,36.15,ok,1425600000,10600
44,37.8,38.4,37.35,37.65,ok,1425859200,8800
45,36.6,37.95,36.45,37.2,ok,1425945600,7500
46,39.0,39.15,36.3,37.5,ok,1426032000,7700
47,39.9,40.5,38.7,39.45,ok,1426118400,10100
48,38.1,39.9,37.8,39.45,ok,1426204800,4300
49,37.65,40.2,37.5,38.55,ok,1426464000,13100
50,36.45,37.95,35.7,37.65,ok,1426550400,9500
51,37.65,38.25,35.7,36.6,ok,1426636800,6900
52,37.5,38.25,36.45,37.35,ok,1426723200,7000
53,35.1,37.8,34.95,37.8,ok,1426809600,12700
54,34.05,37.05,33.45,33.9,ok,1427068800,15200
55,35.1,35.55,33.3,33.75,ok,1427155200,5100
56,35.25,36.0,34.65,35.1,ok,1427241600,4900
57,34.8,35.25,33.3,33.9,ok,1427328000,12500
58,34.05,35.1,33.3,34.5,ok,1427414400,7800
59,35.4,35.7,32.85,33.9,ok,1427673600,11900
60,36.0,36.3,34.65,35.4,ok,1427760000,3700
61,36.75,36.9,35.55,35.7,ok,1427846400,2800
62,36.45,37.35,35.7,36.3,ok,1427932800,1400
63,37.35,38.25,33.9,35.1,ok,1428278400,5700
64,34.8,37.05,34.35,36.9,ok,1428364800,10400
65,34.8,35.55,34.05,35.1,ok,1428451200,8100
66,35.25,35.7,34.2,34.2,ok,1428537600,3400
67,36.15,36.45,33.6,33.6,ok,1428624000,4200
68,38.7,38.85,35.1,36.6,ok,1428883200,13300
69,37.2,39.0,35.4,39.0,ok,1428969600,16000
70,39.0,39.15,36.3,37.05,ok,1429056000,12800
71,39.0,39.15,38.4,39.15,ok,1429142400,7600
72,39.3,39.75,38.4,38.7,ok,1429228800,8100
73,40.35,40.95,38.4,39.6,ok,1429488000,11900
74,39.15,41.1,38.7,40.5,ok,1429574400,4000
75,39.15,39.6,38.7,39.3,ok,1429660800,4500
