,c,h,l,o,s,t,v
0,30.0,30.0,30.0,30.0,ok,1539820800,200
1,26.25,26.25,26.25,26.25,ok,1539907200,200
2,29.7,29.7,29.7,29.7,ok,1540339200,100
3,27.1,27.1,27.1,27.1,ok,1540425600,300
4,25.0,27.1,25.0,27.1,ok,1540512000,2600
5,24.38,24.38,24.38,24.38,ok,1540771200,200
6,21.0,23.01,21.0,22.8,ok,1540857600,4600
7,21.39,23.0,20.25,21.0,ok,1540944000,6700
8,19.51,21.6,19.0,21.6,ok,1541030400,2400
9,20.92,21.21,20.5,20.5,ok,1541116800,1100
10,21.0,21.0,21.0,21.0,ok,1541376000,100
11,20.34,21.49,20.06,21.49,ok,1541462400,800
12,17.2,20.54,16.75,20.54,ok,1541548800,5000
13,19.0,19.0,16.95,16.95,ok,1541635200,4400
14,19.0,19.0,19.0,19.0,ok,1541721600,100
15,17.0,17.0,17.0,17.0,ok,1542067200,700
16,16.88,16.88,16.88,16.88,ok,1542153600,300
17,16.75,16.75,15.8,16.75,ok,1542240000,3800
18,16.75,16.75,16.75,16.75,ok,1542326400,100
19,16.0,16.0,15.63,16.0,ok,1542585600,2300
20,15.93,15.93,15.91,15.91,ok,1542758400,600
21,15.27,16.0,15.27,16.0,ok,1542931200,1200
22,12.9,15.14,11.94,15.1,ok,1543190400,16900
23,14.84,15.43,13.1,13.1,ok,1543276800,13700
24,16.72,16.72,15.0,15.01,ok,1543363200,2400
25,16.23,16.23,15.77,16.0,ok,1543449600,2000
26,16.0,16.0,15.99,16.0,ok,1543536000,2100
27,16.0,16.72,15.84,15.84,ok,1543795200,900
28,15.1,15.25,15.1,15.25,ok,1543881600,900
29,14.0,15.27,13.5,15.1,ok,1544054400,2600
30,14.05,14.05,14.05,14.05,ok,1544140800,200
31,14.46,16.7,14.12,14.12,ok,1544400000,600
32,14.34,19.95,14.25,19.0,ok,1544486400,29300
33,13.04,14.5,13.0,14.44,ok,1544572800,1900
34,13.04,13.04,13.04,13.04,ok,1544659200,100
35,11.75,13.17,11.75,13.17,ok,1544745600,1300
36,10.65,11.83,10.65,11.83,ok,1545004800,500
37,12.0,12.0,10.66,10.88,ok,1545091200,2100
38,13.0,13.25,13.0,13.2,ok,1545177600,552900
39,13.0,13.08,13.0,13.02,ok,1545264000,60700
40,13.45,13.5,13.0,13.06,ok,1545350400,28800
41,13.15,13.75,13.0,13.75,ok,1545609600,9500
42,13.0,13.25,12.95,13.25,ok,1545782400,8500
43,13.13,13.24,13.0,13.0,ok,1545868800,6100
44,13.01,13.25,13.01,13.1,ok,1545955200,9600
45,13.01,13.5,13.01,13.25,ok,1546214400,12100
46,13.34,13.37,13.0,13.04,ok,1546387200,3000
47,13.0,13.5,13.0,13.13,ok,1546473600,22900
48,13.21,13.36,13.0,13.06,ok,1546560000,11400
49,13.1,13.35,13.04,13.04,ok,1546819200,11000
50,13.18,13.3,13.1,13.12,ok,1546905600,39100
51,13.97,14.09,13.14,13.5,ok,1546992000,50000
52,13.69,13.99,13.44,13.98,ok,1547078400,23400
53,13.99,13.99,13.55,13.6,ok,1547164800,15100
54,13.94,13.95,13.54,13.7,ok,1547424000,8100
55,13.5,13.98,13.25,13.98,ok,1547510400,44800
56,13.2,13.5,13.05,13.46,ok,1547596800,30300
57,13.25,13.25,12.98,13.17,ok,1547683200,60900
58,13.5,13.8,13.02,13.29,ok,1547769600,162200
59,13.58,13.77,13.03,13.14,ok,1548115200,27700
60,13.55,13.55,11.83,13.55,ok,1548201600,78500
61,13.4,13.6,13.22,13.6,ok,1548288000,28400
62,13.47,13.49,13.15,13.42,ok,1548374400,13700
63,13.25,13.43,13.18,13.18,ok,1548633600,2600
64,13.48,13.5,13.35,13.35,ok,1548720000,34100
65,13.99,14.4,13.55,13.55,ok,1548806400,125100
66,13.91,14.1,13.5,13.76,ok,1548892800,31400
67,13.95,14.1,13.91,14.01,ok,1548979200,15700
68,14.02,14.09,13.9,13.94,ok,1549238400,24700
69,14.0,14.25,14.0,14.13,ok,1549324800,18800
70,14.64,14.65,13.87,14.0,ok,1549411200,64700
71,14.44,14.7,14.21,14.5,ok,1549497600,19100
72,15.0,15.5,14.21,14.21,ok,1549584000,44600
73,15.45,16.25,14.66,15.0,ok,1549843200,31900
74,15.27,15.8,15.04,15.6,ok,1549929600,28900
75,15.39,15.98,14.7,15.15,ok,1550016000,46800
76,15.5,15.75,15.05,15.4,ok,1550102400,14400
77,15.55,15.85,15.18,15.3,ok,1550188800,41300
78,15.69,15.99,15.35,15.65,ok,1550534400,48500
79,15.38,15.99,15.01,15.81,ok,1550620800,56500
80,15.98,15.98,15.3,15.37,ok,1550707200,24900
81,15.99,16.5,15.31,16.0,ok,1550793600,38900
82,15.4,15.83,15.0,15.83,ok,1551052800,38500
83,15.75,15.75,15.2,15.35,ok,1551139200,14900
84,15.7,15.75,15.3,15.74,ok,1551225600,22200
85,15.75,15.9,15.31,15.9,ok,1551312000,11700
86,15.61,15.84,15.27,15.36,ok,1551398400,35800
87,15.45,15.48,15.21,15.27,ok,1551657600,27900
88,15.17,15.53,15.01,15.53,ok,1551744000,26400
89,14.85,15.3,14.7,15.13,ok,1551830400,21500
90,14.75,14.99,14.75,14.86,ok,1551916800,17300
91,14.75,15.0,14.3,14.54,ok,1552003200,37600
92,14.05,14.96,13.5,14.96,ok,1552262400,59500
93,13.95,14.2,13.95,14.09,ok,1552348800,14100
94,14.28,14.4,13.95,13.95,ok,1552435200,32500
95,14.39,14.7,14.15,14.28,ok,1552521600,12900
96,13.99,14.35,13.54,14.25,ok,1552608000,73200
97,14.7,14.9,14.17,14.18,ok,1552867200,18300
98,14.5,14.6,14.31,14.6,ok,1552953600,11800
99,14.48,14.68,14.15,14.68,ok,1553040000,11500
100,14.39,14.39,13.9,14.21,ok,1553126400,37000
101,14.18,14.37,13.8,14.37,ok,1553212800,12100
102,14.0,14.17,13.8,14.17,ok,1553472000,10400
103,13.72,14.18,13.7,14.18,ok,1553558400,21800
104,13.86,14.0,13.6,13.85,ok,1553644800,21600
105,13.85,14.19,13.72,14.01,ok,1553731200,9800
106,13.93,14.06,13.85,13.97,ok,1553817600,18500
107,14.73,14.85,13.73,13.96,ok,1554076800,14900
108,15.45,15.45,14.36,14.75,ok,1554163200,12700
109,14.91,15.61,14.25,15.44,ok,1554249600,12400
110,15.5,15.98,14.92,14.92,ok,1554336000,11500
111,16.0,16.11,15.06,15.5,ok,1554422400,12200
112,15.95,16.0,15.6,15.6,ok,1554681600,10400
113,15.87,15.87,15.09,15.09,ok,1554768000,16100
114,15.85,15.85,15.06,15.61,ok,1554854400,10500
