,c,h,l,o,s,t,v
0,25.5,25.65,18.9,21.0,ok,1539820800,2700
1,26.43,26.43,18.6,18.6,ok,1539907200,500
2,25.5,26.1,25.5,26.1,ok,1540166400,100
3,24.6,24.75,24.6,24.75,ok,1540252800,200
4,26.0,26.0,26.0,26.0,ok,1540339200,400
5,26.0,26.0,26.0,26.0,ok,1540425600,100
6,19.81,19.81,19.8,19.8,ok,1540512000,400
7,19.81,19.81,19.81,19.81,ok,1540771200,100
8,19.81,19.81,19.81,19.81,ok,1540857600,100
9,21.0,23.01,14.0,14.0,ok,1540944000,7600
10,21.0,21.0,21.0,21.0,ok,1541030400,200
11,19.5,19.5,15.0,15.0,ok,1541116800,3200
12,19.5,19.5,19.5,19.5,ok,1541376000,100
13,17.64,19.6,17.64,19.6,ok,1541462400,700
14,19.01,19.3,15.07,16.75,ok,1541548800,13500
15,17.6,19.32,17.6,19.32,ok,1541635200,600
16,17.6,17.6,17.6,17.6,ok,1541721600,100
17,17.31,17.31,16.0,16.0,ok,1542067200,900
18,16.75,16.75,16.5,16.5,ok,1542153600,300
19,15.75,17.0,15.75,15.75,ok,1542240000,1400
20,14.5,15.5,12.96,15.5,ok,1542326400,5000
21,15.75,15.75,13.99,14.26,ok,1542585600,8300
22,16.25,17.34,15.75,15.75,ok,1542672000,800
23,16.0,16.0,16.0,16.0,ok,1542758400,200
24,15.5,15.5,15.5,15.5,ok,1542931200,300
25,12.0,15.0,11.05,15.0,ok,1543190400,5500
26,14.0,14.0,13.4,14.0,ok,1543276800,14800
27,14.1,14.1,14.1,14.1,ok,1543363200,500
28,14.5,14.5,14.25,14.25,ok,1543449600,2200
29,14.3,14.3,14.3,14.3,ok,1543795200,300
30,14.0,14.5,14.0,14.33,ok,1543881600,7300
31,13.93,13.93,13.93,13.93,ok,1544054400,100
32,13.93,13.93,13.93,13.93,ok,1544400000,600
33,13.0,13.0,10.95,11.0,ok,1544486400,23800
34,13.0,13.0,11.6,11.73,ok,1544572800,5700
35,13.17,13.17,13.17,13.17,ok,1544659200,100
36,11.9,11.9,11.9,11.9,ok,1544745600,400
37,11.9,11.9,11.9,11.9,ok,1545004800,100
38,11.5,11.5,8.91,11.0,ok,1545091200,2200
39,11.05,11.05,11.0,11.05,ok,1545177600,3000
40,10.0,11.24,10.0,11.11,ok,1545264000,4400
41,10.0,10.0,10.0,10.0,ok,1545350400,100
42,10.0,10.0,10.0,10.0,ok,1545609600,100
43,10.0,10.0,10.0,10.0,ok,1545782400,100
44,10.02,10.02,9.75,9.75,ok,1545868800,4200
45,10.02,10.02,10.02,10.02,ok,1545955200,100
46,13.95,13.96,11.02,11.02,ok,1546387200,10800
47,13.0,14.0,13.0,14.0,ok,1546473600,3200
48,12.1,12.1,12.1,12.1,ok,1546560000,500
49,11.0,11.0,11.0,11.0,ok,1546819200,400
50,10.0,11.07,10.0,11.05,ok,1546905600,2100
51,12.19,12.19,11.06,11.06,ok,1546992000,1700
52,12.02,13.75,12.02,13.75,ok,1547078400,6200
53,10.8,11.0,10.8,11.0,ok,1547164800,3300
54,12.22,13.71,11.36,13.71,ok,1547424000,5800
55,12.5,12.5,11.5,11.55,ok,1547510400,4700
56,12.0,12.45,11.35,12.45,ok,1547596800,3700
57,12.21,12.22,12.2,12.22,ok,1547683200,1100
58,12.4,12.4,12.4,12.4,ok,1547769600,600
59,11.56,11.56,11.56,11.56,ok,1548115200,1700
