,c,h,l,o,s,t,v
0,9.59,10.61,6.51,6.63,ok,1580256000,3386600
1,7.01,9.4,6.62,9.0,ok,1580342400,938800
2,6.52,7.3,6.1,6.98,ok,1580428800,401000
3,7.25,7.65,6.7,7.15,ok,1580688000,340500
4,6.12,7.18,6.12,7.18,ok,1580774400,265700
5,6.02,6.55,5.67,6.42,ok,1580860800,334600
6,6.16,6.67,6.05,6.06,ok,1580947200,76400
7,5.59,6.15,5.57,6.15,ok,1581033600,104400
8,5.25,5.78,5.25,5.58,ok,1581292800,74500
9,5.22,5.45,5.0,5.25,ok,1581379200,95100
10,5.65,6.0,5.17,5.17,ok,1581465600,112000
11,6.2,7.35,5.42,5.88,ok,1581552000,672100
12,6.75,6.83,6.0,6.16,ok,1581638400,156200
13,6.09,6.66,5.5,6.66,ok,1581984000,117300
14,5.87,6.12,5.76,6.0,ok,1582070400,43800
15,6.0,6.24,5.61,5.98,ok,1582156800,123300
16,5.76,6.01,5.75,5.94,ok,1582243200,33600
17,5.38,5.72,5.12,5.51,ok,1582502400,65600
18,5.42,5.62,5.3,5.37,ok,1582588800,27200
19,4.79,5.88,4.73,5.5,ok,1582675200,80400
20,4.98,5.29,4.51,4.51,ok,1582761600,72300
21,4.85,4.98,4.5,4.98,ok,1582848000,62300
22,5.17,5.28,4.75,4.75,ok,1583107200,39300
23,5.44,5.49,4.82,5.25,ok,1583193600,50500
24,5.03,5.44,4.8,5.44,ok,1583280000,24700
25,5.09,5.09,4.8,5.09,ok,1583366400,40100
26,4.72,4.97,4.67,4.95,ok,1583452800,32100
27,4.39,4.68,4.11,4.55,ok,1583712000,73400
28,4.36,4.36,4.03,4.28,ok,1583798400,2600
29,4.2,4.4,4.05,4.4,ok,1583884800,25500
30,3.57,4.04,3.54,4.04,ok,1583971200,32300
31,3.99,3.99,3.48,3.5,ok,1584057600,28300
32,3.31,3.75,3.16,3.5,ok,1584316800,44500
33,3.2,3.6,3.11,3.59,ok,1584403200,14800
34,2.86,3.11,2.86,3.02,ok,1584489600,17200
35,2.66,2.97,2.66,2.77,ok,1584576000,32500
36,2.8,3.0,2.5,2.66,ok,1584662400,29900
37,2.75,2.85,2.42,2.85,ok,1584921600,17300
38,3.41,3.64,2.8,2.89,ok,1585008000,41200
39,3.55,3.85,3.41,3.64,ok,1585094400,13800
40,3.63,3.82,3.55,3.66,ok,1585180800,6900
41,3.55,3.71,3.55,3.63,ok,1585267200,3000
42,3.44,3.44,3.21,3.21,ok,1585526400,7200
43,3.0,3.37,2.8,3.27,ok,1585612800,10800
44,3.19,3.2,2.65,2.75,ok,1585699200,13400
45,2.5,3.22,2.5,3.22,ok,1585785600,3500
46,3.07,3.34,2.67,3.07,ok,1585872000,27300
47,2.82,3.7,2.82,3.25,ok,1586131200,33400
48,2.95,3.2,2.83,3.05,ok,1586217600,7200
49,3.13,3.38,3.0,3.38,ok,1586304000,2400
50,3.13,3.58,2.9,3.49,ok,1586390400,26200
51,2.93,3.12,2.93,3.1,ok,1586736000,5800
52,3.1,3.3,3.08,3.27,ok,1586822400,22000
53,3.8,4.0,3.2,3.21,ok,1586908800,58700
54,3.7,4.06,3.7,3.87,ok,1586995200,55700
55,3.8,4.11,3.65,4.11,ok,1587081600,19800
56,3.75,3.91,3.56,3.56,ok,1587340800,25600
57,3.8,3.9,3.6,3.8,ok,1587427200,17200
58,3.88,4.0,3.79,3.83,ok,1587513600,30500
59,3.89,4.69,3.73,4.26,ok,1587600000,219000
60,3.89,3.89,3.75,3.79,ok,1587686400,19100
61,3.92,4.28,3.85,4.28,ok,1587945600,31200
62,3.8,4.0,3.7,3.95,ok,1588032000,18800
63,3.66,3.87,3.33,3.86,ok,1588118400,20300
64,3.85,3.85,3.69,3.75,ok,1588204800,36900
65,3.7,3.9,3.39,3.39,ok,1588291200,23000
66,3.65,3.66,3.34,3.34,ok,1588550400,8100
67,3.62,3.71,3.49,3.49,ok,1588636800,9000
68,3.67,3.68,3.49,3.68,ok,1588723200,2400
69,3.56,3.87,3.56,3.67,ok,1588809600,23900
70,3.54,3.66,3.5,3.64,ok,1588896000,6600
71,3.65,3.75,3.54,3.67,ok,1589155200,34600
72,3.61,3.64,3.59,3.64,ok,1589241600,1100
73,3.62,3.79,3.5,3.79,ok,1589328000,8900
74,3.45,3.46,3.36,3.37,ok,1589414400,8800
75,3.57,3.57,3.4,3.45,ok,1589500800,8200
76,4.82,4.92,3.93,4.0,ok,1589760000,375000
77,4.75,5.02,4.31,4.96,ok,1589846400,94600
78,4.51,4.75,4.01,4.75,ok,1589932800,39100
79,4.56,4.75,4.36,4.48,ok,1590019200,16700
80,4.61,4.7,4.55,4.7,ok,1590105600,5000
81,4.46,4.75,4.19,4.75,ok,1590451200,5400
82,4.81,5.58,4.27,4.8,ok,1590537600,276800
83,4.4,4.75,4.31,4.75,ok,1590624000,38900
84,4.44,4.6,4.21,4.32,ok,1590710400,10700
