,c,h,l,o,s,t,v
0,39.6758,39.9458,39.4758,39.9258,ok,1420156800,58500
1,39.0493,39.4993,38.9993,39.4993,ok,1420416000,129900
2,38.7833,39.2433,38.5933,39.2033,ok,1420502400,50900
3,39.1609,39.2309,38.9209,39.1009,ok,1420588800,97100
4,39.6844,39.7544,39.4644,39.6144,ok,1420675200,103300
5,39.5471,39.8671,39.4271,39.8671,ok,1420761600,46700
6,39.3497,39.6597,39.2197,39.6497,ok,1421020800,200000
7,39.3326,39.8826,39.0626,39.7126,ok,1421107200,30100
8,39.2382,39.2781,38.8982,39.0782,ok,1421193600,83400
9,39.0837,39.4737,39.0837,39.4737,ok,1421280000,285600
10,39.5042,39.5042,39.0142,39.0742,ok,1421366400,84700
11,39.5042,39.7142,39.2842,39.7142,ok,1421712000,153700
12,39.7359,39.7759,39.3859,39.4859,ok,1421798400,45700
13,40.1994,40.2594,39.6294,39.8894,ok,1421884800,52200
14,40.0191,40.2691,40.0191,40.2691,ok,1421971200,134300
15,40.2852,40.2952,40.0052,40.1452,ok,1422230400,69800
16,40.0706,40.2006,39.9106,40.0306,ok,1422316800,28800
17,39.6587,40.3887,39.6287,40.3887,ok,1422403200,55400
18,39.9505,39.9805,39.4805,39.7905,ok,1422489600,38500
19,39.4441,39.8641,39.4241,39.7341,ok,1422576000,46800
20,39.7617,39.7617,39.2017,39.7417,ok,1422835200,40800
21,40.0792,40.1092,39.6592,39.7692,ok,1422921600,81100
22,39.9247,40.1847,39.9147,40.0047,ok,1423008000,28900
23,40.3367,40.3367,39.8467,40.1867,ok,1423094400,27700
24,40.0363,40.3163,39.9563,40.3163,ok,1423180800,36700
25,39.8904,40.0104,39.7504,39.9104,ok,1423440000,40700
26,40.165,40.165,39.895,40.065,ok,1423526400,26000
27,40.0535,40.1335,39.8835,40.0435,ok,1423612800,34400
28,40.4911,40.4911,40.1311,40.1311,ok,1423699200,38000
29,40.6456,40.7856,40.5156,40.6356,ok,1423785600,32300
30,40.6285,40.7285,40.4385,40.4385,ok,1424131200,32000
31,40.7486,40.7886,40.4886,40.4886,ok,1424217600,21900
32,40.8087,40.8887,40.6187,40.6487,ok,1424304000,145800
33,41.0919,41.0919,40.5619,40.7719,ok,1424390400,39200
34,40.9889,41.0889,40.8489,41.0889,ok,1424649600,78700
35,41.1005,41.2505,40.9505,41.0605,ok,1424736000,69400
36,41.152,41.252,41.002,41.002,ok,1424822400,31500
37,41.0404,41.2404,40.9704,41.2204,ok,1424908800,25200
38,41.0919,41.2119,41.0019,41.1819,ok,1424995200,49700
39,41.0747,41.2447,41.0047,41.2447,ok,1425254400,66200
40,40.9804,41.2304,40.8503,41.2304,ok,1425340800,29300
41,40.8516,41.0016,40.5616,41.0016,ok,1425427200,36000
42,40.9117,41.0817,40.7617,41.0817,ok,1425513600,48200
43,40.371,40.931,40.331,40.931,ok,1425600000,32200
44,40.4997,40.5597,40.3597,40.5497,ok,1425859200,73000
45,39.9333,40.2933,39.9033,40.2933,ok,1425945600,47800
46,39.9762,40.0562,39.8662,40.0262,ok,1426032000,35400
47,40.371,40.371,39.961,39.961,ok,1426118400,56300
48,40.165,40.335,39.895,40.335,ok,1426204800,83900
49,40.5427,40.5427,40.2927,40.3027,ok,1426464000,29800
50,40.5083,40.5383,40.2783,40.4183,ok,1426550400,26000
51,41.0061,41.1261,40.2861,40.3661,ok,1426636800,24400
52,40.7744,40.9644,40.6844,40.8444,ok,1426723200,22500
53,41.2292,41.4092,40.9692,40.9692,ok,1426809600,24900
54,41.3751,41.4551,41.2551,41.3151,ok,1427068800,70500
55,41.2893,41.4393,41.2493,41.3993,ok,1427155200,41900
56,40.9117,41.5317,40.8717,41.5317,ok,1427241600,57100
57,40.7057,40.7957,40.4857,40.7957,ok,1427328000,44800
58,40.8001,40.8001,40.5701,40.5901,ok,1427414400,19600
59,41.0318,41.2318,40.8918,41.0418,ok,1427673600,60200
60,40.7658,40.9658,40.6558,40.9558,ok,1427760000,46400
61,40.7915,41.2615,40.6315,41.2615,ok,1427846400,22600
62,41.0368,41.0768,40.8868,40.8868,ok,1427932800,21000
63,41.3121,41.4721,40.8821,40.8821,ok,1428278400,57000
64,41.2261,41.4661,41.1861,41.4261,ok,1428364800,43500
65,41.4068,41.5268,41.2468,41.3868,ok,1428451200,26100
66,41.5014,41.5214,41.2814,41.4614,ok,1428537600,36900
67,41.6219,41.6519,41.4719,41.6519,ok,1428624000,29900
68,41.4498,41.7298,41.3998,41.7298,ok,1428883200,54200
69,41.6047,41.6447,41.4447,41.4447,ok,1428969600,38400
70,41.7166,41.8866,41.6466,41.7966,ok,1429056000,60300
71,41.8284,41.9284,41.6384,41.7584,ok,1429142400,29700
72,41.4154,41.7954,41.2254,41.7254,ok,1429228800,52200
73,41.5789,41.6689,41.4089,41.6689,ok,1429488000,45400
74,41.6219,41.9219,41.6219,41.6819,ok,1429574400,37900
75,41.6994,41.8194,41.5394,41.6794,ok,1429660800,26400
76,41.9489,42.0289,41.6289,41.6989,ok,1429747200,25200
77,41.9833,42.0933,41.9433,42.0833,ok,1429833600,21200
78,42.0522,42.2522,42.0522,42.2522,ok,1430092800,50100
79,42.0522,42.1422,41.8422,42.1222,ok,1430179200,53200
80,41.8973,41.9673,41.6773,41.8573,ok,1430265600,70900
81,41.4412,41.8812,41.4012,41.8812,ok,1430352000,52800
82,41.7682,41.7782,41.4982,41.6982,ok,1430438400,36300
83,41.8112,41.9712,41.7912,41.9612,ok,1430697600,113200
84,41.3638,41.9438,41.3638,41.9338,ok,1430784000,20200
85,41.2433,41.6733,41.1233,41.4433,ok,1430870400,40700
86,41.3035,41.4035,41.1435,41.3235,ok,1430956800,20600
87,41.9145,42.0445,41.6845,41.6845,ok,1431043200,43400
88,41.6994,41.9594,41.6294,41.9594,ok,1431302400,29600
89,41.6391,41.6691,41.3591,41.5691,ok,1431388800,14200
90,41.7252,41.9852,41.6252,41.7452,ok,1431475200,17700
91,42.0866,42.1166,41.8766,41.9566,ok,1431561600,24100
92,42.164,42.214,41.994,42.164,ok,1431648000,16100
93,42.1726,42.2626,42.0426,42.1826,ok,1431907200,32800
94,42.0263,42.1363,41.9563,42.1163,ok,1431993600,24700
95,42.0607,42.2207,41.9907,42.2207,ok,1432080000,22400
96,42.1898,42.2298,42.0598,42.0598,ok,1432166400,27900
97,42.1124,42.2224,42.0324,42.2224,ok,1432252800,42000
98,41.6821,42.1422,41.5921,42.1422,ok,1432598400,37500
99,41.9833,41.9833,41.6733,41.8133,ok,1432684800,23500
100,41.8801,43.1501,41.6001,42.8601,ok,1432771200,46100
101,41.5445,41.9845,41.5345,41.9845,ok,1432857600,33500
102,41.6047,41.8747,41.3947,41.6847,ok,1433116800,87300
103,41.6219,41.7519,41.4619,41.4619,ok,1433203200,80800
104,41.6908,41.8108,41.6108,41.6208,ok,1433289600,42900
105,41.3552,41.6852,41.3452,41.6852,ok,1433376000,31500
106,41.1572,41.2672,40.9572,41.2672,ok,1433462400,55400
107,41.054,41.224,40.944,41.224,ok,1433721600,31800
108,40.9077,41.0577,40.7677,41.0577,ok,1433808000,29600
109,41.424,41.464,40.944,40.944,ok,1433894400,15800
110,41.5445,41.5845,41.3645,41.5845,ok,1433980800,35300
111,41.3379,41.4879,41.2379,41.4879,ok,1434067200,33200
112,41.1228,42.1028,40.9228,42.1028,ok,1434326400,30800
113,41.2519,41.2619,40.9619,40.9719,ok,1434412800,55500
114,41.2863,41.3363,40.8763,41.3063,ok,1434499200,20900
115,41.5445,41.6645,41.3345,41.4345,ok,1434585600,69200
116,41.3982,41.6382,41.3882,41.4682,ok,1434672000,55200
117,41.8198,41.9298,41.7098,41.7198,ok,1434931200,45000
118,41.8887,41.9687,41.7687,41.9687,ok,1435017600,31800
119,41.6219,41.8819,41.5219,41.8819,ok,1435104000,41900
120,41.5703,41.8103,41.4503,41.8103,ok,1435190400,23800
121,41.51,41.62,41.39,41.54,ok,1435276800,21800
122,40.6323,41.3723,40.6323,41.2223,ok,1435536000,33900
123,40.8131,40.9731,40.6931,40.9331,ok,1435622400,31300
124,40.9593,41.2393,40.5593,41.2393,ok,1435708800,37300
125,41.0192,41.1692,40.8492,41.1692,ok,1435795200,31800
126,40.6025,41.0725,40.4225,41.0725,ok,1436140800,32800
127,40.6893,40.7393,39.9093,40.7393,ok,1436227200,42600
128,40.0122,40.4222,39.9922,40.4222,ok,1436313600,52300
129,40.264,40.814,40.164,40.604,ok,1436400000,40800
130,40.889,40.909,40.679,40.709,ok,1436486400,28700
131,41.1755,41.7855,40.9855,41.7855,ok,1436745600,45700
132,41.245,41.355,41.165,41.235,ok,1436832000,19900
133,41.1755,41.4455,41.1655,41.4455,ok,1436918400,20700
134,41.5227,41.5527,41.4227,41.4527,ok,1437004800,41200
135,41.4793,41.4793,41.3693,41.4593,ok,1437091200,41700
136,41.5227,41.5827,41.3527,41.5327,ok,1437350400,20900
137,41.4273,41.5673,41.3073,41.4073,ok,1437436800,41900
138,41.245,41.325,41.055,41.325,ok,1437523200,18000
