,c,h,l,o,s,t,v
0,2.61,2.61,2.51,2.57,ok,1420156800,239200
1,2.55,2.61,2.53,2.61,ok,1420416000,178400
2,2.55,2.59,2.53,2.56,ok,1420502400,246500
3,2.66,2.67,2.55,2.56,ok,1420588800,448600
4,2.65,2.74,2.61,2.66,ok,1420675200,394900
5,2.62,2.71,2.6,2.62,ok,1420761600,184500
6,2.74,2.74,2.59,2.6,ok,1421020800,703000
7,2.64,2.82,2.6,2.78,ok,1421107200,614500
8,2.65,2.65,2.6,2.64,ok,1421193600,204200
9,2.53,2.67,2.52,2.65,ok,1421280000,466500
10,2.58,2.58,2.48,2.49,ok,1421366400,336700
11,2.59,2.62,2.55,2.55,ok,1421712000,301200
12,2.57,2.63,2.56,2.6,ok,1421798400,227700
13,2.6,2.62,2.55,2.55,ok,1421884800,266500
14,2.57,2.6,2.54,2.6,ok,1421971200,168500
15,2.6,2.61,2.55,2.55,ok,1422230400,179400
16,2.56,2.62,2.55,2.55,ok,1422316800,265200
17,2.63,2.63,2.56,2.59,ok,1422403200,256300
18,2.59,2.68,2.57,2.58,ok,1422489600,276300
19,2.6,2.63,2.58,2.58,ok,1422576000,87900
20,2.63,2.66,2.57,2.59,ok,1422835200,120900
21,2.59,2.65,2.57,2.6,ok,1422921600,120300
22,2.61,2.63,2.58,2.61,ok,1423008000,102900
23,2.62,2.65,2.58,2.65,ok,1423094400,106200
24,2.61,2.65,2.59,2.63,ok,1423180800,81000
25,2.61,2.63,2.58,2.61,ok,1423440000,91600
26,2.71,2.72,2.59,2.62,ok,1423526400,556200
27,2.69,2.75,2.65,2.72,ok,1423612800,181400
28,2.71,2.71,2.67,2.69,ok,1423699200,83400
29,2.88,2.88,2.7,2.72,ok,1423785600,502100
30,2.85,2.9,2.75,2.88,ok,1424131200,297300
31,2.77,2.86,2.76,2.84,ok,1424217600,171100
32,2.85,2.89,2.7,2.74,ok,1424304000,182600
33,2.76,2.85,2.75,2.85,ok,1424390400,134700
34,2.73,2.82,2.72,2.76,ok,1424649600,151600
35,2.71,2.81,2.7,2.71,ok,1424736000,86900
36,2.7,2.8,2.68,2.72,ok,1424822400,143900
37,2.8,2.86,2.69,2.7,ok,1424908800,241000
38,2.78,2.84,2.74,2.8,ok,1424995200,86800
39,2.84,2.87,2.8,2.82,ok,1425254400,127500
40,2.8,2.91,2.79,2.84,ok,1425340800,167000
41,2.82,2.85,2.79,2.85,ok,1425427200,110400
42,2.85,2.85,2.78,2.84,ok,1425513600,150400
43,2.51,2.71,2.45,2.71,ok,1425600000,454400
44,2.32,2.48,2.28,2.45,ok,1425859200,341200
45,2.27,2.32,2.24,2.25,ok,1425945600,204800
46,2.28,2.35,2.23,2.27,ok,1426032000,279800
47,2.33,2.33,2.3,2.3,ok,1426118400,211500
48,2.4,2.4,2.3,2.31,ok,1426204800,214300
49,2.3,2.38,2.25,2.36,ok,1426464000,144700
50,2.31,2.34,2.25,2.32,ok,1426550400,91700
51,2.27,2.3,2.2,2.3,ok,1426636800,230600
52,2.26,2.29,2.23,2.28,ok,1426723200,105000
53,2.25,2.3,2.24,2.28,ok,1426809600,133900
54,2.26,2.28,2.22,2.26,ok,1427068800,68300
55,2.29,2.36,2.24,2.25,ok,1427155200,142600
56,2.27,2.31,2.2,2.28,ok,1427241600,122200
