,c,h,l,o,s,t,v
0,10.15,10.15,10.08,10.11,ok,1568678400,4155200
1,10.14,10.15,10.12,10.13,ok,1568764800,901700
2,10.13,10.16,10.13,10.16,ok,1568851200,184000
3,10.15,10.15,10.13,10.15,ok,1568937600,108800
4,10.15,10.17,10.15,10.15,ok,1569196800,172900
5,10.149,10.17,10.14,10.17,ok,1569283200,13100
6,10.15,10.25,10.14,10.14,ok,1569369600,23000
7,10.19,10.19,10.17,10.17,ok,1569542400,204100
8,10.19,10.19,10.16,10.17,ok,1569801600,60000
9,10.19,10.197,10.19,10.19,ok,1569888000,1500
10,10.18,10.184,10.18,10.184,ok,1569974400,29600
11,10.18,10.18,10.175,10.18,ok,1570060800,3400
12,10.186,10.186,10.186,10.186,ok,1570147200,200
13,10.18,10.19,10.18,10.187,ok,1570406400,3400
14,10.183,10.186,10.17,10.18,ok,1570492800,501300
15,10.2,10.2,10.2,10.2,ok,1570579200,100
16,10.207,10.207,10.18,10.2,ok,1570665600,6000
17,10.2,10.25,10.0,10.0,ok,1570752000,61400
18,10.2,10.25,10.2,10.25,ok,1571011200,6200
19,10.24,10.24,10.2,10.2,ok,1571097600,12000
20,10.24,10.24,10.2,10.22,ok,1571184000,19100
21,10.25,10.28,10.18,10.19,ok,1571270400,90700
22,10.24,10.24,10.22,10.22,ok,1571356800,109700
23,10.24,10.24,10.18,10.18,ok,1571616000,36100
24,10.24,10.25,10.22,10.25,ok,1571702400,26200
25,10.225,10.24,10.225,10.24,ok,1571788800,10500
26,10.25,10.25,10.201,10.201,ok,1571875200,9800
27,10.247,10.255,10.21,10.21,ok,1571961600,12800
28,10.28,10.28,10.216,10.24,ok,1572220800,29100
29,10.285,10.3,10.18,10.18,ok,1572393600,25700
30,10.25,10.28,10.25,10.25,ok,1572480000,689700
31,10.27,10.3,10.27,10.3,ok,1572566400,1500
32,10.27,10.27,10.25,10.25,ok,1572825600,800
33,10.3,10.3,10.3,10.3,ok,1572912000,319000
34,10.32,10.32,10.27,10.29,ok,1572998400,27200
35,10.35,10.35,10.1,10.1,ok,1573084800,8900
36,10.35,10.35,10.27,10.29,ok,1573171200,4000
37,10.34,10.34,10.27,10.296,ok,1573430400,400
38,10.33,10.33,10.27,10.27,ok,1573516800,600
39,10.33,10.33,10.31,10.31,ok,1573603200,200
40,10.34,10.34,10.34,10.34,ok,1573776000,400
