,c,h,l,o,s,t,v
0,0.007,0.007,0.007,0.007,ok,1483920000,200
1,0.166,0.166,0.1,0.1,ok,1484006400,1400
2,26.49,26.49,5.2,5.2,ok,1484092800,2900
3,17.21,30.5,14.01,30.5,ok,1484179200,2600
4,15.6,17.15,14.1,17.15,ok,1484265600,1900
5,17.03,19.72,17.03,17.67,ok,1484611200,1700
6,16.06,16.93,16.06,16.43,ok,1484697600,1000
7,24.2,24.778,16.4,17.77,ok,1484784000,57300
8,23.29,24.0,19.36,22.0,ok,1484870400,117000
9,20.34,23.1,20.05,23.1,ok,1485129600,48300
10,15.18,19.94,14.78,19.0,ok,1485216000,82400
11,15.12,16.61,14.98,15.3,ok,1485302400,104300
12,14.66,15.1,14.3,15.0,ok,1485388800,77400
13,11.95,15.09,11.5,14.85,ok,1485475200,80100
14,13.07,14.0,11.54,11.54,ok,1485734400,30000
15,13.8,14.54,12.8,12.8,ok,1485820800,56200
16,12.61,13.75,12.525,13.75,ok,1485907200,34600
17,12.65,13.0,12.54,12.593,ok,1485993600,19800
18,13.15,13.78,12.61,12.97,ok,1486080000,29800
19,15.76,16.4,12.88,12.89,ok,1486339200,56200
20,16.91,17.403,15.54,16.5,ok,1486425600,52400
21,18.01,18.5,17.545,18.0,ok,1486512000,47900
22,17.55,18.81,17.15,18.55,ok,1486598400,34200
23,15.21,16.17,14.44,16.13,ok,1486684800,47600
24,15.01,16.032,15.0,16.0,ok,1486944000,24200
25,14.1,15.5,13.75,14.0,ok,1487030400,27400
26,16.75,18.562,14.55,15.25,ok,1487116800,118500
27,15.49,18.25,15.27,18.25,ok,1487203200,44700
28,15.3,17.51,14.75,15.17,ok,1487289600,77000
29,15.26,16.26,15.25,15.28,ok,1487635200,62800
30,15.12,16.14,15.0,15.3,ok,1487721600,83800
31,14.75,15.94,14.75,15.4,ok,1487808000,42100
32,13.9,15.5,13.8,14.65,ok,1487894400,51200
33,14.2,14.48,13.75,13.94,ok,1488153600,29400
34,14.22,14.83,14.05,14.43,ok,1488240000,49500
35,14.65,15.0,14.2,14.51,ok,1488326400,26300
36,14.58,15.308,14.33,14.5,ok,1488412800,37900
37,14.52,15.287,14.3,14.5,ok,1488499200,42400
38,13.98,15.47,13.68,14.33,ok,1488758400,93400
39,13.51,14.79,13.5,13.93,ok,1488844800,50200
40,13.78,14.19,13.17,13.5,ok,1488931200,46800
41,13.6,14.05,13.17,14.05,ok,1489017600,21100
42,13.31,14.1,13.19,13.5,ok,1489104000,40900
43,12.9,13.35,12.63,13.35,ok,1489363200,64600
44,12.26,13.03,12.13,12.84,ok,1489449600,23200
45,12.18,12.67,12.03,12.32,ok,1489536000,22500
46,12.02,12.7,12.02,12.07,ok,1489622400,28600
47,10.75,12.09,10.39,12.09,ok,1489708800,96500
48,10.73,10.82,10.1,10.7,ok,1489968000,46300
49,10.73,10.75,10.46,10.72,ok,1490054400,16700
50,10.44,11.49,10.15,10.65,ok,1490140800,18100
51,10.25,10.75,10.15,10.15,ok,1490227200,10700
