,c,h,l,o,s,t,v
0,26.67,27.58,25.76,26.46,ok,1420156800,6000
1,27.65,29.12,25.9,26.67,ok,1420416000,21700
2,27.79,29.4,26.81,27.93,ok,1420502400,17600
3,28.0,28.49,27.16,27.72,ok,1420588800,19300
4,29.75,30.66,28.28,28.42,ok,1420675200,28100
5,37.03,41.72,29.19,29.19,ok,1420761600,431100
6,39.2,42.7,36.26,36.75,ok,1421020800,98300
7,42.35,45.15,38.78,38.78,ok,1421107200,117500
8,46.97,48.23,39.97,41.51,ok,1421193600,137900
9,44.94,49.35,43.4,47.32,ok,1421280000,135700
10,48.86,49.0,44.17,45.08,ok,1421366400,57200
11,49.91,54.53,48.3,51.1,ok,1421712000,130900
12,47.18,51.45,42.98,49.98,ok,1421798400,63500
13,45.71,47.81,44.03,47.11,ok,1421884800,30400
14,44.8,48.51,43.96,45.64,ok,1421971200,21900
15,44.87,46.27,43.33,44.8,ok,1422230400,20100
16,47.11,48.37,43.61,45.36,ok,1422316800,29300
17,43.47,48.65,42.35,47.6,ok,1422403200,21600
18,44.73,44.94,42.07,43.82,ok,1422489600,30800
19,43.19,44.73,40.88,44.17,ok,1422576000,34000
20,40.18,43.89,39.97,43.89,ok,1422835200,16300
21,41.65,42.0,38.29,39.97,ok,1422921600,27100
22,42.63,44.17,39.48,41.3,ok,1423008000,15100
23,45.15,46.55,40.74,43.33,ok,1423094400,23500
24,45.08,47.04,43.19,45.29,ok,1423180800,14700
25,43.33,46.34,41.86,46.34,ok,1423440000,16700
26,42.56,44.45,42.14,43.4,ok,1423526400,10400
27,40.95,43.12,40.95,42.77,ok,1423612800,25700
28,43.33,44.1,38.5,41.44,ok,1423699200,32900
29,48.44,50.19,42.28,43.33,ok,1423785600,47800
30,52.36,53.13,48.65,48.65,ok,1424131200,65400
31,50.54,54.46,50.4,54.46,ok,1424217600,44800
32,50.33,51.8,49.35,50.82,ok,1424304000,15700
33,52.01,54.32,50.26,50.26,ok,1424390400,52700
34,52.43,55.51,51.8,52.15,ok,1424649600,69000
35,51.03,54.18,50.4,53.69,ok,1424736000,28100
36,50.96,51.87,49.42,51.45,ok,1424822400,21900
37,53.2,54.18,50.96,51.31,ok,1424908800,54100
38,52.71,58.1,51.8,53.2,ok,1424995200,63900
39,51.31,53.62,50.75,53.62,ok,1425254400,36500
40,50.4,51.52,49.35,51.52,ok,1425340800,20100
41,51.87,51.87,47.88,50.54,ok,1425427200,23600
42,50.96,52.57,49.14,52.57,ok,1425513600,28000
43,49.35,52.22,48.02,50.96,ok,1425600000,22400
44,49.28,49.84,48.51,49.84,ok,1425859200,14500
45,49.77,51.94,40.46,41.23,ok,1425945600,170400
46,48.86,52.22,47.95,50.05,ok,1426032000,51500
47,48.79,50.68,47.04,50.68,ok,1426118400,38200
48,44.8,49.0,44.59,48.44,ok,1426204800,77500
49,40.53,45.22,39.06,45.01,ok,1426464000,59900
50,36.96,41.16,36.68,40.04,ok,1426550400,51300
51,38.22,40.46,36.54,36.75,ok,1426636800,34300
52,39.83,40.11,37.17,38.15,ok,1426723200,23700
53,38.78,41.58,38.5,39.83,ok,1426809600,28600
54,38.22,41.02,38.15,38.64,ok,1427068800,42400
55,40.32,41.09,37.87,38.01,ok,1427155200,52300
56,41.09,41.79,38.99,40.6,ok,1427241600,43700
