,c,h,l,o,s,t,v
0,1.26,1.32,1.23,1.26,ok,1420156800,134600
1,1.34,1.41,1.23,1.25,ok,1420416000,227500
2,1.42,1.44,1.31,1.38,ok,1420502400,142500
3,1.37,1.44,1.32,1.41,ok,1420588800,140800
4,1.44,1.45,1.34,1.34,ok,1420675200,90200
5,1.49,1.5,1.38,1.39,ok,1420761600,104300
6,1.6,1.62,1.47,1.51,ok,1421020800,175400
7,1.53,1.64,1.53,1.64,ok,1421107200,128600
8,1.41,1.58,1.41,1.54,ok,1421193600,171400
9,1.48,1.53,1.43,1.43,ok,1421280000,143600
10,1.69,1.69,1.5,1.53,ok,1421366400,233800
11,1.84,1.9,1.7,1.7,ok,1421712000,487500
12,1.81,1.97,1.75,1.89,ok,1421798400,258400
13,1.73,1.8,1.72,1.8,ok,1421884800,122600
14,1.67,1.72,1.63,1.7,ok,1421971200,183500
15,1.67,1.67,1.51,1.6,ok,1422230400,206700
16,1.56,1.74,1.56,1.67,ok,1422316800,185700
17,1.57,1.64,1.55,1.62,ok,1422403200,151900
18,1.48,1.56,1.46,1.53,ok,1422489600,242200
19,1.59,1.6,1.51,1.52,ok,1422576000,94900
20,1.64,1.65,1.55,1.58,ok,1422835200,145900
21,1.61,1.69,1.55,1.68,ok,1422921600,108900
22,1.71,1.72,1.59,1.69,ok,1423008000,110800
23,1.69,1.74,1.67,1.71,ok,1423094400,65300
24,1.58,1.68,1.56,1.66,ok,1423180800,126300
25,1.57,1.7,1.57,1.61,ok,1423440000,89400
26,1.62,1.64,1.55,1.58,ok,1423526400,40700
27,1.52,1.65,1.51,1.63,ok,1423612800,86400
28,1.55,1.62,1.53,1.57,ok,1423699200,49900
29,1.63,1.69,1.58,1.58,ok,1423785600,94900
30,1.61,1.63,1.57,1.58,ok,1424131200,80700
31,1.57,1.61,1.53,1.56,ok,1424217600,87400
32,1.55,1.62,1.55,1.62,ok,1424304000,58100
