,c,h,l,o,s,t,v
0,16.05,16.56,15.73,16.17,ok,1420156800,497100
1,16.03,16.32,15.87,16.02,ok,1420416000,594800
2,15.8,16.3,15.41,16.09,ok,1420502400,605200
3,16.22,16.22,15.74,15.89,ok,1420588800,614700
4,17.24,17.32,16.27,16.4,ok,1420675200,1793000
5,17.3,17.5,17.08,17.31,ok,1420761600,773000
6,17.67,17.83,17.42,17.5,ok,1421020800,751700
7,18.11,18.28,17.76,17.88,ok,1421107200,1395600
8,18.05,18.18,17.73,17.87,ok,1421193600,402200
9,17.65,18.23,17.58,18.12,ok,1421280000,675600
10,20.2,20.24,17.76,19.0,ok,1421366400,6357400
11,18.84,20.51,18.55,20.16,ok,1421712000,3477400
12,18.87,19.31,18.52,18.8,ok,1421798400,1565600
13,18.96,19.14,18.22,18.95,ok,1421884800,874600
14,18.72,19.19,18.6,19.0,ok,1421971200,638400
15,19.27,19.35,18.43,18.57,ok,1422230400,926500
16,19.29,19.47,18.94,19.03,ok,1422316800,562900
17,18.42,19.54,18.35,19.34,ok,1422403200,925600
18,18.86,18.93,18.11,18.42,ok,1422489600,761500
19,18.27,18.93,18.02,18.71,ok,1422576000,1029800
20,18.09,18.32,17.67,18.26,ok,1422835200,640000
21,17.89,18.24,17.57,18.08,ok,1422921600,645500
22,17.61,17.89,17.25,17.88,ok,1423008000,662300
23,17.86,18.01,17.62,17.69,ok,1423094400,591300
24,17.78,18.1,17.56,17.78,ok,1423180800,614700
25,17.63,18.17,17.55,17.76,ok,1423440000,468200
26,18.31,18.44,17.71,17.71,ok,1423526400,614500
27,18.5,18.58,17.85,18.25,ok,1423612800,938100
28,18.18,18.81,18.02,18.72,ok,1423699200,627500
29,18.38,18.57,18.02,18.27,ok,1423785600,835300
30,19.14,19.17,18.51,18.96,ok,1424131200,1234900
31,19.61,19.64,18.87,19.0,ok,1424217600,1684100
32,19.7,19.85,19.37,19.6,ok,1424304000,975700
33,20.02,20.04,19.57,19.75,ok,1424390400,1057900
34,20.5,20.63,19.9,20.19,ok,1424649600,2370900
35,22.71,22.94,21.21,21.75,ok,1424736000,5635800
36,22.52,22.85,22.06,22.83,ok,1424822400,1521200
37,22.6,23.2,22.59,22.6,ok,1424908800,1689000
38,21.95,22.84,21.84,22.63,ok,1424995200,1632200
39,23.06,23.08,21.73,21.74,ok,1425254400,1893700
40,22.99,23.64,22.8,23.06,ok,1425340800,2964600
41,23.65,23.78,22.51,22.89,ok,1425427200,1441600
42,24.21,24.64,23.8,23.87,ok,1425513600,2384700
43,23.44,24.52,23.26,24.52,ok,1425600000,1925800
44,24.14,24.19,23.06,23.48,ok,1425859200,1474500
45,23.88,24.11,23.65,23.83,ok,1425945600,1921800
46,24.49,24.51,23.86,23.95,ok,1426032000,1990100
47,24.88,25.0,24.28,24.5,ok,1426118400,1176100
48,25.2,25.29,24.1,24.22,ok,1426204800,3589200
49,24.7,25.54,24.58,25.5,ok,1426464000,2404500
50,24.55,24.58,23.86,24.49,ok,1426550400,1714800
51,24.72,24.88,24.23,24.46,ok,1426636800,1020600
52,24.87,25.0,23.7,24.18,ok,1426723200,1675700
53,24.12,25.3,23.65,25.23,ok,1426809600,3615900
54,23.79,24.21,23.55,23.98,ok,1427068800,882300
55,24.26,24.69,23.8,23.94,ok,1427155200,806200
56,22.32,24.38,22.26,24.35,ok,1427241600,1787300
57,21.87,22.67,21.21,22.02,ok,1427328000,1890500
58,22.67,22.85,21.91,21.95,ok,1427414400,1001500
59,22.83,23.29,22.61,23.0,ok,1427673600,728300
60,22.41,22.92,22.35,22.76,ok,1427760000,827600
61,22.58,22.62,21.84,22.42,ok,1427846400,1657300
62,22.47,22.69,22.17,22.55,ok,1427932800,684300
63,22.8,23.08,22.12,22.32,ok,1428278400,919100
64,23.16,23.61,22.8,23.16,ok,1428364800,1363800
65,24.44,24.7,23.18,23.24,ok,1428451200,2554300
66,24.46,24.75,23.66,24.52,ok,1428537600,2039000
67,24.72,24.92,24.5,24.66,ok,1428624000,808900
68,25.06,25.54,24.97,25.25,ok,1428883200,1388000
69,25.65,25.82,24.64,25.12,ok,1428969600,1489900
70,26.43,26.7,25.53,25.78,ok,1429056000,2438600
71,27.06,27.24,26.12,26.66,ok,1429142400,1254000
72,25.97,26.88,25.51,26.8,ok,1429228800,1508400
73,26.72,26.83,26.1,26.47,ok,1429488000,982400
74,26.49,27.11,26.26,27.0,ok,1429574400,877300
75,27.14,27.5,26.29,26.67,ok,1429660800,1367300
76,27.29,27.43,26.6,27.0,ok,1429747200,797200
77,27.65,27.87,26.97,27.44,ok,1429833600,1121100
78,25.77,28.16,25.52,27.87,ok,1430092800,2211800
79,25.11,25.81,24.49,25.8,ok,1430179200,1884800
80,25.03,25.46,24.48,25.03,ok,1430265600,1173200
81,23.26,25.1,22.85,24.91,ok,1430352000,2558500
82,23.86,24.12,23.18,23.48,ok,1430438400,1361100
83,23.89,24.45,23.69,23.81,ok,1430697600,1091800
84,23.36,24.14,23.21,23.95,ok,1430784000,1077100
85,23.7,23.8,23.15,23.43,ok,1430870400,1094000
86,23.64,23.83,23.14,23.7,ok,1430956800,1074500
87,23.79,24.59,23.67,24.02,ok,1431043200,1250600
88,24.41,24.77,23.88,23.88,ok,1431302400,2188200
89,20.43,22.23,19.59,21.73,ok,1431388800,10200500
90,19.9,21.05,19.66,20.89,ok,1431475200,4310700
91,20.02,20.69,19.93,20.08,ok,1431561600,2138300
92,20.54,20.76,20.05,20.09,ok,1431648000,1842500
93,20.22,20.7,20.05,20.56,ok,1431907200,1495900
94,20.94,21.13,20.1,20.22,ok,1431993600,1725100
95,20.42,21.01,20.07,20.95,ok,1432080000,1626100
96,20.25,20.53,20.01,20.43,ok,1432166400,980900
97,20.76,20.94,20.14,20.41,ok,1432252800,1425200
98,20.59,20.69,20.11,20.54,ok,1432598400,1166100
99,20.88,21.09,20.42,20.67,ok,1432684800,1160400
100,20.7,20.93,20.52,20.55,ok,1432771200,1045600
101,20.86,21.33,20.65,20.66,ok,1432857600,1588400
102,21.33,21.52,20.82,21.15,ok,1433116800,1413900
103,21.57,21.6,20.96,21.2,ok,1433203200,2573000
104,21.62,22.0,21.3,21.6,ok,1433289600,1082600
105,21.4,21.74,21.26,21.5,ok,1433376000,890700
106,21.89,21.93,20.92,21.33,ok,1433462400,1025600
107,21.5,21.98,21.48,21.82,ok,1433721600,1291000
108,21.48,21.78,21.13,21.54,ok,1433808000,989200
109,21.19,21.8,21.1,21.53,ok,1433894400,1577900
110,21.47,21.76,21.22,21.3,ok,1433980800,925700
111,20.74,21.45,20.56,21.33,ok,1434067200,1112000
112,20.81,20.87,20.3,20.62,ok,1434326400,663700
113,21.28,21.3,20.66,20.69,ok,1434412800,1094100
114,21.28,21.5,21.14,21.37,ok,1434499200,989700
115,22.25,22.29,21.28,21.39,ok,1434585600,904500
116,22.27,22.5,22.19,22.3,ok,1434672000,1227800
117,23.46,23.67,22.31,22.47,ok,1434931200,1485200
118,23.08,23.6,22.75,23.41,ok,1435017600,1571800
119,22.1,23.15,22.02,23.11,ok,1435104000,1492700
120,22.27,22.32,21.92,22.21,ok,1435190400,974200
121,21.35,22.43,21.26,22.41,ok,1435276800,1811100
122,20.45,21.38,20.41,21.0,ok,1435536000,1130500
123,21.46,21.56,20.59,20.59,ok,1435622400,1899200
124,20.86,21.82,20.6,21.7,ok,1435708800,1638000
125,20.84,21.15,20.6,20.95,ok,1435795200,626500
126,20.64,21.05,20.37,20.6,ok,1436140800,853800
127,28.62,28.76,27.03,28.15,ok,1436227200,20027400
128,28.48,29.35,27.9,28.04,ok,1436313600,5200300
129,28.11,29.09,28.05,28.99,ok,1436400000,3363000
130,30.14,30.2,28.37,28.37,ok,1436486400,3074600
131,30.51,30.64,29.88,30.38,ok,1436745600,1781800
132,30.81,31.18,30.5,30.51,ok,1436832000,1862800
133,31.01,31.86,30.74,31.19,ok,1436918400,1718000
134,31.48,31.62,30.9,31.17,ok,1437004800,1411300
135,32.51,32.64,31.52,31.59,ok,1437091200,1562800
