,c,h,l,o,s,t,v
0,12.0199,12.1199,11.5799,11.7899,ok,1420156800,217000
1,0.0375,0.0655,0.0375,0.0655,ok,1420416000,24433
2,0.0369,0.0462,0.0275,0.0462,ok,1420502400,17708
3,0.0369,0.0462,0.0275,0.0462,ok,1420588800,17708
4,0.0369,0.0462,0.0275,0.0462,ok,1420675200,17708
5,11.6605,11.8205,11.3905,11.6205,ok,1420761600,260100
6,0.0369,0.0462,0.0369,0.0462,ok,1421020800,1631
7,0.0372,0.0372,0.0372,0.0372,ok,1421107200,588
8,0.0372,0.0372,0.0278,0.0372,ok,1421193600,1530
9,0.0372,0.0465,0.0278,0.0465,ok,1421280000,4042
10,11.7846,11.8446,11.5546,11.6746,ok,1421366400,195500
11,0.0375,0.0468,0.0281,0.0281,ok,1421712000,27995
12,0.0375,0.0468,0.0375,0.0468,ok,1421798400,13856
13,0.0375,0.0468,0.0375,0.0468,ok,1421884800,13330
14,12.0412,12.1912,11.9712,12.0612,ok,1421971200,165900
15,0.0375,0.0468,0.0375,0.0375,ok,1422230400,2658
16,0.0384,0.0478,0.0291,0.0291,ok,1422316800,81701
17,0.0403,0.0403,-0.0157,-0.0064,ok,1422403200,149939
18,0.0422,0.0422,-0.0045,-0.0045,ok,1422489600,428591
19,11.9212,12.1712,11.7412,11.8012,ok,1422576000,124700
20,0.0422,0.0516,0.0048,0.0142,ok,1422835200,104139
21,0.0403,0.1338,0.0403,0.0777,ok,1422921600,501351
22,0.0394,0.0581,0.0113,0.03,ok,1423008000,102666
23,0.0384,0.0571,0.0291,0.0478,ok,1423094400,31923
24,12.5476,12.5676,12.0676,12.2076,ok,1423180800,211800
25,0.0387,0.0574,0.0294,0.0387,ok,1423440000,35834
26,0.0387,0.0481,0.0294,0.0481,ok,1423526400,23176
27,0.0384,0.0571,0.0197,0.0571,ok,1423612800,55709
28,0.0397,0.0584,0.0117,0.0117,ok,1423699200,117218
29,12.3277,12.3877,11.8277,11.9277,ok,1423785600,241800
30,0.0378,0.0752,0.0285,0.0752,ok,1424131200,118663
