,c,h,l,o,s,t,v
0,10.02,10.2,9.84,9.96,ok,1420156800,11800
1,9.6,10.08,9.54,10.08,ok,1420416000,30900
2,9.36,9.84,9.18,9.6,ok,1420502400,28000
3,9.3,9.6,9.24,9.36,ok,1420588800,18400
4,9.6,9.84,9.3,9.36,ok,1420675200,30700
5,9.48,9.72,9.18,9.72,ok,1420761600,24000
6,9.18,9.42,9.06,9.42,ok,1421020800,27600
7,9.18,9.42,8.7,9.3,ok,1421107200,74000
8,9.12,9.48,9.0,9.3,ok,1421193600,18500
9,8.94,9.48,8.88,9.12,ok,1421280000,17100
10,9.0,9.3,8.88,9.0,ok,1421366400,13600
11,8.76,9.12,8.76,9.06,ok,1421712000,21400
12,8.46,8.94,8.4,8.88,ok,1421798400,72100
13,8.52,8.76,8.46,8.52,ok,1421884800,16600
14,8.4,8.7,8.22,8.58,ok,1421971200,44100
15,8.52,8.52,8.16,8.46,ok,1422230400,24000
16,8.28,8.7,8.16,8.16,ok,1422316800,36900
17,8.88,9.18,8.46,8.52,ok,1422403200,40000
18,9.06,9.3,8.52,9.0,ok,1422489600,55300
19,9.24,9.6,8.82,9.06,ok,1422576000,41700
20,9.0,9.42,8.76,9.3,ok,1422835200,22200
21,9.84,9.9,9.06,9.06,ok,1422921600,65200
22,9.96,10.2,9.72,9.72,ok,1423008000,35800
23,9.42,10.08,9.42,10.08,ok,1423094400,64100
24,9.54,9.66,9.3,9.48,ok,1423180800,17400
25,9.84,10.02,9.6,9.6,ok,1423440000,16800
26,9.84,9.96,9.66,9.78,ok,1423526400,9100
27,9.96,10.26,9.78,9.78,ok,1423612800,11600
28,9.84,10.2,9.78,10.2,ok,1423699200,34300
29,6.54,8.4,6.42,8.4,ok,1423785600,913400
30,6.66,7.26,6.66,7.26,ok,1424131200,229800
31,6.54,6.84,6.48,6.84,ok,1424217600,111600
32,6.78,6.78,6.54,6.6,ok,1424304000,75600
33,6.66,6.84,6.54,6.84,ok,1424390400,40000
34,6.66,6.84,6.54,6.54,ok,1424649600,49500
35,6.66,6.66,6.48,6.6,ok,1424736000,43300
36,6.66,6.84,6.48,6.54,ok,1424822400,44600
37,7.02,7.5,6.54,6.6,ok,1424908800,331400
38,6.66,7.26,6.66,7.26,ok,1424995200,122100
39,6.78,6.96,6.66,6.66,ok,1425254400,41900
40,6.78,7.02,6.72,6.72,ok,1425340800,30300
41,6.78,6.9,6.66,6.72,ok,1425427200,33900
42,6.96,7.02,6.66,7.02,ok,1425513600,45300
43,6.72,6.96,6.6,6.96,ok,1425600000,58600
44,6.78,7.02,6.6,6.84,ok,1425859200,113400
45,6.9,7.44,6.72,6.84,ok,1425945600,186700
46,7.5,7.62,6.9,7.02,ok,1426032000,363800
47,6.96,7.86,6.96,7.56,ok,1426118400,233000
48,6.96,7.2,6.9,7.02,ok,1426204800,40200
49,7.02,7.14,6.78,6.96,ok,1426464000,63700
50,6.84,7.02,6.78,6.96,ok,1426550400,53500
51,6.84,6.96,6.72,6.84,ok,1426636800,40600
52,7.38,7.56,6.78,6.78,ok,1426723200,280400
53,6.9,7.38,6.84,7.38,ok,1426809600,180400
54,6.9,7.02,6.78,6.84,ok,1427068800,41500
55,6.84,7.02,6.84,6.9,ok,1427155200,42500
56,6.78,6.9,6.72,6.84,ok,1427241600,49600
57,6.72,6.84,6.66,6.72,ok,1427328000,35300
58,6.9,6.9,6.66,6.78,ok,1427414400,21700
59,6.84,7.08,6.66,6.9,ok,1427673600,138100
60,6.72,6.84,6.66,6.78,ok,1427760000,23100
61,6.72,6.84,6.48,6.66,ok,1427846400,76400
62,6.78,6.84,6.6,6.72,ok,1427932800,22700
63,6.66,6.9,6.66,6.84,ok,1428278400,31100
64,6.9,6.9,6.66,6.72,ok,1428364800,27600
65,6.84,6.96,6.72,6.84,ok,1428451200,42100
66,6.84,7.14,6.78,6.9,ok,1428537600,52200
67,7.02,7.2,6.9,6.9,ok,1428624000,95600
68,6.96,7.2,6.9,6.96,ok,1428883200,46400
69,6.84,7.02,6.78,6.9,ok,1428969600,44200
70,6.84,6.96,6.72,6.9,ok,1429056000,29100
71,6.72,7.02,6.72,6.84,ok,1429142400,26600
72,6.78,6.96,6.78,6.78,ok,1429228800,25200
73,6.9,7.02,6.72,6.84,ok,1429488000,27000
74,6.84,6.9,6.72,6.78,ok,1429574400,35500
75,6.72,6.9,6.72,6.78,ok,1429660800,33400
76,6.72,6.9,6.6,6.72,ok,1429747200,47000
77,6.78,6.96,6.66,6.72,ok,1429833600,70000
78,6.84,6.9,6.72,6.84,ok,1430092800,57000
79,7.44,7.8,6.9,6.9,ok,1430179200,511900
80,7.2,7.56,7.08,7.56,ok,1430265600,74900
81,7.02,7.32,6.96,7.26,ok,1430352000,56700
82,7.14,7.2,6.96,6.96,ok,1430438400,30200
83,7.2,7.2,6.9,7.08,ok,1430697600,48300
84,7.14,7.62,7.08,7.14,ok,1430784000,65800
85,7.26,7.5,7.14,7.2,ok,1430870400,32600
86,7.2,7.38,7.14,7.2,ok,1430956800,28100
87,7.08,7.26,6.96,7.2,ok,1431043200,25000
88,7.32,7.32,7.2,7.2,ok,1431302400,22200
89,7.2,7.32,7.02,7.2,ok,1431388800,32800
90,7.2,7.38,7.08,7.08,ok,1431475200,24200
91,7.26,7.32,7.14,7.14,ok,1431561600,17300
92,7.38,7.38,7.2,7.26,ok,1431648000,28700
93,7.8,8.1,7.38,7.38,ok,1431907200,231400
94,7.56,7.98,7.5,7.86,ok,1431993600,66200
95,8.64,8.7,7.32,7.68,ok,1432080000,320200
96,8.28,11.1,7.86,10.2,ok,1432166400,1282600
97,7.98,8.52,7.8,8.16,ok,1432252800,143000
98,7.68,8.04,7.62,8.04,ok,1432598400,151600
99,7.68,7.8,7.44,7.74,ok,1432684800,106800
100,8.4,8.82,7.56,7.62,ok,1432771200,337300
101,8.22,8.64,8.04,8.28,ok,1432857600,83700
102,8.76,9.72,8.64,9.66,ok,1433116800,264500
103,8.46,8.82,8.34,8.82,ok,1433203200,128500
104,8.4,8.7,8.34,8.34,ok,1433289600,32600
105,8.16,8.52,8.16,8.52,ok,1433376000,50100
106,8.28,8.46,8.1,8.1,ok,1433462400,36300
107,8.4,8.52,8.22,8.4,ok,1433721600,33800
108,8.34,8.4,8.16,8.4,ok,1433808000,15100
109,8.34,8.4,8.16,8.34,ok,1433894400,18500
110,8.88,9.12,8.28,8.34,ok,1433980800,202200
111,8.4,8.82,8.34,8.7,ok,1434067200,99800
112,8.16,8.52,7.92,8.4,ok,1434326400,51000
113,8.16,8.46,8.16,8.16,ok,1434412800,20100
114,8.22,8.34,8.16,8.22,ok,1434499200,23200
115,8.16,8.28,7.98,8.16,ok,1434585600,26000
116,8.04,8.28,7.98,8.28,ok,1434672000,27900
117,7.98,8.16,7.98,8.04,ok,1434931200,13800
118,7.92,8.1,7.92,7.92,ok,1435017600,24100
119,7.86,8.04,7.86,7.98,ok,1435104000,14200
120,7.38,7.86,7.38,7.86,ok,1435190400,73000
121,7.08,7.62,7.08,7.5,ok,1435276800,41500
122,6.9,7.02,6.84,6.9,ok,1435536000,49500
123,7.02,7.44,6.96,7.44,ok,1435622400,27200
124,6.78,7.44,6.78,7.44,ok,1435708800,46000
125,6.9,7.08,6.78,6.9,ok,1435795200,19000
126,6.9,7.02,6.72,6.78,ok,1436140800,16100
127,6.84,6.96,6.78,6.9,ok,1436227200,10000
128,6.96,7.26,6.78,6.84,ok,1436313600,45600
129,6.96,7.26,6.96,7.02,ok,1436400000,14500
130,6.96,7.2,6.96,7.02,ok,1436486400,12100
131,7.14,7.26,7.08,7.08,ok,1436745600,25400
132,7.08,7.32,7.08,7.08,ok,1436832000,9500
133,7.26,7.44,7.08,7.08,ok,1436918400,21200
134,7.2,7.5,7.2,7.26,ok,1437004800,17900
135,7.56,7.68,7.26,7.26,ok,1437091200,117400
136,7.14,7.62,7.14,7.56,ok,1437350400,36700
137,7.08,7.32,7.08,7.2,ok,1437436800,19800
138,7.02,7.26,6.84,7.08,ok,1437523200,37300
139,7.2,7.38,7.08,7.08,ok,1437609600,15000
140,6.96,7.14,6.96,6.96,ok,1437696000,15100
141,6.9,7.08,6.78,6.9,ok,1437955200,25800
142,6.96,7.08,6.9,6.9,ok,1438041600,15500
143,7.02,7.14,6.96,7.02,ok,1438128000,17900
144,7.14,7.38,6.96,7.02,ok,1438214400,30200
145,7.08,7.2,6.96,7.02,ok,1438300800,28300
146,7.02,7.14,7.02,7.02,ok,1438560000,20600
147,7.02,7.14,7.02,7.02,ok,1438646400,12300
148,7.02,7.14,7.02,7.02,ok,1438732800,17000
149,7.02,7.14,7.02,7.02,ok,1438819200,20400
150,6.9,7.14,6.78,7.08,ok,1438905600,41700
151,6.9,7.08,6.78,6.9,ok,1439164800,31800
152,6.9,7.08,6.84,6.84,ok,1439251200,17100
153,6.66,6.9,6.6,6.84,ok,1439337600,38100
154,6.84,6.84,6.72,6.72,ok,1439424000,35500
155,6.72,6.84,6.72,6.78,ok,1439510400,17400
156,6.72,6.84,6.48,6.72,ok,1439769600,29300
157,6.72,6.84,6.54,6.72,ok,1439856000,10200
158,6.6,6.66,6.48,6.6,ok,1439942400,11000
159,6.48,6.66,6.48,6.66,ok,1440028800,23100
160,6.0,6.54,5.82,6.48,ok,1440115200,56900
161,5.82,5.94,5.16,5.94,ok,1440374400,55800
162,5.4,6.0,5.4,5.46,ok,1440460800,33000
163,5.58,5.94,5.28,5.46,ok,1440547200,15100
164,5.34,5.88,5.16,5.58,ok,1440633600,42200
165,5.58,5.7,5.22,5.34,ok,1440720000,10100
166,5.64,5.82,5.4,5.52,ok,1440979200,24700
167,5.4,5.64,5.34,5.4,ok,1441065600,12400
168,5.4,5.46,5.22,5.34,ok,1441152000,18500
169,5.22,5.4,4.8,5.4,ok,1441238400,16200
170,5.22,5.28,5.04,5.28,ok,1441324800,25200
171,5.28,5.4,4.98,5.04,ok,1441670400,16200
172,5.4,5.46,5.22,5.4,ok,1441756800,16800
173,5.16,5.22,4.92,5.04,ok,1441843200,27400
174,5.34,5.4,5.16,5.16,ok,1441929600,19400
175,5.7,5.94,5.16,5.16,ok,1442188800,22800
176,5.7,5.88,5.52,5.88,ok,1442275200,24400
177,5.58,5.7,5.34,5.64,ok,1442361600,11100
178,5.88,6.0,5.58,5.58,ok,1442448000,39700
179,5.88,6.48,5.88,5.94,ok,1442534400,74200
180,5.76,6.36,5.46,5.7,ok,1442793600,11600
181,5.7,6.0,5.64,6.0,ok,1442880000,9800
182,5.82,5.94,5.76,5.94,ok,1442966400,1800
183,5.88,5.88,5.64,5.88,ok,1443052800,6800
184,5.34,5.94,5.28,5.76,ok,1443139200,52100
185,5.4,5.58,5.1,5.1,ok,1443398400,19200
186,5.4,5.64,5.22,5.22,ok,1443484800,46900
187,5.4,5.46,5.1,5.46,ok,1443571200,19400
188,5.46,5.52,5.16,5.52,ok,1443657600,4200
189,5.28,5.52,5.28,5.52,ok,1443744000,10900
190,5.52,5.52,5.4,5.52,ok,1444003200,26200
191,5.34,5.52,5.28,5.52,ok,1444089600,13000
192,5.34,5.52,5.22,5.28,ok,1444176000,9000
193,5.34,5.4,5.16,5.4,ok,1444262400,7600
194,5.28,5.46,5.1,5.4,ok,1444348800,24900
195,5.34,5.46,5.04,5.4,ok,1444608000,13200
196,5.1,5.4,5.1,5.34,ok,1444694400,19400
197,5.16,5.22,4.8,5.1,ok,1444780800,40700
198,5.16,5.4,4.98,5.22,ok,1444867200,10100
199,5.52,5.64,4.98,4.98,ok,1444953600,32000
200,5.46,5.52,5.22,5.52,ok,1445212800,29500
201,5.28,5.58,5.28,5.4,ok,1445299200,9400
202,5.34,5.52,5.22,5.28,ok,1445385600,10900
203,5.22,5.34,4.98,5.28,ok,1445472000,10100
204,5.4,5.52,5.22,5.28,ok,1445558400,11500
205,5.16,5.52,5.16,5.34,ok,1445817600,11200
206,5.28,5.46,4.98,4.98,ok,1445904000,15700
207,5.22,5.34,4.98,5.16,ok,1445990400,10000
208,5.16,5.28,4.8,5.22,ok,1446076800,16100
209,5.16,5.16,4.86,5.16,ok,1446163200,27400
210,5.04,5.16,4.86,4.92,ok,1446422400,26400
211,5.16,5.28,4.92,4.98,ok,1446508800,15400
212,5.1,5.28,4.98,4.98,ok,1446595200,12300
213,5.1,5.28,4.92,4.92,ok,1446681600,16900
214,5.1,5.22,4.8,5.1,ok,1446768000,27200
215,4.98,5.1,4.74,5.1,ok,1447027200,16800
216,5.04,5.1,4.8,4.8,ok,1447113600,8900
217,4.98,5.22,4.98,5.04,ok,1447200000,19800
218,4.98,5.16,4.8,5.04,ok,1447286400,11000
219,4.86,4.98,4.38,4.92,ok,1447372800,39600
220,4.68,4.86,4.5,4.86,ok,1447632000,7600
221,4.86,4.98,4.68,4.68,ok,1447718400,23500
222,5.7,6.06,4.92,4.92,ok,1447804800,149400
223,5.7,5.82,5.4,5.7,ok,1447891200,20400
224,5.82,6.0,5.52,5.58,ok,1447977600,31400
225,6.12,6.42,5.58,6.0,ok,1448236800,107600
226,6.06,6.18,5.64,6.0,ok,1448323200,46200
227,6.06,6.18,5.82,6.12,ok,1448409600,19400
228,6.06,6.12,5.88,6.12,ok,1448582400,10200
229,5.88,6.12,5.88,6.06,ok,1448841600,12600
230,5.64,6.0,5.64,5.76,ok,1448928000,18400
231,5.46,5.76,5.4,5.76,ok,1449014400,18900
232,5.16,5.46,5.04,5.16,ok,1449100800,29500
233,4.92,5.22,4.8,5.04,ok,1449187200,26500
234,4.8,4.92,4.68,4.86,ok,1449446400,25100
235,4.62,4.74,4.56,4.74,ok,1449532800,38800
236,4.62,4.8,4.56,4.56,ok,1449619200,12500
237,4.44,4.68,4.38,4.56,ok,1449705600,16000
238,4.5,4.62,4.38,4.5,ok,1449792000,28000
239,4.38,4.5,4.08,4.38,ok,1450051200,28500
240,4.32,4.44,4.14,4.2,ok,1450137600,12700
241,4.26,4.44,4.2,4.32,ok,1450224000,25600
242,4.26,4.44,4.2,4.26,ok,1450310400,20300
243,4.38,4.5,4.2,4.32,ok,1450396800,22100
244,4.38,4.5,4.32,4.32,ok,1450656000,17900
245,4.68,4.8,4.38,4.38,ok,1450742400,43400
246,4.74,4.8,4.5,4.5,ok,1450828800,32600
247,4.74,4.8,4.68,4.68,ok,1450915200,5200
248,4.32,4.8,4.26,4.56,ok,1451260800,23600
249,4.56,4.56,4.26,4.26,ok,1451347200,38400
250,4.38,4.62,4.26,4.44,ok,1451433600,20100
251,4.32,4.44,4.2,4.26,ok,1451520000,35900
252,4.26,4.5,3.9,4.32,ok,1451865600,18800
253,4.2,4.32,4.08,4.2,ok,1451952000,8600
254,3.96,4.2,3.66,4.14,ok,1452038400,65000
255,3.9,4.38,3.72,3.72,ok,1452124800,25200
256,3.96,4.32,3.96,3.96,ok,1452211200,16000
257,4.02,4.2,3.84,4.2,ok,1452470400,17800
258,3.9,4.14,3.78,3.96,ok,1452556800,6200
259,3.54,3.9,3.24,3.9,ok,1452643200,43600
260,3.24,3.54,3.0,3.54,ok,1452729600,57600
261,3.12,3.42,3.0,3.42,ok,1452816000,35600
262,3.0,3.24,2.7,3.12,ok,1453161600,24500
263,2.88,3.06,2.7,3.0,ok,1453248000,28900
264,2.94,3.06,2.82,3.0,ok,1453334400,8900
265,3.12,3.36,2.94,2.94,ok,1453420800,13000
266,3.24,3.3,3.06,3.06,ok,1453680000,6600
267,3.18,3.42,3.12,3.12,ok,1453766400,8400
268,3.18,3.42,3.12,3.12,ok,1453852800,6300
269,3.36,3.36,2.94,3.18,ok,1453939200,8000
270,3.18,3.36,3.18,3.18,ok,1454025600,10900
271,3.18,3.3,3.0,3.3,ok,1454284800,5500
272,3.18,3.3,3.12,3.12,ok,1454371200,1800
273,3.24,3.3,3.06,3.18,ok,1454457600,19500
274,3.24,3.3,3.18,3.18,ok,1454544000,4300
275,3.06,3.24,3.06,3.24,ok,1454630400,3900
276,3.0,3.3,2.88,3.3,ok,1454889600,14200
277,2.88,3.12,2.82,2.88,ok,1454976000,15800
278,2.88,3.0,2.82,2.82,ok,1455062400,10200
279,3.06,3.18,2.82,2.94,ok,1455148800,17500
280,3.06,3.18,2.88,2.88,ok,1455235200,7300
281,3.06,3.12,2.94,3.12,ok,1455580800,7400
282,3.0,3.36,3.0,3.0,ok,1455667200,11500
283,3.3,3.36,3.18,3.36,ok,1455753600,18200
284,3.54,3.6,3.36,3.36,ok,1455840000,25200
285,3.72,3.84,3.42,3.54,ok,1456099200,10900
286,3.72,3.9,3.6,3.78,ok,1456185600,12800
287,3.6,3.78,3.54,3.6,ok,1456272000,7200
288,3.66,3.72,3.42,3.66,ok,1456358400,5000
289,3.6,3.9,3.54,3.9,ok,1456444800,5300
290,3.6,3.6,3.36,3.6,ok,1456704000,15300
291,3.6,3.66,3.54,3.6,ok,1456790400,3500
292,3.6,3.66,3.6,3.66,ok,1456876800,6300
293,3.6,3.84,3.48,3.48,ok,1456963200,15500
294,3.72,3.78,3.54,3.78,ok,1457049600,8900
295,3.84,3.9,3.66,3.72,ok,1457308800,12400
296,3.78,3.9,3.78,3.9,ok,1457395200,8900
297,3.42,3.78,3.18,3.78,ok,1457481600,56500
298,3.12,3.36,2.94,3.06,ok,1457568000,41200
299,3.18,3.24,3.06,3.06,ok,1457654400,8800
300,3.24,3.24,3.18,3.24,ok,1457913600,7100
301,3.12,3.24,3.12,3.12,ok,1458000000,4400
302,3.0,3.24,3.0,3.06,ok,1458086400,4700
303,3.06,3.12,3.06,3.12,ok,1458172800,6500
304,3.18,3.18,3.12,3.18,ok,1458259200,7000
305,3.18,3.3,3.06,3.3,ok,1458518400,11600
306,3.3,3.42,3.24,3.24,ok,1458604800,20400
307,3.36,3.54,3.3,3.3,ok,1458691200,16800
308,3.05,3.4,3.01,3.4,ok,1458777600,58400
309,2.99,3.05,2.9,3.04,ok,1459123200,52300
310,2.84,3.05,2.8,3.0,ok,1459209600,32900
311,2.94,3.04,2.8,3.04,ok,1459296000,17300
312,2.84,3.0,2.78,2.9,ok,1459382400,32200
313,2.83,2.86,2.79,2.79,ok,1459468800,14500
314,2.86,2.89,2.79,2.83,ok,1459728000,12400
315,2.87,2.88,2.8,2.87,ok,1459814400,16100
316,3.16,3.17,2.87,2.9,ok,1459900800,63100
317,3.14,3.2,2.88,3.16,ok,1459987200,26500
318,3.14,3.18,3.11,3.17,ok,1460073600,11500
319,3.37,3.43,3.16,3.16,ok,1460332800,50900
320,3.41,3.41,3.16,3.33,ok,1460419200,21000
321,3.42,3.42,3.32,3.37,ok,1460505600,18600
322,3.43,3.43,3.42,3.42,ok,1460592000,14500
323,3.6,3.69,3.44,3.44,ok,1460678400,107000
324,3.63,3.73,3.56,3.58,ok,1460937600,30200
325,3.55,3.73,3.55,3.7,ok,1461024000,12200
326,3.65,3.68,3.62,3.67,ok,1461110400,21800
327,3.72,3.72,3.6,3.71,ok,1461196800,11500
328,3.84,3.86,3.67,3.73,ok,1461283200,19800
329,3.9,3.93,3.85,3.86,ok,1461542400,22800
330,4.01,4.04,3.88,3.9,ok,1461628800,25700
331,3.98,4.04,3.97,3.97,ok,1461715200,15500
332,3.99,4.06,3.95,3.95,ok,1461801600,12000
333,3.67,4.0,3.67,3.95,ok,1461888000,28000
334,3.85,3.99,3.8,3.82,ok,1462147200,8800
335,3.76,3.85,3.7,3.81,ok,1462233600,9400
336,3.72,3.8,3.71,3.75,ok,1462320000,6300
337,3.67,3.95,3.66,3.77,ok,1462406400,8400
338,3.73,3.76,3.67,3.68,ok,1462492800,4000
339,3.65,3.7,3.6,3.7,ok,1462752000,24800
340,3.64,3.68,3.64,3.68,ok,1462838400,5000
341,3.63,3.72,3.62,3.72,ok,1462924800,4500
342,3.64,3.69,3.61,3.61,ok,1463011200,4200
343,3.66,3.67,3.65,3.65,ok,1463097600,5400
344,3.67,3.68,3.65,3.66,ok,1463356800,4300
345,3.65,3.75,3.65,3.69,ok,1463443200,3000
346,3.65,3.7,3.61,3.61,ok,1463529600,8500
347,3.65,3.68,3.61,3.68,ok,1463616000,13100
348,3.68,3.7,3.64,3.64,ok,1463702400,3400
349,3.67,3.76,3.65,3.7,ok,1463961600,17200
350,3.64,3.72,3.64,3.64,ok,1464048000,19000
351,3.7,3.72,3.65,3.65,ok,1464134400,7000
352,3.69,3.73,3.68,3.68,ok,1464220800,6300
353,3.79,3.82,3.7,3.7,ok,1464307200,12700
354,3.79,3.85,3.77,3.8,ok,1464652800,15400
355,3.76,3.8,3.76,3.78,ok,1464739200,5100
356,3.8,3.8,3.72,3.8,ok,1464825600,2800
357,3.8,3.8,3.73,3.78,ok,1464912000,13400
358,3.75,3.77,3.65,3.76,ok,1465171200,24400
359,3.84,3.9,3.7,3.78,ok,1465257600,105700
360,3.92,3.95,3.83,3.86,ok,1465344000,58400
361,4.0,4.09,3.9,3.9,ok,1465430400,65900
362,4.86,5.14,4.0,4.0,ok,1465516800,779300
363,4.4,4.71,4.34,4.68,ok,1465776000,62400
364,4.37,4.79,4.28,4.79,ok,1465862400,18600
365,4.4,4.58,4.31,4.35,ok,1465948800,32800
366,4.38,4.44,4.29,4.33,ok,1466035200,17100
367,4.38,4.4,4.35,4.35,ok,1466121600,10800
368,4.34,4.48,4.33,4.43,ok,1466380800,29300
369,4.35,4.5,4.3,4.5,ok,1466467200,10100
370,4.65,5.12,4.38,4.39,ok,1466553600,439300
371,4.77,4.88,4.61,4.74,ok,1466640000,47600
372,4.68,4.75,4.49,4.69,ok,1466726400,54300
373,4.64,4.81,4.57,4.72,ok,1466985600,31800
374,4.78,4.8,4.65,4.65,ok,1467072000,9300
375,4.75,4.78,4.71,4.78,ok,1467158400,17400
376,4.74,4.75,4.67,4.74,ok,1467244800,16000
377,4.91,4.95,4.7,4.7,ok,1467331200,59600
378,4.91,5.04,4.86,4.96,ok,1467676800,24900
379,4.76,4.85,4.75,4.85,ok,1467763200,15800
380,4.79,4.8,4.76,4.77,ok,1467849600,6200
381,4.84,4.89,4.8,4.89,ok,1467936000,8800
382,4.78,4.83,4.78,4.83,ok,1468195200,11600
383,4.83,4.89,4.8,4.89,ok,1468281600,9000
384,4.82,4.84,4.8,4.84,ok,1468368000,4600
385,4.8,4.8,4.72,4.78,ok,1468454400,16500
386,4.72,4.78,4.66,4.7,ok,1468540800,20000
387,4.63,4.72,4.39,4.59,ok,1468800000,17200
388,4.52,4.63,4.51,4.63,ok,1468886400,19100
389,4.52,4.57,4.39,4.39,ok,1468972800,7400
390,4.35,4.48,4.35,4.48,ok,1469059200,27800
391,4.39,4.52,4.32,4.52,ok,1469145600,8100
392,4.38,4.42,4.25,4.35,ok,1469404800,47900
393,4.41,4.55,4.25,4.38,ok,1469491200,89100
394,4.47,4.61,4.4,4.4,ok,1469577600,77600
395,4.5,4.5,4.48,4.5,ok,1469664000,4300
396,4.6,4.64,4.52,4.52,ok,1469750400,13700
397,4.64,4.66,4.51,4.64,ok,1470009600,31700
398,4.44,4.66,4.3,4.66,ok,1470096000,23000
399,4.46,4.5,4.37,4.46,ok,1470182400,17700
400,4.49,4.51,4.4,4.46,ok,1470268800,8900
401,4.46,4.47,4.4,4.42,ok,1470355200,10300
402,5.8,6.69,4.46,4.51,ok,1470614400,3953700
403,5.98,5.99,5.38,5.5,ok,1470700800,491800
404,5.38,5.96,5.26,5.96,ok,1470787200,132100
405,5.73,5.75,5.28,5.41,ok,1470873600,131800
406,5.7,5.79,5.6,5.73,ok,1470960000,32400
407,5.66,5.84,5.6,5.66,ok,1471219200,43300
408,5.53,5.63,5.37,5.63,ok,1471305600,31800
409,5.45,5.7,5.36,5.53,ok,1471392000,20400
410,5.47,5.54,5.4,5.43,ok,1471478400,15700
411,5.59,5.72,5.46,5.64,ok,1471564800,23700
412,5.52,5.64,5.5,5.64,ok,1471824000,25900
413,5.52,5.58,5.51,5.56,ok,1471910400,9700
414,5.41,5.71,5.41,5.48,ok,1471996800,37000
415,5.38,5.49,5.32,5.38,ok,1472083200,17000
416,5.35,5.5,5.32,5.42,ok,1472169600,23600
417,5.36,5.46,5.27,5.3,ok,1472428800,25000
418,5.37,5.4,5.3,5.33,ok,1472515200,11900
419,5.26,5.35,5.16,5.35,ok,1472601600,21400
420,4.92,5.23,4.88,5.22,ok,1472688000,53500
421,4.9,5.25,4.85,5.25,ok,1472774400,19600
422,4.77,4.97,4.74,4.95,ok,1473120000,43400
423,4.76,4.86,4.7,4.77,ok,1473206400,10200
424,4.76,4.78,4.61,4.78,ok,1473292800,12900
425,5.16,5.39,4.65,4.7,ok,1473379200,269100
426,5.29,5.33,4.95,5.11,ok,1473638400,99600
427,5.21,5.21,5.1,5.18,ok,1473724800,20100
428,5.17,5.24,5.05,5.05,ok,1473811200,22400
429,5.14,5.28,5.07,5.28,ok,1473897600,29500
430,5.05,5.14,4.95,5.1,ok,1473984000,21800
431,5.0,5.04,4.84,5.04,ok,1474243200,39400
432,5.01,5.06,5.01,5.03,ok,1474329600,13200
