,c,h,l,o,s,t,v
0,35.3571,35.8944,34.6022,35.3827,ok,1420156800,261100
1,35.0372,35.8624,34.8005,35.1843,ok,1420416000,243000
2,35.0628,35.4082,34.3207,35.1012,ok,1420502400,265200
3,34.5063,35.3187,34.2504,35.3187,ok,1420588800,123000
4,35.9392,36.0608,34.8709,34.8709,ok,1420675200,204800
5,34.7621,35.9456,34.711,35.8497,ok,1420761600,144500
6,33.713,34.9924,33.3612,34.8517,ok,1421020800,219400
7,33.1565,34.9924,32.747,34.0201,ok,1421107200,275200
8,32.9198,33.5211,32.6383,32.7598,ok,1421193600,287900
9,32.6255,33.7066,32.3504,33.1565,ok,1421280000,278900
10,33.5659,33.7706,32.3312,32.5231,ok,1421366400,162200
11,34.2376,34.4487,33.2652,33.4379,ok,1421712000,155300
12,33.8345,35.1332,33.4891,34.1992,ok,1421798400,131400
13,35.0628,35.2995,33.7194,34.1544,ok,1421884800,127700
14,35.2227,35.4146,34.6406,35.0436,ok,1421971200,125400
15,35.1524,35.7921,34.6726,35.2803,ok,1422230400,122400
16,34.8645,35.1716,33.8729,34.5958,ok,1422316800,136000
17,35.1907,35.2611,34.3783,35.146,ok,1422403200,240100
18,36.4318,36.6557,34.9221,35.178,ok,1422489600,156000
19,35.6258,36.4382,34.8837,36.0927,ok,1422576000,325400
20,34.4935,35.8049,33.9689,35.8049,ok,1422835200,180900
21,35.1843,35.2995,34.4231,34.7365,ok,1422921600,205000
22,35.1524,35.4402,34.8389,34.9477,ok,1423008000,198300
23,34.9668,35.3571,34.7238,35.3571,ok,1423094400,135200
24,34.7813,35.0692,34.583,35.0308,ok,1423180800,171000
25,34.2248,35.0244,34.1352,34.5318,ok,1423440000,151400
26,34.6726,35.018,33.7962,34.4999,ok,1423526400,194300
27,34.0968,34.8005,33.3292,34.6982,ok,1423612800,135500
28,34.8965,34.9732,33.8985,34.2184,ok,1423699200,253000
29,36.6365,36.7325,34.7557,34.8901,ok,1423785600,205300
30,36.3998,36.9756,35.9712,36.8924,ok,1424131200,229600
31,36.7389,37.0587,36.2335,36.419,ok,1424217600,105300
32,43.9037,45.6181,39.1826,39.2465,ok,1424304000,1434500
33,42.7906,44.8313,42.4899,43.9229,ok,1424390400,768600
