,c,h,l,o,s,t,v
0,4.3001,4.3501,4.2401,4.3001,ok,1420156800,70600
1,4.3566,4.4366,4.1966,4.2266,ok,1420416000,101300
2,4.3472,4.3972,4.2672,4.2872,ok,1420502400,113100
3,4.3095,4.3795,4.2995,4.3695,ok,1420588800,84900
4,4.6671,4.7571,4.4071,4.4571,ok,1420675200,326700
5,4.62,4.66,4.56,4.66,ok,1420761600,71700
6,4.5542,4.6242,4.3942,4.5742,ok,1421020800,151700
7,4.6577,4.8477,4.5577,4.5577,ok,1421107200,207400
8,4.6765,4.6765,4.5165,4.5565,ok,1421193600,137800
9,4.7141,4.7641,4.5941,4.5941,ok,1421280000,164900
10,4.78,4.82,4.7,4.7,ok,1421366400,108700
11,4.8459,4.8559,4.6759,4.7059,ok,1421712000,154800
12,4.8082,4.8582,4.7882,4.7982,ok,1421798400,160600
13,4.8082,4.9182,4.7882,4.7982,ok,1421884800,195900
14,4.8176,4.8776,4.7976,4.8376,ok,1421971200,125400
15,4.78,4.82,4.75,4.8,ok,1422230400,363400
16,4.8082,4.8682,4.6082,4.6482,ok,1422316800,299100
17,4.8459,5.0659,4.8059,4.8459,ok,1422403200,257000
18,4.8553,4.9153,4.8453,4.8553,ok,1422489600,86700
19,4.8459,4.8959,4.7659,4.7659,ok,1422576000,139200
20,4.8176,4.8476,4.7376,4.8376,ok,1422835200,103400
21,4.8929,4.9429,4.7929,4.7929,ok,1422921600,114800
22,4.8835,4.9435,4.8535,4.8635,ok,1423008000,81200
23,4.9588,4.9988,4.8988,4.8988,ok,1423094400,49400
24,4.9117,5.0017,4.8817,4.9417,ok,1423180800,38100
25,4.8741,4.9741,4.7941,4.8541,ok,1423440000,85600
26,4.8647,4.9547,4.8047,4.8447,ok,1423526400,112100
27,4.827,4.867,4.757,4.847,ok,1423612800,100400
28,4.9117,5.0017,4.8217,4.9317,ok,1423699200,65800
29,5.1187,5.1787,4.9087,4.9187,ok,1423785600,208300
30,5.1187,5.2587,5.0387,5.2487,ok,1424131200,233700
31,5.0811,5.1611,4.9911,5.1211,ok,1424217600,127500
32,5.1564,5.2264,5.0864,5.1164,ok,1424304000,102000
33,5.0529,5.1829,4.9929,5.1029,ok,1424390400,120300
34,4.9305,5.0605,4.8805,5.0405,ok,1424649600,164000
35,4.8929,4.9229,4.8629,4.8829,ok,1424736000,117600
36,4.9776,4.9976,4.9276,4.9376,ok,1424822400,68300
37,4.8929,5.0129,4.8629,4.9429,ok,1424908800,185800
38,4.7894,4.9294,4.7594,4.9294,ok,1424995200,127800
39,4.8459,4.8459,4.7759,4.8059,ok,1425254400,176400
40,4.8176,4.9076,4.7576,4.8176,ok,1425340800,88600
41,4.7424,4.8424,4.7424,4.8124,ok,1425427200,106300
42,4.8082,4.8782,4.7182,4.7582,ok,1425513600,71700
43,4.8929,4.9529,4.7929,4.7929,ok,1425600000,118800
44,4.9964,5.0664,4.9364,5.0164,ok,1425859200,118800
45,4.9682,5.0182,4.8382,4.9682,ok,1425945600,282900
46,4.8929,4.9829,4.8529,4.9729,ok,1426032000,106100
47,4.827,4.937,4.797,4.937,ok,1426118400,60300
48,4.7612,4.8312,4.7412,4.8212,ok,1426204800,87600
49,4.7988,4.8188,4.7588,4.7688,ok,1426464000,121600
50,4.8459,4.8559,4.7059,4.7759,ok,1426550400,105200
51,4.8929,4.9129,4.8029,4.8129,ok,1426636800,47100
52,4.9211,4.9811,4.9011,4.9311,ok,1426723200,116600
53,4.8082,4.9182,4.7982,4.9082,ok,1426809600,100700
54,4.8082,4.8582,4.7882,4.8182,ok,1427068800,82400
55,4.6577,4.7477,4.4377,4.6077,ok,1427155200,598600
56,4.573,4.633,4.553,4.603,ok,1427241600,170900
57,4.4318,4.6218,4.3018,4.5818,ok,1427328000,215000
58,4.4695,4.5195,4.4195,4.4195,ok,1427414400,151300
59,4.3754,4.5454,4.3454,4.4854,ok,1427673600,378400
60,4.3283,4.4283,4.2683,4.2783,ok,1427760000,212400
61,4.2342,4.3742,4.1742,4.3542,ok,1427846400,250400
62,4.5824,4.6324,4.3324,4.3524,ok,1427932800,157800
63,4.6765,4.7065,4.5665,4.5665,ok,1428278400,66900
64,4.8459,4.9459,4.6759,4.6759,ok,1428364800,107200
65,4.7141,4.8741,4.6941,4.8241,ok,1428451200,94600
66,4.7706,4.7706,4.6506,4.7006,ok,1428537600,36200
67,4.6953,4.7853,4.6853,4.7753,ok,1428624000,123400
68,4.6106,4.7206,4.5506,4.6806,ok,1428883200,92100
69,4.5918,4.6418,4.5618,4.6218,ok,1428969600,61600
70,4.7706,4.7906,4.5406,4.5806,ok,1429056000,88300
71,4.6012,4.7812,4.5512,4.7012,ok,1429142400,91600
72,4.5824,4.5924,4.5524,4.5724,ok,1429228800,38200
73,4.5354,4.6054,4.4654,4.6054,ok,1429488000,45800
74,4.4036,4.5636,4.4036,4.5636,ok,1429574400,115000
75,4.4224,4.4524,4.2324,4.2424,ok,1429660800,50700
76,4.4883,4.5083,4.3783,4.3983,ok,1429747200,25900
77,4.4695,4.5195,4.3795,4.5195,ok,1429833600,92000
78,4.3754,4.5254,4.3754,4.5054,ok,1430092800,87600
79,4.4507,4.5307,4.2007,4.2207,ok,1430179200,162200
80,4.2625,4.4325,4.2325,4.4225,ok,1430265600,116500
81,4.2813,4.3613,4.2313,4.2313,ok,1430352000,203300
82,4.2342,4.3242,4.2342,4.2642,ok,1430438400,51600
83,4.2342,4.2842,4.2342,4.2342,ok,1430697600,51900
84,4.0743,4.2643,4.0543,4.2443,ok,1430784000,105700
85,3.952,4.122,3.912,4.092,ok,1430870400,118800
86,3.9331,4.0331,3.8831,3.9131,ok,1430956800,127000
87,3.9802,4.0402,3.8802,3.9402,ok,1431043200,65100
88,4.0367,4.1267,3.9867,3.9867,ok,1431302400,43600
89,3.9614,4.0214,3.9614,3.9914,ok,1431388800,54900
90,3.9426,4.0026,3.9326,3.9726,ok,1431475200,93600
91,3.9143,3.9943,3.8243,3.9543,ok,1431561600,125500
92,3.8108,3.9808,3.6608,3.9108,ok,1431648000,192500
93,3.8767,3.8967,3.8067,3.8567,ok,1431907200,165400
94,4.0084,4.0684,3.8984,3.8984,ok,1431993600,112000
95,4.1966,4.2766,4.0566,4.0666,ok,1432080000,132800
96,4.1119,4.2219,4.1119,4.2019,ok,1432166400,39900
97,4.159,4.169,4.129,4.129,ok,1432252800,29800
98,4.2531,4.3131,4.0731,4.1131,ok,1432598400,105600
99,4.1307,4.2607,4.0907,4.2507,ok,1432684800,82100
100,4.1402,4.1802,4.1002,4.1502,ok,1432771200,53800
101,4.1119,4.2019,4.1019,4.1419,ok,1432857600,70700
102,4.0272,4.0872,4.0072,4.0172,ok,1433116800,74900
103,4.0743,4.1143,3.8843,3.9743,ok,1433203200,76600
104,4.0367,4.1267,3.9767,4.0067,ok,1433289600,83700
105,3.999,4.129,3.909,3.969,ok,1433376000,89300
106,3.9802,4.0102,3.9202,3.9902,ok,1433462400,60100
107,3.8485,3.9785,3.8085,3.9285,ok,1433721600,119000
108,3.0769,3.7469,3.0169,3.7469,ok,1433808000,908300
109,3.1522,3.1922,2.8822,3.1422,ok,1433894400,608600
110,3.1898,3.2998,3.1498,3.1998,ok,1433980800,217900
111,3.1898,3.2298,3.1598,3.1598,ok,1434067200,133800
112,3.171,3.171,3.121,3.151,ok,1434326400,126300
113,3.1145,3.2145,3.1045,3.1645,ok,1434412800,241400
114,3.1616,3.3016,3.1116,3.1316,ok,1434499200,211300
115,3.218,3.298,3.158,3.158,ok,1434585600,159200
116,3.3027,3.3027,3.1727,3.1927,ok,1434672000,175700
117,3.1992,3.3492,3.1792,3.2792,ok,1434931200,138000
118,3.2557,3.3257,3.1757,3.1957,ok,1435017600,123100
119,3.2086,3.2486,3.1786,3.2186,ok,1435104000,85300
