,c,h,l,o,s,t,v
0,49.111,49.459,49.111,49.439,ok,1568851200,1200
1,49.1337,49.4587,49.1337,49.4587,ok,1568937600,2600
2,49.1535,49.5085,48.6885,49.5085,ok,1569196800,13700
3,48.7924,49.2224,48.6824,49.2224,ok,1569283200,1900
4,48.7825,48.9915,48.7225,48.8225,ok,1569369600,11400
5,48.7875,49.1615,48.7315,48.8425,ok,1569456000,4800
6,48.2087,48.2087,48.0477,48.1587,ok,1569542400,1100
7,48.4195,48.7465,48.4195,48.7465,ok,1569801600,1400
8,48.2038,48.2288,48.1308,48.1788,ok,1569888000,11000
9,47.8427,47.9227,47.7427,47.7427,ok,1569974400,3600
10,48.3789,48.4469,48.2449,48.3169,ok,1570060800,2000
11,48.6025,48.6145,48.5445,48.5445,ok,1570147200,10400
12,48.461,48.536,48.461,48.536,ok,1570406400,51600
13,48.2384,48.3684,48.2384,48.3284,ok,1570492800,22300
14,48.4363,48.7063,48.4363,48.7063,ok,1570579200,300
15,48.8963,49.0613,48.8283,49.0613,ok,1570665600,20800
16,49.7115,49.8415,49.7115,49.7875,ok,1570752000,300
17,49.4503,49.7653,49.4503,49.6653,ok,1571011200,9800
18,49.7916,49.9316,49.7916,49.7966,ok,1571097600,2700
19,49.8866,49.8866,49.7946,49.8006,ok,1571184000,25800
20,50.0785,50.3085,49.9985,50.3085,ok,1571270400,14400
21,49.8905,50.0205,49.8865,49.9085,ok,1571356800,900
22,50.1349,50.1779,50.0579,50.0679,ok,1571616000,3500
23,50.1972,50.3572,50.1472,50.2772,ok,1571702400,7800
24,50.2319,50.2969,50.0269,50.0269,ok,1571788800,55000
25,50.3704,50.3704,50.2454,50.3574,ok,1571875200,1453300
26,50.6632,50.7022,50.6002,50.7022,ok,1571961600,1300
27,50.9986,51.0786,50.9536,50.9536,ok,1572220800,8800
28,50.7216,50.9316,50.6716,50.7416,ok,1572307200,48900
29,50.6988,50.7318,50.6018,50.6018,ok,1572393600,2100
30,50.4792,50.5142,50.3752,50.4842,ok,1572480000,10800
31,51.2756,51.3346,51.2246,51.3346,ok,1572566400,3700
32,51.7801,52.0501,51.7201,51.8901,ok,1572825600,6800
33,52.0373,52.0373,51.5773,51.8373,ok,1572912000,18500
34,51.8998,51.8998,51.5168,51.5168,ok,1572998400,700
35,52.2955,52.5625,51.8645,51.8645,ok,1573084800,5500
36,51.79,51.99,51.79,51.9,ok,1573171200,6200
37,51.3349,51.3949,51.2549,51.3949,ok,1573430400,15700
38,50.9738,51.3068,50.9738,51.2688,ok,1573516800,2000
39,50.677,50.677,50.572,50.572,ok,1573603200,1900
40,50.6968,50.7488,50.6268,50.7488,ok,1573689600,1200
41,51.142,51.273,51.142,51.226,ok,1573776000,9300
42,51.1272,51.2542,51.1262,51.2172,ok,1574035200,2200
43,51.3745,51.3945,51.2445,51.3045,ok,1574121600,6600
44,50.9887,51.3987,50.9187,51.1187,ok,1574208000,40400
45,50.8066,50.8066,50.6856,50.6856,ok,1574294400,300
46,50.8106,50.8106,50.7376,50.7376,ok,1574380800,1200
47,51.3201,51.3371,51.2881,51.2881,ok,1574640000,17100
48,51.145,51.145,50.837,50.942,ok,1574726400,8000
49,51.142,51.142,51.039,51.039,ok,1574812800,300
50,50.5039,50.5539,50.5039,50.5539,ok,1574985600,3500
51,50.4446,50.5946,50.4446,50.5746,ok,1575244800,27200
52,50.1774,50.1774,50.0264,50.1374,ok,1575331200,3400
53,50.6434,50.6524,50.6124,50.6224,ok,1575417600,5700
54,50.9689,50.9789,50.7419,50.7419,ok,1575504000,21700
55,51.3349,51.3349,51.0849,51.0849,ok,1575590400,1000
56,51.1865,51.5265,51.1865,51.4765,ok,1575849600,15000
57,51.3745,51.4255,51.3425,51.3425,ok,1575936000,1400
58,52.0967,52.0967,51.7667,51.7667,ok,1576022400,3700
59,53.0771,53.0771,52.7061,52.8791,ok,1576108800,5300
60,53.2344,53.2344,53.0344,53.1444,ok,1576195200,8800
61,53.6499,53.7999,53.5599,53.7249,ok,1576454400,22600
62,53.8082,54.0082,53.7082,53.9882,ok,1576540800,22400
63,54.0258,54.0708,53.9758,53.9758,ok,1576627200,13200
64,53.9269,53.9509,53.8369,53.8369,ok,1576713600,9500
65,54.105,54.115,53.961,53.961,ok,1576800000,8200
66,54.1963,54.2243,53.9743,54.0463,ok,1577059200,1700
67,54.0653,54.1003,54.0653,54.0953,ok,1577145600,2400
68,54.379,54.443,54.359,54.359,ok,1577318400,1200
69,54.6113,54.6913,54.5433,54.5863,ok,1577404800,3600
70,54.4375,54.5125,54.4215,54.5125,ok,1577664000,7500
71,54.5755,54.5815,54.4235,54.5215,ok,1577750400,14700
72,55.3261,55.4491,55.1361,55.1961,ok,1577923200,31700
73,54.4514,54.7324,54.4324,54.5124,ok,1578009600,21400
74,54.2241,54.2691,53.9141,53.9141,ok,1578268800,12300
75,54.2291,54.2741,54.1241,54.1241,ok,1578355200,4000
76,54.4326,54.8006,54.1926,54.2026,ok,1578441600,8700
77,54.79,54.95,54.79,54.9,ok,1578528000,13700
78,55.0679,55.3079,55.0179,55.0179,ok,1578614400,8100
79,55.7728,55.8488,55.3728,55.4868,ok,1578873600,10400
80,55.4551,55.4551,55.3411,55.3651,ok,1578960000,10300
81,55.1821,55.3171,54.9971,55.2971,ok,1579046400,12100
82,55.4849,55.5949,55.3949,55.3949,ok,1579132800,10000
83,55.8224,55.8224,55.6524,55.6724,ok,1579219200,7900
84,54.5269,54.8419,54.5269,54.8419,ok,1579564800,10100
85,54.924,55.069,54.876,55.049,ok,1579651200,3800
86,54.4624,54.5124,53.8074,54.2524,ok,1579737600,24000
87,54.0256,54.5956,53.9566,54.4916,ok,1579824000,17700
88,52.2604,52.4534,52.0384,52.0384,ok,1580083200,9400
89,52.7797,52.8437,52.4447,52.4447,ok,1580169600,2500
90,52.9732,53.2332,52.9632,53.1832,ok,1580256000,5200
91,52.1493,52.1493,51.6113,51.6593,ok,1580342400,14700
92,51.0672,51.2572,50.8472,51.2572,ok,1580428800,12600
93,51.494,51.684,51.438,51.604,ok,1580688000,25100
94,52.7151,52.9551,52.7151,52.8761,ok,1580774400,3800
95,53.0576,53.4676,52.8746,53.4676,ok,1580860800,3300
96,53.147,53.327,53.125,53.242,ok,1580947200,4400
97,52.323,52.628,52.262,52.468,ok,1581033600,15000
98,52.596,52.676,52.346,52.516,ok,1581292800,4500
99,53.2264,53.4014,53.1814,53.2134,ok,1581379200,3700
100,54.0057,54.0057,53.8237,53.8357,ok,1581465600,1300
101,53.4795,53.5795,53.3895,53.5795,ok,1581552000,1300
102,53.549,53.859,53.413,53.859,ok,1581638400,19900
103,53.1172,53.2262,53.0922,53.0922,ok,1581984000,3500
104,53.4696,53.5696,53.4696,53.5096,ok,1582070400,5300
105,52.6238,53.1258,52.4758,53.0158,ok,1582156800,11000
106,52.3925,52.5875,52.3565,52.5875,ok,1582243200,10100
107,50.4397,50.6917,50.2517,50.2517,ok,1582502400,39300
108,49.9751,51.1751,49.9351,51.1751,ok,1582588800,42200
109,50.2829,50.8229,50.1929,50.5229,ok,1582675200,9600
110,49.0459,50.3019,49.0459,49.7519,ok,1582761600,12300
111,48.8632,48.8632,47.4782,47.7232,ok,1582848000,46800
112,49.449,49.449,48.599,48.799,ok,1583107200,22700
113,49.5482,50.6832,49.0782,49.9082,ok,1583193600,139600
114,50.3325,50.3325,49.8225,50.1825,ok,1583280000,131500
115,49.439,49.949,49.07,49.939,ok,1583366400,295700
116,48.4661,48.7411,48.0461,48.6861,ok,1583452800,36400
117,45.1901,45.7201,45.0301,45.2601,ok,1583712000,28700
118,47.0664,47.3464,45.8604,46.8464,ok,1583798400,59000
119,44.7632,46.3032,44.1532,46.3032,ok,1583884800,31100
120,40.2809,43.0859,40.0059,41.5559,ok,1583971200,37600
121,42.8273,43.5073,40.9573,42.7273,ok,1584057600,54500
122,38.6895,40.2775,38.2515,38.4575,ok,1584316800,111500
123,39.6009,39.8109,37.3809,39.3109,ok,1584403200,431400
124,36.3049,37.4589,35.5209,36.5549,ok,1584489600,139500
125,36.293,36.655,35.445,35.525,ok,1584576000,96900
126,36.3893,38.2503,36.3893,37.8943,ok,1584662400,79900
127,35.6994,39.0794,34.9494,39.0794,ok,1584921600,84400
128,38.3004,38.3194,37.6204,38.2804,ok,1585008000,124100
129,39.452,40.022,38.432,39.232,ok,1585094400,124700
130,40.8517,40.8917,39.9117,40.1017,ok,1585180800,103700
131,38.6717,39.2477,38.3427,38.7577,ok,1585267200,103200
132,39.2931,39.2931,38.5631,38.7231,ok,1585526400,86500
133,39.4291,39.9821,39.2621,39.4421,ok,1585612800,142700
134,37.8238,38.4838,37.8038,38.3138,ok,1585699200,83000
135,39.0052,39.3152,38.5812,39.0352,ok,1585785600,23200
136,38.2646,39.0506,38.0846,39.0506,ok,1585872000,73900
137,40.3226,40.4956,39.9466,40.0856,ok,1586131200,15900
138,40.8418,41.8318,40.6318,41.8318,ok,1586217600,65300
139,41.2667,41.2667,40.8287,40.9487,ok,1586304000,155000
140,41.2588,42.1288,41.1668,41.6188,ok,1586390400,74700
141,40.9113,41.6973,40.9113,41.4713,ok,1586736000,75200
142,42.4501,42.5601,41.7601,42.3701,ok,1586822400,43800
143,41.3978,41.6777,41.2677,41.3438,ok,1586908800,23100
144,41.6856,41.9656,41.4456,41.9156,ok,1586995200,28200
145,42.5196,42.7696,42.2896,42.7696,ok,1587081600,20400
146,42.0827,42.5427,41.9048,42.1527,ok,1587340800,33600
147,40.9113,41.3313,40.8013,41.0913,ok,1587427200,23300
148,41.9438,42.1588,41.9438,42.1438,ok,1587513600,108600
149,41.9438,42.5938,41.9438,42.3838,ok,1587600000,31100
150,41.7849,41.8949,41.3849,41.8949,ok,1587686400,35400
151,42.6585,42.6585,42.2585,42.3585,ok,1587945600,27700
152,42.7181,43.2081,42.7181,43.1681,ok,1588032000,47500
153,43.8995,44.0145,43.4995,43.4995,ok,1588118400,12900
154,43.0755,43.8655,42.8855,43.6845,ok,1588204800,20500
155,41.5764,42.1264,41.5054,42.0264,ok,1588291200,13500
156,42.1125,42.1325,41.7325,41.8325,ok,1588550400,46300
157,42.2912,42.8052,42.2612,42.6012,ok,1588636800,38000
158,42.1026,42.3426,42.1026,42.3026,ok,1588723200,21200
159,42.4401,42.6301,42.3501,42.6201,ok,1588809600,43200
160,43.2244,43.3444,43.1244,43.1844,ok,1588896000,28800
161,43.0209,43.2029,42.9859,43.0759,ok,1589155200,19000
162,42.8075,43.6375,42.8075,43.3525,ok,1589241600,28100
163,42.6685,43.2885,42.4585,43.1985,ok,1589328000,37900
164,42.7777,42.7777,41.8377,41.9077,ok,1589414400,47500
165,42.2366,42.4316,42.0966,42.2616,ok,1589500800,24500
166,43.7655,43.7855,43.2605,43.2605,ok,1589760000,23300
167,43.4031,43.8071,43.4031,43.7931,ok,1589846400,17100
168,43.9293,44.2893,43.9193,44.1093,ok,1589932800,15500
169,43.5818,44.0418,43.4618,44.0218,ok,1590019200,16400
170,42.6585,42.9185,42.6385,42.9185,ok,1590105600,11400
171,43.691,44.261,43.691,44.011,ok,1590451200,10500
172,43.9491,44.0491,43.4791,43.9791,ok,1590537600,33800
173,43.7436,44.2806,43.7436,44.0706,ok,1590624000,45200
174,44.3959,44.5059,43.7759,43.8759,ok,1590710400,23000
