,c,h,l,o,s,t,v
0,8.74,9.44,8.32,9.0,ok,1447891200,532300
1,9.07,9.09,8.43,8.54,ok,1447977600,30800
2,9.06,9.2,9.05,9.07,ok,1448236800,13900
3,9.2,9.2,9.02,9.2,ok,1448323200,7600
4,8.82,9.7,8.09,9.2,ok,1448409600,135600
5,9.19,9.41,8.66,8.9,ok,1448582400,4300
6,8.83,9.3,8.685,8.8,ok,1448841600,37700
7,8.73,9.24,8.61,8.81,ok,1448928000,75100
8,8.79,9.06,8.0,8.95,ok,1449014400,136400
9,8.6,9.02,8.6,8.94,ok,1449100800,119200
10,8.6,8.74,8.26,8.26,ok,1449187200,109100
11,8.55,8.81,8.3,8.52,ok,1449446400,127300
12,8.69,8.8,8.33,8.8,ok,1449532800,35500
13,8.67,8.86,8.51,8.605,ok,1449619200,50500
14,8.58,8.79,8.324,8.79,ok,1449705600,67100
15,8.45,8.9,8.18,8.64,ok,1449792000,75200
16,8.25,8.65,8.0,8.33,ok,1450051200,26800
17,8.35,8.45,8.07,8.27,ok,1450137600,15100
18,8.283,8.64,8.0,8.35,ok,1450224000,37100
19,8.5,8.6,8.3,8.4,ok,1450310400,9900
20,9.11,9.21,8.3,8.31,ok,1450396800,62700
21,9.05,9.05,8.73,9.05,ok,1450656000,33100
22,9.15,9.15,8.4,8.75,ok,1450742400,27800
23,8.97,9.15,8.75,9.15,ok,1450828800,17800
24,8.67,8.92,8.42,8.75,ok,1450915200,12200
25,8.72,8.97,8.25,8.339,ok,1451260800,34300
26,9.21,9.21,8.25,9.0,ok,1451347200,113700
27,9.2,9.2,8.635,9.14,ok,1451433600,80200
28,9.27,9.54,8.88,9.15,ok,1451520000,75800
29,12.19,12.19,9.5,9.54,ok,1451865600,54500
30,14.98,15.74,12.21,12.27,ok,1451952000,161700
31,14.47,14.76,13.9,14.71,ok,1452038400,48400
32,12.45,14.45,12.11,14.07,ok,1452124800,62100
33,11.86,12.75,11.821,12.57,ok,1452211200,18100
34,11.97,12.48,11.35,12.16,ok,1452470400,29000
35,11.89,12.87,11.39,12.01,ok,1452556800,33500
36,10.22,12.01,9.7,12.01,ok,1452643200,55300
37,10.62,10.62,9.8,10.35,ok,1452729600,30800
38,13.0,13.59,10.1,10.62,ok,1452816000,43300
39,12.35,13.71,11.17,13.71,ok,1453161600,44800
40,12.16,12.59,11.02,12.59,ok,1453248000,31900
41,12.25,12.25,11.5,12.21,ok,1453334400,12700
42,12.47,13.038,12.11,12.25,ok,1453420800,24200
43,11.35,12.48,10.91,12.48,ok,1453680000,56100
44,11.59,13.1,10.3,11.49,ok,1453766400,32600
45,9.57,12.686,9.26,11.62,ok,1453852800,51900
46,9.03,10.166,8.82,9.75,ok,1453939200,15500
47,7.83,9.8,7.802,9.02,ok,1454025600,25800
48,7.71,8.098,7.22,7.85,ok,1454284800,42400
49,7.332,8.15,6.68,7.85,ok,1454371200,27500
50,7.32,7.4,6.75,7.2,ok,1454457600,21200
51,7.37,7.8,7.01,7.23,ok,1454544000,12500
52,7.21,7.58,7.21,7.29,ok,1454630400,10300
53,5.37,7.25,5.37,7.25,ok,1454889600,26900
54,6.3,7.8,5.5,5.51,ok,1454976000,9100
55,6.94,7.0,5.8,6.18,ok,1455062400,8600
56,6.85,8.29,6.79,7.6,ok,1455148800,7200
57,8.0,8.34,7.44,8.34,ok,1455235200,2000
58,8.25,8.5,8.16,8.16,ok,1455580800,8100
59,8.21,8.5,7.62,8.5,ok,1455667200,26300
60,8.39,8.7,7.77,8.32,ok,1455753600,12500
61,8.65,8.65,7.359,8.26,ok,1455840000,11700
62,8.65,8.75,7.42,8.15,ok,1456099200,41400
63,8.65,8.71,7.77,8.55,ok,1456185600,14300
64,8.38,8.62,8.0,8.62,ok,1456272000,15800
65,7.89,8.36,7.22,8.36,ok,1456358400,54100
66,8.4,8.6,7.77,7.87,ok,1456444800,16600
67,7.77,8.5,7.77,8.42,ok,1456704000,17900
68,8.18,8.24,7.65,8.03,ok,1456790400,16300
69,8.44,8.44,8.01,8.2,ok,1456876800,4200
70,8.3,8.37,7.62,8.29,ok,1456963200,16200
71,7.1,8.328,6.55,8.23,ok,1457049600,40500
72,7.25,7.83,6.75,7.31,ok,1457308800,44800
73,6.98,7.36,6.825,7.11,ok,1457395200,14700
74,7.02,7.47,6.95,7.05,ok,1457481600,11400
75,6.97,7.15,6.96,7.1,ok,1457568000,7800
76,7.14,7.41,7.1,7.28,ok,1457654400,16300
77,9.65,9.75,7.04,7.5,ok,1457913600,37800
78,10.2,12.09,9.0,9.56,ok,1458000000,69200
79,10.75,10.99,10.26,10.26,ok,1458086400,120200
80,8.97,10.781,8.02,10.74,ok,1458172800,34900
81,8.54,10.0,8.315,9.17,ok,1458259200,233500
82,8.7,9.0,8.46,8.46,ok,1458518400,16300
83,8.86,9.31,8.31,8.68,ok,1458604800,27000
84,9.06,9.12,8.45,8.78,ok,1458691200,22900
85,8.5,9.54,8.43,8.94,ok,1458777600,30800
86,8.15,8.79,8.01,8.49,ok,1459123200,7700
87,7.85,8.75,7.52,8.21,ok,1459209600,20400
88,8.7,8.75,6.935,7.84,ok,1459296000,38900
89,8.6,9.15,7.173,9.15,ok,1459382400,52800
90,8.95,9.3,7.93,8.6,ok,1459468800,18400
91,9.29,9.98,8.84,9.24,ok,1459728000,39900
92,9.3,9.35,8.57,8.95,ok,1459814400,9300
93,9.52,9.98,8.9,9.35,ok,1459900800,19000
94,9.87,10.145,9.63,9.74,ok,1459987200,14600
95,10.16,10.68,9.47,9.7,ok,1460073600,12500
96,9.33,10.8,9.3,10.34,ok,1460332800,16400
97,9.43,10.18,8.834,9.42,ok,1460419200,24500
98,9.79,10.22,9.11,9.65,ok,1460505600,25400
99,9.86,10.04,9.42,9.62,ok,1460592000,12500
100,9.84,10.78,9.68,10.19,ok,1460678400,23600
101,10.04,10.48,9.85,9.85,ok,1460937600,7400
102,10.01,10.42,9.75,10.07,ok,1461024000,12900
103,9.99,10.4,9.7,10.12,ok,1461110400,19000
104,10.02,10.19,9.6,9.82,ok,1461196800,16300
105,9.96,10.33,9.63,9.93,ok,1461283200,14300
106,9.92,10.37,9.7,10.0,ok,1461542400,13200
107,10.98,10.98,9.9,9.9,ok,1461628800,14900
108,12.44,12.69,10.59,10.68,ok,1461715200,14600
109,12.41,12.45,12.03,12.44,ok,1461801600,9500
110,11.45,12.5,11.1,12.2,ok,1461888000,12300
111,11.15,11.95,11.13,11.95,ok,1462147200,22100
112,10.57,11.75,10.4,11.55,ok,1462233600,14400
113,11.15,11.75,10.33,11.48,ok,1462320000,19100
114,11.2,11.56,10.401,11.005,ok,1462406400,14400
115,11.37,11.59,10.773,11.08,ok,1462492800,15600
116,11.08,11.68,10.99,11.34,ok,1462752000,53800
117,11.09,11.545,10.73,11.545,ok,1462838400,22000
118,11.18,11.52,10.94,11.15,ok,1462924800,11500
119,11.39,11.39,11.01,11.05,ok,1463011200,9700
120,10.65,11.5,10.65,11.31,ok,1463097600,18600
121,10.17,10.68,10.0,10.68,ok,1463356800,8600
122,10.47,11.0,10.38,10.38,ok,1463443200,10300
123,9.94,10.44,9.59,10.27,ok,1463529600,6800
124,10.02,11.0,9.76,10.37,ok,1463616000,31000
125,10.3,10.5,9.815,10.13,ok,1463702400,8400
126,10.3,10.85,9.795,10.38,ok,1463961600,48800
127,9.95,10.4,9.73,10.3,ok,1464048000,59400
128,8.99,9.75,8.31,9.65,ok,1464134400,61200
129,8.77,8.9,8.3,8.9,ok,1464220800,32800
130,8.02,8.85,7.03,8.81,ok,1464307200,78400
131,7.85,8.21,7.275,7.985,ok,1464652800,90600
132,7.78,7.92,7.58,7.84,ok,1464739200,33700
133,7.5,8.4,7.25,7.69,ok,1464825600,45800
134,7.66,7.98,7.47,7.47,ok,1464912000,34800
135,7.9,8.0,7.65,7.65,ok,1465171200,39700
136,8.08,8.1,7.53,7.65,ok,1465257600,55300
137,8.28,8.66,7.85,8.0,ok,1465344000,27200
138,8.19,8.437,7.835,8.19,ok,1465430400,22400
139,8.2,8.49,7.8,8.177,ok,1465516800,21500
140,6.99,8.335,6.06,8.19,ok,1465776000,80900
141,6.34,7.32,6.25,7.06,ok,1465862400,73200
142,6.65,7.23,6.25,6.25,ok,1465948800,68500
143,6.95,6.95,6.13,6.52,ok,1466035200,40100
144,6.34,7.1,6.18,6.81,ok,1466121600,123100
145,6.17,6.6,6.065,6.53,ok,1466380800,56200
146,6.68,6.9,6.081,6.15,ok,1466467200,41200
147,6.95,7.0,6.39,6.75,ok,1466553600,57700
148,7.405,7.62,6.553,6.95,ok,1466640000,79700
149,7.1,7.39,6.755,6.755,ok,1466726400,1004600
150,7.65,7.84,7.1,7.38,ok,1466985600,62000
151,7.52,8.04,7.289,7.81,ok,1467072000,57700
152,7.47,7.92,7.24,7.64,ok,1467158400,21200
153,7.54,7.82,7.33,7.56,ok,1467244800,26900
154,7.47,7.77,7.13,7.49,ok,1467331200,21100
155,7.18,7.565,7.0,7.51,ok,1467676800,28000
156,7.26,7.49,6.85,7.22,ok,1467763200,37600
157,7.33,7.48,6.935,7.32,ok,1467849600,31700
158,7.67,7.78,7.3,7.41,ok,1467936000,30000
159,7.85,7.93,7.65,7.74,ok,1468195200,33400
160,8.18,8.346,8.05,8.05,ok,1468281600,45200
161,7.87,8.19,7.69,8.18,ok,1468368000,21800
162,7.71,8.174,7.59,8.174,ok,1468454400,28400
163,8.05,8.174,7.83,7.89,ok,1468540800,22200
164,8.07,8.33,7.93,7.93,ok,1468800000,16400
165,7.87,8.245,7.56,8.13,ok,1468886400,25100
166,8.06,8.13,7.753,7.78,ok,1468972800,41100
167,7.94,8.2,7.87,8.13,ok,1469059200,21400
168,7.76,7.99,7.67,7.99,ok,1469145600,20700
169,7.82,7.9,7.59,7.67,ok,1469404800,12800
170,7.79,7.8,7.521,7.71,ok,1469491200,12600
171,7.98,8.0,7.63,7.72,ok,1469577600,37600
172,7.96,8.0,7.85,8.0,ok,1469664000,23600
173,7.82,7.97,7.77,7.95,ok,1469750400,31500
174,7.79,7.93,7.65,7.65,ok,1470009600,31700
175,7.63,7.76,7.62,7.72,ok,1470096000,9900
176,7.73,7.75,7.33,7.57,ok,1470182400,30000
177,7.36,7.74,7.31,7.57,ok,1470268800,18100
178,7.69,7.74,7.3,7.39,ok,1470355200,18100
179,7.7,7.75,7.63,7.65,ok,1470614400,15200
180,7.61,7.66,7.55,7.55,ok,1470700800,11100
181,7.59,7.64,7.57,7.58,ok,1470787200,9000
182,7.24,7.63,7.12,7.59,ok,1470873600,35100
183,7.44,7.55,7.24,7.275,ok,1470960000,10100
184,7.01,7.55,6.95,7.55,ok,1471219200,61600
185,7.32,7.46,7.02,7.02,ok,1471305600,26900
186,7.29,7.45,7.21,7.399,ok,1471392000,19900
187,7.42,7.5,7.35,7.35,ok,1471478400,13900
188,7.54,7.629,7.37,7.43,ok,1471564800,36000
189,7.58,7.6,7.45,7.54,ok,1471824000,20700
190,7.51,7.7,7.48,7.6,ok,1471910400,32900
191,7.37,7.6,7.13,7.51,ok,1471996800,34500
192,7.44,7.51,7.3,7.3,ok,1472083200,10500
193,7.31,7.54,7.31,7.4,ok,1472169600,6000
194,7.35,7.45,7.17,7.32,ok,1472428800,15400
195,7.15,7.41,7.15,7.41,ok,1472515200,10800
196,7.24,7.37,7.12,7.12,ok,1472601600,18000
197,7.25,7.29,6.901,7.25,ok,1472688000,17800
198,7.27,7.36,7.08,7.33,ok,1472774400,31700
199,7.24,7.27,7.05,7.26,ok,1473120000,29400
200,7.49,7.74,7.18,7.18,ok,1473206400,37000
201,7.58,7.7,7.35,7.51,ok,1473292800,11300
202,7.27,7.59,7.08,7.49,ok,1473379200,36900
203,7.42,7.7,7.175,7.5,ok,1473638400,27400
204,7.13,7.4,7.13,7.4,ok,1473724800,24400
205,7.22,7.37,7.13,7.13,ok,1473811200,20500
206,7.34,7.45,7.19,7.19,ok,1473897600,18800
207,7.35,7.43,7.25,7.4,ok,1473984000,41600
208,7.49,7.54,7.334,7.37,ok,1474243200,23100
209,7.69,8.0,7.48,7.5,ok,1474329600,113000
210,7.73,7.9,7.59,7.6,ok,1474416000,59500
211,7.79,7.95,7.64,7.87,ok,1474502400,52400
212,7.61,7.75,7.122,7.66,ok,1474588800,13100
213,7.57,7.73,7.47,7.72,ok,1474848000,14500
214,7.67,7.9,7.37,7.9,ok,1474934400,48400
215,7.9,7.975,7.64,7.65,ok,1475020800,45600
216,7.69,7.9,7.62,7.759,ok,1475107200,47500
217,7.88,7.96,7.69,7.74,ok,1475193600,34200
218,8.27,8.36,7.85,7.85,ok,1475452800,86800
219,8.17,8.35,8.13,8.35,ok,1475539200,26800
220,8.33,8.42,8.095,8.095,ok,1475625600,33900
221,8.71,9.11,8.18,8.33,ok,1475712000,102200
222,8.22,9.0,8.19,8.82,ok,1475798400,24300
223,8.5,8.6,8.25,8.32,ok,1476057600,28600
224,8.17,8.68,8.14,8.52,ok,1476144000,18600
225,7.97,8.26,7.92,8.1,ok,1476230400,23600
226,7.47,8.13,7.42,7.85,ok,1476316800,44500
227,7.29,7.701,7.26,7.701,ok,1476403200,27600
228,7.22,7.61,7.08,7.5,ok,1476662400,29400
229,7.34,8.639,7.24,8.04,ok,1476748800,27100
230,7.11,7.309,7.03,7.3,ok,1476835200,43200
231,7.31,7.45,7.16,7.16,ok,1476921600,64300
232,7.4,7.447,7.24,7.24,ok,1477008000,24000
233,7.39,7.664,7.3,7.5,ok,1477267200,35700
234,7.08,7.45,7.08,7.45,ok,1477353600,51900
235,6.9,7.083,6.9,6.955,ok,1477440000,23300
236,7.06,7.26,7.0,7.0,ok,1477526400,23700
237,6.87,7.06,6.66,7.0,ok,1477612800,32300
238,6.7,6.9,6.6,6.9,ok,1477872000,33900
239,7.15,7.35,6.55,6.85,ok,1477958400,41800
240,6.4,7.15,6.1,7.15,ok,1478044800,42000
241,6.25,6.5,6.05,6.4,ok,1478131200,26700
242,6.35,6.6,6.1,6.25,ok,1478217600,19700
243,6.55,6.8,6.35,6.7,ok,1478476800,38500
244,6.6,7.2,6.45,7.2,ok,1478563200,24200
245,6.3,6.8,6.05,6.65,ok,1478649600,83100
246,6.6,6.85,6.35,6.5,ok,1478736000,84800
247,7.3,7.4,6.4,6.6,ok,1478822400,49800
248,7.5,7.7,7.3,7.45,ok,1479081600,31300
249,7.35,7.44,7.05,7.44,ok,1479168000,18200
250,7.35,7.4,7.1,7.4,ok,1479254400,16100
251,7.65,7.75,7.35,7.35,ok,1479340800,16700
252,7.6,7.7,7.45,7.7,ok,1479427200,15900
253,7.55,7.6,7.5,7.528,ok,1479686400,6900
254,7.35,7.6,7.25,7.6,ok,1479772800,24500
255,7.05,7.4,6.85,7.4,ok,1479859200,24400
