,c,h,l,o,s,t,v
0,9.8581,9.9681,9.6981,9.9281,ok,1420156800,71500
1,9.7377,9.8577,9.5477,9.8377,ok,1420416000,142300
2,9.5571,9.7771,9.3671,9.7671,ok,1420502400,131900
3,9.5829,9.6329,9.4429,9.5529,ok,1420588800,137200
4,9.6689,9.8489,9.5189,9.6689,ok,1420675200,74000
5,9.3248,9.7448,9.3148,9.6848,ok,1420761600,63600
6,9.1958,9.4058,9.1458,9.2958,ok,1421020800,83900
7,9.0323,9.3623,8.9423,9.1123,ok,1421107200,203400
8,9.0839,9.1039,8.8939,8.9439,ok,1421193600,118600
9,8.9463,9.0863,8.8963,9.0863,ok,1421280000,134100
10,8.9119,9.0919,8.7819,8.9019,ok,1421366400,146400
11,8.8775,8.9575,8.7375,8.8875,ok,1421712000,123700
12,8.8603,8.9703,8.7603,8.8203,ok,1421798400,70800
13,9.0753,9.1753,8.7753,8.8653,ok,1421884800,192100
14,8.9549,9.2049,8.9149,9.1049,ok,1421971200,60800
15,9.0753,9.1053,8.7853,8.8953,ok,1422230400,115800
16,9.1097,9.1597,8.9197,8.9997,ok,1422316800,77600
17,8.9721,9.2121,8.9421,9.1721,ok,1422403200,93000
18,9.1356,9.1356,8.8456,9.0656,ok,1422489600,71300
19,8.8173,9.1873,8.7973,9.0673,ok,1422576000,154100
20,9.0839,9.2339,8.7939,8.8139,ok,1422835200,107800
21,9.3076,9.4076,9.1076,9.1076,ok,1422921600,116100
22,9.213,9.353,9.173,9.263,ok,1423008000,65700
23,9.2904,9.3204,9.1804,9.3004,ok,1423094400,73600
24,9.2216,9.4916,9.2116,9.3516,ok,1423180800,229600
25,9.3076,9.4776,9.1976,9.1976,ok,1423440000,76000
26,9.2388,9.4788,9.1588,9.3988,ok,1423526400,92900
27,9.2904,9.3804,9.1404,9.2404,ok,1423612800,63900
28,9.7291,9.7291,9.2391,9.2391,ok,1423699200,159600
29,9.6173,9.7473,9.5973,9.7073,ok,1423785600,54900
30,9.6517,9.7017,9.6217,9.6317,ok,1424131200,52700
31,9.5829,9.6729,9.5429,9.6729,ok,1424217600,36900
32,9.7119,9.7719,9.5219,9.5619,ok,1424304000,120700
33,9.5399,9.7499,9.4799,9.7499,ok,1424390400,50400
34,9.3592,9.5592,9.3092,9.5492,ok,1424649600,65500
35,9.4968,9.7068,9.3568,9.3668,ok,1424736000,44200
36,9.5829,9.6429,9.4229,9.4229,ok,1424822400,77100
37,9.5485,9.6685,9.4685,9.5485,ok,1424908800,63000
38,9.3936,9.5436,9.3936,9.5336,ok,1424995200,81500
39,9.428,9.498,9.358,9.358,ok,1425254400,79000
40,9.5313,9.5813,9.3513,9.3513,ok,1425340800,327500
41,9.6001,9.6301,9.4101,9.5001,ok,1425427200,95900
42,9.6259,9.7159,9.5359,9.6159,ok,1425513600,105300
43,9.9356,10.0656,9.6256,9.7156,ok,1425600000,307400
44,10.099,10.219,9.859,9.869,ok,1425859200,274500
45,10.1248,10.2848,10.0648,10.0748,ok,1425945600,174600
46,10.1335,10.2435,9.8135,9.8835,ok,1426032000,135900
47,10.4811,10.5211,10.2311,10.3111,ok,1426118400,291700
48,10.3682,10.5282,10.2382,10.5282,ok,1426204800,132400
49,10.2812,10.4412,10.2212,10.4412,ok,1426464000,138400
50,10.2899,10.3599,10.1999,10.1999,ok,1426550400,184300
51,10.2812,10.3312,10.1712,10.2812,ok,1426636800,124900
52,10.2726,10.4026,10.2226,10.2326,ok,1426723200,172700
53,10.3595,10.4295,10.0595,10.3195,ok,1426809600,181400
54,10.4203,10.4903,10.3503,10.3503,ok,1427068800,147900
55,10.5333,10.5533,10.3133,10.3833,ok,1427155200,157200
56,10.4203,10.6203,10.4003,10.6003,ok,1427241600,65600
57,10.4724,10.5024,10.3224,10.3324,ok,1427328000,51600
58,10.4551,10.5851,10.3951,10.4751,ok,1427414400,91200
59,10.6202,10.6502,10.4302,10.4302,ok,1427673600,140800
60,10.6984,10.7484,10.5384,10.6384,ok,1427760000,140700
61,10.6636,10.7436,10.5636,10.7236,ok,1427846400,182200
62,10.6897,10.7997,10.4697,10.5197,ok,1427932800,202700
63,10.681,10.751,10.541,10.601,ok,1428278400,143200
64,10.655,10.775,10.595,10.615,ok,1428364800,163400
65,10.6636,10.7636,10.6236,10.6336,ok,1428451200,74500
66,10.6376,10.6976,10.4376,10.6276,ok,1428537600,42000
67,10.5941,10.7141,10.5741,10.6341,ok,1428624000,48600
68,10.6463,10.6463,10.5263,10.5363,ok,1428883200,88000
69,10.6897,10.7397,10.4597,10.6497,ok,1428969600,46100
70,10.907,10.997,10.677,10.677,ok,1429056000,97400
71,10.8896,10.9496,10.7896,10.8596,ok,1429142400,77000
72,10.7158,10.9358,10.6358,10.8258,ok,1429228800,78300
73,11.0287,11.0387,10.6887,10.6887,ok,1429488000,83300
74,11.0721,11.1821,10.9621,11.0421,ok,1429574400,95600
75,11.02,11.09,10.93,11.09,ok,1429660800,158100
76,10.8896,11.0296,10.8596,10.9896,ok,1429747200,71300
77,10.8548,10.9548,10.8548,10.8748,ok,1429833600,67100
78,10.8983,11.0483,10.7383,10.9083,ok,1430092800,81200
79,10.9765,11.0365,10.8865,10.9165,ok,1430179200,105700
80,11.0373,11.0873,10.9373,10.9473,ok,1430265600,77700
81,10.7766,11.1166,10.7266,11.0566,ok,1430352000,164500
82,10.9157,10.9457,10.6857,10.9057,ok,1430438400,156800
83,11.1243,11.2143,10.9043,10.9343,ok,1430697600,92200
84,11.0895,11.1895,10.9095,11.0495,ok,1430784000,103500
85,11.1851,11.2051,11.0551,11.1951,ok,1430870400,161600
86,11.2285,11.2285,11.1485,11.1985,ok,1430956800,101800
