,c,h,l,o,s,t,v
0,23.9882,23.9882,23.9882,23.9882,ok,1529280000,100
1,23.8133,23.8133,23.8133,23.8133,ok,1529452800,100
2,23.6094,23.6094,23.6094,23.6094,ok,1529539200,395000
3,23.5511,23.5511,23.5511,23.5511,ok,1529884800,200
4,23.5511,23.5511,23.5511,23.5511,ok,1530489600,100
5,23.5511,23.5511,23.5511,23.5511,ok,1531094400,100
6,23.2792,23.3092,23.2792,23.2992,ok,1531180800,560700
7,22.9004,23.1504,22.8904,23.0504,ok,1531267200,8945700
8,22.9976,23.0076,22.8676,22.8976,ok,1531353600,23138400
9,23.2209,23.2409,23.0959,23.1409,ok,1531440000,1806500
10,23.1724,23.2974,23.1024,23.2524,ok,1531699200,5550600
11,23.3278,23.4008,23.2478,23.3278,ok,1531785600,1944200
12,23.3569,23.4469,23.3369,23.3369,ok,1531872000,5781400
13,23.2986,23.3786,23.2286,23.2436,ok,1531958400,14907600
14,23.3666,23.4366,23.2266,23.2266,ok,1532044800,946900
15,23.5608,23.5608,23.4908,23.5608,ok,1532304000,227100
16,23.6774,23.7674,23.6074,23.7174,ok,1532390400,161900
17,23.8522,23.9172,23.6522,23.6722,ok,1532476800,1440100
18,23.8231,23.9431,23.8231,23.9331,ok,1532563200,5098200
19,23.9202,24.0502,23.8802,24.0402,ok,1532649600,353800
20,23.7454,23.9254,23.7054,23.9254,ok,1532908800,284300
21,23.5803,23.6703,23.5003,23.6603,ok,1532995200,267800
22,23.6871,23.7571,23.6571,23.7371,ok,1533081600,1162200
23,23.5608,23.5608,23.4708,23.4808,ok,1533168000,352200
24,23.5608,23.5608,23.3808,23.3808,ok,1533254400,318500
25,23.3666,23.3866,23.2966,23.3266,ok,1533513600,132800
26,23.5511,23.6311,23.5111,23.6311,ok,1533600000,184800
27,23.5414,23.5714,23.4914,23.5114,ok,1533686400,638800
28,23.4152,23.5352,23.4052,23.5052,ok,1533772800,986600
29,23.1627,23.2327,23.0567,23.2327,ok,1533859200,335500
30,22.9004,23.0304,22.9004,22.9704,ok,1534118400,285900
31,23.0655,23.0855,22.9855,23.0155,ok,1534204800,152500
32,22.7839,22.8239,22.6839,22.7739,ok,1534291200,237300
33,22.9684,22.9684,22.8444,22.8784,ok,1534377600,426800
34,22.9976,23.0476,22.8976,22.9076,ok,1534464000,362100
35,23.085,23.115,23.015,23.115,ok,1534723200,135100
36,23.1238,23.1238,23.0038,23.0438,ok,1534809600,225300
37,23.1724,23.2324,23.1524,23.1734,ok,1534896000,183500
38,23.085,23.105,22.995,22.995,ok,1534982400,226600
39,23.1432,23.1732,23.0632,23.0632,ok,1535068800,123200
40,23.5026,23.5026,23.3626,23.3626,ok,1535328000,150300
41,23.4443,23.4843,23.4043,23.4343,ok,1535414400,220100
42,23.5317,23.5317,23.4217,23.4217,ok,1535500800,168100
43,23.3763,23.4163,23.2863,23.3463,ok,1535587200,202800
44,23.4054,23.4654,23.3154,23.4654,ok,1535673600,143000
45,23.1335,23.1435,23.0365,23.1435,ok,1536019200,218100
46,22.9393,22.9393,22.8063,22.8493,ok,1536105600,279600
47,22.9296,22.9396,22.7796,22.8296,ok,1536192000,1124400
