,c,h,l,o,s,t,v
0,24.267,24.287,24.262,24.287,ok,1552435200,3900
1,24.2573,24.2573,24.2473,24.2473,ok,1552521600,1700
2,24.2767,24.2867,24.2767,24.2867,ok,1552608000,2000
3,24.2719,24.2869,24.2669,24.2669,ok,1552867200,6200
4,24.2709,24.2869,24.2669,24.2669,ok,1552953600,200
5,24.3252,24.3352,24.2852,24.2852,ok,1553040000,6100
6,24.3252,24.3352,24.3252,24.3352,ok,1553126400,2200
7,24.3834,24.3834,24.3834,24.3834,ok,1553212800,500
8,24.4318,24.4318,24.4318,24.4318,ok,1553472000,200
9,24.427,24.427,24.382,24.392,ok,1553558400,12500
10,24.4444,24.4514,24.4314,24.4314,ok,1553644800,3100
11,24.4318,24.4318,24.4318,24.4318,ok,1553731200,100
12,24.4144,24.4144,24.4034,24.4134,ok,1553817600,6700
13,24.3794,24.4064,24.3794,24.3944,ok,1554076800,11200
14,24.394,24.394,24.394,24.394,ok,1554163200,200
15,24.3785,24.3944,24.3785,24.3944,ok,1554249600,100
16,24.3746,24.3746,24.3746,24.3746,ok,1554336000,100
17,24.3746,24.3846,24.3746,24.3746,ok,1554422400,300
18,24.3697,24.3697,24.3697,24.3697,ok,1554681600,100
19,24.3843,24.3843,24.3843,24.3843,ok,1554768000,100
20,24.4037,24.4237,24.4037,24.4237,ok,1554854400,100
21,24.3891,24.3941,24.3841,24.3881,ok,1554940800,6600
22,24.36,24.36,24.355,24.355,ok,1555027200,1200
23,24.3649,24.3649,24.3549,24.3649,ok,1555286400,9300
24,24.3503,24.3643,24.3503,24.3553,ok,1555372800,1100
25,24.36,24.365,24.355,24.365,ok,1555459200,1000
26,24.3697,24.3697,24.3697,24.3697,ok,1555545600,100
27,24.3707,24.3707,24.3647,24.3647,ok,1555891200,2700
28,24.3988,24.3988,24.3838,24.3838,ok,1555977600,15500
29,24.4183,24.4233,24.4133,24.4233,ok,1556064000,700
30,24.4134,24.4134,24.4134,24.4134,ok,1556150400,1000
31,24.4377,24.4427,24.4327,24.4427,ok,1556236800,3500
32,24.428,24.433,24.423,24.433,ok,1556496000,2200
33,24.461,24.461,24.456,24.456,ok,1556582400,900
34,24.4367,24.4717,24.4367,24.4567,ok,1556668800,12800
35,24.4221,24.4221,24.4221,24.4221,ok,1556755200,100
36,24.427,24.427,24.427,24.427,ok,1556841600,100
37,24.4513,24.4563,24.4513,24.4563,ok,1557100800,1000
38,24.4708,24.4758,24.4708,24.4758,ok,1557187200,300
39,24.461,24.461,24.461,24.461,ok,1557273600,100
40,24.4805,24.4955,24.4805,24.4855,ok,1557360000,1400
41,24.4902,24.4902,24.4902,24.4902,ok,1557446400,100
42,24.5291,24.5291,24.5241,24.5241,ok,1557705600,2300
43,24.5194,24.5244,24.5194,24.5244,ok,1557792000,600
44,24.5486,24.5536,24.5436,24.5536,ok,1557878400,1600
45,24.533,24.533,24.524,24.524,ok,1557964800,2900
46,24.5311,24.5341,24.5241,24.5341,ok,1558051200,1800
47,24.5243,24.5243,24.5143,24.5143,ok,1558310400,3700
48,24.5097,24.5097,24.5097,24.5097,ok,1558396800,100
49,24.5233,24.5243,24.5233,24.5243,ok,1558483200,1300
50,24.5768,24.5768,24.5428,24.5428,ok,1558569600,700
51,24.568,24.568,24.553,24.553,ok,1558656000,5600
52,24.6021,24.6021,24.6021,24.6021,ok,1559001600,100
53,24.6021,24.6321,24.6021,24.6321,ok,1559088000,700
54,24.6225,24.6225,24.5915,24.5915,ok,1559174400,200
55,24.6986,24.6986,24.6986,24.6986,ok,1559260800,100
56,24.7434,24.7434,24.7434,24.7434,ok,1559520000,100
57,24.7239,24.7239,24.7039,24.7039,ok,1559606400,4300
58,24.7434,24.7434,24.7434,24.7434,ok,1559692800,2500
59,24.7239,24.7239,24.7239,24.7239,ok,1559779200,100
60,24.7434,24.7434,24.7434,24.7434,ok,1559865600,100
61,24.719,24.719,24.719,24.719,ok,1560124800,100
62,24.7142,24.7172,24.7142,24.7172,ok,1560211200,2600
63,24.7434,24.7434,24.7234,24.7234,ok,1560297600,2500
64,24.7629,24.7629,24.7629,24.7629,ok,1560470400,400
65,24.7629,24.7699,24.7629,24.7699,ok,1560729600,6700
66,24.7678,24.7678,24.7678,24.7678,ok,1560816000,100
67,24.8263,24.8263,24.8263,24.8263,ok,1560902400,100
68,24.8409,24.8409,24.8409,24.8409,ok,1560988800,100
69,24.8175,24.8175,24.8015,24.8115,ok,1561075200,900
70,24.8507,24.8507,24.8507,24.8507,ok,1561334400,100
71,24.8701,24.8701,24.8601,24.8601,ok,1561420800,500
72,24.8351,24.871,24.8351,24.871,ok,1561507200,981700
73,24.8604,24.8604,24.8604,24.8604,ok,1561593600,100
74,24.8682,24.8682,24.8532,24.8532,ok,1561680000,6800
75,24.8584,24.8934,24.8434,24.8934,ok,1561939200,2000
76,24.878,24.878,24.878,24.878,ok,1562025600,100
77,24.8878,24.8878,24.8878,24.8878,ok,1562112000,100
78,24.8389,24.8439,24.8239,24.8239,ok,1562284800,2800
79,24.8096,24.8246,24.8096,24.8246,ok,1562544000,300
80,24.8145,24.8145,24.8145,24.8145,ok,1562630400,1100
81,24.8457,24.8457,24.8317,24.8317,ok,1562716800,1100
82,24.8194,24.8444,24.8194,24.8444,ok,1562803200,13400
83,24.8311,24.8341,24.8141,24.8241,ok,1562889600,2300
84,24.8487,24.8487,24.8437,24.8437,ok,1563148800,1300
85,24.8291,24.8291,24.8241,24.8241,ok,1563235200,5700
86,24.8624,24.8624,24.8434,24.8434,ok,1563321600,1200
87,24.8926,24.8926,24.8526,24.8626,ok,1563408000,1500
88,24.8682,24.8732,24.8532,24.8632,ok,1563494400,11300
89,24.8829,24.9029,24.8829,24.9029,ok,1563753600,4200
90,24.8829,24.8929,24.8829,24.8929,ok,1563840000,2100
91,24.8633,24.8933,24.8603,24.8933,ok,1563926400,17900
92,24.8409,24.8539,24.8409,24.8539,ok,1564012800,4600
93,24.8487,24.8637,24.8487,24.8637,ok,1564099200,1400
94,24.8438,24.8638,24.8338,24.8538,ok,1564358400,3700
95,24.8633,24.8733,24.8583,24.8733,ok,1564444800,5000
96,24.8477,24.8757,24.8457,24.8757,ok,1564531200,2600
97,24.9436,24.9536,24.8636,24.8736,ok,1564617600,19900
98,24.9681,24.9681,24.9561,24.9631,ok,1564704000,6500
99,25.0278,25.0318,25.0218,25.0218,ok,1564963200,2200
100,25.0513,25.0513,25.0313,25.0413,ok,1565049600,2000
101,25.0366,25.0916,25.0366,25.0916,ok,1565136000,1700
102,25.0483,25.0483,25.0213,25.0413,ok,1565222400,5200
103,25.0072,25.0422,25.0072,25.0422,ok,1565308800,22400
