,c,h,l,o,s,t,v
0,24.2144,24.2544,24.0344,24.2544,ok,1490918400,300
1,24.3016,24.3016,24.3016,24.3016,ok,1491177600,900
2,24.3936,24.4186,24.3456,24.3686,ok,1491436800,1700
3,24.3888,24.3888,24.3888,24.3888,ok,1491523200,1700
4,24.3694,24.3894,24.3694,24.3894,ok,1491782400,600
5,24.4856,24.5156,24.4056,24.4056,ok,1491868800,4200
6,24.5147,24.5147,24.5047,24.5047,ok,1491955200,900
7,24.6406,24.9606,24.6306,24.9606,ok,1492041600,1300
8,24.6212,24.7812,24.6212,24.6812,ok,1492387200,1200
9,24.3113,24.4813,24.3113,24.4813,ok,1492473600,10200
10,24.3404,24.3404,24.3404,24.3404,ok,1492560000,100
11,24.0401,24.1501,24.0401,24.1471,ok,1492646400,3600
12,23.9045,24.7245,23.8145,24.7245,ok,1492992000,5500
13,23.9723,23.9723,23.9723,23.9723,ok,1493078400,200
14,23.9975,23.9975,23.9315,23.9315,ok,1493164800,1400
15,23.8464,23.8464,23.8414,23.8414,ok,1493251200,300
16,23.9045,23.9045,23.9045,23.9045,ok,1493337600,100
17,24.4566,24.4566,23.6066,23.6066,ok,1493596800,2200
18,23.8367,23.8667,23.8367,23.8667,ok,1493683200,5200
19,23.6236,23.6736,23.6236,23.6436,ok,1493769600,8400
20,23.211,23.317,23.211,23.317,ok,1493856000,2100
21,22.9166,22.9166,22.9166,22.9166,ok,1493942400,1200
22,23.2459,23.2459,23.2459,23.2459,ok,1494288000,100
23,23.459,23.469,23.289,23.319,ok,1494374400,5000
24,23.5849,24.2449,23.5649,23.5649,ok,1494547200,500
25,23.6527,23.7427,23.6527,23.7427,ok,1494806400,400
26,23.5946,23.6446,23.5946,23.6446,ok,1494892800,200
27,23.7495,23.7495,23.7195,23.7195,ok,1494979200,600
28,24.0992,24.0992,24.0992,24.0992,ok,1495411200,200
29,24.0692,24.1892,24.0692,24.1892,ok,1495497600,1400
30,23.7205,23.7805,23.7205,23.7805,ok,1495670400,54200
31,23.5268,23.7268,23.5268,23.7268,ok,1496102400,800
32,23.4299,23.7299,23.3999,23.7299,ok,1496188800,10900
33,23.335,23.373,23.329,23.373,ok,1496275200,400
34,23.3234,23.3234,23.3034,23.3034,ok,1496361600,300
35,23.3621,25.7121,23.3421,25.7121,ok,1496707200,1400
36,23.1296,23.1296,23.0496,23.0496,ok,1497312000,50100
37,22.8681,23.1781,22.8681,23.1781,ok,1497398400,200
38,22.7151,22.7151,22.6531,22.6531,ok,1497916800,300
39,22.5679,22.5679,22.5379,22.5379,ok,1498089600,1000
40,22.5485,22.5485,22.5195,22.5195,ok,1498176000,300
41,23.3912,23.3912,23.3912,23.3912,ok,1498780800,200
42,23.4154,23.4154,23.4154,23.4154,ok,1499040000,300
43,23.1781,23.2501,23.1781,23.2501,ok,1499385600,1000
44,23.5074,23.5074,23.5074,23.5074,ok,1499731200,700
45,23.5268,23.5268,23.5268,23.5268,ok,1499817600,200
46,23.3224,23.3324,23.3124,23.3124,ok,1499904000,800
47,23.4531,23.4531,23.4531,23.4531,ok,1500249600,200
48,23.5752,23.7052,23.5552,23.6252,ok,1500336000,2900
49,23.672,23.672,23.672,23.672,ok,1500422400,200
50,23.5558,23.6858,23.5458,23.6858,ok,1500595200,800
51,23.5655,23.5655,23.5655,23.5655,ok,1500940800,800
52,23.672,23.672,23.602,23.642,ok,1501027200,400
53,23.8658,23.8658,23.8658,23.8658,ok,1501113600,800
54,23.982,23.982,23.972,23.972,ok,1501200000,200
55,23.7001,23.7211,23.6911,23.7211,ok,1501545600,900
56,23.6624,23.6624,23.6624,23.6624,ok,1501804800,500
57,23.6624,23.7724,23.5324,23.5324,ok,1502064000,900
58,23.8464,23.8764,23.8464,23.8764,ok,1502150400,6400
59,23.7476,23.7596,23.7476,23.7496,ok,1502323200,3000
60,23.798,23.848,23.698,23.707,ok,1502409600,6500
61,23.4493,23.4493,23.4493,23.4493,ok,1502928000,100
62,23.6817,23.6817,23.5817,23.5817,ok,1503014400,300
63,23.6236,25.2336,23.6036,25.2336,ok,1503273600,2400
64,23.612,23.624,23.612,23.614,ok,1503360000,1100
65,23.6914,23.6914,23.6714,23.6714,ok,1503619200,200
66,23.7108,24.2208,23.5808,24.2208,ok,1503878400,5900
67,23.6914,23.6914,23.6914,23.6914,ok,1504051200,200
68,24.0498,24.0498,23.8598,23.8598,ok,1504137600,2500
69,24.4178,24.4178,24.2078,24.2078,ok,1504742400,2900
70,24.137,26.217,24.121,26.217,ok,1504828800,4600
71,24.2532,24.2532,24.2532,24.2532,ok,1505347200,100
72,24.1302,24.1302,24.1302,24.1302,ok,1505779200,200
73,24.2755,24.2755,24.2755,24.2755,ok,1505865600,6000
74,24.1263,24.1273,24.1243,24.1243,ok,1506384000,300
75,24.0207,24.0207,24.0207,24.0207,ok,1506643200,500
76,23.8319,23.8319,23.7569,23.7569,ok,1506902400,300
77,23.8658,23.8658,23.8458,23.8458,ok,1507248000,2300
78,24.137,24.137,24.137,24.137,ok,1507593600,6200
79,24.1176,24.1176,24.1176,24.1176,ok,1507766400,1100
80,24.3597,24.4097,24.3597,24.3597,ok,1508198400,600
81,24.4856,25.0056,24.4356,25.0056,ok,1508889600,3900
82,24.4856,24.4856,24.4856,24.4856,ok,1509580800,100
83,25.0959,25.0959,25.0959,25.0959,ok,1509926400,100
84,25.0862,25.0862,25.0862,25.0862,ok,1510012800,900
85,24.5438,24.5438,24.5338,24.5338,ok,1510704000,300
86,24.5728,24.5728,24.5728,24.5728,ok,1510876800,2000
87,24.8731,24.8731,24.8731,24.8731,ok,1511740800,1800
88,24.7568,24.7568,24.7568,24.7568,ok,1511827200,100
