,c,h,l,o,s,t,v
0,28.1521,28.1521,27.4521,27.4521,ok,1420156800,1400
1,26.765,27.515,26.525,27.015,ok,1420416000,11500
2,27.007,28.297,25.997,26.217,ok,1420502400,15900
3,27.789,28.339,26.889,26.899,ok,1420588800,11500
4,27.9101,28.4301,26.7901,28.4301,ok,1420675200,14800
5,28.6269,28.6269,28.6269,28.6269,ok,1420761600,200
6,28.3476,29.3476,28.1576,28.7776,ok,1421020800,7200
7,30.675,30.675,28.695,29.175,ok,1421107200,7400
8,30.3851,30.8351,29.5951,30.7851,ok,1421193600,2200
9,29.1319,30.6419,29.1319,30.6419,ok,1421280000,6600
10,29.001,29.941,26.741,29.491,ok,1421366400,13600
11,29.4125,30.3625,28.2125,28.9725,ok,1421712000,8300
12,28.9916,30.2416,27.1016,29.7016,ok,1421798400,7400
13,29.2254,30.3754,27.9754,29.4854,ok,1421884800,12000
14,31.2922,31.4322,27.5522,28.8222,ok,1421971200,21300
15,32.9382,33.3682,28.9282,28.9682,ok,1422230400,18200
16,32.7325,32.9825,31.3825,32.9825,ok,1422316800,4800
17,33.2375,34.3975,32.1975,32.6975,ok,1422403200,21500
18,33.4993,34.5993,33.0793,33.0793,ok,1422489600,5500
19,35.7719,39.3719,33.2619,34.4419,ok,1422576000,26400
20,36.9877,38.3877,33.4377,35.6877,ok,1422835200,22900
21,38.1661,39.5661,37.4961,37.9061,ok,1422921600,8800
22,37.0999,41.7399,33.2299,39.8799,ok,1423008000,17100
23,34.6029,38.6129,33.9129,37.4329,ok,1423094400,10000
24,31.3297,35.0597,27.3897,33.8297,ok,1423180800,19100
25,29.8146,31.1046,28.6546,31.1046,ok,1423440000,7500
26,26.7471,28.1971,25.6471,28.1471,ok,1423526400,13000
27,30.8714,32.3214,25.3714,25.4614,ok,1423612800,32700
28,32.2181,33.7681,29.8481,31.8481,ok,1423699200,14900
29,31.8253,32.3953,30.7953,31.4253,ok,1423785600,3500
30,29.8801,31.8801,28.4301,31.8801,ok,1424131200,13200
31,31.2455,31.2455,27.0455,27.5255,ok,1424217600,19300
32,30.862,33.292,29.362,31.932,ok,1424304000,23700
33,30.862,33.362,29.112,31.892,ok,1424390400,44800
34,34.1727,34.1727,29.8127,31.6627,ok,1424649600,24700
35,36.1834,36.2334,31.7034,34.0334,ok,1424736000,19400
36,35.7626,37.3226,34.5626,36.3026,ok,1424822400,14700
37,34.4626,35.6926,33.6926,35.2026,ok,1424908800,6700
38,34.6029,37.4529,31.4529,33.4029,ok,1424995200,19500
39,31.844,34.544,31.844,33.644,ok,1425254400,7800
