,c,h,l,o,s,t,v
0,23.8011,25.3011,22.7711,25.1811,ok,1420156800,34200
1,23.5725,24.1125,23.3525,23.5625,ok,1420416000,26300
2,22.8776,23.3876,22.0176,23.3876,ok,1420502400,26400
3,23.0422,23.3322,22.7422,23.1622,ok,1420588800,27300
4,22.777,24.017,22.687,23.147,ok,1420675200,88900
5,22.8684,23.1484,22.6584,22.8384,ok,1420761600,16800
6,22.713,23.053,22.353,22.843,ok,1421020800,30700
7,22.9239,23.6239,22.6239,22.6739,ok,1421107200,27800
8,22.9972,23.3372,22.5572,22.5572,ok,1421193600,11600
9,22.7863,23.2263,22.3363,23.2063,ok,1421280000,24200
10,22.9697,23.4897,22.6797,22.6797,ok,1421366400,29700
11,22.6305,23.4105,22.4705,23.1605,ok,1421712000,20300
12,22.3921,22.8421,22.3821,22.7821,ok,1421798400,13600
13,22.8505,23.2705,21.8905,22.7505,ok,1421884800,31100
14,22.9606,23.2706,22.8406,22.8606,ok,1421971200,20400
15,23.5291,23.5391,22.7391,22.9691,ok,1422230400,42500
16,22.4837,23.4437,22.4637,23.3037,ok,1422316800,27300
17,22.1812,22.7912,22.0312,22.7912,ok,1422403200,23200
18,22.0803,22.3403,21.7503,22.2903,ok,1422489600,29100
19,21.5668,22.5868,21.4268,21.8968,ok,1422576000,31000
20,22.8322,23.0522,21.1322,21.5622,ok,1422835200,37600
21,22.9239,23.1639,22.3239,23.0339,ok,1422921600,27400
22,21.9244,23.1544,21.8344,22.9944,ok,1423008000,33500
23,22.7405,22.7905,21.8705,21.8705,ok,1423094400,32200
24,21.9886,23.1986,21.8586,22.8686,ok,1423180800,64900
25,21.3651,22.3151,21.3151,22.0351,ok,1423440000,49000
26,21.3926,21.7026,21.0026,21.5826,ok,1423526400,38200
27,21.035,21.615,20.485,21.615,ok,1423612800,36100
28,20.9433,21.2533,20.7633,21.2433,ok,1423699200,25300
29,21.4934,21.5134,20.9334,20.9834,ok,1423785600,23000
30,21.9886,22.1486,21.4086,21.4086,ok,1424131200,21800
31,21.8052,22.0652,21.3752,22.0652,ok,1424217600,32400
32,19.4303,21.7603,19.1603,21.7603,ok,1424304000,82300
33,17.8898,19.6398,17.7198,19.6398,ok,1424390400,102500
34,17.9265,18.1765,17.4365,17.6865,ok,1424649600,133700
35,17.8715,18.4615,17.7315,18.2315,ok,1424736000,36900
36,17.9448,18.2848,17.8448,17.8648,ok,1424822400,25400
37,17.8623,17.9823,17.6423,17.9823,ok,1424908800,31200
38,17.5047,17.9447,17.4347,17.9347,ok,1424995200,56000
39,17.4955,17.6855,17.3155,17.3155,ok,1425254400,35300
40,17.5138,17.6038,17.3138,17.4438,ok,1425340800,46400
41,17.7064,17.8864,17.3964,17.4464,ok,1425427200,55400
42,17.6972,17.9872,17.5172,17.8172,ok,1425513600,17700
43,17.5505,17.7005,17.5005,17.5105,ok,1425600000,37800
44,17.6972,17.7772,17.5372,17.5372,ok,1425859200,17700
45,17.3305,17.6405,17.3305,17.6305,ok,1425945600,31200
46,17.5505,17.6105,17.3105,17.4105,ok,1426032000,22900
47,17.9448,17.9948,17.3948,17.7448,ok,1426118400,23000
48,17.7523,17.9323,17.3123,17.9323,ok,1426204800,20200
49,17.5414,17.8814,17.3614,17.8814,ok,1426464000,19500
50,17.3763,17.6363,17.2163,17.6363,ok,1426550400,122700
51,17.8806,17.9006,17.2206,17.3406,ok,1426636800,27100
52,17.523,17.723,17.323,17.713,ok,1426723200,26400
53,17.8164,17.8364,17.4064,17.6064,ok,1426809600,55500
54,17.6147,17.7847,17.4347,17.7847,ok,1427068800,32900
55,17.8164,17.9064,17.3664,17.5664,ok,1427155200,21100
56,17.4772,17.8672,17.3672,17.8672,ok,1427241600,15800
57,17.578,17.748,17.298,17.488,ok,1427328000,11900
58,17.8531,17.8631,17.4031,17.5531,ok,1427414400,15300
59,17.6697,17.9097,17.5897,17.8897,ok,1427673600,17400
60,17.4497,17.7497,17.2597,17.6597,ok,1427760000,32200
61,17.8898,17.9298,17.1598,17.2498,ok,1427846400,40800
62,17.4955,17.8455,17.3355,17.8455,ok,1427932800,23100
63,17.4955,17.5455,17.2655,17.4455,ok,1428278400,15300
64,16.7619,17.6119,16.6219,17.4719,ok,1428364800,40500
65,16.1017,16.8017,16.0417,16.7217,ok,1428451200,143500
66,16.0375,16.2375,15.8975,16.2175,ok,1428537600,31700
67,16.1934,16.3334,16.0134,16.1634,ok,1428624000,32600
68,16.9667,16.9767,16.1467,16.1467,ok,1428883200,31200
69,17.022,17.032,16.802,16.802,ok,1428969600,19600
70,17.3442,17.6242,16.8342,16.9442,ok,1429056000,29500
71,16.9483,17.3083,16.8983,17.3083,ok,1429142400,14300
72,16.7458,16.9458,16.6258,16.8158,ok,1429228800,22300
73,17.114,17.234,16.734,16.734,ok,1429488000,17200
74,16.755,17.555,16.615,17.065,ok,1429574400,41500
75,16.7182,16.8882,16.7182,16.8282,ok,1429660800,38200
76,16.6353,16.7953,16.4753,16.7953,ok,1429747200,80100
77,16.6445,16.8045,16.4845,16.6445,ok,1429833600,15900
78,16.6721,16.9621,16.4921,16.6521,ok,1430092800,33900
79,16.8194,16.9294,16.5994,16.7094,ok,1430179200,29200
80,18.7895,19.2895,17.6495,17.6495,ok,1430265600,305300
81,18.9,19.02,18.49,18.49,ok,1430352000,86500
82,19.4984,19.6484,18.8784,18.8784,ok,1430438400,48100
83,19.9311,21.0511,19.8011,19.9811,ok,1430697600,67100
84,19.434,20.274,19.264,19.864,ok,1430784000,40500
85,19.4156,19.7155,19.1455,19.4456,ok,1430870400,22600
86,19.5721,19.7721,19.3421,19.6521,ok,1430956800,15800
87,19.839,20.059,19.579,19.739,ok,1431043200,19400
88,19.8298,20.1098,19.1798,19.6198,ok,1431302400,46400
89,19.7562,19.9962,19.0962,19.9962,ok,1431388800,21900
90,19.9863,20.5563,19.4063,19.6563,ok,1431475200,95400
91,20.5571,20.6471,19.8071,19.9371,ok,1431561600,27600
92,20.6399,20.9599,20.33,20.5499,ok,1431648000,32500
93,21.2383,21.2983,20.3683,20.5883,ok,1431907200,32900
94,21.2199,21.2799,20.6799,21.2599,ok,1431993600,16900
95,21.0358,21.3758,20.6958,21.3758,ok,1432080000,48400
96,21.2107,21.3807,20.8107,20.9907,ok,1432166400,22700
97,20.5939,21.3239,20.4639,21.3239,ok,1432252800,20800
98,20.9622,21.1522,20.3322,20.3322,ok,1432598400,32000
99,21.358,21.388,20.728,20.888,ok,1432684800,19600
100,21.2752,21.3652,21.1752,21.3652,ok,1432771200,24300
101,20.6215,21.4515,20.4315,21.3615,ok,1432857600,26900
102,20.0784,20.9284,19.9184,20.9284,ok,1433116800,49600
103,19.6917,20.5417,19.3417,20.1417,ok,1433203200,56200
104,20.5203,20.6403,19.5903,19.7303,ok,1433289600,27800
105,19.7746,20.5846,19.7246,20.5846,ok,1433376000,14700
106,19.7101,19.7701,19.4001,19.7701,ok,1433462400,52900
107,19.8943,20.0243,19.6043,19.7043,ok,1433721600,16400
108,19.9495,20.6895,19.7595,19.9595,ok,1433808000,40900
109,20.5203,20.6603,20.0503,20.0503,ok,1433894400,39700
