,c,h,l,o,s,t,v
0,1.94,1.97,1.94,1.97,ok,1420156800,4600
1,1.7,1.85,1.65,1.85,ok,1420416000,9600
2,1.73,1.73,1.73,1.73,ok,1420502400,300
3,1.74,1.74,1.51,1.74,ok,1420588800,50000
4,1.81,1.95,1.71,1.77,ok,1420675200,43300
5,1.77,1.8,1.74,1.8,ok,1420761600,3700
6,1.55,1.68,1.35,1.35,ok,1421020800,29500
7,1.44,1.76,1.39,1.55,ok,1421107200,100300
8,1.44,1.51,1.42,1.51,ok,1421193600,7700
9,1.46,1.7,1.45,1.7,ok,1421280000,39200
10,1.41,1.53,1.4,1.53,ok,1421366400,5500
11,1.5,1.5,1.44,1.45,ok,1421712000,3900
12,1.48,1.48,1.35,1.35,ok,1421798400,12500
13,1.44,1.52,1.44,1.5,ok,1421884800,19400
14,1.4,1.48,1.29,1.48,ok,1421971200,4400
15,1.41,1.41,1.35,1.36,ok,1422230400,1800
16,1.42,1.42,1.36,1.36,ok,1422316800,1800
17,1.41,1.41,1.41,1.41,ok,1422403200,1000
18,1.37,1.44,1.37,1.37,ok,1422489600,9700
19,1.33,1.39,1.33,1.39,ok,1422576000,8600
20,1.27,1.35,1.27,1.35,ok,1422835200,3700
21,1.32,1.32,1.25,1.25,ok,1422921600,3100
22,1.2,1.43,1.15,1.33,ok,1423008000,12400
23,1.27,1.27,1.23,1.23,ok,1423094400,2800
24,1.36,1.4,1.26,1.26,ok,1423180800,28100
25,1.36,1.37,1.36,1.37,ok,1423440000,800
26,1.43,1.44,1.4,1.41,ok,1423526400,15400
27,1.44,1.44,1.44,1.44,ok,1423612800,1100
28,1.46,1.46,1.44,1.44,ok,1423699200,3700
29,1.41,1.47,1.41,1.47,ok,1423785600,900
30,1.38,1.38,1.38,1.38,ok,1424131200,1300
31,1.38,1.38,1.38,1.38,ok,1424217600,400
32,1.36,1.36,1.35,1.35,ok,1424304000,3300
33,1.35,1.38,1.35,1.35,ok,1424649600,10400
34,1.32,1.34,1.31,1.32,ok,1424736000,3200
35,1.28,1.31,1.28,1.31,ok,1424822400,2400
36,1.27,1.27,1.25,1.25,ok,1424908800,1800
37,1.27,1.28,1.27,1.27,ok,1424995200,1100
38,1.25,1.25,1.25,1.25,ok,1425340800,900
39,1.25,1.25,1.25,1.25,ok,1425427200,700
40,1.16,1.22,1.16,1.22,ok,1425513600,6000
41,1.23,1.25,1.2,1.2,ok,1425600000,10400
42,1.25,1.25,1.23,1.23,ok,1425859200,4700
43,1.23,1.23,1.22,1.22,ok,1425945600,600
44,1.25,1.25,1.23,1.23,ok,1426032000,1100
45,1.24,1.29,1.24,1.27,ok,1426118400,7000
46,1.3,1.3,1.24,1.24,ok,1426464000,3500
47,1.38,1.38,1.3,1.3,ok,1426723200,5200
48,1.35,1.41,1.16,1.35,ok,1426809600,25600
49,1.44,1.52,1.35,1.35,ok,1427068800,16700
50,1.41,1.47,1.41,1.42,ok,1427155200,8300
51,1.42,1.45,1.41,1.41,ok,1427241600,6400
52,1.4,1.47,1.4,1.41,ok,1427328000,4300
53,1.37,1.46,1.37,1.4,ok,1427414400,5100
54,1.23,1.4,1.23,1.37,ok,1427673600,14400
55,1.16,1.18,1.16,1.17,ok,1427760000,5900
56,1.12,1.2,1.12,1.2,ok,1427846400,1500
57,1.12,1.21,1.1,1.11,ok,1427932800,8100
58,1.12,1.12,1.12,1.12,ok,1428278400,2400
59,1.1,1.1,1.1,1.1,ok,1428364800,600
60,1.2,1.29,1.0,1.1,ok,1428451200,45600
61,1.2,1.34,1.15,1.23,ok,1428537600,24300
62,1.16,1.21,1.16,1.21,ok,1428624000,1100
63,1.2,1.2,1.2,1.2,ok,1429056000,3800
64,1.26,1.26,1.22,1.22,ok,1429142400,1900
65,1.29,1.29,1.28,1.28,ok,1429228800,800
66,1.29,1.29,1.27,1.29,ok,1429488000,900
67,1.32,1.32,1.29,1.29,ok,1429574400,7100
68,1.32,1.32,1.32,1.32,ok,1429660800,200
69,1.31,1.32,1.31,1.32,ok,1429747200,2100
70,1.27,1.29,1.27,1.29,ok,1429833600,1600
71,1.2,1.2,1.2,1.2,ok,1430092800,1100
72,1.25,1.25,1.23,1.23,ok,1430179200,1100
73,1.23,1.24,1.23,1.23,ok,1430265600,2200
74,1.2,1.2,1.2,1.2,ok,1430352000,100
75,1.24,1.27,1.2,1.2,ok,1430438400,4600
76,1.19,1.2,1.18,1.18,ok,1430697600,2800
77,1.25,1.26,1.2,1.2,ok,1430784000,3400
78,1.27,1.27,1.27,1.27,ok,1430956800,100
79,1.25,1.25,1.25,1.25,ok,1431475200,300
80,1.25,1.26,1.25,1.26,ok,1431648000,600
81,1.24,1.24,1.24,1.24,ok,1431907200,300
82,1.25,1.25,1.25,1.25,ok,1432080000,600
83,1.3,1.3,1.28,1.28,ok,1432166400,2900
84,1.29,1.3,1.29,1.3,ok,1432252800,1000
85,1.31,1.33,1.3,1.33,ok,1432684800,1100
86,1.29,1.29,1.29,1.29,ok,1432771200,100
87,1.29,1.3,1.29,1.29,ok,1432857600,1200
88,1.31,1.31,1.3,1.3,ok,1433116800,1600
89,1.31,1.31,1.31,1.31,ok,1433203200,700
90,1.31,1.31,1.31,1.31,ok,1433462400,1400
91,1.34,1.34,1.34,1.34,ok,1433721600,1000
92,1.31,1.31,1.31,1.31,ok,1433894400,2300
93,1.3,1.3,1.3,1.3,ok,1433980800,5300
94,1.26,1.26,1.26,1.26,ok,1434326400,5600
95,1.24,1.24,1.21,1.22,ok,1434412800,16100
96,1.21,1.21,1.21,1.21,ok,1434585600,2000
97,1.21,1.21,1.21,1.21,ok,1435017600,4200
98,1.17,1.17,1.17,1.17,ok,1435622400,800
99,1.1,1.17,1.1,1.17,ok,1435708800,7400
100,1.04,1.04,1.04,1.04,ok,1436313600,1600
101,1.13,1.15,1.09,1.15,ok,1436400000,1400
102,1.14,1.2,1.1,1.2,ok,1436745600,4200
103,1.18,1.2,1.13,1.13,ok,1436918400,10300
104,1.15,1.15,1.15,1.15,ok,1437004800,2300
105,1.14,1.15,1.14,1.15,ok,1437350400,2700
106,1.14,1.14,1.14,1.14,ok,1437436800,200
107,1.06,1.12,1.06,1.11,ok,1437523200,2800
108,1.06,1.15,1.06,1.15,ok,1437609600,3300
109,0.99,1.07,0.99,1.06,ok,1437696000,12300
110,1.0,1.01,1.0,1.01,ok,1437955200,600
111,0.95,1.0,0.83,1.0,ok,1438041600,12100
112,0.9,0.92,0.8,0.8,ok,1438128000,5700
113,0.86,0.86,0.86,0.86,ok,1438300800,2200
114,0.91,0.91,0.9,0.9,ok,1438560000,4100
115,0.9,0.9,0.9,0.9,ok,1438646400,1500
116,0.91,0.91,0.91,0.91,ok,1438732800,800
117,0.94,0.94,0.94,0.94,ok,1438819200,500
118,1.0,1.0,0.97,0.97,ok,1438905600,2500
119,0.97,0.97,0.97,0.97,ok,1439164800,200
120,1.05,1.05,1.05,1.05,ok,1439251200,100
121,1.0,1.03,1.0,1.03,ok,1439424000,600
122,1.01,1.06,1.01,1.06,ok,1439769600,1100
123,1.0,1.0,1.0,1.0,ok,1439942400,1900
124,0.99,0.99,0.99,0.99,ok,1440028800,300
125,0.99,0.99,0.99,0.99,ok,1440115200,100
126,0.88,0.99,0.88,0.99,ok,1440374400,3500
127,0.9,0.9,0.9,0.9,ok,1440547200,100
128,0.91,0.91,0.91,0.91,ok,1440633600,500
129,0.91,0.91,0.91,0.91,ok,1440720000,400
130,0.94,0.94,0.94,0.94,ok,1440979200,100
131,0.92,0.94,0.92,0.94,ok,1441065600,1000
132,0.92,0.92,0.91,0.91,ok,1441670400,10400
133,0.93,0.93,0.92,0.92,ok,1441756800,6500
134,0.84,0.92,0.78,0.92,ok,1441929600,13600
135,0.8,0.84,0.8,0.84,ok,1442188800,700
136,0.78,0.78,0.78,0.78,ok,1442275200,100
137,0.71,0.78,0.67,0.78,ok,1442361600,1400
138,0.78,0.78,0.73,0.73,ok,1442448000,2400
139,0.75,0.78,0.75,0.78,ok,1442534400,3800
140,0.8,0.8,0.75,0.75,ok,1442966400,2500
141,0.78,0.79,0.78,0.79,ok,1443052800,2000
142,0.83,0.83,0.79,0.79,ok,1443139200,400
143,0.83,0.83,0.83,0.83,ok,1443484800,500
144,0.8,0.8,0.8,0.8,ok,1445299200,1600
145,0.77,0.77,0.77,0.77,ok,1445472000,400
146,0.77,0.78,0.76,0.76,ok,1445558400,2700
147,0.81,0.81,0.78,0.78,ok,1445817600,4200
148,0.8,0.83,0.8,0.81,ok,1445990400,4700
149,0.75,0.79,0.75,0.79,ok,1446076800,3800
150,0.79,0.79,0.79,0.79,ok,1446422400,200
151,0.78,0.78,0.78,0.78,ok,1446508800,800
152,0.75,0.75,0.75,0.75,ok,1446595200,700
153,0.75,0.77,0.75,0.76,ok,1446681600,3400
154,0.75,0.75,0.75,0.75,ok,1447027200,400
155,0.75,0.76,0.75,0.76,ok,1447113600,5300
156,0.75,0.75,0.75,0.75,ok,1447286400,9500
157,0.74,0.74,0.74,0.74,ok,1447372800,19400
158,0.7,0.71,0.7,0.71,ok,1447632000,2000
159,0.66,0.67,0.66,0.67,ok,1447718400,7500
160,0.63,0.68,0.63,0.68,ok,1447804800,3700
161,0.6,0.65,0.6,0.65,ok,1447891200,3700
162,0.6,0.63,0.58,0.59,ok,1447977600,48800
163,0.63,0.65,0.57,0.58,ok,1448236800,39600
164,0.69,0.69,0.64,0.64,ok,1448323200,61900
165,0.8,0.89,0.68,0.7,ok,1448409600,49800
166,0.81,0.85,0.8,0.8,ok,1448582400,3900
167,0.75,0.87,0.75,0.81,ok,1448841600,29600
168,0.69,0.79,0.67,0.79,ok,1448928000,10800
169,0.62,0.75,0.62,0.73,ok,1449014400,10000
170,0.68,0.71,0.64,0.64,ok,1449100800,24500
171,0.59,0.73,0.59,0.73,ok,1449187200,18000
172,0.6,0.6,0.6,0.6,ok,1449446400,200
173,0.6,0.74,0.58,0.63,ok,1449532800,15400
174,0.6,0.6,0.58,0.6,ok,1449619200,8000
175,0.53,0.68,0.53,0.6,ok,1449705600,44000
176,0.44,0.6,0.44,0.56,ok,1449792000,25600
177,0.45,0.47,0.45,0.47,ok,1450051200,3600
178,0.45,0.48,0.45,0.46,ok,1450137600,76800
179,0.5,0.54,0.47,0.47,ok,1450224000,19800
180,0.46,0.5,0.46,0.5,ok,1450310400,4400
181,0.44,0.44,0.44,0.44,ok,1450396800,300
182,0.4,0.42,0.36,0.4,ok,1450656000,25300
183,0.48,0.49,0.39,0.4,ok,1450742400,10100
184,0.47,0.52,0.47,0.5,ok,1450828800,17100
185,0.44,0.45,0.44,0.45,ok,1451260800,200
186,0.46,0.46,0.39,0.4,ok,1451347200,47300
187,0.42,0.42,0.36,0.42,ok,1451433600,11700
188,0.37,0.38,0.3,0.38,ok,1451520000,182300
189,0.35,0.35,0.32,0.35,ok,1451865600,5000
190,0.34,0.35,0.32,0.34,ok,1451952000,10500
191,0.35,0.35,0.31,0.31,ok,1452038400,3400
192,0.34,0.37,0.31,0.34,ok,1452124800,13200
193,0.34,0.36,0.33,0.36,ok,1452211200,10900
194,0.31,0.34,0.31,0.32,ok,1452470400,2800
195,0.38,0.4,0.33,0.33,ok,1452556800,5800
196,0.39,0.4,0.39,0.39,ok,1452643200,26600
197,0.37,0.37,0.37,0.37,ok,1452816000,100
198,0.35,0.35,0.35,0.35,ok,1453161600,100
199,0.3,0.32,0.3,0.32,ok,1453248000,5200
200,0.33,0.33,0.32,0.32,ok,1453852800,4400
201,0.31,0.31,0.31,0.31,ok,1453939200,200
202,0.34,0.34,0.34,0.34,ok,1454025600,200
203,0.33,0.33,0.33,0.33,ok,1454371200,500
204,0.27,0.32,0.22,0.32,ok,1454544000,25800
205,0.26,0.27,0.26,0.27,ok,1454976000,2100
206,0.26,0.26,0.26,0.26,ok,1455062400,800
207,0.24,0.24,0.22,0.24,ok,1455235200,2900
208,0.23,0.23,0.23,0.23,ok,1455580800,800
209,0.23,0.23,0.22,0.22,ok,1455753600,1800
210,0.24,0.26,0.22,0.24,ok,1455840000,10200
211,0.3,0.3,0.25,0.25,ok,1456099200,3000
212,0.28,0.3,0.28,0.28,ok,1456185600,1200
213,0.25,0.27,0.25,0.27,ok,1456272000,10500
214,0.23,0.25,0.23,0.25,ok,1456704000,10900
215,0.21,0.22,0.21,0.22,ok,1456790400,8500
216,0.23,0.23,0.19,0.2,ok,1456876800,33500
217,0.22,0.23,0.22,0.22,ok,1456963200,12000
218,0.25,0.27,0.23,0.23,ok,1457049600,18600
219,0.34,0.39,0.26,0.26,ok,1457308800,31100
220,0.34,0.34,0.34,0.34,ok,1457395200,2000
221,0.37,0.37,0.36,0.36,ok,1457481600,1800
222,0.34,0.37,0.33,0.37,ok,1457568000,1500
223,0.35,0.41,0.33,0.35,ok,1457654400,33800
224,0.37,0.37,0.37,0.37,ok,1457913600,1400
225,0.37,0.38,0.37,0.38,ok,1458000000,1600
226,0.37,0.37,0.35,0.35,ok,1458086400,5000
227,0.39,0.39,0.37,0.37,ok,1458172800,3300
228,0.43,0.44,0.39,0.39,ok,1458259200,32400
229,0.45,0.46,0.44,0.45,ok,1458518400,18400
230,0.46,0.48,0.46,0.47,ok,1458604800,2400
231,0.48,0.48,0.48,0.48,ok,1458691200,7900
232,0.48,0.48,0.46,0.48,ok,1458777600,13300
233,0.42,0.46,0.35,0.46,ok,1459123200,5900
234,0.4,0.4,0.4,0.4,ok,1459209600,200
235,0.4,0.4,0.4,0.4,ok,1459296000,2000
236,0.45,0.45,0.44,0.44,ok,1459382400,1800
237,0.45,0.45,0.45,0.45,ok,1459728000,700
238,0.44,0.45,0.44,0.45,ok,1459987200,1600
239,0.47,0.47,0.45,0.45,ok,1460073600,3600
240,0.46,0.46,0.46,0.46,ok,1460419200,1100
241,0.47,0.48,0.47,0.47,ok,1460592000,4000
242,0.48,0.48,0.42,0.44,ok,1460937600,1000
243,0.48,0.48,0.48,0.48,ok,1461024000,1600
244,0.48,0.48,0.46,0.48,ok,1461542400,1000
245,0.48,0.48,0.46,0.46,ok,1461715200,1400
246,0.48,0.48,0.46,0.48,ok,1461888000,6100
247,0.48,0.49,0.48,0.48,ok,1462147200,4200
248,0.5,0.5,0.49,0.49,ok,1462233600,700
249,0.49,0.49,0.49,0.49,ok,1462320000,200
250,0.49,0.49,0.49,0.49,ok,1462406400,1700
251,0.51,0.51,0.49,0.49,ok,1462752000,900
252,0.51,0.51,0.5,0.51,ok,1462838400,2400
253,0.5,0.5,0.5,0.5,ok,1462924800,1700
254,0.52,0.52,0.51,0.52,ok,1463097600,8100
255,0.53,0.53,0.53,0.53,ok,1463356800,1100
256,0.5,0.5,0.5,0.5,ok,1463529600,100
257,0.5,0.5,0.5,0.5,ok,1463702400,800
258,0.45,0.47,0.45,0.47,ok,1464134400,1000
259,0.47,0.47,0.47,0.47,ok,1464652800,600
260,0.45,0.45,0.44,0.44,ok,1464825600,1600
261,0.47,0.47,0.46,0.46,ok,1464912000,1100
262,0.47,0.47,0.47,0.47,ok,1465171200,700
263,0.46,0.46,0.46,0.46,ok,1465257600,500
264,0.45,0.47,0.45,0.47,ok,1465344000,2900
265,0.46,0.46,0.46,0.46,ok,1465430400,500
266,0.46,0.46,0.45,0.45,ok,1465516800,3400
267,0.46,0.46,0.41,0.41,ok,1466035200,3300
268,0.46,0.46,0.46,0.46,ok,1466121600,300
269,0.45,0.45,0.45,0.45,ok,1466553600,100
270,0.45,0.45,0.45,0.45,ok,1466640000,800
271,0.49,0.5,0.45,0.45,ok,1466726400,6800
272,0.45,0.46,0.45,0.46,ok,1467072000,3700
273,0.43,0.43,0.43,0.43,ok,1467158400,5000
274,0.53,0.53,0.49,0.49,ok,1467244800,5700
275,0.54,0.54,0.5,0.5,ok,1467331200,2900
276,2.85,5.15,0.6,0.6,ok,1467676800,9087900
277,2.9,4.25,2.55,2.72,ok,1467763200,12309500
278,3.25,3.55,2.92,3.04,ok,1467849600,8403300
279,3.04,3.46,2.96,3.2,ok,1467936000,3129400
280,2.56,3.29,2.34,2.98,ok,1468195200,2172100
281,2.05,2.48,1.89,2.33,ok,1468281600,1036400
282,2.34,2.99,2.16,2.28,ok,1468368000,3863800
283,2.53,2.95,2.4,2.48,ok,1468454400,2078200
284,2.41,2.7,2.33,2.68,ok,1468540800,786100
285,2.35,2.46,2.06,2.42,ok,1468800000,442500
286,2.51,2.65,2.13,2.35,ok,1468886400,1204200
287,2.46,2.9,2.43,2.66,ok,1468972800,1796500
288,2.36,2.6,2.3,2.43,ok,1469059200,277300
289,2.75,2.84,2.31,2.41,ok,1469145600,2539100
290,2.43,2.73,2.32,2.67,ok,1469404800,588800
291,2.42,2.62,2.32,2.61,ok,1469491200,120300
292,2.36,2.48,2.32,2.4,ok,1469577600,155400
293,2.15,2.42,2.11,2.34,ok,1469664000,242800
294,2.2,2.88,2.1,2.1,ok,1469750400,1600800
295,2.41,2.6,2.23,2.24,ok,1470009600,816200
296,2.36,2.52,2.25,2.52,ok,1470096000,199500
297,2.29,2.35,2.2,2.29,ok,1470182400,122700
298,2.24,2.3,2.15,2.19,ok,1470268800,202200
299,2.2,2.27,2.18,2.2,ok,1470355200,76200
300,2.3,2.45,2.2,2.2,ok,1470614400,416500
301,2.37,2.65,2.25,2.3,ok,1470700800,1125100
302,2.28,2.37,2.22,2.37,ok,1470787200,103400
303,2.28,2.36,2.25,2.28,ok,1470873600,107800
304,2.23,2.36,2.17,2.36,ok,1470960000,107700
305,2.24,2.31,2.2,2.26,ok,1471219200,62400
306,2.22,2.34,2.18,2.3,ok,1471305600,109100
307,2.22,2.29,2.19,2.29,ok,1471392000,103800
308,2.28,2.3,2.22,2.25,ok,1471478400,102600
309,2.21,2.28,2.17,2.18,ok,1471564800,48200
310,2.11,2.28,2.02,2.28,ok,1471824000,142700
311,2.15,2.19,2.09,2.19,ok,1471910400,43900
312,2.05,2.15,2.03,2.15,ok,1471996800,91500
313,1.9,2.02,1.88,2.02,ok,1472083200,127300
314,1.76,1.92,1.69,1.9,ok,1472169600,132100
315,1.76,1.79,1.63,1.77,ok,1472428800,87200
316,1.76,1.82,1.76,1.79,ok,1472515200,30000
317,1.71,1.8,1.69,1.75,ok,1472601600,50900
318,1.83,1.84,1.69,1.7,ok,1472688000,28000
319,1.78,1.9,1.74,1.88,ok,1472774400,51200
320,1.77,1.88,1.73,1.88,ok,1473120000,38500
321,1.87,1.88,1.79,1.84,ok,1473206400,57300
322,1.93,2.18,1.8,1.8,ok,1473292800,495700
323,1.79,1.95,1.79,1.95,ok,1473379200,66100
324,1.74,1.8,1.61,1.61,ok,1473638400,79100
325,1.75,1.82,1.71,1.8,ok,1473724800,59900
326,1.88,1.97,1.71,1.8,ok,1473811200,164900
327,2.0,2.05,1.81,1.86,ok,1473897600,107100
328,1.84,2.05,1.77,2.05,ok,1473984000,134700
329,1.88,2.01,1.85,1.98,ok,1474243200,80900
330,1.85,1.95,1.84,1.95,ok,1474329600,52600
331,1.9,1.92,1.84,1.92,ok,1474416000,33900
332,1.9,1.99,1.84,1.88,ok,1474502400,85200
333,1.9,1.98,1.86,1.98,ok,1474588800,42400
334,1.88,1.91,1.86,1.86,ok,1474848000,21500
335,1.85,1.88,1.77,1.87,ok,1474934400,42300
336,1.83,1.94,1.77,1.8,ok,1475020800,53200
337,1.86,1.97,1.83,1.9,ok,1475107200,29400
338,1.86,1.95,1.85,1.93,ok,1475193600,29600
339,1.84,1.9,1.78,1.86,ok,1475452800,23000
340,1.86,1.89,1.79,1.89,ok,1475539200,40300
341,1.85,1.88,1.8,1.88,ok,1475625600,47300
342,1.76,1.83,1.76,1.79,ok,1475712000,28600
343,1.7,1.8,1.38,1.75,ok,1475798400,206800
344,1.57,1.72,1.52,1.7,ok,1476057600,35800
345,1.64,1.66,1.56,1.56,ok,1476144000,54600
346,1.64,1.65,1.57,1.62,ok,1476230400,21600
347,1.59,1.66,1.57,1.65,ok,1476316800,25000
348,1.6,1.62,1.59,1.59,ok,1476403200,9800
349,1.45,1.54,1.43,1.53,ok,1476662400,36000
350,1.5,1.53,1.46,1.52,ok,1476748800,18500
351,1.31,1.48,1.2,1.44,ok,1476835200,93500
352,1.35,1.4,1.31,1.32,ok,1476921600,22000
353,1.17,1.36,1.1,1.28,ok,1477008000,157600
354,1.43,1.58,1.16,1.16,ok,1477267200,417500
355,1.67,2.2,1.59,1.59,ok,1477353600,1683700
356,1.49,1.6,1.4,1.6,ok,1477440000,239200
357,1.32,1.43,1.3,1.37,ok,1477526400,73300
358,1.48,1.7,1.38,1.38,ok,1477612800,96000
359,1.37,1.49,1.35,1.49,ok,1477872000,46400
360,1.35,1.43,1.32,1.35,ok,1477958400,61000
361,1.23,1.37,1.23,1.33,ok,1478044800,40000
362,1.24,1.25,1.23,1.25,ok,1478131200,49700
363,1.23,1.25,1.17,1.19,ok,1478217600,20400
364,1.21,1.34,1.2,1.26,ok,1478476800,68100
365,1.31,1.34,1.23,1.27,ok,1478563200,33200
366,1.39,1.44,1.22,1.3,ok,1478649600,67500
367,1.29,1.5,1.26,1.5,ok,1478736000,30300
368,1.31,1.36,1.31,1.33,ok,1478822400,18500
