,c,h,l,o,s,t,v
0,13.3094,13.3894,12.8194,12.8494,ok,1420156800,161000
1,12.8396,13.3296,12.5796,13.3296,ok,1420416000,340600
2,12.8266,12.9966,12.4866,12.7866,ok,1420502400,297600
3,13.1659,13.4759,12.7359,12.8859,ok,1420588800,280400
4,13.5312,13.6312,12.9112,13.0412,ok,1420675200,231400
5,13.4464,13.5364,13.2064,13.5264,ok,1420761600,118800
6,13.2246,13.4546,13.0846,13.4546,ok,1421020800,146800
7,13.0505,13.3705,12.9105,13.3705,ok,1421107200,249800
8,13.4906,13.6006,12.4606,12.4606,ok,1421193600,228000
9,13.241,13.731,13.151,13.731,ok,1421280000,123800
10,13.5103,13.5503,13.1203,13.1203,ok,1421366400,121100
11,13.3461,13.5761,13.2461,13.5261,ok,1421712000,158100
12,13.5891,13.5991,13.1991,13.2591,ok,1421798400,173200
13,14.2196,14.2196,13.0896,13.3096,ok,1421884800,206100
14,14.2196,14.3196,13.6196,13.9196,ok,1421971200,299500
15,14.3313,14.4113,13.9613,14.0513,ok,1422230400,174800
16,14.2919,14.5119,14.0419,14.2019,ok,1422316800,217100
17,14.1211,14.4111,14.0211,14.3311,ok,1422403200,264500
18,14.3247,14.4147,13.7847,14.0147,ok,1422489600,181600
19,14.1277,14.4677,14.0577,14.1677,ok,1422576000,160700
20,14.2984,14.3484,13.8084,14.0384,ok,1422835200,243000
21,14.6203,14.9003,14.2603,14.2803,ok,1422921600,181900
22,14.5415,14.6415,14.0415,14.4215,ok,1423008000,138900
23,14.8764,15.0264,14.4364,14.4364,ok,1423094400,106300
24,14.64,15.1,14.5,15.04,ok,1423180800,164800
25,14.6203,14.8703,14.5003,14.7603,ok,1423440000,99400
26,14.64,14.66,14.2,14.55,ok,1423526400,96800
27,14.6565,14.6565,14.3765,14.5065,ok,1423612800,90000
28,14.8349,14.8849,14.6549,14.7849,ok,1423699200,78200
29,14.8878,14.9178,14.7578,14.8578,ok,1423785600,101000
30,14.8547,14.9347,14.7147,14.8747,ok,1424131200,97400
31,14.8085,14.8485,14.6985,14.7585,ok,1424217600,73500
32,14.7093,14.8493,14.2393,14.6093,ok,1424304000,122700
33,14.7358,14.7558,14.4358,14.6458,ok,1424390400,90400
34,14.8085,14.8885,14.4085,14.5385,ok,1424649600,82300
35,14.7226,14.9426,14.6426,14.8626,ok,1424736000,66500
36,14.6697,14.9197,14.6097,14.7197,ok,1424822400,86000
37,14.5772,14.6372,14.4472,14.6172,ok,1424908800,85000
38,14.5574,14.6674,14.4474,14.5574,ok,1424995200,77600
39,14.5574,14.6574,14.3774,14.4674,ok,1425254400,71500
40,14.4847,14.5647,14.4147,14.5547,ok,1425340800,73500
41,14.412,14.542,14.152,14.432,ok,1425427200,64900
42,14.412,14.542,14.302,14.372,ok,1425513600,86900
43,14.2534,14.4334,14.1934,14.3834,ok,1425600000,79900
44,14.0816,14.3616,14.0216,14.2716,ok,1425859200,67500
45,13.8503,13.9503,13.7303,13.9003,ok,1425945600,123900
46,13.7406,13.8406,13.5906,13.8406,ok,1426032000,70800
47,13.6674,13.8774,13.6374,13.7574,ok,1426118400,46300
48,13.5743,13.6443,13.3643,13.6443,ok,1426204800,67400
49,13.5477,13.5777,13.2777,13.4077,ok,1426464000,173400
50,13.3083,13.6183,13.2083,13.5483,ok,1426550400,135200
51,13.541,13.771,12.981,13.061,ok,1426636800,159400
52,13.5677,13.5777,13.2477,13.4177,ok,1426723200,70400
53,13.4945,13.7945,13.4745,13.6745,ok,1426809600,95800
54,13.6874,13.7874,13.3574,13.3574,ok,1427068800,107400
55,13.6076,13.7176,13.5176,13.7176,ok,1427155200,73400
56,13.6408,13.9008,13.5408,13.6008,ok,1427241600,72800
57,13.7007,13.8807,13.5307,13.7007,ok,1427328000,87000
58,13.561,13.761,13.501,13.761,ok,1427414400,64000
59,13.6807,13.7107,13.5307,13.5307,ok,1427673600,92000
60,13.5278,13.6978,13.4678,13.6978,ok,1427760000,192800
61,13.5011,13.6411,13.4711,13.5511,ok,1427846400,83000
62,13.428,13.508,13.398,13.408,ok,1427932800,118300
63,13.6807,13.7607,13.2707,13.2707,ok,1428278400,57700
64,13.7273,13.8373,13.3573,13.5473,ok,1428364800,79000
65,13.6076,13.8176,13.4876,13.7576,ok,1428451200,88500
66,13.7406,13.8606,13.5006,13.5006,ok,1428537600,63200
67,13.8935,13.8935,13.6035,13.6035,ok,1428624000,70600
68,13.7563,13.9863,13.7563,13.9863,ok,1428883200,91800
69,13.9036,13.9336,13.6436,13.6836,ok,1428969600,158900
70,14.3253,14.3553,13.8153,13.8153,ok,1429056000,87500
71,14.4592,14.4792,14.0292,14.1292,ok,1429142400,86300
