,c,h,l,o,s,t,v
0,1120.0601,1224.98,1115.0,1224.98,ok,1525219200,3058
1,985.01,1100.02,980.0,1100.02,ok,1525305600,4158
2,1005.0,1019.0,961.0,961.0,ok,1525392000,579
3,997.6,1001.05,964.7,985.0,ok,1525651200,1939
4,987.8,1006.74,985.0,1000.0,ok,1525737600,916
5,1004.44,1056.91,1004.44,1056.91,ok,1525824000,293
6,985.01,1010.0,985.01,1010.0,ok,1525910400,303
7,1000.78,1007.9,970.01,1007.9,ok,1525996800,390
8,950.12,992.2,950.12,980.0,ok,1526256000,560
9,968.0,975.0,950.5,951.21,ok,1526342400,810
10,998.89,999.5,955.52,969.89,ok,1526428800,377
11,1020.08,1045.0,1015.0,1015.0,ok,1526515200,246
12,995.0,1035.0,995.0,1020.12,ok,1526601600,313
13,990.53,1035.0,990.53,1020.0,ok,1526860800,961
14,1014.0,1048.55,995.25,995.25,ok,1526947200,496
15,1034.8101,1044.72,1020.67,1025.0,ok,1527033600,406
16,1023.51,1034.0,1023.51,1034.0,ok,1527120000,233
17,1018.1,1055.4301,1008.02,1029.87,ok,1527206400,349
18,1019.49,1020.0,1019.26,1020.0,ok,1527552000,147
19,1023.08,1054.0,1010.5,1026.0,ok,1527638400,465
20,1070.0,1089.0699,1028.77,1050.75,ok,1527724800,877
21,1031.01,1060.0,1031.01,1056.0,ok,1527811200,242
22,981.07,1036.79,961.0,1036.79,ok,1528070400,842
23,993.75,1005.79,967.06,982.0,ok,1528156800,917
24,997.88,1020.0,997.88,1020.0,ok,1528243200,175
25,995.0,1019.5,995.0,1019.5,ok,1528329600,239
26,995.34,1003.04,975.15,995.0,ok,1528416000,1658
27,997.0,997.185,995.34,996.0,ok,1528675200,1460
28,970.0,985.0,964.06,977.35,ok,1528761600,4500
29,971.07,986.0,970.0,975.0,ok,1528848000,1080
30,979.03,981.0,968.0,973.0,ok,1528934400,654
31,980.14,985.77,979.1,979.1,ok,1529020800,916
32,997.61,1000.0,984.51,999.0,ok,1529280000,757
33,973.01,990.0,970.03,990.0,ok,1529366400,515
34,959.0,995.0,950.52,977.3,ok,1529452800,907
35,955.07,961.38,949.0,950.0,ok,1529539200,403
36,967.15,991.75,957.57,957.57,ok,1529625600,1625
37,952.14,978.0,952.0,954.6,ok,1529884800,791
38,962.1,1005.0,960.0,960.0,ok,1529971200,433
39,989.99,989.99,955.76,964.55,ok,1530057600,254
40,942.58,990.0,942.58,987.49,ok,1530144000,987
41,950.0,960.0,940.001,945.08,ok,1530230400,675
42,938.7,960.0,938.3,938.3,ok,1530489600,350
43,963.55,985.0,941.2,941.2,ok,1530576000,194
44,971.1,980.38,971.1,980.38,ok,1530748800,84
45,995.0,1006.1,980.0,980.0,ok,1530835200,296
46,965.0,1013.53,965.0,989.64,ok,1531094400,389
47,988.42,1020.0,957.75,985.0,ok,1531180800,325
48,978.4,985.0,955.75,955.75,ok,1531267200,348
49,988.0,988.0,967.11,977.25,ok,1531353600,141
50,960.0,982.987,953.79,962.35,ok,1531440000,152
51,963.0,972.075,963.0,972.075,ok,1531699200,184
52,977.8,989.98,977.8,984.8,ok,1531785600,168
53,986.47,988.99,965.52,965.52,ok,1531872000,406
54,979.0,981.75,973.7,973.7,ok,1531958400,258
55,973.79,989.99,973.79,989.99,ok,1532044800,431
56,980.0,980.0,969.0,969.0,ok,1532304000,184
57,983.99,985.0,935.0,980.0,ok,1532390400,578
58,986.5,986.5,967.2,979.0,ok,1532476800,835
59,987.0,989.98,977.7,977.7,ok,1532563200,273
60,978.0,989.99,978.0,989.99,ok,1532649600,181
61,980.0,983.5,979.0,979.0,ok,1532908800,141
62,977.42,985.0,977.42,985.0,ok,1532995200,70
63,985.0,985.0,975.0,976.05,ok,1533081600,295
64,947.45,984.98,947.45,984.98,ok,1533168000,440
65,979.98,979.98,944.0,954.0,ok,1533254400,248
66,956.1,980.0,956.1,980.0,ok,1533513600,478
67,964.0,964.0,961.28,961.282,ok,1533600000,98
68,957.6,966.0,957.6,966.0,ok,1533686400,128
69,955.15,970.0,955.15,970.0,ok,1533772800,123
70,951.2,975.0,951.2,975.0,ok,1533859200,151
71,968.41,970.36,960.6,970.36,ok,1534118400,363
72,985.01,985.87,985.0,985.87,ok,1534204800,239
73,975.0,983.5,975.0,983.5,ok,1534291200,319
74,966.0,989.99,966.0,989.99,ok,1534377600,123
75,970.07,989.99,965.01,989.99,ok,1534464000,88
76,990.0,990.0,966.15,989.99,ok,1534723200,138
77,963.88,985.0,963.88,976.36,ok,1534809600,299
78,956.11,990.0,956.11,990.0,ok,1534896000,353
79,974.99,974.99,964.8,974.97,ok,1534982400,191
80,960.2,960.2,960.2,960.2,ok,1535068800,57
81,954.5,980.0,954.5,980.0,ok,1535328000,309
82,945.0,963.94,945.0,947.67,ok,1535414400,278
83,950.0,966.46,946.0,966.46,ok,1535500800,229
84,960.05,960.05,945.01,945.35,ok,1535587200,189
85,958.12,958.12,958.12,958.12,ok,1535673600,69
86,976.07,980.0,955.0,966.4,ok,1536019200,273
87,946.0,959.79,942.0,950.4,ok,1536105600,303
88,936.1,968.8,936.0,968.8,ok,1536192000,295
89,935.0,963.0,935.0,963.0,ok,1536278400,369
