,c,h,l,o,s,t,v
0,144.45,144.74,142.6,143.97,ok,1420156800,2182300
1,144.29,146.73,143.48,144.17,ok,1420416000,2674900
2,142.83,147.75,141.64,144.52,ok,1420502400,2640600
3,145.12,147.31,143.3,143.88,ok,1420588800,2214300
4,154.1,156.6,149.84,150.0,ok,1420675200,5818000
5,153.58,155.61,151.52,155.08,ok,1420761600,2039700
6,155.5,155.56,151.7,154.09,ok,1421020800,2530000
7,158.04,159.7,155.48,156.68,ok,1421107200,3583100
8,156.8,158.12,156.04,156.75,ok,1421193600,3143500
9,154.29,158.56,154.11,158.0,ok,1421280000,2444900
10,156.93,157.8,153.58,154.08,ok,1421366400,1872300
11,156.05,158.29,154.9,157.72,ok,1421712000,1959600
12,157.02,158.18,155.69,156.01,ok,1421798400,2005800
13,159.19,159.29,156.94,156.94,ok,1421884800,2033900
14,159.66,160.3,159.0,159.37,ok,1421971200,1908800
15,159.86,160.99,159.16,160.05,ok,1422230400,1652700
16,160.8,161.43,158.4,158.73,ok,1422316800,1336500
17,160.59,162.8,160.25,161.28,ok,1422403200,2141400
18,161.51,161.79,158.6,160.07,ok,1422489600,1383300
19,159.97,161.73,158.35,160.24,ok,1422576000,1409800
20,161.98,162.76,158.93,161.06,ok,1422835200,1625800
21,159.71,165.69,156.16,163.3,ok,1422921600,3684900
22,160.87,161.75,158.7,159.96,ok,1423008000,1616400
23,161.45,162.24,159.71,162.24,ok,1423094400,2237100
24,161.99,163.76,160.37,162.28,ok,1423180800,1243500
25,160.1,163.5,159.51,162.35,ok,1423440000,2506000
26,164.13,164.3,161.12,161.12,ok,1423526400,1712800
27,164.34,165.0,162.74,162.74,ok,1423612800,2207700
28,167.5,170.2,164.88,168.48,ok,1423699200,2907300
29,167.0,167.74,166.34,167.49,ok,1423785600,1206100
30,168.63,169.88,166.62,168.17,ok,1424131200,1169400
31,168.42,169.13,166.64,168.88,ok,1424217600,974200
32,169.13,169.62,167.75,167.75,ok,1424304000,1090900
33,173.26,174.43,168.75,169.2,ok,1424390400,3499500
34,198.75,200.76,188.7,190.03,ok,1424649600,19636600
35,202.0,204.66,196.24,199.5,ok,1424736000,12809300
36,198.0,201.53,195.76,201.53,ok,1424822400,6078200
37,201.25,201.8,197.27,197.84,ok,1424908800,5874500
38,197.48,201.95,197.15,200.46,ok,1424995200,6588200
39,203.35,203.53,197.19,197.51,ok,1425254400,6049800
40,202.61,204.0,201.04,201.45,ok,1425340800,3440900
41,203.15,203.45,200.14,200.73,ok,1425427200,3206800
42,203.95,205.04,202.87,202.87,ok,1425513600,2152900
43,198.71,204.26,198.5,203.31,ok,1425600000,3756200
44,204.69,205.51,195.2,199.46,ok,1425859200,4327600
45,201.48,205.7,201.14,201.18,ok,1425945600,2664900
46,193.71,206.84,186.2,201.59,ok,1426032000,12144000
47,192.62,196.21,190.82,192.6,ok,1426118400,3872200
48,197.43,198.61,192.68,194.5,ok,1426204800,4785200
49,202.34,204.75,199.13,201.71,ok,1426464000,3917400
50,200.73,202.01,198.59,201.66,ok,1426550400,3342400
51,203.41,204.7,199.5,199.5,ok,1426636800,1528200
52,202.09,204.0,201.83,203.46,ok,1426723200,1520400
53,204.26,205.69,202.11,204.72,ok,1426809600,1165500
54,203.67,205.54,202.76,205.54,ok,1427068800,1426600
55,203.11,206.0,202.4,203.97,ok,1427155200,1274200
56,197.01,204.95,196.59,203.49,ok,1427241600,2277000
57,198.46,200.7,193.66,195.45,ok,1427328000,1980500
58,197.84,200.31,196.56,198.22,ok,1427414400,1016900
59,201.38,203.32,198.32,198.57,ok,1427673600,1310400
60,198.62,201.49,197.55,200.65,ok,1427760000,1542100
61,197.39,198.5,194.5,198.33,ok,1427846400,1876100
62,198.45,201.03,196.34,198.05,ok,1427932800,1138500
63,197.84,200.89,197.28,198.47,ok,1428278400,1077200
64,198.94,201.22,197.51,197.63,ok,1428364800,1109000
65,205.96,206.78,199.77,200.12,ok,1428451200,1990200
66,205.72,208.71,204.0,205.67,ok,1428537600,1595000
67,207.5,208.58,204.42,206.34,ok,1428624000,1162100
68,209.46,211.57,207.0,207.18,ok,1428883200,1517000
69,208.94,211.3,206.71,209.87,ok,1428969600,1537900
70,206.16,208.75,205.61,208.73,ok,1429056000,1539800
71,207.36,208.3,205.41,205.88,ok,1429142400,972100
72,205.32,207.41,203.46,207.21,ok,1429228800,1485000
73,205.21,206.72,203.23,206.54,ok,1429488000,976400
74,210.85,211.13,205.23,205.96,ok,1429574400,1506700
75,206.93,210.91,206.04,210.85,ok,1429660800,1997700
76,209.39,210.22,204.48,205.33,ok,1429747200,1672700
77,210.42,211.0,208.0,210.39,ok,1429833600,1515100
78,202.02,211.97,201.65,210.86,ok,1430092800,3079700
79,205.46,206.65,195.15,204.0,ok,1430179200,3268300
80,214.06,214.75,200.01,204.39,ok,1430265600,4563900
81,216.93,227.76,212.66,213.21,ok,1430352000,4262600
82,223.02,223.37,217.03,217.33,ok,1430438400,2553800
83,222.86,225.03,220.88,223.17,ok,1430697600,1627500
84,219.24,224.53,216.94,223.69,ok,1430784000,2021000
85,216.26,220.09,214.03,219.85,ok,1430870400,1113700
86,218.25,220.16,213.84,215.43,ok,1430956800,1294200
87,221.88,222.67,219.01,221.42,ok,1431043200,1282800
88,223.79,224.97,222.05,222.27,ok,1431302400,1282800
89,222.96,223.75,219.58,222.79,ok,1431388800,1691400
90,219.9,223.19,219.3,222.97,ok,1431475200,1390900
91,222.82,222.87,219.74,221.27,ok,1431561600,931400
92,224.63,224.63,221.61,222.91,ok,1431648000,1181200
93,225.43,228.49,224.0,224.37,ok,1431907200,1220600
94,227.65,227.86,224.01,225.16,ok,1431993600,1267600
95,228.47,229.63,225.66,228.79,ok,1432080000,1360300
96,233.27,235.0,228.5,229.26,ok,1432166400,1719200
97,237.53,238.49,232.03,233.17,ok,1432252800,1945300
98,235.31,239.03,233.17,237.97,ok,1432598400,2044200
99,239.12,239.16,234.56,236.0,ok,1432684800,2390000
100,241.73,246.01,238.12,241.54,ok,1432771200,2645700
101,238.77,241.7,236.5,240.36,ok,1432857600,1395500
102,239.36,240.0,237.31,239.65,ok,1433116800,1296200
103,238.0,240.49,235.64,240.05,ok,1433203200,1374300
104,239.44,239.46,236.0,237.63,ok,1433289600,1059600
105,232.88,239.0,230.5,237.58,ok,1433376000,1341800
106,235.41,235.51,231.16,231.73,ok,1433462400,1094700
107,232.85,236.16,231.35,235.5,ok,1433721600,1338700
108,231.73,234.09,228.03,232.73,ok,1433808000,1880700
109,229.12,232.19,228.98,231.89,ok,1433894400,2786800
110,233.87,235.28,227.58,227.58,ok,1433980800,2763000
111,229.64,234.39,229.03,232.73,ok,1434067200,1223600
112,230.56,231.13,225.35,227.27,ok,1434326400,1119100
113,228.7,230.33,225.8,229.72,ok,1434412800,1688700
114,230.2,231.92,228.46,228.69,ok,1434499200,1230800
115,233.95,234.81,230.23,230.61,ok,1434585600,1174900
116,228.22,234.53,228.01,232.99,ok,1434672000,1629400
117,232.9,234.3,228.84,228.84,ok,1434931200,1195000
118,233.25,236.12,233.13,234.15,ok,1435017600,1234900
119,229.19,233.25,228.75,233.22,ok,1435104000,2045300
120,233.21,233.79,226.54,230.35,ok,1435190400,2049100
121,228.83,231.69,227.14,229.49,ok,1435276800,2578600
122,220.31,227.33,219.56,225.71,ok,1435536000,1770500
123,222.15,222.82,219.88,221.41,ok,1435622400,2162900
124,228.24,230.98,224.01,224.99,ok,1435708800,1392700
125,228.49,229.53,224.36,228.57,ok,1435795200,981200
126,226.3,229.11,224.46,226.43,ok,1436140800,1677300
127,227.4,227.75,220.0,226.44,ok,1436227200,1653400
128,224.46,226.49,222.83,225.01,ok,1436313600,1408400
129,223.39,228.72,222.52,227.3,ok,1436400000,1374800
130,232.32,232.76,224.5,225.62,ok,1436486400,1441100
131,235.16,237.69,231.7,235.06,ok,1436745600,1339000
132,236.75,237.38,232.47,235.0,ok,1436832000,1110100
133,235.84,237.26,233.88,237.2,ok,1436918400,1600800
134,238.85,240.38,236.32,236.82,ok,1437004800,1312100
135,236.1,240.79,234.73,240.05,ok,1437091200,1376400
136,239.88,242.77,237.23,237.8,ok,1437350400,1591900
137,240.59,242.81,237.78,240.05,ok,1437436800,1016600
138,238.92,240.8,237.59,238.78,ok,1437523200,1388400
139,253.84,254.46,247.01,251.02,ok,1437609600,3764500
140,251.92,259.57,249.82,254.43,ok,1437696000,2256500
141,257.3,258.17,250.67,252.26,ok,1437955200,2066000
142,257.95,259.99,255.7,259.83,ok,1438041600,1853800
143,255.23,259.88,252.82,259.13,ok,1438128000,2064700
144,254.28,255.04,250.25,254.21,ok,1438214400,1479600
145,257.53,258.96,253.35,255.3,ok,1438300800,1313700
146,257.21,260.79,256.0,258.0,ok,1438560000,1771800
147,259.98,260.47,250.91,255.61,ok,1438646400,1152400
148,262.52,263.79,260.05,261.23,ok,1438732800,1242200
149,248.4,263.81,245.28,263.68,ok,1438819200,3551300
150,247.79,248.1,240.9,247.73,ok,1438905600,2158400
151,247.15,253.62,247.04,250.13,ok,1439164800,1278100
152,245.99,247.75,241.31,244.89,ok,1439251200,1213000
153,244.03,245.67,234.21,244.67,ok,1439337600,3042600
154,246.17,248.28,243.06,243.06,ok,1439424000,1415100
155,246.57,250.37,244.02,246.81,ok,1439510400,950000
156,249.75,251.0,244.19,244.44,ok,1439769600,954500
157,249.97,252.51,247.25,250.0,ok,1439856000,873700
158,244.91,249.53,242.51,247.94,ok,1439942400,1262100
159,229.06,244.95,228.13,244.95,ok,1440028800,3305500
160,222.19,228.28,219.67,224.08,ok,1440115200,3923900
161,220.25,220.25,200.02,207.99,ok,1440374400,4582200
162,220.08,231.67,218.96,230.22,ok,1440460800,2595800
163,227.24,228.51,217.77,226.02,ok,1440547200,2156200
164,234.9,236.02,228.4,228.59,ok,1440633600,1816700
165,236.12,236.36,232.04,232.73,ok,1440720000,982000
166,230.6,237.8,228.59,234.66,ok,1440979200,1559100
167,224.05,229.21,222.34,227.69,ok,1441065600,2059400
168,232.18,232.25,222.43,225.73,ok,1441152000,1806000
169,228.47,235.36,226.57,233.37,ok,1441238400,1485500
170,229.53,230.52,224.58,225.1,ok,1441324800,1228200
171,233.8,237.91,228.56,236.38,ok,1441670400,1925300
172,227.85,235.66,227.34,235.49,ok,1441756800,1253000
173,228.79,230.72,226.55,227.83,ok,1441843200,1781600
174,225.64,228.72,223.91,227.92,ok,1441929600,1609900
175,222.92,227.68,220.42,226.34,ok,1442188800,1603300
176,228.22,229.08,222.03,223.91,ok,1442275200,1465300
177,233.21,234.5,227.61,228.0,ok,1442361600,1405500
178,241.01,243.24,231.5,232.79,ok,1442448000,1795700
179,242.14,242.65,237.19,237.19,ok,1442534400,1754400
180,229.0,245.82,220.86,243.4,ok,1442793600,4972000
181,216.76,223.95,214.0,222.91,ok,1442880000,4612600
182,217.21,225.54,216.1,219.2,ok,1442966400,1958200
183,209.5,217.07,205.38,216.42,ok,1443052800,4169300
184,199.47,214.72,189.0,212.14,ok,1443139200,6279000
185,166.5,206.51,159.44,196.73,ok,1443398400,19751900
186,158.08,175.95,152.94,160.94,ok,1443484800,14511900
187,178.38,180.05,160.51,168.47,ok,1443571200,11676100
188,179.6,180.0,171.71,177.09,ok,1443657600,6384100
189,182.32,182.64,164.27,170.23,ok,1443744000,7697300
190,163.46,176.99,161.17,176.81,ok,1444003200,11648200
191,166.0,169.12,157.02,161.11,ok,1444089600,7376100
192,169.83,171.49,163.39,166.52,ok,1444176000,4181600
193,171.17,171.69,165.13,169.42,ok,1444262400,3644600
194,175.94,179.81,168.55,170.55,ok,1444348800,4358000
195,173.85,179.49,171.22,175.94,ok,1444608000,3255800
196,166.5,177.0,166.19,173.81,ok,1444694400,3880600
197,177.29,178.48,171.28,171.53,ok,1444780800,8142300
198,168.87,170.0,155.23,156.73,ok,1444867200,10683900
199,177.56,179.83,170.85,172.11,ok,1444953600,6033700
200,163.83,171.5,159.24,169.8,ok,1445212800,9997900
201,146.74,162.9,145.35,159.02,ok,1445299200,16210100
202,118.61,148.66,88.5,148.01,ok,1445385600,88254200
203,109.87,115.5,94.26,110.01,ok,1445472000,57766100
204,116.16,121.69,111.64,117.06,ok,1445558400,24749300
205,110.04,118.0,106.03,110.0,ok,1445817600,27810100
206,109.54,114.2,108.74,112.49,ok,1445904000,10871800
207,117.0,118.0,108.2,109.4,ok,1445990400,10701600
208,111.5,127.08,104.0,116.76,ok,1446076800,18818900
209,93.77,108.79,90.46,103.3,ok,1446163200,44882500
210,100.47,102.89,94.5,97.16,ok,1446422400,26455500
211,97.86,104.8,96.5,103.04,ok,1446508800,15507300
212,91.98,99.5,91.26,98.75,ok,1446595200,14566100
213,78.77,92.13,73.32,92.0,ok,1446681600,57293500
214,81.77,85.59,77.51,81.8,ok,1446768000,25270900
215,85.41,86.0,80.62,83.1,ok,1447027200,19976500
216,83.68,86.4,79.01,84.76,ok,1447113600,28711700
217,78.9,86.11,78.6,84.62,ok,1447200000,16933800
218,73.77,77.0,73.69,76.81,ok,1447286400,17453100
219,75.41,76.3,72.09,74.54,ok,1447372800,14632000
220,73.32,75.69,72.25,74.49,ok,1447632000,10267200
221,70.32,74.0,69.95,72.22,ok,1447718400,13442800
222,72.6,75.26,69.33,69.75,ok,1447804800,11844400
223,84.0,84.48,72.38,72.42,ok,1447891200,25422700
224,91.0,91.28,83.56,84.75,ok,1447977600,24969500
225,87.41,97.64,87.11,92.1,ok,1448236800,25583200
226,87.45,89.07,85.2,87.4,ok,1448323200,16530100
227,87.02,90.5,83.02,83.89,ok,1448409600,13068200
228,87.09,89.15,86.19,87.3,ok,1448582400,4218700
229,89.96,91.21,86.07,87.28,ok,1448841600,14051800
230,98.78,99.79,90.52,90.85,ok,1448928000,22989500
231,96.23,101.93,95.5,99.05,ok,1449014400,13067400
232,93.66,98.0,92.01,97.71,ok,1449100800,9457700
