,c,h,l,o,s,t,v
0,24.2295,24.2595,24.2195,24.2195,ok,1509408000,3000
1,24.2005,24.2805,24.2005,24.2305,ok,1509494400,187100
2,24.1725,24.2415,24.1715,24.2415,ok,1509580800,1800
3,24.243,24.243,24.159,24.16,ok,1509667200,1800
4,24.3985,24.4135,24.3585,24.3585,ok,1509926400,3100
5,24.4227,24.7827,24.3627,24.7827,ok,1510012800,123200
6,24.4468,24.4468,24.4218,24.4218,ok,1510099200,800
7,24.2681,24.4881,24.2681,24.4881,ok,1510185600,900
8,24.2971,24.6771,24.2771,24.6771,ok,1510272000,900
9,24.3029,24.3029,24.2969,24.2969,ok,1510531200,300
10,24.2778,24.2778,24.2478,24.2478,ok,1510617600,2200
11,24.1522,24.1722,24.1522,24.1532,ok,1510704000,1300
12,24.328,24.586,24.299,24.586,ok,1510790400,1300
13,24.2874,24.3174,24.2824,24.3174,ok,1510876800,1800
14,24.3348,24.3348,24.3018,24.3018,ok,1511136000,1000
15,24.413,24.453,24.413,24.453,ok,1511222400,1500
16,24.4903,24.8903,24.4903,24.8903,ok,1511308800,1900
17,24.4855,24.4855,24.4705,24.4805,ok,1511740800,700
18,24.5869,24.5869,24.5399,24.5399,ok,1511827200,2200
19,24.7463,24.7463,24.7463,24.7463,ok,1512000000,2000
20,24.8333,24.9183,24.8283,24.9183,ok,1512345600,1800
21,24.5676,24.6796,24.5676,24.6276,ok,1512432000,12200
22,24.586,24.597,24.557,24.557,ok,1512518400,800
23,24.9251,24.9351,24.8351,24.8351,ok,1512691200,6600
24,24.9154,24.9444,24.8754,24.8754,ok,1512950400,700
25,24.9463,24.9463,24.9463,24.9463,ok,1513036800,400
26,24.9444,25.0344,24.9444,24.9944,ok,1513123200,22400
27,24.8188,24.9988,24.8188,24.9488,ok,1513209600,1500
28,25.0146,25.0146,24.9596,24.9596,ok,1513296000,1100
29,25.1406,25.2306,25.1406,25.2206,ok,1513555200,2200
