,c,h,l,o,s,t,v
0,10.7728,10.8627,10.5228,10.8627,ok,1420156800,12800
1,10.6836,10.8836,10.6836,10.8836,ok,1420416000,135900
2,10.5706,10.8506,10.5106,10.7406,ok,1420502400,57900
3,10.6122,10.6922,10.5622,10.6822,ok,1420588800,49800
4,10.7609,10.8109,10.6609,10.8109,ok,1420675200,26400
5,10.7133,10.9633,10.6533,10.9633,ok,1420761600,37400
6,10.7074,10.7574,10.5874,10.6974,ok,1421020800,74600
7,10.6182,11.0282,10.5182,11.0282,ok,1421107200,43000
8,10.4874,10.6474,10.4274,10.6274,ok,1421193600,46400
9,10.3923,10.5423,10.3923,10.5323,ok,1421280000,35800
10,10.4279,10.4579,10.3079,10.3379,ok,1421366400,22300
11,10.4101,10.5501,10.3701,10.5501,ok,1421712000,20800
12,10.5052,10.5052,10.3852,10.4052,ok,1421798400,34500
13,10.5647,10.6147,10.4447,10.4747,ok,1421884800,22400
14,10.5528,10.6428,10.4928,10.6428,ok,1421971200,43800
15,10.5884,10.6484,10.5184,10.5384,ok,1422230400,28300
16,10.6182,10.6182,10.4982,10.5282,ok,1422316800,41400
17,10.529,10.639,10.529,10.609,ok,1422403200,7100
18,10.5349,10.5449,10.4349,10.5449,ok,1422489600,13200
19,10.529,10.609,10.449,10.469,ok,1422576000,37200
20,10.5231,10.5631,10.3931,10.4931,ok,1422835200,27600
21,10.7549,10.7649,10.3449,10.3449,ok,1422921600,27200
22,10.7252,10.8052,10.6352,10.6852,ok,1423008000,441400
23,10.856,10.866,10.596,10.596,ok,1423094400,19900
24,10.9571,11.0271,10.8171,10.8171,ok,1423180800,20600
25,10.8441,10.9541,10.8341,10.9441,ok,1423440000,34300
26,10.7728,10.9128,10.7027,10.9128,ok,1423526400,32400
27,10.7014,10.9014,10.6314,10.9014,ok,1423612800,40000
28,10.8203,10.8203,10.6203,10.6203,ok,1423699200,19900
29,10.9036,10.9435,10.8135,10.8635,ok,1423785600,26800
30,10.9689,11.0189,10.8589,10.9189,ok,1424131200,69700
