,c,h,l,o,s,t,v
0,48.7382,49.9482,47.8982,49.2582,ok,1420156800,238200
1,48.1739,49.7039,47.9439,48.4639,ok,1420416000,275700
2,47.23,49.02,46.31,48.5,ok,1420502400,273500
3,48.1739,48.3139,47.5839,47.5839,ok,1420588800,553500
4,48.2712,48.5112,46.7212,47.6312,ok,1420675200,630900
5,47.4636,48.1436,47.3736,48.1436,ok,1420761600,195900
6,47.4052,47.9752,47.2552,47.5452,ok,1421020800,175500
7,47.9793,48.3893,47.4393,47.7192,ok,1421107200,173600
8,47.0646,47.8446,46.0546,47.5246,ok,1421193600,282200
9,45.7705,47.1805,45.3405,47.1805,ok,1421280000,413700
10,43.0461,44.0361,41.2261,43.6561,ok,1421366400,1132000
11,44.1748,44.7648,43.5348,44.5948,ok,1421712000,500500
12,44.2818,44.5018,43.7918,43.8518,ok,1421798400,264200
13,45.2937,45.4037,44.2437,44.4337,ok,1421884800,341400
14,45.2743,45.5343,44.7843,45.1143,ok,1421971200,378600
15,45.897,45.967,45.077,45.077,ok,1422230400,244000
16,44.9921,45.9121,44.8921,45.4821,ok,1422316800,268100
17,44.3791,45.6991,44.3091,45.3891,ok,1422403200,409800
18,45.5273,45.6973,43.8273,44.2473,ok,1422489600,286100
19,43.0947,45.4247,42.8947,45.4247,ok,1422576000,545100
20,42.939,43.269,41.729,43.129,ok,1422835200,267500
21,43.2115,43.4015,42.3215,42.9715,ok,1422921600,237400
22,44.058,44.658,42.878,42.958,ok,1423008000,226200
23,43.5618,44.5518,43.1918,44.2518,ok,1423094400,230000
24,42.832,43.892,42.232,43.772,ok,1423180800,324500
25,42.6277,43.3677,42.3877,42.4977,ok,1423440000,235300
26,43.7077,44.1277,42.6477,43.0377,ok,1423526400,243100
27,44.2915,44.7815,43.7415,43.7415,ok,1423612800,224300
28,44.1164,44.4664,42.8164,44.2164,ok,1423699200,286400
29,44.3888,44.9088,43.9888,43.9888,ok,1423785600,364100
30,44.3694,44.7494,43.9094,44.5494,ok,1424131200,395100
31,45.6148,46.3348,44.3648,44.3648,ok,1424217600,931500
32,52.1535,53.9935,50.0635,51.8735,ok,1424304000,2325800
33,51.6378,53.0978,51.1578,52.0378,ok,1424390400,578000
34,51.9881,52.7281,51.6381,51.6781,ok,1424649600,485700
35,51.6281,52.5881,51.2881,52.1281,ok,1424736000,379800
36,51.054,51.544,50.764,51.454,ok,1424822400,384300
37,50.908,51.138,50.568,51.028,ok,1424908800,298700
38,50.8107,51.2407,50.6407,51.0107,ok,1424995200,427700
39,51.5502,52.2902,50.4302,50.7802,ok,1425254400,353000
40,50.9469,51.6169,50.5769,51.6169,ok,1425340800,360000
41,50.9664,51.0864,50.3864,50.6164,ok,1425427200,360000
42,51.0929,51.5729,50.5529,51.1929,ok,1425513600,267500
43,50.2366,51.0766,50.0966,50.9466,ok,1425600000,309100
44,50.1783,50.8883,50.0083,50.3483,ok,1425859200,256700
45,50.0226,50.3626,49.1626,50.0226,ok,1425945600,321400
46,49.7307,50.3407,49.2207,50.1607,ok,1426032000,213700
47,50.7815,50.9815,49.9015,49.9015,ok,1426118400,230800
48,50.9859,51.6959,50.3259,50.9359,ok,1426204800,219200
49,50.8788,51.4588,50.6088,51.3788,ok,1426464000,220500
50,51.7837,53.1137,51.5637,52.3537,ok,1426550400,573200
51,51.307,52.237,50.437,51.797,ok,1426636800,350600
52,51.5697,51.7797,51.1697,51.2697,ok,1426723200,212700
53,51.4529,51.9629,51.3629,51.9529,ok,1426809600,361100
54,50.908,51.868,50.808,51.418,ok,1427068800,388100
55,50.7523,51.0923,50.6723,50.9123,ok,1427155200,260500
56,49.9545,51.0845,49.7545,50.9145,ok,1427241600,310800
57,49.5263,49.8663,48.6463,49.8663,ok,1427328000,212400
58,49.5555,50.4855,49.2055,49.5355,ok,1427414400,190500
59,49.8572,50.4472,49.0972,49.7572,ok,1427673600,359300
60,49.0885,49.9385,48.6285,49.6385,ok,1427760000,222800
61,49.3317,49.6317,48.4817,48.9017,ok,1427846400,199200
62,49.9058,50.3758,49.2058,49.4458,ok,1427932800,183100
63,49.4096,50.0496,49.2696,49.4496,ok,1428278400,117900
64,48.7187,49.7587,48.6087,49.4687,ok,1428364800,186000
65,49.5555,49.8355,48.8155,48.8155,ok,1428451200,151200
66,49.1566,49.7066,48.6766,49.2866,ok,1428537600,145500
67,49.5555,50.0555,49.3255,49.4255,ok,1428624000,103500
68,50.081,50.171,49.551,49.701,ok,1428883200,169700
69,49.2636,50.0536,48.5336,49.8736,ok,1428969600,244600
70,49.468,50.118,49.018,49.178,ok,1429056000,183300
71,50.7523,51.1423,49.2823,49.8123,ok,1429142400,273300
72,49.575,50.785,48.935,50.405,ok,1429228800,272200
73,50.4896,50.6596,49.2696,49.7096,ok,1429488000,326900
74,50.1491,50.5591,49.7991,50.5291,ok,1429574400,327900
75,49.1761,50.6361,48.9061,50.3861,ok,1429660800,479700
76,51.9978,52.4678,48.8478,49.5878,ok,1429747200,1218100
77,48.1836,52.5636,47.0436,50.4236,ok,1429833600,1618600
78,47.1522,49.3022,46.8422,48.4822,ok,1430092800,542000
79,47.23,48.02,46.39,47.35,ok,1430179200,265300
80,46.7824,47.6124,45.9824,46.9524,ok,1430265600,386800
81,45.537,46.977,45.467,46.617,ok,1430352000,353300
82,46.5781,46.7581,45.6281,45.8581,ok,1430438400,339400
83,46.5781,47.4081,46.4881,46.4881,ok,1430697600,234100
84,46.0138,46.9138,45.8838,46.2538,ok,1430784000,262400
85,46.2765,46.5365,45.7165,45.9665,ok,1430870400,241800
86,47.1035,47.6735,46.3835,46.3935,ok,1430956800,244100
87,47.0744,48.3843,47.0443,47.2744,ok,1431043200,312600
88,46.5003,47.2603,46.2403,46.9803,ok,1431302400,277900
89,45.4883,46.3283,44.9783,46.2683,ok,1431388800,215500
90,45.537,45.937,45.087,45.547,ok,1431475200,139200
91,45.4105,45.7005,44.6105,45.6105,ok,1431561600,323500
92,44.9143,45.6543,44.4543,45.6543,ok,1431648000,328700
93,45.8776,46.0676,44.8576,44.8675,ok,1431907200,237200
94,46.2181,46.5081,45.7081,46.0481,ok,1431993600,151900
95,45.2451,46.1051,44.1551,46.0851,ok,1432080000,466000
96,44.9337,45.9937,44.8937,45.0737,ok,1432166400,281800
97,44.3888,45.4788,44.3388,45.1088,ok,1432252800,212900
98,44.3305,46.6805,43.8705,46.0305,ok,1432598400,505100
99,44.8948,45.6448,44.3348,44.3348,ok,1432684800,231200
100,45.0408,46.1708,44.9308,45.0008,ok,1432771200,283100
101,44.5445,45.3545,44.2145,44.8745,ok,1432857600,280300
102,44.3888,44.9988,43.6888,44.5188,ok,1433116800,343400
103,44.4375,44.9675,43.9975,44.0375,ok,1433203200,319600
104,45.5856,46.3956,44.7656,44.7656,ok,1433289600,352700
105,44.8851,45.4651,44.7751,45.4451,ok,1433376000,175200
106,45.8192,45.8692,44.4192,44.9592,ok,1433462400,255300
107,45.7705,46.0905,45.2405,45.6005,ok,1433721600,190200
108,45.3424,45.9724,45.2424,45.5624,ok,1433808000,145000
109,45.6635,46.3435,45.4535,45.4535,ok,1433894400,331300
110,45.5273,46.3773,45.1473,45.7973,ok,1433980800,176000
111,46.51,46.93,45.62,45.7,ok,1434067200,462400
112,46.3738,46.7238,45.6038,46.2338,ok,1434326400,238800
113,45.4689,46.3689,44.6689,46.1789,ok,1434412800,527900
114,45.7121,45.8621,45.1321,45.7021,ok,1434499200,265000
115,46.2181,46.5681,45.7181,45.8681,ok,1434585600,174200
116,46.5587,46.5787,45.4287,46.3587,ok,1434672000,314900
117,47.376,47.556,46.726,46.726,ok,1434931200,274700
118,47.2981,47.6781,47.0381,47.5481,ok,1435017600,241800
119,47.3079,47.7779,47.0379,47.2479,ok,1435104000,298300
120,47.5609,47.8809,46.9109,47.8809,ok,1435190400,194600
121,47.629,47.809,47.079,47.809,ok,1435276800,655200
122,46.4711,47.4911,46.3511,47.2011,ok,1435536000,219300
123,47.1425,47.5025,46.5325,46.9125,ok,1435622400,261200
124,47.2981,47.8181,47.0281,47.4781,ok,1435708800,248700
125,47.2203,47.6703,46.8903,47.3603,ok,1435795200,160300
126,47.4538,47.5838,46.3538,46.6538,ok,1436140800,177000
127,48.2906,48.4606,47.0506,47.3506,ok,1436227200,311700
128,48.3685,49.0485,47.7885,47.9285,ok,1436313600,456500
129,49.3317,49.3717,48.1717,48.7917,ok,1436400000,364000
130,48.1641,49.4641,47.7741,49.4641,ok,1436486400,492000
131,48.3685,48.8985,48.0285,48.6385,ok,1436745600,294000
132,48.1349,48.6749,47.9749,48.4449,ok,1436832000,295400
133,47.9111,48.5311,47.5011,48.5311,ok,1436918400,338700
134,47.6776,48.0976,47.1976,47.7676,ok,1437004800,371200
135,47.1717,47.9217,47.0117,47.5617,ok,1437091200,265800
136,47.9403,48.5003,47.0703,47.3703,ok,1437350400,419100
137,48.2712,48.4812,47.6012,48.1212,ok,1437436800,295300
138,48.9912,49.0212,47.8912,48.3412,ok,1437523200,511800
139,48.456,49.336,48.116,49.006,ok,1437609600,835500
140,48.5436,49.8336,45.9436,46.6736,ok,1437696000,1143900
141,48.7869,49.8569,48.3469,48.6969,ok,1437955200,449800
142,48.9328,49.0628,47.9628,49.0628,ok,1438041600,325400
143,49.7015,50.1015,48.5315,48.5315,ok,1438128000,526900
144,50.1393,50.6593,49.0793,49.3593,ok,1438214400,423700
145,50.1685,50.5685,49.6885,50.2085,ok,1438300800,344200
