,c,h,l,o,s,t,v
0,44.8293,45.0793,44.1293,44.9293,ok,1420156800,133700
1,43.9432,45.0432,43.6332,44.7832,ok,1420416000,234100
2,43.0908,45.2108,43.0408,44.3208,ok,1420502400,251000
3,43.3102,43.8802,42.6902,43.4302,ok,1420588800,258000
4,43.6816,44.3216,43.4516,43.7016,ok,1420675200,227500
5,42.1541,44.2141,42.0841,43.9541,ok,1420761600,222700
6,42.019,42.299,41.439,42.229,ok,1421020800,261000
7,42.7617,43.8317,42.1117,42.3717,ok,1421107200,262900
8,43.2934,43.3934,42.1934,42.2834,ok,1421193600,184300
9,43.1414,43.6414,42.8014,43.3214,ok,1421280000,143000
10,43.7069,43.7369,42.7569,42.7569,ok,1421366400,139800
11,43.3777,43.7977,42.9277,43.7277,ok,1421712000,146200
12,43.6647,43.8447,42.6847,43.1347,ok,1421798400,102100
13,43.2005,43.9405,42.5605,43.9405,ok,1421884800,232900
14,42.9895,43.5995,42.9495,43.2195,ok,1421971200,202900
15,43.4959,43.5159,42.2959,42.7059,ok,1422230400,204900
16,43.268,43.918,42.988,43.268,ok,1422316800,144400
17,42.7448,44.0848,42.4848,43.5948,ok,1422403200,255800
18,43.7491,43.7791,42.3491,42.8191,ok,1422489600,283100
19,42.3313,43.9913,42.1713,43.6713,ok,1422576000,251200
20,42.5338,42.5838,40.8138,42.2138,ok,1422835200,275800
21,43.5381,44.0981,42.3581,42.5181,ok,1422921600,570700
22,42.5845,43.6745,42.4245,43.2445,ok,1423008000,185200
23,43.1414,43.2914,42.4414,42.8214,ok,1423094400,224200
24,42.3735,43.4435,41.9235,43.2335,ok,1423180800,439600
25,41.9684,43.1084,41.7584,42.2384,ok,1423440000,305900
26,42.7448,42.9048,41.4848,41.9648,ok,1423526400,348400
27,41.9749,43.1749,41.8849,42.7049,ok,1423612800,284900
28,42.0685,42.6585,41.8785,42.2085,ok,1423699200,223600
29,41.6941,42.1241,41.3242,42.1041,ok,1423785600,200100
30,41.2858,42.1058,40.9958,41.6358,ok,1424131200,248900
31,42.5789,42.6089,40.8189,40.8189,ok,1424217600,257200
32,42.3322,42.9122,42.1522,42.6122,ok,1424304000,112700
33,42.2896,42.4397,41.6096,42.1497,ok,1424390400,190200
34,42.3492,42.3492,41.7192,42.2892,ok,1424649600,127100
35,42.8511,43.2411,42.1211,42.1711,ok,1424736000,261400
36,42.8001,43.1601,42.5501,42.9501,ok,1424822400,380400
37,43.1149,43.4849,42.6849,42.8949,ok,1424908800,255800
38,43.2425,43.7725,42.8325,43.1325,ok,1424995200,230000
39,42.1195,43.3395,41.4795,43.3395,ok,1425254400,251400
40,42.3237,42.6137,41.5037,41.8437,ok,1425340800,210500
41,42.5449,42.6949,41.8049,42.0249,ok,1425427200,307700
42,42.7065,43.0465,42.4165,42.6765,ok,1425513600,120800
43,41.4134,42.3034,40.9934,42.2034,ok,1425600000,259300
