,c,h,l,o,s,t,v
0,52.0926,52.1302,51.9702,52.1202,ok,1586390400,500884
1,51.7408,51.8317,51.2717,51.2915,ok,1586736000,3376
2,53.4047,53.4047,52.7547,52.7547,ok,1586822400,1800
3,52.3063,52.3193,52.0193,52.1993,ok,1586908800,2800
4,52.7076,52.7076,52.1876,52.6376,ok,1586995200,1800
5,53.9464,53.9464,53.6224,53.7924,ok,1587081600,3200
6,53.1667,53.2857,53.1667,53.2857,ok,1587340800,400
7,51.4838,51.5328,51.4838,51.5328,ok,1587427200,700
8,52.5961,53.3581,52.5961,53.3581,ok,1587600000,300
9,54.05,54.05,53.682,53.682,ok,1587945600,200
10,55.0099,55.0099,54.9279,54.9479,ok,1588118400,200
11,54.7022,54.7892,54.7022,54.7892,ok,1588204800,200
12,53.0622,53.7262,53.0622,53.7262,ok,1588291200,200
13,53.6795,53.6935,53.6795,53.6935,ok,1588723200,200
14,55.2529,55.2529,54.5069,54.5369,ok,1589155200,1300
15,54.2282,55.2862,54.2282,55.2862,ok,1589241600,300
16,53.2444,53.2444,53.2444,53.2444,ok,1589328000,100
17,53.7512,53.7512,53.7512,53.7512,ok,1589414400,100
18,54.054,54.054,53.282,53.282,ok,1589500800,2100
19,55.6692,55.6692,55.6692,55.6692,ok,1589760000,100
20,55.1563,55.1563,55.1563,55.1563,ok,1589846400,100
21,55.9599,55.9639,55.9599,55.9639,ok,1589932800,1200
22,55.5417,55.9957,55.5417,55.9957,ok,1590019200,200
23,55.6373,55.6373,55.6373,55.6373,ok,1590105600,100
24,56.182,56.182,56.182,56.182,ok,1590451200,300
25,56.9268,56.9268,56.9268,56.9268,ok,1590537600,100
26,56.9428,57.6298,56.9428,57.6298,ok,1590624000,400
27,57.2594,57.2594,57.2594,57.2594,ok,1590710400,100
