,c,h,l,o,s,t,v
0,4.0726,4.1426,3.8826,4.1326,ok,1420156800,6200
1,4.1319,4.1519,4.0319,4.0619,ok,1420416000,8200
2,4.0642,4.0942,4.0642,4.0842,ok,1420502400,1400
3,4.0218,4.0218,3.9018,4.0218,ok,1420588800,2600
4,3.9625,4.0325,3.9425,4.0325,ok,1420675200,8100
5,3.9795,4.0195,3.8795,3.8995,ok,1420761600,2100
6,3.7847,3.9047,3.7847,3.9047,ok,1421020800,6000
7,3.8779,3.9879,3.6679,3.6679,ok,1421107200,27700
8,3.8948,3.9948,3.7448,3.9948,ok,1421193600,14800
9,3.8694,3.9994,3.7294,3.9994,ok,1421280000,11900
10,3.9117,4.0317,3.5317,3.9417,ok,1421366400,32300
11,3.9371,4.0371,3.7371,4.0371,ok,1421712000,8700
12,4.1065,4.3065,3.7565,3.8665,ok,1421798400,104000
13,4.1234,4.2534,3.8734,4.2534,ok,1421884800,13000
14,4.2081,4.4781,3.8481,4.0381,ok,1421971200,60900
15,4.2758,4.4758,4.2658,4.2658,ok,1422230400,27200
16,4.3351,4.3951,4.1751,4.2951,ok,1422316800,6300
17,4.3182,4.4682,3.9882,3.9882,ok,1422403200,13900
18,4.3944,4.4544,4.0544,4.3844,ok,1422489600,9300
19,4.5637,4.5637,4.2737,4.4237,ok,1422576000,18500
20,4.4875,4.6375,4.3975,4.5375,ok,1422835200,25000
21,4.479,4.639,4.019,4.189,ok,1422921600,51900
22,4.606,4.636,4.186,4.186,ok,1423008000,48100
23,4.6484,4.7084,4.4684,4.6084,ok,1423094400,11500
24,4.6145,4.6845,4.5645,4.6445,ok,1423180800,6500
25,4.5976,4.7176,4.3276,4.3276,ok,1423440000,11500
26,4.6992,4.7092,4.6092,4.6492,ok,1423526400,34300
27,4.8685,4.8685,4.6785,4.6785,ok,1423612800,27900
28,4.877,4.897,4.577,4.817,ok,1423699200,18700
29,4.9278,4.9578,4.8678,4.8978,ok,1423785600,8900
30,5.1733,5.2133,4.8233,4.8933,ok,1424131200,40200
31,5.1225,5.2725,4.9725,5.0525,ok,1424217600,21800
32,5.2072,5.2172,5.0872,5.1472,ok,1424304000,8800
33,5.2326,5.3226,5.1126,5.1126,ok,1424390400,21600
34,5.2834,5.2834,5.1234,5.2834,ok,1424649600,10500
35,5.2411,5.2411,5.0911,5.2211,ok,1424736000,13100
36,5.2749,5.2949,5.1049,5.1549,ok,1424822400,34000
37,5.2495,5.2995,5.1995,5.2995,ok,1424908800,11300
38,5.258,5.288,5.118,5.118,ok,1424995200,13000
39,5.2326,5.2726,5.2026,5.2426,ok,1425254400,17600
40,5.2072,5.2672,5.2072,5.2672,ok,1425340800,10100
41,5.0887,5.2287,5.0887,5.2287,ok,1425427200,18700
42,4.6145,5.1645,4.4845,4.9645,ok,1425513600,58700
43,4.606,4.736,4.396,4.536,ok,1425600000,15200
44,4.7076,4.8676,4.3976,4.6876,ok,1425859200,12600
45,4.6822,4.9022,4.6522,4.8322,ok,1425945600,16000
46,4.7076,4.8876,4.5876,4.8476,ok,1426032000,8900
47,4.8177,4.8777,4.6177,4.7977,ok,1426118400,17900
48,4.8177,4.8677,4.7277,4.8177,ok,1426204800,10900
49,5.0294,5.0894,4.8394,4.8394,ok,1426464000,7100
50,4.877,4.977,4.547,4.917,ok,1426550400,15600
51,5.0802,5.1402,4.8202,4.8202,ok,1426636800,13300
52,5.1479,5.1679,5.0279,5.0879,ok,1426723200,5600
53,5.0802,5.2702,5.0802,5.0802,ok,1426809600,14700
54,5.2072,5.2472,4.9772,5.1972,ok,1427068800,16000
55,5.0717,5.2417,5.0317,5.1817,ok,1427155200,2900
56,5.0294,5.2594,4.9694,4.9794,ok,1427241600,15600
57,5.1903,5.1903,4.9303,4.9503,ok,1427328000,2600
58,5.1479,5.2179,5.1479,5.1479,ok,1427414400,900
59,5.1649,5.2549,4.9349,5.1449,ok,1427673600,67400
60,5.1649,5.1849,4.9649,5.0749,ok,1427760000,24500
61,5.1564,5.2364,5.0264,5.1564,ok,1427846400,12200
62,5.2157,5.3057,5.0457,5.0457,ok,1427932800,27300
63,5.2411,5.3511,5.2311,5.3011,ok,1428278400,22900
64,5.2157,5.3457,4.9657,4.9657,ok,1428364800,12500
65,5.1649,5.3049,5.0649,5.2449,ok,1428451200,8200
66,5.2072,5.2772,5.0672,5.1772,ok,1428537600,5300
67,5.2326,5.2826,5.0726,5.0826,ok,1428624000,20000
68,5.1649,5.1949,5.1149,5.1949,ok,1428883200,5100
69,5.2495,5.2695,5.0795,5.2495,ok,1428969600,5200
70,5.2834,5.3134,5.1434,5.1434,ok,1429056000,21300
71,5.2326,5.2926,5.1526,5.2926,ok,1429142400,7100
72,5.1395,5.3095,5.0295,5.3095,ok,1429228800,8700
73,5.2326,5.2326,5.0526,5.1126,ok,1429488000,14300
74,5.1818,5.2418,5.1818,5.1818,ok,1429574400,6900
75,5.2834,5.3034,5.2234,5.2234,ok,1429660800,15200
76,5.3765,5.5165,5.2565,5.2665,ok,1429747200,21800
77,5.4104,5.4104,5.3004,5.3904,ok,1429833600,4700
78,5.5543,5.7443,5.4443,5.4843,ok,1430092800,18400
79,5.6898,5.7198,5.5698,5.5698,ok,1430179200,6600
80,5.6559,5.7259,5.4759,5.4759,ok,1430265600,8900
81,5.6559,5.7159,5.4259,5.6959,ok,1430352000,4100
82,5.5797,5.6997,5.3697,5.6697,ok,1430438400,14600
83,5.2834,5.6434,5.1534,5.6434,ok,1430697600,31700
84,5.1903,5.3503,4.9503,5.1603,ok,1430784000,24400
85,5.0717,5.1417,4.8317,5.1417,ok,1430870400,11000
86,4.8939,5.0139,4.1339,5.0139,ok,1430956800,30500
87,4.9024,5.0124,4.7224,4.7424,ok,1431043200,12800
88,4.9617,5.1117,4.8917,4.8917,ok,1431302400,5200
89,4.9278,5.1178,4.6578,5.1178,ok,1431388800,3800
90,4.9108,4.9608,4.9108,4.9608,ok,1431475200,400
91,4.86,4.97,4.72,4.72,ok,1431648000,5000
