,c,h,l,o,s,t,v
0,228.6,240.0,220.5,236.9,ok,1420156800,38400
1,250.3,254.7,216.1,232.7,ok,1420416000,50800
2,261.9,271.3,240.5,255.0,ok,1420502400,89800
3,270.0,289.7,264.5,268.0,ok,1420588800,60300
4,286.4,289.0,271.1,274.4,ok,1420675200,35100
5,317.5,319.4,286.41,287.9,ok,1420761600,109600
6,313.3,336.3,306.1,335.6,ok,1421020800,80200
7,310.2,333.8,295.0,322.9,ok,1421107200,78600
8,304.1,317.2,290.0,290.3,ok,1421193600,50500
9,268.7,305.6,265.3,299.5,ok,1421280000,55600
10,291.3,294.0,264.5,264.5,ok,1421366400,40800
11,264.3,301.0,260.7,301.0,ok,1421712000,37100
12,229.2,273.68,227.7,265.4,ok,1421798400,33800
13,226.1,242.4,215.4,233.0,ok,1421884800,55400
14,241.2,250.0,216.0,230.0,ok,1421971200,32600
15,260.7,262.5,231.9,238.1,ok,1422230400,21200
16,258.8,270.0,244.1,258.5,ok,1422316800,21600
17,249.0,265.0,245.0,259.7,ok,1422403200,15600
18,251.9,257.0,241.1,246.9,ok,1422489600,14200
19,247.1,261.5,245.0,253.5,ok,1422576000,12600
20,231.2,250.0,226.8,242.2,ok,1422835200,24500
21,230.9,238.0,220.0,231.5,ok,1422921600,24900
22,221.5,229.4,216.3,229.4,ok,1423008000,19200
23,233.2,234.7,212.61,223.1,ok,1423094400,25600
24,222.7,234.9,221.0,234.4,ok,1423180800,10200
25,214.0,223.8,210.6,221.6,ok,1423440000,15300
26,210.6,221.2,208.7,214.8,ok,1423526400,21600
27,211.8,220.0,204.2,211.5,ok,1423612800,51500
28,208.1,217.1,208.0,213.1,ok,1423699200,10200
29,200.0,211.7,199.2,208.5,ok,1423785600,32500
30,201.8,206.3,197.3,200.1,ok,1424131200,26600
31,210.5,220.0,202.7,202.7,ok,1424217600,48800
32,223.4,228.8,211.5,211.5,ok,1424304000,54000
33,210.6,225.0,205.18,223.2,ok,1424390400,32900
34,218.2,244.1,214.9,220.0,ok,1424649600,81500
35,234.7,241.0,215.5,218.5,ok,1424736000,43500
36,237.3,245.5,230.5,234.4,ok,1424822400,33900
