,c,h,l,o,s,t,v
0,26.83,27.225,26.235,27.215,ok,1420156800,87200
1,26.1104,26.9454,26.0904,26.8104,ok,1420416000,92600
2,25.4411,26.3411,25.1411,26.3411,ok,1420502400,122600
3,25.5145,25.6195,25.0445,25.6195,ok,1420588800,133200
4,26.0233,26.2583,25.7233,25.8233,ok,1420675200,58800
5,25.574,26.169,25.514,26.064,ok,1420761600,45800
6,25.4411,25.6111,25.1311,25.5561,ok,1421020800,73400
7,25.7803,25.9653,25.2353,25.6403,ok,1421107200,100000
8,25.817,26.027,25.072,25.582,ok,1421193600,101400
9,25.5328,26.0678,25.3228,26.0678,ok,1421280000,123800
10,26.2708,26.3208,25.3108,25.3108,ok,1421366400,99600
11,26.147,26.907,25.767,26.422,ok,1421712000,77400
12,26.147,26.382,25.687,26.147,ok,1421798400,83200
13,26.665,26.92,25.675,26.3,ok,1421884800,63400
14,26.4358,26.8058,26.4058,26.7808,ok,1421971200,33600
15,26.6879,26.8579,25.8479,26.5479,ok,1422230400,95400
16,26.3946,26.4846,26.1146,26.4696,ok,1422316800,44600
17,26.5779,26.7279,26.2429,26.6779,ok,1422403200,99000
18,27.4535,27.4935,25.8885,26.4335,ok,1422489600,105600
19,27.4397,27.6247,27.0147,27.1147,ok,1422576000,212000
20,27.2655,27.4855,26.8105,27.4855,ok,1422835200,94400
21,27.9394,28.0544,27.1094,27.2544,ok,1422921600,87800
22,27.2426,28.1476,26.9926,27.8626,ok,1423008000,134400
23,27.8844,28.1444,27.1294,27.1294,ok,1423094400,106600
24,27.4214,27.9964,26.9114,27.7764,ok,1423180800,177800
25,26.6834,27.6884,26.4734,27.5184,ok,1423440000,173800
26,26.4496,26.7696,26.0146,26.7296,ok,1423526400,206000
27,26.8163,26.8613,26.0363,26.4663,ok,1423612800,81400
28,27.2884,27.3434,26.6334,27.1134,ok,1423699200,89400
29,27.5452,27.6252,26.6452,27.1402,ok,1423785600,107200
30,27.018,27.523,26.943,27.523,ok,1424131200,61000
31,27.2426,27.3176,26.9576,27.0576,ok,1424217600,55800
32,27.2884,27.5084,27.2434,27.2934,ok,1424304000,38800
33,27.3435,27.4285,26.8635,27.3385,ok,1424390400,73800
34,27.4764,27.4964,27.0914,27.3314,ok,1424649600,80800
35,27.3847,27.4947,27.0297,27.3747,ok,1424736000,89600
36,27.1725,27.6775,27.0025,27.5275,ok,1424822400,84000
37,26.9003,27.2653,26.7153,27.2653,ok,1424908800,85200
38,26.9418,27.1568,26.7968,26.9418,ok,1424995200,68200
39,27.3801,27.5951,26.9501,27.0101,ok,1425254400,172400
40,27.2648,27.4548,26.7948,27.2748,ok,1425340800,87000
41,26.5728,27.2978,26.5278,27.2978,ok,1425427200,110000
42,26.8634,26.9884,26.3484,26.5434,ok,1425513600,143200
43,26.1391,27.1091,26.0141,26.6741,ok,1425600000,100200
44,26.1207,26.4357,25.9457,26.2807,ok,1425859200,56600
45,25.8531,26.0881,25.6431,25.9831,ok,1425945600,77600
46,26.0976,26.2876,25.6776,25.7226,ok,1426032000,93400
47,26.4528,26.7078,26.0828,26.3328,ok,1426118400,130000
48,26.5405,26.7055,25.8505,26.4805,ok,1426204800,135800
49,26.582,26.877,26.332,26.822,ok,1426464000,101200
50,26.7619,26.9669,26.4819,26.4819,ok,1426550400,174200
51,27.0479,27.2079,26.2379,26.7429,ok,1426636800,79800
52,27.2094,27.3744,26.7194,26.8694,ok,1426723200,87200
