,c,h,l,o,s,t,v
0,71.0329,71.0729,70.8029,70.8129,ok,1420156800,2218800
1,71.2391,71.2691,71.0491,71.0891,ok,1420416000,5820100
2,71.4454,71.6954,71.3454,71.3454,ok,1420502400,3887600
3,71.4883,71.5883,71.3584,71.4483,ok,1420588800,2433400
4,71.3766,71.4366,71.2966,71.4366,ok,1420675200,1873400
5,71.497,71.597,71.307,71.317,ok,1420761600,1646100
6,71.5915,71.6215,71.4915,71.5415,ok,1421020800,4397900
7,71.6603,71.7503,71.5103,71.5903,ok,1421107200,2223400
8,71.8236,71.9736,71.8036,71.8936,ok,1421193600,2481200
9,72.1416,72.1616,71.7516,71.7516,ok,1421280000,4214500
10,71.9267,72.0867,71.8167,72.0467,ok,1421366400,3631300
11,71.8494,72.0794,71.8194,71.9494,ok,1421712000,3029500
12,71.7119,72.0719,71.7019,72.0619,ok,1421798400,2473900
13,71.729,71.899,71.639,71.899,ok,1421884800,2157400
14,71.9611,72.0011,71.8411,71.8711,ok,1421971200,6255000
15,71.8751,71.9951,71.8251,71.9751,ok,1422230400,7810500
16,71.9181,72.1281,71.868,72.0981,ok,1422316800,1154100
17,72.1759,72.2859,71.8159,71.8359,ok,1422403200,1394600
18,72.0986,72.1786,71.9686,72.1486,ok,1422489600,1551300
19,72.4939,72.4939,72.2539,72.3439,ok,1422576000,10474400
20,72.4078,72.5078,72.2378,72.2778,ok,1422835200,6070500
21,72.1839,72.3539,72.1339,72.2939,ok,1422921600,1237200
22,72.2097,72.2197,71.9197,72.0097,ok,1423008000,2945700
23,72.0547,72.1448,71.9948,72.0748,ok,1423094400,2128200
24,71.5897,71.8797,71.5697,71.8397,ok,1423180800,2907700
25,71.5639,71.7539,71.5239,71.7339,ok,1423440000,1384600
26,71.4347,71.5247,71.3847,71.4847,ok,1423526400,1447900
27,71.4347,71.5347,71.3747,71.4847,ok,1423612800,1904000
28,71.4691,71.5791,71.4391,71.4691,ok,1423699200,4662900
29,71.3055,71.5355,71.3055,71.5355,ok,1423785600,1883000
30,71.0213,71.3513,70.9913,71.3313,ok,1424131200,5281500
31,71.2194,71.3394,71.0094,71.1094,ok,1424217600,3813000
32,71.1591,71.3391,71.1291,71.2691,ok,1424304000,1322700
33,71.1763,71.4063,71.0563,71.2763,ok,1424390400,3145800
34,71.3227,71.3927,71.2527,71.3027,ok,1424649600,3952700
35,71.6155,71.6755,71.1355,71.2755,ok,1424736000,2542200
36,71.6844,71.7044,71.5244,71.5944,ok,1424822400,4934600
37,71.4863,71.7163,71.4763,71.6163,ok,1424908800,2187500
38,71.5466,71.5766,71.3966,71.4966,ok,1424995200,4094400
39,71.3154,71.6654,71.2954,71.6254,ok,1425254400,2476100
40,71.2291,71.3891,71.2091,71.3091,ok,1425340800,2648100
41,71.2291,71.3391,71.1891,71.2791,ok,1425427200,1425400
42,71.2723,71.3523,71.1723,71.2423,ok,1425513600,1340800
43,70.858,71.048,70.768,71.048,ok,1425600000,1580000
44,70.9443,71.0243,70.9043,71.0043,ok,1425859200,1982300
45,71.2205,71.2305,71.1105,71.1305,ok,1425945600,3766100
46,71.2981,71.3581,71.1781,71.2081,ok,1426032000,4829700
47,71.3499,71.5499,71.3099,71.5299,ok,1426118400,8421500
48,71.2808,71.4408,71.2508,71.2808,ok,1426204800,2114500
49,71.4189,71.519,71.3189,71.4689,ok,1426464000,1203700
50,71.4793,71.4793,71.3793,71.4193,ok,1426550400,1471300
51,71.9194,71.9194,71.3394,71.4994,ok,1426636800,5534300
52,71.7037,71.9237,71.6537,71.9037,ok,1426723200,1208100
53,71.8935,71.9035,71.7235,71.7235,ok,1426809600,1011200
54,71.928,71.938,71.788,71.928,ok,1427068800,1572700
55,72.0488,72.0988,71.8788,71.9588,ok,1427155200,2300500
56,71.9367,72.1666,71.9166,72.1666,ok,1427241600,1559900
57,71.7037,71.8637,71.6237,71.8537,ok,1427328000,2342500
58,71.7727,71.8827,71.7227,71.7727,ok,1427414400,6542300
59,71.859,71.899,71.789,71.879,ok,1427673600,1634800
60,71.9367,72.0067,71.8066,71.8667,ok,1427760000,1996000
61,72.2229,72.2629,72.0629,72.0829,ok,1427846400,3132700
62,72.1278,72.2778,72.0978,72.2678,ok,1427932800,791200
63,72.1883,72.3283,72.1083,72.3183,ok,1428278400,1768800
64,72.2316,72.2516,72.0416,72.1116,ok,1428364800,977400
65,72.1796,72.2596,72.0596,72.2396,ok,1428451200,3470700
66,72.024,72.224,71.944,72.224,ok,1428537600,1025400
67,71.9894,72.1294,71.9494,72.0994,ok,1428624000,4290100
68,72.0067,72.0967,71.9467,72.0467,ok,1428883200,6046400
69,72.1364,72.3164,72.1264,72.2564,ok,1428969600,1398100
70,72.2056,72.2956,72.1756,72.2656,ok,1429056000,1022400
71,72.1883,72.2783,72.0983,72.2283,ok,1429142400,1289900
72,72.3094,72.3594,72.0994,72.1494,ok,1429228800,1693900
73,72.2316,72.3016,72.1316,72.2616,ok,1429488000,2463600
74,72.1451,72.2451,72.0851,72.2051,ok,1429574400,1788000
75,71.877,72.167,71.877,72.157,ok,1429660800,1501300
76,72.0154,72.1154,71.8854,71.9354,ok,1429747200,5518000
77,72.1278,72.2078,72.0578,72.1078,ok,1429833600,1597900
78,72.0759,72.1759,72.0159,72.1759,ok,1430092800,1591400
79,71.851,72.061,71.831,72.041,ok,1430179200,1217700
80,71.6261,71.7261,71.5261,71.6361,ok,1430265600,1905200
81,71.704,71.704,71.364,71.484,ok,1430352000,4229900
82,71.4865,71.6165,71.4065,71.5465,ok,1430438400,7173200
83,71.3825,71.6025,71.3625,71.5725,ok,1430697600,1190000
84,71.2699,71.4399,71.1599,71.4399,ok,1430784000,4175700
85,71.0706,71.2506,71.0006,71.2506,ok,1430870400,3938900
86,71.2179,71.2779,71.1079,71.1279,ok,1430956800,3602900
87,71.4085,71.5485,71.3485,71.4785,ok,1431043200,1735900
88,71.0359,71.3759,70.9759,71.3059,ok,1431302400,929200
89,70.9493,71.0993,70.8193,70.9193,ok,1431388800,2139600
90,70.9146,71.2346,70.8746,71.1846,ok,1431475200,2372000
91,71.0532,71.1132,70.9532,71.0032,ok,1431561600,1485300
92,71.3392,71.3792,71.1492,71.1692,ok,1431648000,1402700
93,71.0793,71.3093,71.0693,71.3093,ok,1431907200,3747700
94,70.9233,71.0433,70.8333,70.8733,ok,1431993600,4856500
95,70.9233,71.0333,70.8533,70.9533,ok,1432080000,4097400
96,71.1486,71.1986,70.9885,71.0386,ok,1432166400,2314100
97,71.1052,71.1352,70.9552,71.1052,ok,1432252800,816600
98,71.2785,71.3285,71.0485,71.0785,ok,1432598400,1178300
99,71.3132,71.3532,71.1532,71.2932,ok,1432684800,2564500
100,71.3219,71.3919,71.2619,71.3419,ok,1432771200,1073300
101,71.3479,71.4679,71.2979,71.4279,ok,1432857600,2494300
102,71.1099,71.3999,71.0699,71.3999,ok,1433116800,1362800
103,70.9102,71.0703,70.8402,71.0403,ok,1433203200,1510000
104,70.5977,70.8177,70.5077,70.8077,ok,1433289600,1390000
105,70.7713,70.8713,70.6613,70.6813,ok,1433376000,1111300
106,70.4935,70.6535,70.4035,70.5735,ok,1433462400,4115300
107,70.5803,70.6303,70.5203,70.5603,ok,1433721600,4954500
108,70.3719,70.5219,70.3319,70.5219,ok,1433808000,2883300
109,70.2243,70.3443,70.1743,70.2643,ok,1433894400,1222800
110,70.5542,70.5642,70.2342,70.2942,ok,1433980800,1815900
111,70.5022,70.7222,70.4222,70.4722,ok,1434067200,1785100
112,70.5108,70.7308,70.4908,70.6808,ok,1434326400,2082900
113,70.6932,70.6932,70.5032,70.6132,ok,1434412800,2250700
114,70.7192,70.7392,70.3692,70.6492,ok,1434499200,865700
115,70.6671,70.7171,70.4771,70.6471,ok,1434585600,1210300
116,70.8668,70.8968,70.7568,70.7968,ok,1434672000,1176700
117,70.5282,70.7882,70.5082,70.7182,ok,1434931200,1020000
118,70.3633,70.5533,70.3233,70.3633,ok,1435017600,1096000
119,70.4935,70.5335,70.3835,70.4535,ok,1435104000,6836900
120,70.398,70.518,70.358,70.478,ok,1435190400,2894500
121,70.2677,70.3177,70.1877,70.2777,ok,1435276800,963000
122,70.6237,70.6837,70.3637,70.4737,ok,1435536000,2168400
123,70.5542,70.7742,70.5342,70.5542,ok,1435622400,1547800
124,70.3829,70.5129,70.3129,70.3529,ok,1435708800,5399300
125,70.5569,70.6369,70.5169,70.5169,ok,1435795200,1060100
126,70.8005,70.8605,70.6405,70.8605,ok,1436140800,2210700
127,70.8701,71.1801,70.8701,71.1001,ok,1436227200,4183200
128,71.0702,71.1402,70.9401,71.0201,ok,1436313600,1967800
129,70.8353,70.9953,70.7953,70.9753,ok,1436400000,1670900
130,70.5047,70.6247,70.4147,70.4847,ok,1436486400,2038300
131,70.3394,70.4994,70.3294,70.3494,ok,1436745600,2846500
132,70.4699,70.5399,70.4299,70.4699,ok,1436832000,1567700
133,70.67,70.7,70.42,70.45,ok,1436918400,2631000
134,70.67,70.72,70.49,70.51,ok,1437004800,1063100
135,70.6787,70.7587,70.6387,70.6887,ok,1437091200,807900
136,70.583,70.673,70.533,70.643,ok,1437350400,1026900
137,70.7135,70.7635,70.5335,70.5535,ok,1437436800,1422900
138,70.7396,70.8596,70.7296,70.7496,ok,1437523200,1624100
139,70.9049,70.9449,70.6949,70.7549,ok,1437609600,1178400
140,70.9484,71.0084,70.8984,70.9884,ok,1437696000,804300
141,71.0876,71.0976,70.9876,71.0676,ok,1437955200,2022800
142,70.9658,71.0458,70.9558,71.0058,ok,1438041600,1434700
143,70.9049,70.9849,70.8449,70.9749,ok,1438128000,1020500
144,70.931,70.981,70.841,70.881,ok,1438214400,788000
145,71.1746,71.1946,71.0846,71.1446,ok,1438300800,1589100
146,71.3393,71.3593,71.1493,71.2093,ok,1438560000,2085800
147,71.0953,71.3253,71.0753,71.3053,ok,1438646400,1007300
148,70.9819,71.0319,70.8719,71.0119,ok,1438732800,2097000
149,71.0255,71.1055,70.9755,70.9955,ok,1438819200,1173000
150,71.1737,71.2437,71.0837,71.1337,ok,1438905600,1773800
151,71.0255,71.1655,70.9755,71.1355,ok,1439164800,1173300
152,71.2958,71.4058,71.2258,71.2558,ok,1439251200,1424200
153,71.2696,71.5496,71.2496,71.4396,ok,1439337600,1029700
154,71.1214,71.2914,71.0914,71.2114,ok,1439424000,845500
155,71.0953,71.2153,71.0553,71.0953,ok,1439510400,2279800
156,71.226,71.306,71.186,71.266,ok,1439769600,821900
157,71.0953,71.2053,71.0653,71.1453,ok,1439856000,1083900
158,71.3481,71.3781,70.9281,70.9781,ok,1439942400,1356600
159,71.4091,71.4691,71.3391,71.3691,ok,1440028800,1536900
160,71.5225,71.5725,71.3525,71.4525,ok,1440115200,3459200
161,71.505,71.915,71.415,71.785,ok,1440374400,4751800
162,71.2696,71.4396,71.1196,71.4396,ok,1440460800,5325500
163,70.9645,71.3045,70.9145,71.1045,ok,1440547200,2742500
164,71.0604,71.1704,70.9004,70.9204,ok,1440633600,2671000
165,71.0953,71.2853,71.0553,71.2353,ok,1440720000,2723900
166,70.9993,71.2593,70.9893,71.2393,ok,1440979200,3103700
167,71.1723,71.2423,71.0423,71.0923,ok,1441065600,2577700
168,71.1199,71.2099,71.0399,71.0999,ok,1441152000,1934700
169,71.1723,71.2723,71.1023,71.2223,ok,1441238400,2503000
170,71.347,71.377,71.157,71.287,ok,1441324800,1213800
171,71.1723,71.2223,71.1123,71.2223,ok,1441670400,1194600
