,c,h,l,o,s,t,v
0,50.639,50.639,50.639,50.639,ok,1554249600,100
1,57.104,57.13,56.0,56.0,ok,1556496000,500
2,56.178,56.4,55.91,56.4,ok,1556755200,2000
3,57.156,57.156,56.9,56.9,ok,1556841600,200
4,54.254,54.254,54.254,54.254,ok,1557187200,200
5,53.776,54.25,53.776,54.25,ok,1557273600,1700
6,53.593,53.593,52.68,52.7,ok,1557360000,1400
7,53.75,53.75,52.37,52.84,ok,1557446400,1200
8,50.882,51.75,50.19,50.19,ok,1557792000,2600
9,49.934,49.934,49.02,49.02,ok,1557878400,200
10,50.742,50.98,50.742,50.98,ok,1558310400,200
11,50.789,51.12,50.789,51.06,ok,1558483200,1200
12,50.691,50.691,49.95,50.49,ok,1559779200,600
13,52.161,52.161,52.161,52.161,ok,1561680000,200
14,53.518,53.69,53.518,53.69,ok,1563148800,200
15,53.758,54.35,53.49,54.35,ok,1563235200,400
16,54.663,54.663,54.663,54.663,ok,1563408000,100
17,49.208,49.208,48.63,48.83,ok,1565222400,1000
18,49.02,49.02,49.02,49.02,ok,1565308800,200
19,46.95,46.98,46.93,46.98,ok,1565568000,1800
20,48.085,48.085,48.085,48.085,ok,1565654400,1000
21,44.447,45.92,44.447,45.78,ok,1565740800,1200
22,44.263,44.263,44.263,44.263,ok,1565827200,400
23,46.354,46.37,46.354,46.37,ok,1565913600,100
24,46.21,46.76,46.21,46.75,ok,1566345600,600
25,43.957,46.52,43.957,46.52,ok,1566518400,200
26,45.259,45.259,44.81,44.81,ok,1566777600,300
27,44.667,44.667,44.667,44.667,ok,1566864000,100
28,54.517,54.58,54.46,54.54,ok,1568073600,2100
29,55.99,55.99,54.41,54.66,ok,1568246400,500
30,54.99,54.99,54.97,54.97,ok,1569369600,200
31,55.203,55.203,55.03,55.03,ok,1569542400,100
32,49.426,50.16,49.426,50.16,ok,1569974400,100
33,48.594,49.31,48.594,49.31,ok,1570492800,100
34,49.345,49.58,49.345,49.58,ok,1570579200,100
35,50.611,50.611,50.56,50.56,ok,1570665600,100
36,63.544,63.68,63.5,63.52,ok,1572998400,600
37,64.827,65.22,64.827,65.22,ok,1573084800,900
38,64.985,64.985,64.45,64.45,ok,1573171200,100
39,63.159,63.31,63.01,63.01,ok,1573603200,200
40,63.325,63.325,62.89,63.02,ok,1573689600,1300
41,64.654,64.654,64.0,64.02,ok,1574035200,200
42,65.103,65.19,65.103,65.19,ok,1574294400,100
43,66.273,66.273,65.87,66.059,ok,1574380800,17600
44,67.381,67.59,66.83,66.83,ok,1574640000,700
45,66.848,66.99,66.66,66.99,ok,1574726400,800
46,67.559,67.559,67.5,67.5,ok,1574812800,700
47,67.054,67.054,67.054,67.054,ok,1574985600,100
48,66.233,67.1,66.233,67.1,ok,1575244800,300
49,63.92,63.92,63.15,63.16,ok,1575331200,17500
50,65.335,65.335,65.335,65.335,ok,1575417600,100
51,65.709,65.709,65.709,65.709,ok,1575504000,100
52,67.708,67.708,67.708,67.708,ok,1575590400,100
53,70.721,70.721,69.64,69.64,ok,1576108800,200
54,69.45,69.45,69.45,69.45,ok,1576195200,400
55,69.77,70.101,69.77,70.1,ok,1576713600,200
56,70.227,70.227,70.227,70.227,ok,1577145600,100
57,70.817,70.817,70.817,70.817,ok,1577404800,200
58,70.162,70.76,70.162,70.76,ok,1577664000,200
59,70.248,70.248,70.248,70.248,ok,1577750400,100
60,71.668,71.668,71.668,71.668,ok,1577923200,100
61,69.794,69.794,69.794,69.794,ok,1578009600,100
62,69.273,69.273,69.273,69.273,ok,1578268800,100
63,68.813,68.813,68.813,68.813,ok,1578355200,100
64,69.655,69.655,69.655,69.655,ok,1578441600,100
65,69.694,69.694,69.694,69.694,ok,1578614400,100
66,70.582,70.582,70.582,70.582,ok,1578873600,100
67,70.363,71.41,70.363,71.41,ok,1578960000,200
68,68.467,68.467,68.467,68.467,ok,1580860800,100
69,68.716,68.716,67.76,67.76,ok,1581552000,800
70,67.904,67.904,67.904,67.904,ok,1582070400,100
71,55.738,55.738,55.738,55.738,ok,1582588800,100
72,50.156,50.156,50.156,50.156,ok,1582761600,100
73,50.991,50.991,47.52,47.52,ok,1583107200,200
74,46.424,46.424,46.424,46.424,ok,1583193600,100
75,29.102,29.102,27.955,28.585,ok,1583884800,600
76,22.488,22.488,22.488,22.488,ok,1583971200,100
77,28.378,28.378,26.99,26.99,ok,1584057600,100
78,20.919,20.919,20.12,20.12,ok,1585008000,200
79,25.63,25.63,25.63,25.63,ok,1585180800,200
80,23.628,23.628,23.628,23.628,ok,1585267200,100
81,22.274,23.08,22.274,23.03,ok,1585612800,500
82,22.712,22.712,22.37,22.37,ok,1586131200,300
83,29.35,29.35,29.35,29.35,ok,1588118400,200
84,27.316,27.57,27.3,27.57,ok,1588204800,300
85,24.167,24.62,24.167,24.62,ok,1588809600,200
86,25.385,25.385,25.385,25.385,ok,1588896000,100
87,24.034,24.034,24.034,24.034,ok,1589155200,100
88,22.358,22.358,22.358,22.358,ok,1589241600,100
89,20.351,21.04,20.351,21.04,ok,1589328000,200
90,21.532,21.532,21.06,21.06,ok,1589414400,300
91,20.912,21.23,20.912,21.23,ok,1589500800,300
92,22.524,22.524,22.524,22.524,ok,1589846400,100
93,23.736,25.55,23.468,23.47,ok,1589932800,1500
94,23.331,23.74,23.331,23.74,ok,1590019200,200
95,26.537,26.537,26.537,26.537,ok,1590451200,100
96,30.338,30.338,30.338,30.338,ok,1590537600,100
97,28.386,28.386,28.386,28.386,ok,1590624000,300
98,27.215,27.215,27.17,27.17,ok,1590710400,100
