,c,h,l,o,s,t,v
0,3.28,3.28,3.27,3.27,ok,1420156800,300
1,3.3,3.47,3.18,3.27,ok,1420416000,6800
2,3.33,3.38,3.3,3.38,ok,1420502400,600
3,3.47,3.47,3.47,3.47,ok,1420588800,100
4,3.41,3.46,3.22,3.38,ok,1420675200,1000
5,3.25,3.35,3.12,3.13,ok,1420761600,9000
6,3.3,3.44,3.3,3.44,ok,1421020800,300
7,3.27,3.3,3.15,3.3,ok,1421107200,6100
8,3.27,3.27,3.27,3.27,ok,1421193600,200
9,3.19,3.19,3.19,3.19,ok,1421280000,2400
10,3.38,3.42,3.11,3.25,ok,1421366400,45000
11,3.3,3.42,3.3,3.42,ok,1421712000,9300
12,3.25,3.4,3.25,3.4,ok,1421798400,25400
13,3.18,3.32,3.17,3.24,ok,1421884800,8300
14,3.1,3.34,3.1,3.15,ok,1421971200,5300
15,3.23,3.37,3.0,3.08,ok,1422230400,29100
16,3.19,3.19,3.01,3.03,ok,1422316800,2100
17,3.14,3.14,3.1,3.1,ok,1422403200,200
18,3.06,3.23,3.06,3.23,ok,1422489600,200
19,3.1,3.2,3.1,3.2,ok,1422576000,1500
20,3.21,3.24,3.1,3.17,ok,1422835200,4700
21,3.1,3.3,3.01,3.05,ok,1422921600,9900
22,3.06,3.22,3.06,3.22,ok,1423008000,1700
23,3.21,3.21,3.06,3.06,ok,1423094400,5000
24,3.15,3.2,3.15,3.2,ok,1423180800,2400
25,3.23,3.23,3.21,3.21,ok,1423440000,1000
26,3.19,3.2,3.16,3.19,ok,1423526400,1100
27,3.1,3.19,3.1,3.16,ok,1423612800,400
28,3.12,3.22,3.12,3.22,ok,1423699200,2100
29,3.12,3.22,3.12,3.22,ok,1423785600,4000
30,3.21,3.22,3.11,3.22,ok,1424131200,3100
31,3.1,3.21,3.03,3.09,ok,1424217600,9600
32,3.19,3.2,3.11,3.11,ok,1424304000,5500
33,3.1,3.18,3.0,3.13,ok,1424390400,11700
34,3.09,3.19,3.0,3.06,ok,1424649600,3500
35,3.12,3.16,3.02,3.02,ok,1424736000,2300
36,3.07,3.07,3.02,3.03,ok,1424822400,1500
37,3.13,3.18,3.13,3.18,ok,1424908800,600
38,2.98,3.06,2.91,3.03,ok,1424995200,3800
39,3.06,3.12,2.98,3.05,ok,1425254400,1800
40,3.0,3.1,2.86,3.07,ok,1425340800,3300
41,2.91,3.1,2.91,3.1,ok,1425427200,700
42,2.85,3.1,2.79,3.1,ok,1425513600,8400
43,3.07,3.07,2.89,2.9,ok,1425600000,3300
44,2.92,3.01,2.91,3.01,ok,1425859200,2000
45,3.0,3.0,2.8,2.92,ok,1425945600,4600
46,2.92,2.99,2.85,2.94,ok,1426032000,1200
47,2.82,3.0,2.81,2.81,ok,1426118400,500
48,2.88,2.98,2.81,2.81,ok,1426204800,1600
49,2.82,2.96,2.81,2.9,ok,1426464000,4100
50,2.81,2.94,2.81,2.9,ok,1426550400,2500
51,2.89,2.92,2.7,2.92,ok,1426636800,3400
52,2.45,2.92,2.4,2.83,ok,1426723200,41500
53,2.41,2.76,2.4,2.45,ok,1426809600,12700
54,2.49,2.6,2.43,2.6,ok,1427068800,3100
