,c,h,l,o,s,t,v
0,14.3719,14.3719,14.3719,14.3719,ok,1473724800,300
1,14.3135,14.3335,14.3135,14.3335,ok,1473984000,1500
2,14.4498,14.4598,14.4258,14.4298,ok,1474243200,700
3,14.5764,14.5764,14.5764,14.5764,ok,1474329600,300
4,14.9172,14.9872,14.8872,14.9772,ok,1474502400,4000
5,14.8685,14.9285,14.8385,14.9285,ok,1474588800,9500
6,14.6358,14.7548,14.6358,14.7548,ok,1474848000,2900
7,14.8101,16.2801,14.7171,14.7701,ok,1474934400,3600
8,14.9075,14.9075,14.8075,14.8875,ok,1475020800,3000
9,14.8588,14.9088,14.8488,14.9088,ok,1475107200,3900
10,14.9075,14.9075,14.7975,14.8775,ok,1475193600,4100
11,14.8559,14.9589,14.7889,14.9589,ok,1475452800,3600
12,14.849,14.989,14.849,14.989,ok,1475539200,10900
13,14.9854,15.0054,14.9754,14.9754,ok,1475625600,1500
14,14.9367,14.9967,14.9017,14.9967,ok,1475712000,3800
15,14.9464,14.9564,14.8964,14.9464,ok,1475798400,8800
16,15.0165,15.0445,15.0105,15.0345,ok,1476057600,11000
17,14.8977,15.0577,14.8977,15.0577,ok,1476144000,6200
18,14.8393,14.9093,14.7873,14.9093,ok,1476230400,5500
19,14.7225,14.7225,14.6025,14.6825,ok,1476316800,6400
20,14.7225,14.7825,14.7225,14.7725,ok,1476403200,3200
21,14.7711,14.8111,14.7511,14.7811,ok,1476662400,10700
22,14.888,14.968,14.879,14.968,ok,1476748800,3500
23,14.8588,14.9588,14.8488,14.9588,ok,1476835200,6300
24,14.8977,14.8977,14.8477,14.8577,ok,1476921600,8900
25,14.8977,14.8977,14.8807,14.8807,ok,1477008000,500
26,14.8977,15.0377,14.8777,15.0377,ok,1477267200,12500
27,14.7711,14.8511,14.7511,14.8511,ok,1477353600,15100
28,14.7711,14.7811,14.7311,14.7581,ok,1477440000,4100
29,14.6056,14.7056,14.6056,14.7056,ok,1477526400,22100
30,14.664,14.694,14.624,14.664,ok,1477612800,3600
31,14.6251,14.7051,14.6251,14.7051,ok,1477872000,2600
32,14.5569,14.6469,14.5569,14.6469,ok,1477958400,5700
33,14.4206,14.5206,14.4206,14.5206,ok,1478044800,10200
34,14.479,14.599,14.44,14.599,ok,1478131200,3200
35,14.4304,14.5004,14.3504,14.5004,ok,1478217600,7200
36,14.5861,14.6761,14.5811,14.6761,ok,1478476800,5800
37,14.6543,14.6643,14.5743,14.5943,ok,1478563200,3200
38,14.664,14.684,14.404,14.404,ok,1478649600,14800
39,14.7906,14.8506,14.6806,14.8006,ok,1478736000,2300
40,14.7711,14.7911,14.7501,14.7711,ok,1478822400,4900
41,14.8296,14.8296,14.7496,14.7596,ok,1479081600,5500
42,14.8685,14.8685,14.7785,14.7785,ok,1479168000,3100
