,c,h,l,o,s,t,v
0,11.0166,11.1466,11.0166,11.0466,ok,1420156800,10700
1,11.1093,11.1093,10.9993,10.9993,ok,1420416000,7700
2,11.1402,11.1802,11.0802,11.0802,ok,1420502400,7300
3,11.3101,11.3101,11.1401,11.1401,ok,1420588800,10200
4,11.202,11.232,11.202,11.232,ok,1420675200,400
5,11.2174,11.2274,11.1274,11.1274,ok,1420761600,900
6,11.2638,11.2738,11.2338,11.2638,ok,1421020800,2600
7,11.3468,11.5568,11.2568,11.2568,ok,1421107200,12400
8,11.3934,11.4134,11.2834,11.4134,ok,1421193600,1400
9,11.4012,11.4612,11.3912,11.4012,ok,1421280000,6500
10,11.2847,11.4347,11.2847,11.4347,ok,1421366400,8200
11,11.3391,11.4891,11.2591,11.2691,ok,1421712000,5600
12,11.2537,11.3637,11.2537,11.3637,ok,1421798400,1800
13,11.2615,11.3215,11.2415,11.2515,ok,1421884800,7100
14,11.3391,11.3691,11.2291,11.2391,ok,1421971200,7200
15,11.3003,11.3503,11.2203,11.3403,ok,1422230400,7700
16,11.3779,11.3779,11.2979,11.3279,ok,1422316800,1100
17,11.44,11.44,11.37,11.37,ok,1422403200,4200
18,11.471,11.471,11.401,11.441,ok,1422489600,5200
19,11.5021,11.5621,11.4421,11.5621,ok,1422576000,7100
20,11.5176,11.6076,11.3276,11.5476,ok,1422835200,5800
21,11.5176,11.6076,11.4076,11.5376,ok,1422921600,13000
22,11.5098,11.5198,11.3398,11.5098,ok,1423008000,9300
23,11.4244,11.6944,11.4044,11.6044,ok,1423094400,5800
24,11.4089,11.4089,11.3589,11.4089,ok,1423180800,2100
25,11.3235,11.4235,11.2235,11.4135,ok,1423440000,13900
26,11.2459,11.3259,11.2459,11.3259,ok,1423526400,4000
27,11.189,11.309,11.179,11.309,ok,1423612800,4400
28,11.1734,11.2434,11.1434,11.2434,ok,1423699200,5400
29,11.0565,11.2065,11.0565,11.1965,ok,1423785600,6300
30,10.9239,11.0939,10.8739,11.0739,ok,1424131200,3300
31,11.1033,11.1033,10.9133,10.9133,ok,1424217600,2100
32,11.0643,11.1443,10.8743,10.9843,ok,1424304000,3300
33,11.15,11.42,11.11,11.11,ok,1424390400,10400
34,11.2046,11.3546,11.1846,11.1846,ok,1424649600,1700
35,11.2046,11.2746,11.1946,11.2746,ok,1424736000,3100
36,11.1422,11.2222,11.1422,11.2222,ok,1424822400,8100
37,11.2592,11.2592,11.0992,11.1892,ok,1424908800,11900
38,11.2592,11.3092,11.1692,11.3092,ok,1424995200,4500
39,11.1578,11.2278,11.1478,11.2178,ok,1425254400,6400
40,11.1266,11.2366,11.1266,11.2366,ok,1425340800,1500
41,11.1812,11.2512,11.0912,11.0912,ok,1425427200,2200
42,11.228,11.228,11.118,11.118,ok,1425513600,9000
43,11.1344,11.2144,11.0344,11.2144,ok,1425600000,15400
44,11.2046,11.2046,11.1446,11.1446,ok,1425859200,4000
45,11.3372,11.3372,11.1172,11.2172,ok,1425945600,5400
46,11.1781,11.3481,11.1581,11.3481,ok,1426032000,3600
47,11.1547,11.1947,11.0247,11.1747,ok,1426118400,10200
48,11.0998,11.1798,11.0798,11.1798,ok,1426204800,4800
49,11.1625,11.1625,11.0725,11.0725,ok,1426464000,3400
50,11.045,11.135,11.015,11.135,ok,1426550400,3000
51,11.2878,11.2878,11.0478,11.0578,ok,1426636800,21300
52,11.2016,11.3116,11.2016,11.3116,ok,1426723200,1900
53,11.3426,11.3526,11.1126,11.2126,ok,1426809600,7100
54,11.3661,11.4361,11.3561,11.3861,ok,1427068800,3900
55,11.3505,11.4605,11.3505,11.4605,ok,1427155200,5800
56,11.3505,11.4205,11.2905,11.4005,ok,1427241600,3000
57,11.3583,11.3783,11.3583,11.3783,ok,1427328000,1100
58,11.2643,11.4043,11.2643,11.3943,ok,1427414400,2900
59,11.2016,11.3616,11.2016,11.3316,ok,1427673600,2100
60,11.3583,11.4183,11.1083,11.2083,ok,1427760000,4500
61,11.2956,11.4356,11.1556,11.3556,ok,1427846400,4800
62,11.2565,11.3265,11.1365,11.2665,ok,1427932800,2200
63,11.2878,11.3578,11.2378,11.3578,ok,1428278400,5000
64,11.3348,11.3948,11.1648,11.3948,ok,1428364800,9900
65,11.374,11.374,11.284,11.334,ok,1428451200,2500
66,11.3505,11.3905,11.3205,11.3905,ok,1428537600,17200
67,11.3426,11.3926,11.3126,11.3126,ok,1428624000,1000
68,11.3088,11.4088,11.3088,11.4088,ok,1428883200,2000
69,11.3167,11.5067,11.2867,11.3367,ok,1428969600,10600
70,11.2222,11.4322,11.2222,11.3122,ok,1429056000,10500
71,11.3245,11.3945,11.2245,11.2245,ok,1429142400,800
72,11.3088,11.4488,11.2188,11.4488,ok,1429228800,3000
73,11.3245,11.4345,11.2645,11.2645,ok,1429488000,1700
74,11.356,11.426,11.276,11.276,ok,1429574400,1500
75,11.3324,11.4324,11.3124,11.3124,ok,1429660800,3100
76,11.2931,11.3931,11.2931,11.3931,ok,1429747200,1700
77,11.3088,11.3888,11.3088,11.3588,ok,1429833600,3800
78,11.2458,11.3858,11.2358,11.3158,ok,1430092800,5800
