,c,h,l,o,s,t,v
0,19.1895,19.4395,18.6895,19.2495,ok,1420156800,1378800
1,18.6909,19.1009,18.5709,19.0809,ok,1420416000,873600
2,18.2706,18.8606,18.0006,18.7106,ok,1420502400,1172200
3,18.7202,18.7603,18.3202,18.3702,ok,1420588800,993600
4,19.5707,19.6107,18.8507,18.9207,ok,1420675200,620600
5,18.818,19.408,18.398,19.128,ok,1420761600,2439900
6,18.9255,19.0555,18.6155,18.8455,ok,1421020800,736700
7,19.0037,19.3637,18.7737,19.0637,ok,1421107200,545900
8,18.906,19.006,18.606,18.766,ok,1421193600,277200
9,17.9382,19.0182,17.8782,18.9682,ok,1421280000,1205600
10,18.0164,18.0964,17.8264,17.8264,ok,1421366400,1533400
11,18.1239,18.3039,17.8039,17.9739,ok,1421712000,610600
12,17.9871,18.2371,17.9271,18.0771,ok,1421798400,434800
13,18.0653,18.1553,17.7453,18.0253,ok,1421884800,685200
14,18.0848,18.2048,17.8748,17.9948,ok,1421971200,1788200
15,18.2119,18.3419,17.8419,18.0019,ok,1422230400,1145500
16,18.1924,18.3324,17.8824,18.0724,ok,1422316800,806700
17,18.3097,18.8697,18.1697,18.3097,ok,1422403200,556000
18,18.8278,18.8378,18.0378,18.2378,ok,1422489600,460600
19,18.4368,18.9168,18.3368,18.7568,ok,1422576000,671800
20,18.4465,18.6265,18.2565,18.4665,ok,1422835200,755100
21,18.8962,18.9762,18.4762,18.5562,ok,1422921600,928000
22,18.7887,19.1187,18.7487,18.8687,ok,1423008000,543200
23,18.9646,19.2646,18.8346,18.8946,ok,1423094400,463100
24,18.5443,19.0943,18.5443,19.0243,ok,1423180800,436400
25,18.5443,18.6243,18.3443,18.4043,ok,1423440000,377200
26,18.339,18.359,17.889,18.159,ok,1423526400,1095600
27,18.3097,18.3897,18.0997,18.3797,ok,1423612800,695100
28,18.3683,18.4583,18.2883,18.4283,ok,1423699200,699200
29,18.3488,18.4088,18.2588,18.3688,ok,1423785600,940300
30,18.3195,18.4595,18.2195,18.3095,ok,1424131200,977900
31,18.7398,18.8598,18.2398,18.3598,ok,1424217600,2119200
32,18.9353,19.0153,18.5153,18.6353,ok,1424304000,725800
33,18.3488,19.0288,17.8988,18.1588,ok,1424390400,1654700
34,18.6518,18.8018,18.0818,18.4318,ok,1424649600,1539900
35,18.5541,18.8941,18.5441,18.6941,ok,1424736000,948300
36,18.2315,18.6915,18.1715,18.5415,ok,1424822400,737600
37,18.5932,18.7032,18.0432,18.1032,ok,1424908800,1742100
38,18.6029,18.8429,18.5429,18.7529,ok,1424995200,836100
39,18.5736,18.7136,18.2836,18.3536,ok,1425254400,1008300
40,18.4074,18.6174,18.2774,18.4574,ok,1425340800,1724100
41,18.4661,18.4861,18.0361,18.1661,ok,1425427200,894900
42,18.7105,18.7705,18.3705,18.5405,ok,1425513600,724000
43,18.3977,18.7277,18.3177,18.6577,ok,1425600000,670300
44,18.6714,18.6914,18.2314,18.3814,ok,1425859200,695900
45,18.3585,18.5885,18.2985,18.3785,ok,1425945600,1179800
46,18.3977,18.5077,18.1177,18.4277,ok,1426032000,723000
47,18.7398,18.7698,18.3298,18.4198,ok,1426118400,503800
48,18.4856,18.7556,18.3056,18.6756,ok,1426204800,713000
49,18.8669,19.0069,18.5269,18.5669,ok,1426464000,717100
50,18.5932,18.8332,18.4132,18.8332,ok,1426550400,701000
51,19.0917,19.1017,18.3217,18.5817,ok,1426636800,1230800
52,19.2775,19.2975,18.8175,19.0875,ok,1426723200,641200
53,18.7496,19.4896,18.5596,19.3796,ok,1426809600,1066500
54,18.7105,18.8705,18.4305,18.6605,ok,1427068800,292000
55,18.339,18.819,17.529,18.749,ok,1427155200,546400
56,18.0457,18.4757,17.9857,18.4057,ok,1427241600,874300
57,17.8404,18.1304,17.7404,18.0204,ok,1427328000,447500
58,17.8893,18.0093,17.6193,17.8593,ok,1427414400,721100
59,18.3292,18.3692,17.7392,17.9992,ok,1427673600,1581800
60,18.0555,18.3155,17.8755,18.3055,ok,1427760000,708200
61,18.1924,18.2624,17.6024,18.0824,ok,1427846400,1222200
62,18.4368,18.5668,18.1168,18.1868,ok,1427932800,765400
63,19.6978,19.8578,18.8078,19.0978,ok,1428278400,1736600
64,19.4045,19.9045,19.1845,19.7245,ok,1428364800,1060200
65,19.1308,19.5408,19.0908,19.4808,ok,1428451200,976300
66,19.121,19.341,18.881,19.111,ok,1428537600,380100
67,19.7271,19.7571,18.8171,19.1871,ok,1428624000,926000
68,19.3361,19.7561,19.2561,19.7561,ok,1428883200,517400
69,19.2286,19.4986,19.0286,19.3286,ok,1428969600,557000
70,19.4827,19.5527,19.2327,19.3127,ok,1429056000,417400
71,19.4827,19.5427,19.1927,19.3927,ok,1429142400,516100
72,19.1699,19.5199,19.0299,19.3499,ok,1429228800,365800
73,19.1797,19.5097,19.1097,19.2497,ok,1429488000,255700
74,19.2872,19.4772,19.0372,19.2872,ok,1429574400,802200
75,18.9451,19.5651,18.8051,19.1951,ok,1429660800,680400
76,18.8864,19.1264,18.7764,18.8764,ok,1429747200,200900
77,19.0331,19.1631,18.7331,18.9131,ok,1429833600,561900
78,18.5638,19.2638,18.4838,19.1238,ok,1430092800,440000
79,18.8864,18.9164,18.4664,18.5864,ok,1430179200,589200
80,18.7789,18.9189,18.4189,18.7889,ok,1430265600,496200
81,18.5345,18.9245,18.4145,18.7245,ok,1430352000,611500
82,19.1015,19.1315,18.5615,18.6215,ok,1430438400,696000
83,19.0428,19.3028,18.9228,19.1528,ok,1430697600,575300
84,18.7593,19.0493,18.4293,18.9893,ok,1430784000,996000
85,19.3361,19.3961,18.4861,18.8861,ok,1430870400,1353200
86,20.7536,20.7836,19.0736,19.7536,ok,1430956800,1356800
87,20.9784,21.1584,20.1584,20.7684,ok,1431043200,1204500
88,20.5678,21.0178,20.5578,20.9978,ok,1431302400,1038000
89,20.431,20.761,20.281,20.401,ok,1431388800,633000
90,20.4114,20.5714,20.2714,20.5314,ok,1431475200,369000
91,20.6949,20.7049,20.2749,20.5149,ok,1431561600,334500
92,21.0371,21.1171,20.6371,20.7271,ok,1431648000,710200
93,21.3597,21.4197,20.8897,21.0297,ok,1431907200,547400
94,21.3303,21.4503,21.0303,21.3103,ok,1431993600,428300
95,21.7116,21.8216,21.0716,21.3316,ok,1432080000,556600
96,18.6127,19.6027,18.4127,19.5627,ok,1432166400,6654100
97,19.1601,19.2601,18.4701,18.6201,ok,1432252800,3801900
98,19.3166,19.3166,18.7766,19.0966,ok,1432598400,863700
99,19.4827,19.6827,19.2327,19.4427,ok,1432684800,1303800
100,19.4534,19.6034,19.2834,19.4734,ok,1432771200,486200
101,19.3948,19.5748,19.2548,19.4248,ok,1432857600,1124900
102,19.3948,19.7748,19.3548,19.5148,ok,1433116800,893400
103,19.6,19.71,19.29,19.36,ok,1433203200,649100
104,19.9911,20.0711,19.6011,19.7211,ok,1433289600,931400
105,20.1279,20.2079,19.8779,19.9279,ok,1433376000,1028300
106,20.0791,20.1491,19.7691,20.1491,ok,1433462400,834300
107,19.776,20.126,19.646,20.076,ok,1433721600,627200
108,19.8738,19.9438,19.6138,19.7938,ok,1433808000,521800
109,20.0106,20.0406,19.7906,19.8906,ok,1433894400,578400
110,20.5287,20.5287,19.9887,20.0387,ok,1433980800,619000
111,20.0497,20.5097,20.0297,20.5097,ok,1434067200,971900
112,19.7956,19.9456,19.6256,19.8556,ok,1434326400,578700
113,20.0986,20.2586,19.7286,19.7986,ok,1434412800,453700
114,20.2159,20.3759,20.0159,20.1059,ok,1434499200,425100
115,20.4212,20.5912,20.2512,20.3612,ok,1434585600,516500
116,20.3919,20.5619,20.2419,20.4919,ok,1434672000,886900
117,20.6558,20.7458,20.4058,20.5058,ok,1434931200,560000
118,20.7047,20.7847,20.5247,20.6447,ok,1435017600,290800
119,20.3234,20.6934,20.2934,20.6834,ok,1435104000,333800
120,20.3137,20.4337,20.1837,20.3237,ok,1435190400,296900
121,20.4212,20.5412,20.1812,20.3612,ok,1435276800,929700
122,19.9129,20.3829,19.8929,20.2229,ok,1435536000,658700
123,19.952,20.182,19.942,20.142,ok,1435622400,651100
124,20.0986,20.3986,19.8386,20.1086,ok,1435708800,873500
125,19.9129,20.1529,19.7229,20.1529,ok,1435795200,299800
126,20.0204,20.1304,19.6704,19.7504,ok,1436140800,693900
127,20.1866,20.1966,19.6666,20.0166,ok,1436227200,463000
128,19.6294,20.0894,19.6094,20.0694,ok,1436313600,431200
129,19.7467,19.9267,19.5667,19.8967,ok,1436400000,355500
130,20.0693,20.1193,19.6893,19.9593,ok,1436486400,260800
131,20.4896,20.5096,19.9796,20.1696,ok,1436745600,323500
132,20.8611,20.8811,20.4711,20.5511,ok,1436832000,268200
133,20.5385,21.1585,20.4685,21.0085,ok,1436918400,331300
134,20.6851,20.6951,20.4151,20.6851,ok,1437004800,527900
135,20.6265,20.7365,20.5165,20.6065,ok,1437091200,271500
136,20.4994,20.7094,20.3994,20.6994,ok,1437350400,296400
137,20.2746,20.6046,20.2446,20.4646,ok,1437436800,719200
138,20.8513,20.8713,20.2113,20.2513,ok,1437523200,681700
139,20.9295,20.9995,20.7795,20.9595,ok,1437609600,379600
140,20.5874,21.0374,20.5274,20.8474,ok,1437696000,393100
141,20.2355,20.5255,20.1155,20.5255,ok,1437955200,356800
142,20.1279,20.4879,19.8979,20.3879,ok,1438041600,1441600
143,20.0497,20.2897,19.9697,20.1297,ok,1438128000,615900
144,20.2257,20.5057,19.9957,20.0057,ok,1438214400,1389500
145,20.5776,20.7576,20.1776,20.1776,ok,1438300800,1157100
146,20.9784,20.9984,20.5184,20.6184,ok,1438560000,1032100
147,20.6851,20.9851,20.4451,20.8851,ok,1438646400,1519600
148,20.7731,21.2531,20.6031,20.8231,ok,1438732800,798600
149,19.5707,21.0507,19.0307,21.0507,ok,1438819200,1341200
150,19.3752,20.1752,19.0752,19.5752,ok,1438905600,547500
151,19.7271,19.7771,19.3871,19.3871,ok,1439164800,522300
152,19.4534,19.8334,19.1234,19.4534,ok,1439251200,798500
153,19.5707,19.6407,19.0507,19.3207,ok,1439337600,829500
154,19.6783,19.7783,19.4783,19.4983,ok,1439424000,457600
155,19.688,19.748,19.328,19.628,ok,1439510400,496500
156,19.9129,19.9429,19.6129,19.6829,ok,1439769600,370700
157,19.6685,20.1185,19.5385,19.9285,ok,1439856000,433700
158,19.6489,19.7189,19.2489,19.5289,ok,1439942400,581200
159,19.0722,19.7822,19.0622,19.5222,ok,1440028800,668000
160,18.642,19.082,18.602,19.042,ok,1440115200,404700
161,17.9089,18.1489,17.4189,17.8489,ok,1440374400,861600
162,17.7427,18.4827,17.7027,18.4827,ok,1440460800,661300
163,18.1044,18.3944,17.7544,18.1144,ok,1440547200,697800
164,18.3097,18.4597,17.9497,18.1797,ok,1440633600,685800
165,18.163,18.283,17.863,18.203,ok,1440720000,666700
166,17.9675,18.2975,17.8375,18.2075,ok,1440979200,383200
167,17.4299,17.7799,17.3299,17.6599,ok,1441065600,591000
168,17.6938,17.8838,17.3138,17.6238,ok,1441152000,931000
169,17.5961,17.7961,17.5461,17.6461,ok,1441238400,755900
170,17.4103,17.6703,17.2803,17.4803,ok,1441324800,428200
171,17.6743,17.7643,17.4843,17.7643,ok,1441670400,740200
172,17.7134,17.9234,17.4934,17.6934,ok,1441756800,1279300
173,17.6156,17.8256,17.5556,17.7356,ok,1441843200,513400
174,17.6938,17.7338,17.3438,17.5638,ok,1441929600,602000
