,c,h,l,o,s,t,v
0,23.3803,23.3803,23.3803,23.3803,ok,1539907200,100
1,23.3427,23.3427,23.3327,23.3327,ok,1542153600,201
2,23.4041,23.4041,23.4041,23.4041,ok,1544140800,161
3,23.3711,23.3711,23.3711,23.3711,ok,1544400000,82
4,23.4042,23.4542,23.4042,23.4442,ok,1544659200,1775
5,23.4184,23.4494,23.4184,23.4494,ok,1544745600,100
6,23.5083,23.5533,23.5083,23.5533,ok,1545091200,100
7,23.4752,23.5202,23.4752,23.5202,ok,1545264000,100
8,23.5491,23.6031,23.5491,23.592,ok,1546387200,6075
9,23.5624,23.5725,23.5624,23.5725,ok,1546473600,227
10,23.6911,23.7561,23.6911,23.7561,ok,1546560000,2808
11,23.7721,23.7721,23.7721,23.7721,ok,1546905600,141
12,23.8769,23.937,23.8169,23.827,ok,1546992000,6715
13,23.8319,23.8492,23.8242,23.8242,ok,1547078400,2809
14,23.8007,23.8507,23.8007,23.8407,ok,1547424000,1918
15,23.8388,23.8388,23.8388,23.8388,ok,1547510400,53
16,23.9437,23.9636,23.8938,23.9537,ok,1547769600,547
17,23.958,24.023,23.958,24.013,ok,1548115200,8719
18,24.1159,24.1159,24.1059,24.1059,ok,1548288000,1354
19,24.0822,24.0874,24.0822,24.0874,ok,1548374400,992
20,24.092,24.117,24.0806,24.0806,ok,1548633600,424
21,24.0394,24.0594,24.0394,24.0594,ok,1548720000,118
22,24.1638,24.1942,24.0538,24.0538,ok,1548806400,3015
23,24.2403,24.2893,24.2403,24.2545,ok,1548979200,495
24,24.3121,24.3121,24.3121,24.3121,ok,1549324800,127
25,24.2643,24.2643,24.2437,24.2475,ok,1549411200,3376
26,24.2164,24.2414,24.2164,24.2414,ok,1549584000,888
27,24.1686,24.1686,24.1686,24.1686,ok,1549843200,98
28,24.2403,24.2403,24.2403,24.2403,ok,1549929600,600
29,24.2451,24.2451,24.2451,24.2451,ok,1550016000,98
30,24.2978,24.2978,24.2978,24.2978,ok,1550102400,98
31,24.2786,24.2786,24.2747,24.2747,ok,1550188800,104
32,24.3247,24.3697,24.3247,24.3647,ok,1550534400,12052
33,24.2575,24.3275,24.2575,24.3175,ok,1550620800,12054
34,24.3098,24.4453,24.3098,24.4453,ok,1550707200,1100
35,24.3199,24.3199,24.3049,24.3049,ok,1550793600,630
36,24.3535,24.3535,24.3535,24.3535,ok,1551052800,62
37,24.4063,24.4063,24.3963,24.3963,ok,1551139200,269
38,24.3921,24.3921,24.3921,24.3921,ok,1551225600,4
39,24.3816,24.4024,24.3816,24.4024,ok,1551312000,512
40,24.3679,24.4129,24.3679,24.4129,ok,1551398400,284
41,24.4166,24.4309,24.4166,24.4209,ok,1551657600,2928
