,c,h,l,o,s,t,v
0,17.0007,17.3107,16.8607,17.2107,ok,1420156800,13800
1,17.494,17.614,17.154,17.154,ok,1420416000,47300
2,17.1504,17.6005,17.0305,17.5704,ok,1420502400,39500
3,17.1152,17.3352,17.1052,17.3252,ok,1420588800,16200
4,17.2297,17.3897,17.2197,17.2197,ok,1420675200,10100
5,17.2385,17.3585,16.9785,17.2185,ok,1420761600,16600
6,17.5468,17.6068,17.1868,17.3068,ok,1421020800,27000
7,17.5645,18.1445,17.4445,17.5545,ok,1421107200,28800
8,17.8023,17.9423,17.0423,17.3523,ok,1421193600,17100
9,17.5204,17.8404,17.2704,17.8404,ok,1421280000,18500
10,17.4323,17.8123,17.3223,17.3223,ok,1421366400,10300
11,17.6085,17.7185,17.4585,17.6485,ok,1421712000,25200
12,17.5116,17.6616,17.3816,17.6216,ok,1421798400,15300
13,18.4718,18.6418,17.2718,17.8518,ok,1421884800,146000
14,19.0355,19.1555,18.4055,18.5355,ok,1421971200,48900
15,20.1894,20.8494,19.0294,19.1494,ok,1422230400,97800
16,19.52,20.42,19.36,20.42,ok,1422316800,43100
17,19.3614,19.7314,19.2614,19.4614,ok,1422403200,47100
18,19.7931,20.0131,19.2231,19.4031,ok,1422489600,44500
19,19.5728,20.2128,19.4228,19.8828,ok,1422576000,30100
20,20.9734,21.1634,19.7334,19.8934,ok,1422835200,133200
21,21.1496,21.3896,20.9996,21.1196,ok,1422921600,81900
22,20.4801,21.2301,19.9801,20.6501,ok,1423008000,95200
23,20.4713,20.9213,20.3313,20.3313,ok,1423094400,63000
24,20.8589,21.0989,20.1889,20.3389,ok,1423180800,44600
25,21.4931,21.5731,20.8231,21.0431,ok,1423440000,190000
26,22.5678,22.8078,21.3178,21.4478,ok,1423526400,83400
27,22.7445,22.7545,22.5145,22.5145,ok,1423612800,26500
28,22.2055,23.0755,21.9555,22.8255,ok,1423699200,57200
29,22.6208,22.7208,22.1108,22.3008,ok,1423785600,48200
30,22.6385,22.6685,21.7985,22.6685,ok,1424131200,62200
31,22.6296,23.0096,22.6296,22.6696,ok,1424217600,57400
32,23.8314,23.8314,21.9414,22.5814,ok,1424304000,59900
33,22.3027,23.9627,22.0927,23.7627,ok,1424390400,61900
34,22.3469,22.8569,21.3569,22.2969,ok,1424649600,61800
35,22.3292,22.7492,21.7392,22.2692,ok,1424736000,33600
36,22.4087,22.7487,21.9687,22.1087,ok,1424822400,36300
37,22.4794,22.6594,22.3094,22.4994,ok,1424908800,32100
38,22.718,22.958,22.168,22.298,ok,1424995200,55600
39,22.4264,22.7164,22.1664,22.5464,ok,1425254400,63800
40,22.771,22.921,21.761,22.231,ok,1425340800,93500
41,22.8064,22.9364,22.0264,22.6064,ok,1425427200,49200
42,22.9036,23.1136,22.5936,22.7636,ok,1425513600,31800
43,22.9654,22.9754,22.7054,22.9254,ok,1425600000,47600
44,22.8859,23.2059,22.3759,22.7859,ok,1425859200,39100
45,22.7445,22.8645,22.5045,22.7545,ok,1425945600,27800
46,22.3645,22.8045,22.0945,22.6345,ok,1426032000,27500
47,22.6473,22.7573,21.0573,21.1073,ok,1426118400,29300
48,22.2232,22.8232,22.1132,22.8232,ok,1426204800,18800
49,21.7283,22.1583,21.2483,22.1483,ok,1426464000,57500
50,22.3911,22.4611,21.2611,21.7011,ok,1426550400,36700
51,22.3292,22.5992,22.0592,22.3592,ok,1426636800,23700
52,22.5501,23.3601,22.1301,22.1601,ok,1426723200,198600
53,24.0258,24.4958,22.1058,22.5258,ok,1426809600,98900
54,24.768,25.268,23.648,24.108,ok,1427068800,69600
55,24.4499,25.3199,24.3599,24.8299,ok,1427155200,50100
56,24.0169,24.8769,23.8969,24.6369,ok,1427241600,48400
57,24.2202,24.4902,23.7702,23.9502,ok,1427328000,57600
58,24.6266,24.9366,23.8666,24.2366,ok,1427414400,26600
59,24.7592,25.0392,24.6592,24.7392,ok,1427673600,31800
60,25.201,26.081,24.841,24.851,ok,1427760000,77600
61,25.0066,25.5966,24.7766,25.4666,ok,1427846400,65300
62,25.3777,25.6977,24.7377,24.7377,ok,1427932800,28600
63,25.9432,26.4632,24.9632,25.3232,ok,1428278400,50100
