,c,h,l,o,s,t,v
0,25.4807,25.5207,25.4607,25.5007,ok,1577750400,121800
1,25.5392,25.5392,25.4592,25.5392,ok,1577923200,281200
2,25.6075,25.6075,25.4975,25.5175,ok,1578009600,146700
3,25.549,25.559,25.509,25.559,ok,1578268800,136100
4,25.5587,25.5587,25.5087,25.5487,ok,1578355200,102000
5,25.5587,25.5987,25.5187,25.5987,ok,1578441600,183100
6,25.5929,25.6179,25.5679,25.6179,ok,1578528000,166500
7,25.588,25.608,25.578,25.608,ok,1578614400,268700
8,25.6173,25.6173,25.5973,25.6173,ok,1578873600,82300
9,25.6466,25.6466,25.5966,25.6166,ok,1578960000,121400
10,25.6417,25.6467,25.6167,25.6467,ok,1579046400,220900
11,25.6368,25.6668,25.6268,25.6468,ok,1579132800,135900
12,25.6563,25.7163,25.6263,25.6363,ok,1579219200,204300
13,25.624,25.659,25.619,25.659,ok,1579564800,139500
14,25.6387,25.6587,25.6177,25.6487,ok,1579651200,175100
15,25.6093,25.6293,25.5643,25.6293,ok,1579737600,137600
16,25.5505,25.6305,25.5405,25.6205,ok,1579824000,176900
17,25.4525,25.4925,25.3625,25.4925,ok,1580083200,117000
18,25.5603,25.5603,25.4803,25.5203,ok,1580169600,283300
19,25.5505,25.5805,25.5005,25.5605,ok,1580256000,107800
20,25.5113,25.5313,25.4613,25.4613,ok,1580342400,125900
21,25.4819,25.5319,25.4519,25.5119,ok,1580428800,102100
22,25.5211,25.5211,25.4411,25.5011,ok,1580688000,364000
23,25.6093,25.6093,25.5033,25.5693,ok,1580774400,114800
24,25.6289,25.6289,25.5589,25.5889,ok,1580860800,118700
25,25.6093,25.6393,25.5593,25.6393,ok,1580947200,192100
26,25.5995,25.6195,25.5795,25.6195,ok,1581033600,125500
27,25.6387,25.6387,25.5987,25.5987,ok,1581292800,76700
28,25.6779,25.6779,25.6479,25.6479,ok,1581379200,108600
29,25.7465,25.7865,25.6915,25.7365,ok,1581465600,193100
30,25.7465,25.7765,25.7225,25.7765,ok,1581552000,80600
31,25.7367,25.7667,25.7367,25.7667,ok,1581638400,141800
32,25.7269,25.7569,25.7119,25.7569,ok,1581984000,170900
33,25.7367,25.7767,25.7247,25.7467,ok,1582070400,137400
34,25.7759,25.7959,25.7359,25.7859,ok,1582156800,442800
35,25.7465,25.7765,25.6965,25.7765,ok,1582243200,215000
36,25.6127,25.6467,25.5327,25.6227,ok,1582502400,219800
37,25.4848,25.6848,25.4548,25.6348,ok,1582588800,153500
38,25.5241,25.6141,25.4241,25.5341,ok,1582675200,110900
39,25.2683,25.4383,25.2233,25.3683,ok,1582761600,198800
40,25.2486,25.2486,25.0436,25.1186,ok,1582848000,146900
41,25.3765,25.4265,25.1965,25.2165,ok,1583107200,191800
42,25.2683,25.4783,25.2283,25.3183,ok,1583193600,175200
43,25.5044,25.5244,25.3544,25.3744,ok,1583280000,254400
44,25.2486,25.3866,25.1686,25.2886,ok,1583366400,121600
45,25.1108,25.1108,24.9108,25.0708,ok,1583452800,87000
46,24.1269,24.2369,23.7169,23.8769,ok,1583712000,179400
47,24.4122,24.4722,24.0522,24.4122,ok,1583798400,209900
48,23.8907,24.1407,23.7307,23.9707,ok,1583884800,239500
49,23.015,23.45,22.005,22.865,ok,1583971200,468600
50,23.7038,23.7038,22.6038,23.3338,ok,1584057600,164800
51,22.3754,22.8594,20.7054,20.7054,ok,1584316800,201000
52,22.5919,22.6019,22.0719,22.2519,ok,1584403200,174400
53,21.6965,22.1565,21.2765,21.8865,ok,1584489600,330600
54,20.9683,21.5283,20.8683,21.0683,ok,1584576000,297500
55,20.7125,21.2005,20.3525,20.8825,ok,1584662400,244400
56,19.8761,20.5071,19.6561,20.3961,ok,1584921600,218800
57,20.4714,20.6734,20.0664,20.0664,ok,1585008000,95800
58,21.1061,21.4561,20.4611,20.4861,ok,1585094400,254700
59,22.0114,22.0313,21.4363,21.4813,ok,1585180800,307100
60,21.9523,22.1423,21.6323,21.6323,ok,1585267200,171700
61,22.1393,22.2393,21.8093,21.8093,ok,1585526400,95600
62,22.093,22.24,22.006,22.17,ok,1585612800,216500
63,21.6276,21.9176,21.5076,21.6476,ok,1585699200,98100
